YR,ST,FIPS5,ROWS_ALL,APPS,APPS_WIDE,DENIED,ORIG,ORIG_RS,ORIG_HOEPA,ORIG_LIEN1,ORIG_LIEN1_RS,AVG_RS
2015,MI,26159,3418,2545,3075,606,1839,80,1,1678,77,2.700000
2015,NC,37147,5689,4080,4937,1037,2869,157,1,2777,156,2.904459
2015,MO,29207,763,543,607,118,399,64,0,383,64,2.468750
2017,WI,55101,8034,6078,7081,941,4921,265,2,4658,245,2.592453
2015,GA,13175,1544,1189,1409,406,734,134,0,705,133,3.201493
2017,TN,47063,2654,1809,2276,453,1270,109,3,1207,107,2.458716
2016,AL,01113,2666,1817,2285,585,1162,63,0,1095,63,3.238095
2017,OK,40031,4221,2790,3390,644,2039,185,0,1825,183,2.800000
2016,NY,36069,4538,3423,3808,672,2631,115,0,2083,111,3.791304
2017,OK,40083,2372,1699,2009,344,1281,133,1,1100,124,2.947368
2017,GA,13147,905,591,760,158,411,36,0,403,35,3.194444
2015,KY,21211,2268,1700,1952,367,1264,74,0,1211,74,2.405405
2017,NY,36017,1127,869,1022,256,561,54,1,477,50,3.037037
2015,NC,37099,1574,1176,1443,357,780,36,0,768,36,3.500000
2016,OK,40131,4931,3507,4129,877,2462,223,0,2261,201,3.107623
2017,IA,19183,1008,789,862,77,664,24,0,516,23,2.375000
2015,RI,44005,4109,3035,3613,609,2312,65,0,2147,57,3.584615
2017,TN,47163,6118,4472,5434,1076,3185,461,8,3043,458,2.375271
2016,TN,47123,2042,1487,1848,490,895,102,1,835,100,3.529412
2015,SD,46083,4196,2926,3256,324,2389,56,0,2226,49,2.696429
2016,LA,22005,7879,5601,6857,1632,3759,324,1,3582,312,3.500000
2017,TN,47061,746,611,704,134,439,171,0,322,164,3.777778
2017,WV,54057,876,643,740,113,515,29,0,445,29,2.517241
2017,TN,47001,3477,2500,2987,652,1702,184,3,1584,183,2.679348
2017,ID,16087,387,297,350,68,211,13,0,198,12,2.615385
2015,TX,48135,6277,4270,5259,1455,2640,801,0,2556,790,3.955056
2017,CA,06033,3441,2292,3081,595,1589,113,1,1542,110,2.451327
2015,AL,01071,1441,1048,1240,294,709,69,0,662,67,3.942029
2016,AL,01033,2805,2236,2539,530,1590,126,0,1388,126,2.714286
2015,GA,13223,10550,6854,8383,1592,5023,435,0,4838,431,2.112644
2015,OR,41065,1048,692,888,204,462,32,0,456,31,2.437500
2015,WI,55135,2489,1978,2287,391,1531,104,1,1387,95,2.817308
2017,IN,18099,1588,1225,1416,238,935,67,0,874,66,2.417910
2017,NC,37141,3981,2584,3269,516,1945,113,0,1900,111,3.053097
2015,ID,16015,562,442,520,123,290,17,0,276,16,2.823529
2015,WI,55067,1185,936,1123,201,709,84,0,566,82,2.273810
2015,NM,35027,984,755,903,220,495,22,1,483,22,2.772727
2017,CA,06031,5494,3469,4428,778,2584,207,0,2441,203,2.265700
2015,IL,17055,1001,805,925,246,514,105,0,486,105,2.904762
2017,TX,48477,1219,851,1072,216,593,108,1,570,108,3.796296
2016,OR,41057,1739,1259,1577,282,925,31,0,916,31,2.451613
2017,MS,28073,2715,1910,2246,427,1405,127,2,1331,122,3.401575
2015,MN,27157,950,800,877,119,644,52,2,560,50,2.461538
2016,GA,13111,1830,1347,1605,335,970,29,0,940,29,3.034483
2015,AR,05091,1465,1131,1263,323,758,122,0,695,118,3.622951
2017,MI,26037,3615,2760,3232,470,2198,116,0,1851,113,3.043103
2016,TN,47031,2355,1580,1852,372,1146,139,0,1090,135,2.834532
2017,PA,42069,6594,5047,6086,1274,3576,214,1,3021,210,2.467290
2016,OK,40137,1655,1287,1461,368,873,84,0,775,78,3.000000
2016,IL,17007,2448,1812,2153,434,1297,97,0,1206,86,2.938144
2015,NY,36115,1791,1381,1570,432,884,48,0,776,46,2.458333
2017,IL,17117,1552,1216,1384,255,899,81,1,803,78,2.518519
2017,TX,48473,2337,1491,1970,372,1031,154,0,987,154,3.032468
2015,IN,18085,3341,2565,2958,547,1910,97,1,1805,95,2.402062
2017,AL,01121,3113,2243,2784,837,1281,231,10,1176,226,4.255411
2016,AR,05115,2437,1772,2033,458,1233,64,0,1144,59,3.593750
2015,VA,51093,2165,1481,1788,342,1076,36,0,1003,35,3.111111
2015,AK,02150,466,309,357,70,225,2,0,208,1,3.000000
2015,TN,47021,2287,1557,1886,379,1083,74,0,1033,71,2.513514
2015,MN,27005,1658,1237,1379,188,1012,38,0,932,38,2.473684
2016,TN,47167,3236,2094,2479,579,1429,96,0,1339,93,2.666667
2017,AL,01115,4808,3301,4062,861,2260,257,8,2094,252,3.529183
2015,WV,54037,3084,2226,2575,537,1622,35,0,1541,32,2.428571
2016,WI,55017,3026,2432,2880,439,1916,76,3,1865,74,3.144737
2016,PR,72023,947,777,894,243,505,46,0,370,45,2.434783
2015,KY,21183,616,468,550,143,299,69,1,288,69,3.347826
2015,ID,16085,1048,799,951,165,593,17,0,580,17,2.529412
2017,MO,29049,1053,720,870,127,562,63,0,542,63,2.190476
2016,MO,29131,874,644,763,184,431,23,0,418,23,2.217391
2016,MI,26061,549,457,504,109,323,9,0,314,8,2.444444
2016,MT,30043,637,421,508,87,304,7,0,296,6,2.285714
2017,VA,51195,1128,856,1082,283,532,187,9,445,183,3.401070
2015,TN,47079,1005,766,887,203,526,86,0,493,86,3.011628
2017,NY,36009,1705,1387,1541,328,1020,72,0,751,69,2.791667
2016,AL,01095,3854,2827,3409,852,1857,166,0,1707,164,3.126506
2016,WV,54057,938,727,814,143,559,38,1,496,34,2.842105
2015,AL,01093,874,646,797,200,412,135,0,392,133,3.696296
2016,SC,45047,2361,1560,1903,468,1049,98,0,1018,98,2.734694
2016,WV,54049,2044,1580,1818,405,1098,46,0,1013,45,2.847826
2017,IL,17095,1447,1171,1331,275,844,68,0,768,68,2.191176
2017,AR,05069,2043,1353,1674,499,762,153,0,713,146,2.986928
2015,GA,13047,3223,2263,2696,620,1557,127,0,1482,126,2.952756
2015,MN,27097,1235,980,1106,227,712,58,0,667,57,2.448276
2015,AR,05055,1831,1411,1576,310,1059,122,0,944,119,2.803279
2015,TX,48325,2074,1437,1808,421,947,182,0,910,181,3.659341
2017,NC,37149,767,536,687,120,383,11,0,378,11,3.909091
2017,KY,21179,2198,1619,1870,335,1199,116,0,1127,111,2.594828
2015,MN,27049,2311,1746,1988,327,1346,50,1,1233,49,2.700000
2016,MI,26149,2526,1908,2303,539,1302,177,0,1210,163,2.531073
2016,TX,48001,1599,1149,1393,461,636,144,0,587,144,3.319444
2017,PR,72069,868,729,790,288,399,30,0,259,30,2.033333
2017,MO,29213,2198,1526,1887,371,1088,88,0,1027,80,2.875000
2017,MS,28157,215,164,202,92,61,30,0,57,30,4.766667
2016,NE,31141,1060,735,822,140,578,14,0,547,11,2.785714
2016,CO,08014,6223,4307,5272,666,3508,80,1,3436,77,3.262500
2017,OK,40101,2351,1692,1974,432,1201,129,2,1044,125,3.248062
2016,KY,21035,1103,847,976,160,639,35,2,603,33,3.657143
2017,MD,24009,6193,4000,4942,739,3082,98,1,2875,85,2.642857
2017,MI,26089,1124,850,1030,151,657,14,1,618,13,2.428571
2017,CA,06101,4447,2998,3895,625,2257,161,0,2172,159,2.285714
2017,ID,16017,2721,1938,2363,385,1421,65,1,1379,55,2.600000
2016,MS,28003,1009,803,950,225,547,56,0,488,56,3.464286
2017,MN,27019,6299,4289,5021,458,3706,80,0,3453,73,2.625000
2016,FL,12119,7053,5203,6259,1183,3875,114,0,3764,111,2.859649
2016,MN,27143,641,474,551,100,357,45,0,323,44,2.266667
2015,NM,35061,2836,1983,2495,644,1227,99,0,1134,94,2.878788
2016,VA,51023,1755,1274,1536,285,944,44,0,866,44,2.409091
2017,NM,35028,881,656,819,116,522,11,0,508,11,4.545455
2016,SD,46093,1587,1053,1256,192,832,48,2,793,46,2.812500
2016,WI,55137,1157,904,1068,210,654,51,3,612,50,3.156863
2015,PR,72145,1111,868,1000,307,523,45,0,370,45,2.422222
2017,OH,39107,742,516,612,116,386,33,0,346,30,3.090909
2016,WV,54055,1446,1137,1349,362,728,96,1,681,95,3.166667
2015,OK,40013,1278,973,1177,243,679,109,0,648,109,2.972477
2017,AK,02090,3417,2258,2805,406,1782,59,0,1694,55,2.559322
2017,WI,55015,2551,2080,2337,211,1790,82,1,1561,77,2.975610
2015,GA,13087,708,509,612,200,300,38,0,284,38,2.973684
2015,WV,54077,941,755,850,207,500,86,0,455,85,2.534884
2017,KS,20139,588,450,542,91,343,49,0,325,46,2.510204
2017,VA,51540,1452,999,1231,158,810,16,0,769,14,2.937500
2016,AL,01083,5848,4044,4850,905,2983,175,0,2632,173,3.080000
2016,GA,13045,5216,3602,4374,1113,2385,184,0,2266,181,2.489130
2016,LA,22077,897,716,849,180,493,135,0,451,135,3.200000
2016,TN,47001,3730,2753,3272,825,1790,140,2,1647,137,3.078571
2015,NY,36031,1197,963,1103,299,616,30,0,548,28,3.333333
2015,NJ,34033,2314,1554,1902,454,1060,65,0,966,61,2.307692
2016,MS,28073,3040,2143,2529,508,1551,146,0,1456,142,3.253425
2015,MO,29021,3062,2327,2674,508,1715,202,0,1642,197,2.257426
2015,NE,31155,1003,758,848,106,624,35,0,563,30,2.571429
2016,OK,40113,1817,1331,1576,467,801,106,0,722,101,3.037736
2016,OK,40081,1358,1068,1212,315,685,148,0,550,144,3.418919
2015,NC,37189,1999,1582,1853,369,1131,34,0,1114,33,2.647059
2017,FL,12045,957,603,816,162,415,35,0,405,34,3.142857
2016,VA,51103,657,499,597,147,331,22,0,317,21,2.636364
2017,AR,05023,1229,885,1040,238,571,58,0,550,58,3.517241
2015,MN,27045,844,684,768,114,520,60,1,446,58,2.833333
2016,SC,45037,1000,677,841,243,415,43,0,391,42,3.604651
2017,MI,26157,1751,1341,1628,298,985,116,13,851,103,2.603448
2015,TX,48321,830,628,759,188,415,70,0,391,70,2.900000
2015,MO,29009,1224,912,1046,244,626,83,0,581,80,2.975904
2017,MO,29009,1394,1021,1217,279,702,98,0,664,98,2.653061
2015,MI,26029,1183,887,1050,239,620,30,1,590,28,2.766667
2016,IA,19057,1331,1106,1242,265,790,45,0,721,45,2.155556
2015,MN,27153,805,621,699,126,467,57,0,421,57,2.771930
2016,MS,28083,474,368,409,138,219,17,0,171,17,2.470588
2017,TX,48073,1579,1233,1431,417,727,175,0,659,173,3.188571
2015,IL,17077,1190,974,1105,228,705,116,1,640,113,2.887931
2016,TX,48347,1703,1357,1590,423,858,102,0,790,101,3.509804
2016,IA,19017,1552,1235,1409,166,1028,25,0,819,24,2.440000
2017,TN,47081,978,698,884,195,456,67,0,410,65,2.537313
2017,ID,16065,1081,739,880,125,572,12,2,523,10,3.083333
2015,NC,37087,2709,2023,2468,513,1439,59,0,1409,58,3.186441
2015,KS,20139,561,450,504,104,323,45,0,306,44,2.666667
2015,MO,29059,672,523,613,150,350,82,0,327,81,2.963415
2015,TX,48293,474,337,427,140,190,64,0,181,64,3.484375
2015,AR,05063,947,612,731,194,387,68,0,357,64,3.352941
2015,IL,17117,1553,1247,1369,262,927,74,0,827,70,2.702703
2015,NC,37149,743,540,666,140,367,18,0,359,18,3.444444
2016,NC,37127,3627,2548,3266,893,1530,126,0,1472,125,2.801587
2016,GA,13277,1336,981,1153,289,665,62,0,623,59,2.903226
2015,TX,48227,1007,670,818,209,436,55,0,417,54,3.527273
2015,VA,51025,488,363,448,151,199,50,0,173,49,3.200000
2016,OK,40123,1401,1089,1225,282,741,65,0,598,63,3.030769
2015,PA,42065,1140,923,1053,263,621,54,0,513,53,2.314815
2017,KY,21103,659,468,565,111,331,54,0,306,53,2.444444
2015,VA,51730,1010,748,899,344,360,22,0,315,22,2.045455
2016,TN,47021,2647,1798,2196,438,1268,80,0,1218,76,2.562500
2015,WA,53043,436,334,404,95,224,16,0,207,15,2.312500
2015,MD,24035,3403,2332,2835,507,1725,46,0,1633,40,2.500000
2017,TN,47033,478,341,397,96,227,35,0,200,34,3.142857
2016,WI,55141,1981,1506,1766,313,1150,66,0,1097,65,3.606061
2015,NC,37059,1753,1268,1573,330,885,34,0,852,34,2.882353
2015,NM,35009,1599,1151,1397,277,824,36,0,796,35,2.305556
2017,TX,48171,975,687,864,137,502,55,0,480,53,3.418182
2015,TX,48217,902,655,801,239,385,63,0,362,63,3.015873
2015,KY,21179,1955,1478,1673,326,1084,107,0,1020,101,2.532710
2017,MO,29217,626,461,543,120,325,35,0,298,35,2.485714
2015,NC,37139,1734,1153,1442,350,757,44,0,705,42,2.613636
2017,OH,39005,1649,1317,1493,281,986,94,0,914,93,2.308511
2016,VA,51147,671,507,600,168,322,51,0,292,49,3.078431
2015,FL,12125,352,255,323,146,102,28,0,99,28,3.607143
2017,TX,48499,1621,1138,1406,333,752,143,0,712,143,3.258741
2015,OK,40153,582,415,479,103,300,43,1,265,37,3.395349
2015,MN,27119,1206,918,1034,148,746,59,0,703,54,2.694915
2016,OH,39081,1953,1572,1774,506,1023,98,0,906,92,2.397959
2015,IA,19187,1137,969,1069,209,738,64,0,666,60,2.484375
2016,MN,27021,1664,1308,1504,309,966,74,0,930,74,2.662162
2015,IL,17157,776,628,694,106,488,94,0,442,89,3.340426
2017,PR,72053,561,451,503,185,243,23,0,193,23,2.173913
2015,MI,26149,2106,1663,1949,518,1095,82,1,1002,72,2.914634
2016,WI,55135,2804,2234,2576,441,1706,80,3,1541,74,4.575000
2017,MI,26159,3419,2602,3086,491,1969,178,1,1769,171,2.612360
2015,OK,40101,2251,1639,1885,498,1085,126,0,958,119,3.015873
2015,CA,06055,7723,5509,6742,1169,4101,133,0,4042,124,3.691729
2017,GA,13035,1045,718,914,191,488,61,0,469,60,2.262295
2017,LA,22095,1646,1090,1385,331,697,88,0,672,85,2.454545
2015,MN,27095,1357,1016,1179,229,735,68,0,701,67,2.352941
2017,ME,23009,2240,1809,2069,387,1298,75,1,1188,72,2.560000
2015,MT,30039,124,90,109,19,65,6,0,60,6,2.666667
2017,NC,37007,551,387,503,145,222,38,0,198,38,3.210526
2015,AR,05069,2030,1393,1649,559,769,124,0,721,118,3.419355
2015,TN,47043,2669,1929,2240,456,1369,132,0,1279,127,2.659091
2015,NC,37145,1495,1052,1333,336,675,56,0,648,56,2.339286
2016,TN,47133,527,386,468,145,211,27,0,205,27,3.148148
2017,TX,48133,479,327,420,103,207,55,0,178,54,2.963636
2016,IN,18143,903,683,808,168,494,52,0,432,52,3.750000
2017,TN,47107,2132,1498,1849,426,987,139,3,930,136,2.841727
2016,KY,21017,699,529,614,109,383,19,0,359,18,2.578947
2015,AR,05019,643,489,567,156,310,50,0,296,50,3.900000
2015,IL,17137,935,853,890,151,672,53,0,584,48,2.905660
2017,MS,28085,985,746,899,234,469,111,1,403,109,3.711712
2016,VA,51081,269,186,253,83,98,16,0,91,15,3.875000
2016,TX,48193,219,152,186,51,95,14,0,86,14,2.714286
2015,KS,20149,1217,907,1026,138,740,57,0,723,55,2.631579
2017,VA,51683,2224,1456,1814,283,1108,30,0,1042,25,2.500000
2015,VT,50005,998,820,947,231,542,57,0,496,56,2.508772
2017,WI,55141,1945,1472,1718,264,1160,74,0,1091,74,2.972973
2015,GA,13291,1291,906,1070,227,657,30,0,614,29,2.500000
2015,AR,05089,605,467,547,144,309,36,0,278,35,3.055556
2017,KY,21239,1157,806,959,154,628,29,0,589,25,2.655172
2015,MN,27057,844,698,779,119,538,37,0,513,36,2.540541
2015,CA,06043,853,623,784,169,423,17,0,411,17,2.529412
2015,MO,29145,2314,1713,1954,436,1187,128,0,1090,119,3.585938
2016,ID,16043,794,582,691,156,383,13,0,365,12,2.230769
2015,MI,26105,934,689,841,184,477,22,0,442,20,2.454545
2016,ID,16069,2078,1507,1881,318,1151,54,0,1117,50,2.296296
2017,IL,17035,166,130,158,29,95,5,0,83,5,2.200000
2015,NC,37165,896,633,818,270,336,40,0,313,40,4.175000
2017,WI,55061,803,625,722,118,486,23,2,437,22,3.260870
2016,MA,25007,1413,1078,1239,224,838,4,0,812,3,3.500000
2015,TX,48477,1119,802,976,217,530,96,0,501,92,3.500000
2016,KY,21127,403,282,368,120,144,25,0,136,25,4.400000
2016,AL,01007,672,514,621,200,287,64,0,259,64,4.031250
2016,OK,40111,1301,1033,1198,381,614,140,0,487,138,3.342857
2016,MS,28021,254,226,247,103,119,20,0,48,20,4.900000
2016,TN,47183,929,715,797,208,468,56,0,430,53,2.964286
2015,WI,55007,830,686,789,147,514,32,0,488,32,2.687500
2017,MO,29139,386,270,325,63,198,26,0,188,26,2.576923
2015,KY,21003,780,637,706,179,418,79,0,391,78,2.759494
2016,MS,28085,1027,843,962,331,466,87,0,389,87,3.850575
2017,WY,56039,865,582,731,110,444,5,0,435,5,3.400000
2015,GA,13107,315,240,288,117,117,16,0,108,16,3.937500
2016,IL,17085,846,706,809,148,509,14,0,431,14,2.142857
2016,IL,17029,1049,848,946,199,629,15,0,571,15,2.266667
2015,MT,30053,602,460,540,123,314,19,0,308,18,2.578947
2016,AR,05035,1967,1466,1656,531,887,61,0,761,60,2.950820
2017,OH,39127,1234,913,1082,223,646,101,1,598,101,2.544554
2015,NC,37009,979,743,901,204,508,31,0,503,31,3.419355
2016,IN,18111,710,518,599,129,368,76,0,346,75,2.250000
2017,MI,26113,611,461,548,97,341,29,2,318,28,2.517241
2016,WY,56033,1289,869,1033,215,632,20,0,613,15,2.900000
2017,KY,21065,328,211,284,69,129,27,1,122,27,3.148148
2017,GA,13141,268,207,247,66,134,6,0,127,6,3.000000
2016,WV,54069,1113,911,1015,218,681,95,0,617,90,2.189474
2016,PR,72083,44,37,39,15,21,3,0,12,3,3.333333
2016,GA,13209,212,151,191,69,79,20,0,78,20,4.650000
2017,MI,26151,1333,1025,1216,237,742,84,3,684,79,2.440476
2015,IL,17121,1132,946,1033,237,646,63,0,568,63,2.571429
2017,OH,39019,914,694,816,170,500,43,1,461,41,2.651163
2015,GA,13075,520,421,476,114,294,39,1,268,39,3.282051
2016,ID,16013,1598,1251,1485,322,861,16,0,841,15,2.375000
2016,TN,47107,2313,1652,2046,521,1054,154,0,1001,151,2.701299
2017,UT,49041,1109,750,927,146,585,35,0,542,33,2.228571
2017,KY,21107,1492,1141,1291,318,761,107,1,710,106,2.457944
2017,MS,28115,824,643,759,230,375,41,2,356,40,4.634146
2017,TX,48299,1286,894,1087,160,684,68,1,660,68,2.897059
2015,VA,51079,1077,771,934,209,524,19,0,490,19,3.210526
2015,IN,18083,1145,878,1015,268,581,30,0,508,30,2.166667
2017,KS,20055,755,537,648,123,409,25,0,398,25,2.600000
2017,NC,37175,1569,1116,1426,257,795,28,0,771,28,2.964286
2017,AZ,04009,1355,851,1072,204,620,64,0,606,62,2.281250
2017,MN,27153,812,602,715,133,434,48,0,413,47,2.395833
2016,OR,41023,248,185,228,49,128,7,0,126,7,2.000000
2016,NE,31157,1088,711,822,191,498,21,0,478,21,2.000000
2015,WI,55129,720,567,665,113,433,22,0,424,22,2.363636
2015,SC,45053,1081,815,999,312,462,41,0,417,40,4.048780
2017,SC,45089,710,528,661,307,192,56,2,167,54,4.642857
2015,TX,48145,302,222,269,77,127,38,0,119,38,3.342105
2015,OK,40117,585,442,520,172,254,71,0,215,71,4.000000
2016,NC,37131,617,434,563,191,229,41,0,226,41,3.780488
2015,TX,48331,602,440,532,134,277,51,0,260,51,3.941176
2017,VT,50019,860,673,809,196,457,51,1,393,43,2.784314
2015,LA,22083,554,407,490,115,282,49,0,253,47,4.428571
2017,TX,48449,802,581,677,152,377,74,1,352,71,2.932432
2017,KY,21133,480,382,465,157,184,47,0,137,47,3.489362
2016,IN,18053,1860,1429,1667,385,957,139,0,917,139,2.064748
2015,IN,18147,613,415,493,118,282,40,0,257,39,2.850000
2016,KY,21187,447,325,407,104,205,32,1,196,31,2.781250
2017,WV,54051,654,526,610,109,409,25,0,378,24,2.640000
2016,NV,32029,375,269,338,66,187,22,0,185,22,2.454545
2015,KS,20005,461,380,430,86,285,39,1,273,38,2.871795
2017,OK,40085,363,256,329,86,156,36,0,145,36,2.888889
2015,IL,17107,778,587,636,104,457,34,0,427,34,2.294118
2016,OK,40091,639,492,581,190,283,52,1,263,51,3.500000
2016,IA,19139,1577,1225,1388,268,904,79,0,814,77,2.291139
2017,TX,48383,68,47,61,28,19,5,0,17,5,4.200000
2015,TN,47015,604,446,507,121,308,43,0,269,43,2.790698
2016,TX,48313,319,241,288,90,136,21,0,129,21,3.952381
2017,IL,17189,469,349,412,75,261,22,0,246,21,2.318182
2017,OH,39131,881,694,819,213,411,118,0,396,118,2.364407
2016,OH,39137,1052,859,971,166,664,20,0,649,19,2.850000
2015,GA,13279,551,404,489,156,239,30,0,228,30,3.566667
2015,TN,47183,926,725,807,213,459,53,0,434,51,2.886792
2017,AK,02261,232,149,190,24,123,4,0,115,3,3.000000
2016,LA,22111,933,732,873,235,470,140,2,402,138,4.114286
2015,IA,19025,289,257,281,66,182,19,0,155,17,2.736842
2016,IA,19157,672,525,594,87,422,29,0,351,27,2.793103
2017,OH,39015,1861,1379,1652,366,948,172,1,901,168,2.366279
2017,VA,51119,529,377,452,96,267,20,0,243,19,3.150000
2017,IN,18087,1452,1158,1310,205,900,54,0,853,52,2.277778
2015,CO,08029,1429,1004,1265,276,691,64,0,674,63,2.562500
2017,MO,29053,570,407,491,73,321,20,1,310,20,2.200000
2016,KY,21031,390,324,367,88,217,44,4,175,44,3.113636
2016,NY,36023,1138,931,1019,195,689,42,1,574,41,2.833333
2017,TX,48363,968,703,837,156,514,92,0,484,92,2.826087
2017,MS,28139,453,367,436,147,208,45,5,190,45,3.933333
2016,KY,21173,1152,844,985,173,642,52,0,557,51,2.865385
2017,AL,01007,692,495,611,201,266,70,3,257,70,4.114286
2016,TX,48055,1655,1127,1442,404,684,151,0,654,151,3.887417
2015,MN,27127,385,300,326,60,233,28,0,218,28,2.678571
2017,IN,18103,904,693,816,187,464,75,0,425,71,2.413333
2016,VA,51097,297,212,256,68,135,19,0,129,18,3.157895
2016,CO,08081,708,490,606,149,320,40,0,316,40,2.100000
2017,MT,30057,562,375,454,62,295,7,0,291,7,2.000000
2016,OH,39031,849,647,751,179,446,42,0,427,42,3.642857
2016,OH,39107,1104,702,790,154,525,34,0,497,31,2.500000
2016,MT,30061,230,180,214,52,121,11,0,113,11,2.272727
2015,MS,28025,505,390,452,146,232,17,0,217,17,6.058824
2016,MS,28079,569,441,515,175,246,52,0,209,52,4.288462
2015,TX,48277,872,615,739,203,384,72,0,375,72,2.680556
2016,TX,48217,1085,755,951,268,452,101,1,432,99,3.821782
2015,WI,55049,1077,919,1035,163,706,35,0,651,33,2.314286
2017,SC,45039,712,509,643,210,268,37,0,260,37,4.378378
2017,NC,37193,1974,1466,1816,399,1008,105,0,976,105,2.876190
2015,FL,12003,849,626,789,234,379,70,0,355,69,3.028571
2015,TN,47177,1156,869,982,266,549,50,0,523,50,3.100000
2015,GA,13303,331,237,301,97,137,19,0,127,19,2.947368
2015,PR,72017,497,388,450,151,226,13,0,162,12,3.076923
2017,SC,45067,808,602,749,270,299,80,1,257,79,4.162500
2015,NC,37123,792,583,738,193,374,34,0,363,34,3.235294
2015,MO,29069,497,378,439,134,223,64,0,210,64,2.734375
2017,MS,28061,447,365,425,148,193,79,2,179,79,3.607595
2015,ID,16031,608,457,525,115,312,11,0,302,8,3.090909
2016,TX,48009,340,242,270,44,193,19,0,183,19,3.473684
2015,MO,29201,1131,895,985,213,634,52,0,574,51,2.461538
2016,IN,18015,1021,768,883,204,523,46,0,492,46,2.304348
2016,OR,41049,385,289,337,74,200,20,0,192,19,2.350000
2015,MO,29017,384,305,347,75,218,56,0,199,56,2.928571
2017,IA,19031,844,636,729,91,520,17,0,433,16,2.235294
2016,WV,54053,736,564,665,200,326,60,0,303,60,2.866667
2016,VA,51057,531,352,462,128,206,20,0,184,20,2.700000
2015,ID,16087,374,277,333,80,182,6,0,171,6,2.000000
2015,MN,27151,193,154,174,42,106,5,0,98,4,3.000000
2016,UT,49007,832,563,707,135,414,40,0,378,34,2.550000
2015,AL,01041,457,360,442,121,223,88,0,173,86,4.897727
2016,LA,22011,1867,1380,1659,392,919,250,0,857,249,3.496000
2015,VA,51610,758,515,601,54,446,2,0,431,2,2.000000
2017,GA,13155,190,133,171,53,78,17,0,75,17,3.647059
2016,KY,21065,367,228,314,91,122,19,0,118,19,3.631579
2015,NE,31027,162,132,143,32,89,4,0,84,4,2.250000
2015,VA,51139,895,676,784,223,440,69,0,396,66,2.652174
2015,LA,22027,359,291,339,92,175,58,5,159,58,4.155172
2015,GA,13043,183,138,170,69,68,14,1,64,14,4.428571
2015,MN,27129,398,312,351,72,230,24,0,208,20,2.833333
2016,WV,54045,598,441,546,201,224,25,0,215,24,3.640000
2015,FL,12013,299,206,266,91,105,20,1,97,20,5.300000
2015,ID,16065,1005,702,842,147,522,14,0,497,13,2.642857
2016,TX,48359,72,51,64,17,28,1,0,25,1,2.000000
2017,NV,32029,390,263,343,62,187,25,0,182,25,2.240000
2017,IA,19161,208,188,199,38,142,8,0,122,7,2.625000
2015,IL,17125,352,282,301,84,189,35,0,181,33,2.428571
2017,AL,01131,229,183,220,103,74,22,1,71,22,5.409091
2016,IL,17033,298,241,278,89,135,18,0,127,18,2.555556
2015,MS,28103,265,226,251,79,137,31,0,107,31,6.225806
2017,MS,28159,466,389,449,121,245,23,2,219,23,4.478261
2015,WA,53051,666,483,580,132,329,18,0,307,16,2.611111
2015,MN,27051,233,186,205,45,129,22,0,121,21,2.772727
2015,MS,28063,157,114,153,59,51,22,0,41,22,5.136364
2015,GA,13065,191,164,180,38,122,29,0,115,29,3.965517
2017,ID,16073,414,314,378,79,216,20,0,200,17,2.650000
2016,IL,17151,87,68,83,20,47,4,0,43,3,3.250000
2017,MO,29011,366,245,298,68,166,24,0,161,24,2.500000
2017,GA,13271,146,108,135,53,48,8,0,45,8,3.250000
2015,SC,45089,590,467,556,263,185,35,0,150,35,4.742857
2015,WY,56043,337,229,248,38,170,11,0,155,9,3.272727
2016,WV,54103,303,228,273,57,161,13,0,154,13,3.384615
2017,ID,16021,494,370,446,89,250,13,0,238,13,2.307692
2017,MS,28065,387,303,369,167,121,35,3,98,35,4.800000
2015,VA,51036,268,201,231,65,129,2,0,106,2,4.000000
2017,CO,08003,334,209,286,56,138,15,0,132,14,2.133333
2016,AR,05061,389,310,360,79,215,29,0,193,29,3.862069
2017,ND,38031,71,60,65,4,54,0,0,48,0,
2017,TX,48391,255,182,219,103,69,24,0,60,24,4.166667
2017,VA,51037,312,231,298,77,139,24,0,129,24,2.041667
2016,TX,48081,100,74,90,31,41,4,0,35,4,3.500000
2016,KS,20063,33,26,29,11,15,2,0,14,1,3.000000
2017,NE,31063,62,36,49,11,24,2,0,23,2,2.000000
2016,MN,27101,235,170,201,31,133,13,0,112,13,2.230769
2016,TX,48371,363,289,339,113,165,75,0,161,75,4.146667
2017,VA,51081,290,195,265,87,101,19,0,92,19,2.789474
2017,IL,17151,71,60,68,24,32,5,0,31,5,2.400000
2016,MT,30073,167,116,143,30,82,3,0,79,3,3.000000
2015,AK,02220,178,128,152,35,91,2,0,88,2,3.500000
2016,NE,31023,249,201,219,62,130,11,0,116,8,2.636364
2016,TX,48107,108,75,88,28,45,8,0,42,8,3.500000
2016,AZ,04007,3008,2008,2571,501,1414,102,0,1391,101,2.382353
2015,UT,49039,1185,805,947,196,581,42,0,558,38,2.333333
2017,NE,31023,239,198,222,46,136,9,0,121,9,2.222222
2017,IL,17085,780,657,734,114,504,20,0,427,20,2.250000
2015,GA,13313,3149,2323,2796,796,1415,113,0,1302,112,2.707965
2017,TX,48425,403,273,331,64,196,30,0,177,29,2.833333
2017,VT,50009,205,164,192,52,107,11,0,102,10,2.818182
2016,IL,17059,102,80,98,34,43,9,0,39,9,3.333333
