id	status	score	schema	table	rows	event_date	entity	partners	partner_tables	tags	look_for	charts	traps	hunt_trap	found	finding_ids	by	date
T:ENVIRONMENT__EPA_PENALTY_GAP	untouched	9.5	ENVIRONMENT	ENVIRONMENT__EPA_PENALTY_GAP	93808	DATE_LAST_INSPECTION	FRS_ID	19	FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS, FED_EPA_FRS_FACILITIES, XC_EPA_CORPORATE_CROSSWALK, FED_EPA_FRS_FRS_PROGRAM_LINKS, FED_EPA_FRS_FRS_FACILITIES +14	MONEY MAP OUTCOME	after DATE_LAST_INSPECTION: does the same FRS_ID keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_LAST_INSPECTION: what did that FRS_ID look like the year before; any warning sign :: before-after line | lag: days from DATE_LAST_INSPECTION to the next event for the same FRS_ID :: histogram | clusters: many events on one day or in one place in DATE_LAST_INSPECTION :: timeline	before-after_line histogram timeline						
T:ENVIRONMENT__FED_EPA_NPDES_NPDES_SE_VIOLATIONS	untouched	9.5	ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_SE_VIOLATIONS	305445	SINGLE_EVENT_VIOLATION_DATE	NPDES_ID	9	FED_EPA_NPDES_NPDES_QNCR_HISTORY, FED_EPA_NPDES_NPDES_INSPECTIONS, FED_EPA_NPDES_ICIS_FACILITIES, FED_EPA_NPDES_NPDES_SICS, FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS +4	HARM OUTCOME TEXT	after SINGLE_EVENT_VIOLATION_DATE: does the same NPDES_ID keep getting money, licenses or contracts elsewhere :: before-after line | before SINGLE_EVENT_VIOLATION_DATE: what did that NPDES_ID look like the year before; any warning sign :: before-after line | lag: days from SINGLE_EVENT_VIOLATION_DATE to the next event for the same NPDES_ID :: histogram | clusters: many events on one day or in one place in SINGLE_EVENT_VIOLATION_DATE :: timeline	before-after_line histogram timeline						
T:JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST	untouched	9.5	JUSTICE	JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST	1011	LISTED_ON	names only	0		HARM PEOPLE DEMOGRAPHIC TEXT	after LISTED_ON: do the named FIRST_NAME, NAME_ORIGINAL_SCRIPT show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in LISTED_ON :: timeline	before-after_line table timeline						
T:HEALTH__FED_FDA_FAERS_DEMO	untouched	9.4	HEALTH	HEALTH__FED_FDA_FAERS_DEMO	5811086	EVENT_DT	no actor column	0		HARM MAP DEMOGRAPHIC	timeline: count by month in EVENT_DT; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in EVENT_DT :: timeline	line_over_time timeline	three-tables-not-what-they-look-like	DEATH_DT blank on all 5.81M rows; country spelled 'UNITED STATES' and 'US'				
T:FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	untouched	9.399999999999999	FINANCE	FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	2822977	SIMS_ACQUIRED_DATE	names only	1	FED_FDIC_BANK_DATA	MONEY MAP OUTCOME TEXT	after SIMS_ACQUIRED_DATE: do the named BRANCH_NAME, BRANCH_CSA_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in SIMS_ACQUIRED_DATE :: timeline	before-after_line table timeline	reach-is-not-a-usable-join	BRANCH_STATE_COUNTY_FIPS lost its leading zero in states 01-09; pad before joining				
T:ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT	untouched	9.2	ENVIRONMENT	ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT	15432737	COMPL_PER_BEGIN_DATE	PWSID	8	FED_EPA_SDWA_SDWA_SITE_VISITS, FED_EPA_SDWA_SDWA_FACILITIES, FED_EPA_SDWA_SDWA_LCR_SAMPLES, FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS, FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS +3	HARM OUTCOME	after COMPL_PER_BEGIN_DATE: does the same PWSID keep getting money, licenses or contracts elsewhere :: before-after line | before COMPL_PER_BEGIN_DATE: what did that PWSID look like the year before; any warning sign :: before-after line | lag: days from COMPL_PER_BEGIN_DATE to the next event for the same PWSID :: histogram | clusters: many events on one day or in one place in COMPL_PER_BEGIN_DATE :: timeline	before-after_line histogram timeline						
T:JUSTICE__INTL_UK_SANCTIONS_LIST	untouched	9.0	JUSTICE	JUSTICE__INTL_UK_SANCTIONS_LIST	58336	DATE_DESIGNATED	IMO	3	FED_NOAA_AIS, XC_UK_SANCTIONS_LIST, FED_OFAC_SDN	HARM MAP DEMOGRAPHIC	after DATE_DESIGNATED: does the same IMO keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_DESIGNATED: what did that IMO look like the year before; any warning sign :: before-after line | lag: days from DATE_DESIGNATED to the next event for the same IMO :: histogram | clusters: many events on one day or in one place in DATE_DESIGNATED :: timeline	before-after_line histogram timeline						
T:JUSTICE__XC_UK_SANCTIONS_LIST	untouched	9.0	JUSTICE	JUSTICE__XC_UK_SANCTIONS_LIST	57231	DATE_DESIGNATED	IMO	3	FED_NOAA_AIS, INTL_UK_SANCTIONS_LIST, FED_OFAC_SDN	HARM MAP DEMOGRAPHIC	after DATE_DESIGNATED: does the same IMO keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_DESIGNATED: what did that IMO look like the year before; any warning sign :: before-after line | lag: days from DATE_DESIGNATED to the next event for the same IMO :: histogram | clusters: many events on one day or in one place in DATE_DESIGNATED :: timeline	before-after_line histogram timeline						
T:LABOR__FED_DOL_OLMS	untouched	8.9	LABOR	LABOR__FED_DOL_OLMS	617710	PERIOD_COVERED_FROM	names only	0		MONEY PEOPLE MAP	after PERIOD_COVERED_FROM: do the named UNION_NAME, UNIT_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in PERIOD_COVERED_FROM :: timeline	before-after_line table timeline	reach-is-not-a-usable-join					
T:ECONOMICS__FED_FDIC_FAILED_BANKS	untouched	8.8	ECONOMICS	ECONOMICS__FED_FDIC_FAILED_BANKS	4115	FAIL_DATE	names only	0		MONEY HARM OUTCOME	after FAIL_DATE: do the named BANK_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in FAIL_DATE :: timeline	before-after_line table timeline						
T:ENVIRONMENT__FED_EPA_RCRA_ENFORCEMENTS	untouched	8.8	ENVIRONMENT	ENVIRONMENT__FED_EPA_RCRA_ENFORCEMENTS	383519	ENFORCEMENT_ACTION_DATE	no actor column	0		MONEY HARM	timeline: count by month in ENFORCEMENT_ACTION_DATE; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in ENFORCEMENT_ACTION_DATE :: timeline	line_over_time timeline						
T:ENVIRONMENT__FED_EPA_NPDES_NPDES_PS_VIOLATIONS	untouched	8.6	ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_PS_VIOLATIONS	397615	REPORT_RECEIVED_DATE	NPDES_ID	9	FED_EPA_NPDES_NPDES_QNCR_HISTORY, FED_EPA_NPDES_NPDES_INSPECTIONS, FED_EPA_NPDES_ICIS_FACILITIES, FED_EPA_NPDES_NPDES_SICS, FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS +4	HARM OUTCOME	after REPORT_RECEIVED_DATE: does the same NPDES_ID keep getting money, licenses or contracts elsewhere :: before-after line | before REPORT_RECEIVED_DATE: what did that NPDES_ID look like the year before; any warning sign :: before-after line | lag: days from REPORT_RECEIVED_DATE to the next event for the same NPDES_ID :: histogram | clusters: many events on one day or in one place in REPORT_RECEIVED_DATE :: timeline	before-after_line histogram timeline						
T:ENVIRONMENT__FED_NID_DAMS	untouched	8.5	ENVIRONMENT	ENVIRONMENT__FED_NID_DAMS	92766	CONDITION_ASSESSMENT_DATE	names only	0		HARM MAP OUTCOME TEXT	after CONDITION_ASSESSMENT_DATE: do the named DAM_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in CONDITION_ASSESSMENT_DATE :: timeline	before-after_line table timeline						
T:ENVIRONMENT__FED_EPA_NPDES_NPDES_CS_VIOLATIONS	untouched	8.3	ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_CS_VIOLATIONS	82187	REPORT_RECEIVED_DATE	NPDES_ID	9	FED_EPA_NPDES_NPDES_QNCR_HISTORY, FED_EPA_NPDES_NPDES_INSPECTIONS, FED_EPA_NPDES_ICIS_FACILITIES, FED_EPA_NPDES_NPDES_SICS, FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS +4	HARM OUTCOME	after REPORT_RECEIVED_DATE: does the same NPDES_ID keep getting money, licenses or contracts elsewhere :: before-after line | before REPORT_RECEIVED_DATE: what did that NPDES_ID look like the year before; any warning sign :: before-after line | lag: days from REPORT_RECEIVED_DATE to the next event for the same NPDES_ID :: histogram | clusters: many events on one day or in one place in REPORT_RECEIVED_DATE :: timeline	before-after_line histogram timeline						
T:HEALTH__FED_FDA_DEVICE_ENFORCEMENT	untouched	8.3	HEALTH	HEALTH__FED_FDA_DEVICE_ENFORCEMENT	39635	RECALL_INITIATION_DATE	no actor column	0		HARM MAP OUTCOME TEXT	timeline: count by month in RECALL_INITIATION_DATE; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in RECALL_INITIATION_DATE :: timeline	line_over_time timeline	reach-is-not-a-usable-join					
T:JUSTICE__INTL_EU_SANCTIONS	untouched	8.3	JUSTICE	JUSTICE__INTL_EU_SANCTIONS	42347	BIRT_LEBA_PUBLICATION_DATE	no actor column	0		HARM MAP DEMOGRAPHIC	timeline: count by month in BIRT_LEBA_PUBLICATION_DATE; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in BIRT_LEBA_PUBLICATION_DATE :: timeline	line_over_time timeline						
T:CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	untouched	8.2	CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS	2227941	DATE_RECEIVED	names only	0		HARM MAP TEXT	after DATE_RECEIVED: do the named MFR_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in DATE_RECEIVED :: timeline	before-after_line table timeline	three-tables-not-what-they-look-like					
T:HEALTH__FED_FDA_DRUG_ENFORCEMENT	untouched	8.1	HEALTH	HEALTH__FED_FDA_DRUG_ENFORCEMENT	17876	RECALL_INITIATION_DATE	names only	0		HARM MAP OUTCOME TEXT	after RECALL_INITIATION_DATE: do the named MANUFACTURER_NAME_LIST show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in RECALL_INITIATION_DATE :: timeline	before-after_line table timeline	reach-is-not-a-usable-join					
T:LABOR__FED_MSHA_ACCIDENTS	untouched	8.1	LABOR	LABOR__FED_MSHA_ACCIDENTS	273623	ACCIDENT_DATE	MINE_ID, MSHA_CONTROLLER_ID	2	FED_MSHA_VIOLATIONS, FED_MSHA_MINES	HARM MAP TEXT	after ACCIDENT_DATE: does the same MINE_ID, MSHA_CONTROLLER_ID keep getting money, licenses or contracts elsewhere :: before-after line | before ACCIDENT_DATE: what did that MINE_ID, MSHA_CONTROLLER_ID look like the year before; any warning sign :: before-after line | lag: days from ACCIDENT_DATE to the next event for the same MINE_ID, MSHA_CONTROLLER_ID :: histogram | clusters: many events on one day or in one place in ACCIDENT_DATE :: timeline	before-after_line histogram timeline	three-tables-not-what-they-look-like					
T:ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS	untouched	7.8	ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS	478855	ACHIEVED_DATE	FRS_ID, NPDES_ID	27	FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS, FED_EPA_NPDES_NPDES_QNCR_HISTORY, FED_EPA_FRS_FACILITIES, XC_EPA_CORPORATE_CROSSWALK, FED_EPA_FRS_FRS_PROGRAM_LINKS +22	HARM	after ACHIEVED_DATE: does the same FRS_ID, NPDES_ID keep getting money, licenses or contracts elsewhere :: before-after line | before ACHIEVED_DATE: what did that FRS_ID, NPDES_ID look like the year before; any warning sign :: before-after line | lag: days from ACHIEVED_DATE to the next event for the same FRS_ID, NPDES_ID :: histogram | clusters: many events on one day or in one place in ACHIEVED_DATE :: timeline	before-after_line histogram timeline		ACHIEVED_DATE runs 0001 to 8202; filter 1990 to today				
T:ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY	untouched	7.5	ENVIRONMENT	ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY	102037	EARLIEST_FRV_DETERM_DATE	no actor column	0		HARM MAP OUTCOME	timeline: count by month in EARLIEST_FRV_DETERM_DATE; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in EARLIEST_FRV_DETERM_DATE :: timeline	line_over_time timeline						
T:ENVIRONMENT__FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC	untouched	7.4	ENVIRONMENT	ENVIRONMENT__FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC	387627	COMPL_PER_BEGIN_DATE	PWSID	8	FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT, FED_EPA_SDWA_SDWA_SITE_VISITS, FED_EPA_SDWA_SDWA_FACILITIES, FED_EPA_SDWA_SDWA_LCR_SAMPLES, FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS +3	HARM	after COMPL_PER_BEGIN_DATE: does the same PWSID keep getting money, licenses or contracts elsewhere :: before-after line | before COMPL_PER_BEGIN_DATE: what did that PWSID look like the year before; any warning sign :: before-after line | lag: days from COMPL_PER_BEGIN_DATE to the next event for the same PWSID :: histogram | clusters: many events on one day or in one place in COMPL_PER_BEGIN_DATE :: timeline	before-after_line histogram timeline						
T:FINANCE__FED_EPA_ICIS_FEC_EPA_INFORMAL_ENFORCEMENT_ACTIONS	untouched	7.2	FINANCE	FINANCE__FED_EPA_ICIS_FEC_EPA_INFORMAL_ENFORCEMENT_ACTIONS	21930	ACHIEVED_DATE	FRS_ID	19	FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS, FED_EPA_FRS_FACILITIES, XC_EPA_CORPORATE_CROSSWALK, FED_EPA_FRS_FRS_PROGRAM_LINKS, FED_EPA_FRS_FRS_FACILITIES +14	HARM	after ACHIEVED_DATE: does the same FRS_ID keep getting money, licenses or contracts elsewhere :: before-after line | before ACHIEVED_DATE: what did that FRS_ID look like the year before; any warning sign :: before-after line | lag: days from ACHIEVED_DATE to the next event for the same FRS_ID :: histogram | clusters: many events on one day or in one place in ACHIEVED_DATE :: timeline	before-after_line histogram timeline						
T:CONSUMER_SAFETY__FED_NHTSA_RECALLS	untouched	6.7	CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	241861	BEGIN_MANUFACTURE_DATE	names only	0		HARM OUTCOME	after BEGIN_MANUFACTURE_DATE: do the named MFG_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in BEGIN_MANUFACTURE_DATE :: timeline	before-after_line table timeline	three-tables-not-what-they-look-like					
T:ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS	untouched	6.7	ENVIRONMENT	ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS	2039	REPORT_RECEIVED_DATE	names only	0		HARM MAP OUTCOME	after REPORT_RECEIVED_DATE: do the named OPERATOR_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in REPORT_RECEIVED_DATE :: timeline	before-after_line table timeline	reach-is-not-a-usable-join					
T:IMMIGRATION__FED_EOIR_CASES	untouched	6.6	IMMIGRATION	IMMIGRATION__FED_EOIR_CASES	12631225	DETENTION_FACILITY_ENTERED_AT	no actor column	0		MAP DEMOGRAPHIC	timeline: count by month in DETENTION_FACILITY_ENTERED_AT; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in DETENTION_FACILITY_ENTERED_AT :: timeline	line_over_time timeline	reach-is-not-a-usable-join three-tables-not-what-they-look-like					
T:JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS	untouched	6.3	JUSTICE	JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS	33472	DATE_CREATED	no actor column	0		OFFICIALS TEXT	timeline: count by month in DATE_CREATED; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in DATE_CREATED :: timeline	line_over_time timeline						
T:HOUSING__FED_FHFA_SUSPENDED_COUNTERPARTY	untouched	6.2	HOUSING	HOUSING__FED_FHFA_SUSPENDED_COUNTERPARTY	241	EFFECTIVE_DATE	names only	0		HARM PEOPLE	after EFFECTIVE_DATE: do the named FIRST_NAME, LAST_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in EFFECTIVE_DATE :: timeline	before-after_line table timeline						
T:JUSTICE__FED_FHFA_SUSPENDED_COUNTERPARTIES	untouched	6.2	JUSTICE	JUSTICE__FED_FHFA_SUSPENDED_COUNTERPARTIES	241	EFFECTIVE_DATE	names only	0		HARM PEOPLE	after EFFECTIVE_DATE: do the named LAST_NAME, COMPANY show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in EFFECTIVE_DATE :: timeline	before-after_line table timeline						
T:TRANSPORT__FED_NTSB_AVIATION_EVENTS	untouched	6.2	TRANSPORT	TRANSPORT__FED_NTSB_AVIATION_EVENTS	30968	EV_DATE	names only	0		HARM MAP	after EV_DATE: do the named APT_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in EV_DATE :: timeline	before-after_line table timeline	reach-is-not-a-usable-join					
T:ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS	untouched	6.1	ENVIRONMENT	ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS	1900067	ACTUAL_BEGIN_DATE	FRS_ID, NPDES_ID	27	FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS, FED_EPA_NPDES_NPDES_QNCR_HISTORY, FED_EPA_FRS_FACILITIES, XC_EPA_CORPORATE_CROSSWALK, FED_EPA_FRS_FRS_PROGRAM_LINKS +22	OUTCOME	after ACTUAL_BEGIN_DATE: does the same FRS_ID, NPDES_ID keep getting money, licenses or contracts elsewhere :: before-after line | before ACTUAL_BEGIN_DATE: what did that FRS_ID, NPDES_ID look like the year before; any warning sign :: before-after line | lag: days from ACTUAL_BEGIN_DATE to the next event for the same FRS_ID, NPDES_ID :: histogram | clusters: many events on one day or in one place in ACTUAL_BEGIN_DATE :: timeline	before-after_line histogram timeline						
T:JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS	untouched	6.1	JUSTICE	JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS	18775	DATE_CREATED	names only	0		OFFICIALS TEXT	after DATE_CREATED: do the named CREDITOR_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in DATE_CREATED :: timeline	before-after_line table timeline						
T:ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS	untouched	5.9	ENVIRONMENT	ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS	708114	DATE_VIOLATION_DETERMINED	no actor column	0		HARM	timeline: count by month in DATE_VIOLATION_DETERMINED; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in DATE_VIOLATION_DETERMINED :: timeline	line_over_time timeline						
T:FOREIGN_INFLUENCE__FED_FARA_BULK	untouched	5.7	FOREIGN_INFLUENCE	FOREIGN_INFLUENCE__FED_FARA_BULK	221455	DATE	names only	0		PEOPLE MAP	after DATE: do the named PERSON_NAME, COMPANY_ID show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in DATE :: timeline	before-after_line table timeline	reach-is-not-a-usable-join					
T:JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS	untouched	5.7	JUSTICE	JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS	2025	DATE_CREATED	no actor column	0		OFFICIALS TEXT	timeline: count by month in DATE_CREATED; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in DATE_CREATED :: timeline	line_over_time timeline						
T:ECONOMICS__FED_DOL_OSHA_INSPECTIONS	untouched	5.4	ECONOMICS	ECONOMICS__FED_DOL_OSHA_INSPECTIONS	5196412	OPEN_DATE	names only	0		MAP OUTCOME	after OPEN_DATE: do the named ESTAB_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in OPEN_DATE :: timeline	before-after_line table timeline	reach-is-not-a-usable-join					
T:ENVIRONMENT__FED_EPA_SDWA_SDWA_EVENTS_MILESTONES	untouched	5.4	ENVIRONMENT	ENVIRONMENT__FED_EPA_SDWA_SDWA_EVENTS_MILESTONES	394075	EVENT_ACTUAL_DATE	PWSID	8	FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT, FED_EPA_SDWA_SDWA_SITE_VISITS, FED_EPA_SDWA_SDWA_FACILITIES, FED_EPA_SDWA_SDWA_LCR_SAMPLES, FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS +3	TEXT	after EVENT_ACTUAL_DATE: does the same PWSID keep getting money, licenses or contracts elsewhere :: before-after line | before EVENT_ACTUAL_DATE: what did that PWSID look like the year before; any warning sign :: before-after line | lag: days from EVENT_ACTUAL_DATE to the next event for the same PWSID :: histogram | clusters: many events on one day or in one place in EVENT_ACTUAL_DATE :: timeline	before-after_line histogram timeline						
T:HEALTH__FED_CMS_POS_OTHER	untouched	5.3	HEALTH	HEALTH__FED_CMS_POS_OTHER	44429	CHOW_DT	CCN	31	FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_OPEN_PAYMENTS, FED_CMS_OPEN_PAYMENTS_2023, FED_CMS_OPEN_PAYMENTS_2022, FED_CMS_MEDICARE_DIALYSIS_FACILITIES +26	MAP	after CHOW_DT: does the same CCN keep getting money, licenses or contracts elsewhere :: before-after line | before CHOW_DT: what did that CCN look like the year before; any warning sign :: before-after line | lag: days from CHOW_DT to the next event for the same CCN :: histogram | clusters: many events on one day or in one place in CHOW_DT :: timeline	before-after_line histogram timeline	reach-is-not-a-usable-join					
T:JUSTICE__FED_COURTLISTENER_DISCLOSURE_POSITIONS	untouched	5.3	JUSTICE	JUSTICE__FED_COURTLISTENER_DISCLOSURE_POSITIONS	37050	DATE_CREATED	names only	0		OFFICIALS	after DATE_CREATED: do the named ORGANIZATION_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in DATE_CREATED :: timeline	before-after_line table timeline						
T:JUSTICE__FED_COURTLISTENER_DISCLOSURE_SPOUSAL_INCOME	untouched	5.2	JUSTICE	JUSTICE__FED_COURTLISTENER_DISCLOSURE_SPOUSAL_INCOME	20174	DATE_CREATED	no actor column	0		OFFICIALS	timeline: count by month in DATE_CREATED; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in DATE_CREATED :: timeline	line_over_time timeline						
T:JUSTICE__FED_COURTLISTENER_DISCLOSURE_AGREEMENTS	untouched	5.0	JUSTICE	JUSTICE__FED_COURTLISTENER_DISCLOSURE_AGREEMENTS	10007	DATE_CREATED	no actor column	0		OFFICIALS	timeline: count by month in DATE_CREATED; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in DATE_CREATED :: timeline	line_over_time timeline						
T:LABOR__FED_PBGC_TRUSTEED_PLANS	untouched	4.9	LABOR	LABOR__FED_PBGC_TRUSTEED_PLANS	5176	DATE_OF_PBGC_TRUSTEESHIP	EIN	47	FED_IRS527_SCHEDULE_A_CONTRIBUTIONS, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_IRS_990_EFILE_INDEX, FED_IRS_EO_BMF, FED_IRS_BMF +42	MAP	after DATE_OF_PBGC_TRUSTEESHIP: does the same EIN keep getting money, licenses or contracts elsewhere :: before-after line | before DATE_OF_PBGC_TRUSTEESHIP: what did that EIN look like the year before; any warning sign :: before-after line | lag: days from DATE_OF_PBGC_TRUSTEESHIP to the next event for the same EIN :: histogram | clusters: many events on one day or in one place in DATE_OF_PBGC_TRUSTEESHIP :: timeline	before-after_line histogram timeline	ein-and-cik-width-mismatch					
T:POLITICS__FED_FJC_SERVICE	untouched	4.8	POLITICS	POLITICS__FED_FJC_SERVICE	4766	COMMITTEE_ACTION_DATE	names only	0		PEOPLE OUTCOME	after COMMITTEE_ACTION_DATE: do the named JUDGE_NAME, COURT_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in COMMITTEE_ACTION_DATE :: timeline	before-after_line table timeline						
T:FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS	untouched	4.7	FINANCE	FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS	260556	ACTUAL_BEGIN_DATE	FRS_ID	19	FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS, FED_EPA_FRS_FACILITIES, XC_EPA_CORPORATE_CROSSWALK, FED_EPA_FRS_FRS_PROGRAM_LINKS, FED_EPA_FRS_FRS_FACILITIES +14		after ACTUAL_BEGIN_DATE: does the same FRS_ID keep getting money, licenses or contracts elsewhere :: before-after line | before ACTUAL_BEGIN_DATE: what did that FRS_ID look like the year before; any warning sign :: before-after line | lag: days from ACTUAL_BEGIN_DATE to the next event for the same FRS_ID :: histogram | clusters: many events on one day or in one place in ACTUAL_BEGIN_DATE :: timeline	before-after_line histogram timeline						
T:POLITICS__TX_LOBBY_EVENTS	untouched	4.7	POLITICS	POLITICS__TX_LOBBY_EVENTS	3107	DUEDT	no actor column	0		OFFICIALS	timeline: count by month in DUEDT; find the spikes and what sits under them :: line over time | clusters: many events on one day or in one place in DUEDT :: timeline	line_over_time timeline						
T:FINANCE__FED_SEC_CLOSED_END_FUND_INFORMATION	untouched	4.5	FINANCE	FINANCE__FED_SEC_CLOSED_END_FUND_INFORMATION	973	FILING_DATE	CIK	23	XC_EPA_CORPORATE_CROSSWALK, FED_SEC_INSIDER_REPORTINGOWNER, FED_SEC_INSIDER_SUBMISSION, FED_SEC_13F_SUBMISSIONS, FED_PCAOB_FORM_AP_FILINGS +18	MAP	after FILING_DATE: does the same CIK keep getting money, licenses or contracts elsewhere :: before-after line | before FILING_DATE: what did that CIK look like the year before; any warning sign :: before-after line | lag: days from FILING_DATE to the next event for the same CIK :: histogram | clusters: many events on one day or in one place in FILING_DATE :: timeline	before-after_line histogram timeline	ein-and-cik-width-mismatch reach-is-not-a-usable-join					
T:POLITICS__CA_LOBBY_EMPLOYER_FIRMS	untouched	4.4	POLITICS	POLITICS__CA_LOBBY_EMPLOYER_FIRMS	524	TERMINATION_DT	names only	0		OFFICIALS	after TERMINATION_DT: do the named FIRM_NAME show up again in money tables :: before-after line | bridge the names to an ID table first; see the names layer :: table | clusters: many events on one day or in one place in TERMINATION_DT :: timeline	before-after_line table timeline						
