id	status	score	a	a_key	c	c_key	a_schema	c_schema	a_rows	c_rows	via	via_count	tags	look_for	charts	traps	found	finding_ids	by	date
H:HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI~HEALTH__FED_CMS_NURSING_HOME_PENALTIES	untouched	9.1	HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI	NPI	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH	HEALTH	11039787	16180	NPI to CCN via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI NPI values that reach a CCN through the crosswalk, and on to FED_CMS_NURSING_HOME_PENALTIES :: flow diagram | gap: AVG_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI for matched vs unmatched :: paired bars | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | big on both sides: AVG_MDCR_ALOWD_AMT against FINE_AMOUNT, one dot per match :: scatter | after: does FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars scatter	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI~HEALTH__FED_NURSINGHOME411	untouched	9.1	HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI	NPI	HEALTH__FED_NURSINGHOME411	CCN	HEALTH	HEALTH	11039787	14713	NPI to CCN via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI NPI values that reach a CCN through the crosswalk, and on to FED_NURSINGHOME411 :: flow diagram | gap: AVG_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI for matched vs unmatched :: paired bars | gap: TOTAL_AMOUNT_OF_FINES_IN_DOLLARS in FED_NURSINGHOME411 for matched vs unmatched :: paired bars | big on both sides: AVG_MDCR_ALOWD_AMT against TOTAL_AMOUNT_OF_FINES_IN_DOLLARS, one dot per match :: scatter	flow_diagram paired_bars scatter	reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER~HEALTH__FED_CMS_NURSING_HOME	untouched	9.1	HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER	NPI	HEALTH__FED_CMS_NURSING_HOME	CCN	HEALTH	HEALTH	1296739	14700	NPI to CCN via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER NPI values that reach a CCN through the crosswalk, and on to FED_CMS_NURSING_HOME :: flow diagram | gap: TOT_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER for matched vs unmatched :: paired bars | gap: TOTAL_AMOUNT_OF_FINES_IN_DOLLARS in FED_CMS_NURSING_HOME for matched vs unmatched :: paired bars | big on both sides: TOT_MDCR_ALOWD_AMT against TOTAL_AMOUNT_OF_FINES_IN_DOLLARS, one dot per match :: scatter	flow_diagram paired_bars scatter	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER~HEALTH__FED_CMS_NURSING_HOME_PENALTIES	untouched	9.1	HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER	NPI	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH	HEALTH	1296739	16180	NPI to CCN via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER NPI values that reach a CCN through the crosswalk, and on to FED_CMS_NURSING_HOME_PENALTIES :: flow diagram | gap: TOT_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER for matched vs unmatched :: paired bars | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | big on both sides: TOT_MDCR_ALOWD_AMT against FINE_AMOUNT, one dot per match :: scatter | after: does FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars scatter	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER~HEALTH__FED_NURSINGHOME411	untouched	9.1	HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER	NPI	HEALTH__FED_NURSINGHOME411	CCN	HEALTH	HEALTH	1296739	14713	NPI to CCN via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER NPI values that reach a CCN through the crosswalk, and on to FED_NURSINGHOME411 :: flow diagram | gap: TOT_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER for matched vs unmatched :: paired bars | gap: TOTAL_AMOUNT_OF_FINES_IN_DOLLARS in FED_NURSINGHOME411 for matched vs unmatched :: paired bars | big on both sides: TOT_MDCR_ALOWD_AMT against TOTAL_AMOUNT_OF_FINES_IN_DOLLARS, one dot per match :: scatter	flow_diagram paired_bars scatter	reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_MEDICARE_PROVIDER~HEALTH__FED_CMS_NURSING_HOME	skip	9.1	HEALTH__FED_CMS_MEDICARE_PROVIDER	NPI	HEALTH__FED_CMS_NURSING_HOME	CCN	HEALTH	HEALTH	1296739	14700	NPI to CCN via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_MEDICARE_PROVIDER NPI values that reach a CCN through the crosswalk, and on to FED_CMS_NURSING_HOME :: flow diagram | gap: TOT_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PROVIDER for matched vs unmatched :: paired bars | gap: TOTAL_AMOUNT_OF_FINES_IN_DOLLARS in FED_CMS_NURSING_HOME for matched vs unmatched :: paired bars | big on both sides: TOT_MDCR_ALOWD_AMT against TOTAL_AMOUNT_OF_FINES_IN_DOLLARS, one dot per match :: scatter	flow_diagram paired_bars scatter	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join	auto-skip at build: HEALTH__FED_CMS_MEDICARE_PROVIDER is a copy of HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER; the original's rows carry the work		build	2026-09-24
H:HEALTH__FED_CMS_MEDICARE_PROVIDER~HEALTH__FED_CMS_NURSING_HOME_PENALTIES	skip	9.1	HEALTH__FED_CMS_MEDICARE_PROVIDER	NPI	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH	HEALTH	1296739	16180	NPI to CCN via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_MEDICARE_PROVIDER NPI values that reach a CCN through the crosswalk, and on to FED_CMS_NURSING_HOME_PENALTIES :: flow diagram | gap: TOT_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PROVIDER for matched vs unmatched :: paired bars | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | big on both sides: TOT_MDCR_ALOWD_AMT against FINE_AMOUNT, one dot per match :: scatter | after: does FED_CMS_MEDICARE_PROVIDER keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars scatter	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join	auto-skip at build: HEALTH__FED_CMS_MEDICARE_PROVIDER is a copy of HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER; the original's rows carry the work		build	2026-09-24
H:HEALTH__FED_CMS_MEDICARE_PROVIDER~HEALTH__FED_NURSINGHOME411	skip	9.1	HEALTH__FED_CMS_MEDICARE_PROVIDER	NPI	HEALTH__FED_NURSINGHOME411	CCN	HEALTH	HEALTH	1296739	14713	NPI to CCN via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_MEDICARE_PROVIDER NPI values that reach a CCN through the crosswalk, and on to FED_NURSINGHOME411 :: flow diagram | gap: TOT_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PROVIDER for matched vs unmatched :: paired bars | gap: TOTAL_AMOUNT_OF_FINES_IN_DOLLARS in FED_NURSINGHOME411 for matched vs unmatched :: paired bars | big on both sides: TOT_MDCR_ALOWD_AMT against TOTAL_AMOUNT_OF_FINES_IN_DOLLARS, one dot per match :: scatter	flow_diagram paired_bars scatter	reach-is-not-a-usable-join	auto-skip at build: HEALTH__FED_CMS_MEDICARE_PROVIDER is a copy of HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER; the original's rows carry the work		build	2026-09-24
H:HEALTH__FED_CMS_NPPES~HEALTH__FED_CMS_NURSING_HOME	untouched	9.1	HEALTH__FED_CMS_NPPES	NPI	HEALTH__FED_CMS_NURSING_HOME	CCN	HEALTH	HEALTH	9606683	14700	NPI to CCN via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NPPES NPI values that reach a CCN through the crosswalk, and on to FED_CMS_NURSING_HOME :: flow diagram | gap: TOTAL_AMOUNT_OF_FINES_IN_DOLLARS in FED_CMS_NURSING_HOME for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch nppes-ein-column-is-empty nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NPPES~HEALTH__FED_CMS_NURSING_HOME_PENALTIES	untouched	9.1	HEALTH__FED_CMS_NPPES	NPI	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH	HEALTH	9606683	16180	NPI to CCN via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NPPES NPI values that reach a CCN through the crosswalk, and on to FED_CMS_NURSING_HOME_PENALTIES :: flow diagram | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | after: does FED_CMS_NPPES keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars	ein-and-cik-width-mismatch nppes-ein-column-is-empty nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NPPES~HEALTH__FED_NURSINGHOME411	untouched	9.1	HEALTH__FED_CMS_NPPES	NPI	HEALTH__FED_NURSINGHOME411	CCN	HEALTH	HEALTH	9606683	14713	NPI to CCN via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NPPES NPI values that reach a CCN through the crosswalk, and on to FED_NURSINGHOME411 :: flow diagram | gap: TOTAL_AMOUNT_OF_FINES_IN_DOLLARS in FED_NURSINGHOME411 for matched vs unmatched :: paired bars	flow_diagram paired_bars	ein-and-cik-width-mismatch nppes-ein-column-is-empty				
H:HEALTH__FED_CMS_NURSING_HOME_PENALTIES~HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT	NPI	HEALTH	HEALTH	16180	1697025	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME_PENALTIES CCN values that reach a NPI through the crosswalk, and on to FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT :: flow diagram | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | after: does FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME_PENALTIES~HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS	NPI	HEALTH	HEALTH	16180	57101	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME_PENALTIES CCN values that reach a NPI through the crosswalk, and on to FED_CMS_OPT_OUT_AFFIDAVITS :: flow diagram | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | after: does FED_CMS_OPT_OUT_AFFIDAVITS keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME_PENALTIES~HEALTH__FED_CMS_ORDER_AND_REFERRING	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH__FED_CMS_ORDER_AND_REFERRING	NPI	HEALTH	HEALTH	16180	2018354	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME_PENALTIES CCN values that reach a NPI through the crosswalk, and on to FED_CMS_ORDER_AND_REFERRING :: flow diagram | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | after: does FED_CMS_ORDER_AND_REFERRING keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME_PENALTIES~HEALTH__FED_CMS_PARTD_PRESCRIBERS	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH__FED_CMS_PARTD_PRESCRIBERS	NPI	HEALTH	HEALTH	16180	25869521	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME_PENALTIES CCN values that reach a NPI through the crosswalk, and on to FED_CMS_PARTD_PRESCRIBERS :: flow diagram | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | gap: TOTAL_DRUG_COST in FED_CMS_PARTD_PRESCRIBERS for matched vs unmatched :: paired bars | big on both sides: FINE_AMOUNT against TOTAL_DRUG_COST, one dot per match :: scatter | after: does FED_CMS_PARTD_PRESCRIBERS keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars scatter	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty partd-is-dy2022 reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME_PENALTIES~HEALTH__FED_CMS_PART_D_PRESCRIBERS	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH__FED_CMS_PART_D_PRESCRIBERS	NPI	HEALTH	HEALTH	16180	1416883	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME_PENALTIES CCN values that reach a NPI through the crosswalk, and on to FED_CMS_PART_D_PRESCRIBERS :: flow diagram | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | gap: OPIOID_PRSCRBR_RATE in FED_CMS_PART_D_PRESCRIBERS for matched vs unmatched :: paired bars | after: does FED_CMS_PART_D_PRESCRIBERS keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty partd-is-dy2022 reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME_PENALTIES~HEALTH__FED_CMS_PECOS_PROVIDER_ENROLLMENT	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH__FED_CMS_PECOS_PROVIDER_ENROLLMENT	NPI	HEALTH	HEALTH	16180	2978925	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1; CCN to PECOS_PAC_ID via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS; CCN to PECOS_ENRLMT_ID via FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	3	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME_PENALTIES CCN values that reach a NPI through the crosswalk, and on to FED_CMS_PECOS_PROVIDER_ENROLLMENT :: flow diagram | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | after: does FED_CMS_PECOS_PROVIDER_ENROLLMENT keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars	no-org-to-person-enrollment-bridge nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME_PENALTIES~HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE	NPI	HEALTH	HEALTH	16180	503917	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME_PENALTIES CCN values that reach a NPI through the crosswalk, and on to FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE :: flow diagram | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | gap: ALLOWED_CHARGES in FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE for matched vs unmatched :: paired bars | big on both sides: FINE_AMOUNT against ALLOWED_CHARGES, one dot per match :: scatter | after: does FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars scatter	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME_PENALTIES~HEALTH__FED_HHS_OIG_LEIE	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH__FED_HHS_OIG_LEIE	NPI	HEALTH	HEALTH	16180	83816	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME_PENALTIES CCN values that reach a NPI through the crosswalk, and on to FED_HHS_OIG_LEIE :: flow diagram | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | gap: share of FED_HHS_OIG_LEIE rows with a EXCLUSION_SK, matched vs unmatched :: paired bars | after: does FED_HHS_OIG_LEIE keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME_PENALTIES~HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	NPI	HEALTH	HEALTH	16180	19038	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME_PENALTIES CCN values that reach a NPI through the crosswalk, and on to FED_HRSA_UDS_SERVICE_DELIVERY_SITES :: flow diagram | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | gap: OPERATING_HOURS_PER_WEEK in FED_HRSA_UDS_SERVICE_DELIVERY_SITES for matched vs unmatched :: paired bars | after: does FED_HRSA_UDS_SERVICE_DELIVERY_SITES keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME_PENALTIES~HEALTH__FQHC_SITE_PEOPLE	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME_PENALTIES	CCN	HEALTH__FQHC_SITE_PEOPLE	NPI	HEALTH	HEALTH	16180	239265	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME_PENALTIES CCN values that reach a NPI through the crosswalk, and on to FQHC_SITE_PEOPLE :: flow diagram | gap: FINE_AMOUNT in FED_CMS_NURSING_HOME_PENALTIES for matched vs unmatched :: paired bars | gap: PEOPLE_AT_SITE in FQHC_SITE_PEOPLE for matched vs unmatched :: paired bars | after: does FQHC_SITE_PEOPLE keep going after PAYMENT_DENIAL_START_DATE in FED_CMS_NURSING_HOME_PENALTIES :: before-after line	before-after_line flow_diagram paired_bars	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME~HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME	CCN	HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT	NPI	HEALTH	HEALTH	14700	1697025	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME CCN values that reach a NPI through the crosswalk, and on to FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT :: flow diagram | gap: TOTAL_AMOUNT_OF_FINES_IN_DOLLARS in FED_CMS_NURSING_HOME for matched vs unmatched :: paired bars	flow_diagram paired_bars	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME~HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME	CCN	HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS	NPI	HEALTH	HEALTH	14700	57101	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME CCN values that reach a NPI through the crosswalk, and on to FED_CMS_OPT_OUT_AFFIDAVITS :: flow diagram | gap: TOTAL_AMOUNT_OF_FINES_IN_DOLLARS in FED_CMS_NURSING_HOME for matched vs unmatched :: paired bars	flow_diagram paired_bars	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
H:HEALTH__FED_CMS_NURSING_HOME~HEALTH__FED_CMS_ORDER_AND_REFERRING	untouched	9.1	HEALTH__FED_CMS_NURSING_HOME	CCN	HEALTH__FED_CMS_ORDER_AND_REFERRING	NPI	HEALTH	HEALTH	14700	2018354	CCN to NPI via FED_CMS_FACILITY_AFFILIATION, FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS +1	1	HARM MONEY PEOPLE HOP	does it land: share of FED_CMS_NURSING_HOME CCN values that reach a NPI through the crosswalk, and on to FED_CMS_ORDER_AND_REFERRING :: flow diagram | gap: TOTAL_AMOUNT_OF_FINES_IN_DOLLARS in FED_CMS_NURSING_HOME for matched vs unmatched :: paired bars	flow_diagram paired_bars	nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
