id	status	score	key	key_is	a	b	a_schema	b_schema	a_col	b_col	a_rows	b_rows	tags	look_for	charts	traps	found	finding_ids	by	date
P:CL_PERSON_ID:JUSTICE__FED_COURTLISTENER_JUDGES~JUSTICE__FED_COURTLISTENER_POSITIONS	untouched	7.1	CL_PERSON_ID	judge	JUSTICE__FED_COURTLISTENER_JUDGES	JUSTICE__FED_COURTLISTENER_POSITIONS	JUSTICE	JUSTICE	ID	PERSON_ID	16191	51290	OFFICIALS PEOPLE	land rate: how many CL_PERSON_ID values, each a judge, sit on both sides; check a name or state agrees :: overlap bar | gap: FTM_TOTAL_RECEIVED in FED_COURTLISTENER_JUDGES for matched vs unmatched :: paired bars | gap: VOTES_YES_PERCENT in FED_COURTLISTENER_POSITIONS for matched vs unmatched :: paired bars	overlap_bar paired_bars					
P:CL_PERSON_ID:JUSTICE__FED_COURTLISTENER_JUDGE_EDUCATIONS~JUSTICE__FED_COURTLISTENER_ORIGINATING_COURT_INFO	untouched	7.1	CL_PERSON_ID	judge	JUSTICE__FED_COURTLISTENER_JUDGE_EDUCATIONS	JUSTICE__FED_COURTLISTENER_ORIGINATING_COURT_INFO	JUSTICE	JUSTICE	PERSON_ID	ASSIGNED_TO_ID	12777	973419	OFFICIALS PEOPLE	land rate: how many CL_PERSON_ID values, each a judge, sit on both sides; check a name or state agrees :: overlap bar	overlap_bar					
P:CL_PERSON_ID:JUSTICE__FED_COURTLISTENER_JUDGE_EDUCATIONS~JUSTICE__FED_COURTLISTENER_POSITIONS	untouched	7.1	CL_PERSON_ID	judge	JUSTICE__FED_COURTLISTENER_JUDGE_EDUCATIONS	JUSTICE__FED_COURTLISTENER_POSITIONS	JUSTICE	JUSTICE	PERSON_ID	PERSON_ID	12777	51290	OFFICIALS PEOPLE	land rate: how many CL_PERSON_ID values, each a judge, sit on both sides; check a name or state agrees :: overlap bar | gap: VOTES_YES_PERCENT in FED_COURTLISTENER_POSITIONS for matched vs unmatched :: paired bars	overlap_bar paired_bars					
P:FEC_CAND_ID:FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE~POLITICS__FEC_CANDIDATE	untouched	7.1	FEC_CAND_ID	candidate	FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE	POLITICS__FEC_CANDIDATE	FINANCE	POLITICS	CAND_ID	CAND_ID	866730	17900	MONEY CROSS	land rate: how many FEC_CAND_ID values, each a candidate, sit on both sides; check a name or state agrees :: overlap bar | gap: TRANSACTION_AMT in FED_FEC_COMMITTEE_TO_CANDIDATE for matched vs unmatched :: paired bars	overlap_bar paired_bars	reach-is-not-a-usable-join				
P:FEC_CAND_ID:FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE~POLITICS__FEC_CAND_CMTE_LINK	untouched	7.1	FEC_CAND_ID	candidate	FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE	POLITICS__FEC_CAND_CMTE_LINK	FINANCE	POLITICS	CAND_ID	CAND_ID	866730	16229	MONEY CROSS	land rate: how many FEC_CAND_ID values, each a candidate, sit on both sides; check a name or state agrees :: overlap bar | gap: TRANSACTION_AMT in FED_FEC_COMMITTEE_TO_CANDIDATE for matched vs unmatched :: paired bars	overlap_bar paired_bars	reach-is-not-a-usable-join				
P:FEC_CMTE_ID:FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE~POLITICS__FEC_CANDIDATE	untouched	7.1	FEC_CMTE_ID	campaign committee	FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE	POLITICS__FEC_CANDIDATE	FINANCE	POLITICS	CMTE_ID, OTHER_ID	PRINCIPAL_CMTE_ID	866730	17900	MONEY CROSS	land rate: how many FEC_CMTE_ID values, each a campaign committee, sit on both sides; check a name or state agrees :: overlap bar | gap: TRANSACTION_AMT in FED_FEC_COMMITTEE_TO_CANDIDATE for matched vs unmatched :: paired bars	overlap_bar paired_bars	reach-is-not-a-usable-join				
P:FEC_CMTE_ID:FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE~POLITICS__FEC_CAND_CMTE_LINK	untouched	7.1	FEC_CMTE_ID	campaign committee	FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE	POLITICS__FEC_CAND_CMTE_LINK	FINANCE	POLITICS	CMTE_ID, OTHER_ID	CMTE_ID	866730	16229	MONEY CROSS	land rate: how many FEC_CMTE_ID values, each a campaign committee, sit on both sides; check a name or state agrees :: overlap bar | gap: TRANSACTION_AMT in FED_FEC_COMMITTEE_TO_CANDIDATE for matched vs unmatched :: paired bars	overlap_bar paired_bars	reach-is-not-a-usable-join				
P:LEI:HOUSING__FED_CFPB_HMDA~HOUSING__FED_CFPB_HMDA_LAR	untouched	7.1	LEI	legal entity, global	HOUSING__FED_CFPB_HMDA	HOUSING__FED_CFPB_HMDA_LAR	HOUSING	HOUSING	LEI	LEI	28301	17474	HARM MONEY SIBLING	land rate: how many LEI values, each a legal entity, global, sit on both sides; check a name or state agrees :: overlap bar | same source, another year or cut: who is new, who left, who grew most :: slope chart | gap: LOAN_AMOUNT in FED_CFPB_HMDA for matched vs unmatched :: paired bars | gap: LOAN_AMOUNT in FED_CFPB_HMDA_LAR for matched vs unmatched :: paired bars | big on both sides: LOAN_AMOUNT against LOAN_AMOUNT, one dot per match :: scatter	overlap_bar paired_bars scatter slope_chart					
P:NPI:HEALTH__ADDICTION_PRESCRIBERS_PAID~HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	untouched	7.1	NPI	doctor or clinic	HEALTH__ADDICTION_PRESCRIBERS_PAID	HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	HEALTH	HEALTH	NPI	NPI	44335	14425	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: ADDICTION_DRUG_COST in ADDICTION_PRESCRIBERS_PAID for matched vs unmatched :: paired bars	overlap_bar paired_bars	no-org-to-person-enrollment-bridge owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
P:NPI:HEALTH__ADDICTION_PRESCRIBERS_PAID~HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	untouched	7.1	NPI	doctor or clinic	HEALTH__ADDICTION_PRESCRIBERS_PAID	HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	HEALTH	HEALTH	NPI	FQHC_SITE_NPI_NUMBER	44335	19038	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: ADDICTION_DRUG_COST in ADDICTION_PRESCRIBERS_PAID for matched vs unmatched :: paired bars | gap: OPERATING_HOURS_PER_WEEK in FED_HRSA_UDS_SERVICE_DELIVERY_SITES for matched vs unmatched :: paired bars	overlap_bar paired_bars	reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER~HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER	HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	HEALTH	HEALTH	RFRG_NPI	NPI	381228	14425	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: SUPLR_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER for matched vs unmatched :: paired bars	overlap_bar paired_bars	bene-cc-pct-two-scales dme-referrer-columns-lie no-org-to-person-enrollment-bridge owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER~HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER	HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	HEALTH	HEALTH	RFRG_NPI	FQHC_SITE_NPI_NUMBER	381228	19038	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: SUPLR_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER for matched vs unmatched :: paired bars | gap: OPERATING_HOURS_PER_WEEK in FED_HRSA_UDS_SERVICE_DELIVERY_SITES for matched vs unmatched :: paired bars	overlap_bar paired_bars	bene-cc-pct-two-scales dme-referrer-columns-lie reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL~HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL	HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	HEALTH	HEALTH	SUPLR_NPI	NPI	440670	14425	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: AVG_SUPLR_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL for matched vs unmatched :: paired bars	overlap_bar paired_bars	bene-cc-pct-two-scales dme-referrer-columns-lie no-org-to-person-enrollment-bridge owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL~HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL	HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	HEALTH	HEALTH	SUPLR_NPI	FQHC_SITE_NPI_NUMBER	440670	19038	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: AVG_SUPLR_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL for matched vs unmatched :: paired bars | gap: OPERATING_HOURS_PER_WEEK in FED_HRSA_UDS_SERVICE_DELIVERY_SITES for matched vs unmatched :: paired bars	overlap_bar paired_bars	bene-cc-pct-two-scales dme-referrer-columns-lie reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI~HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI	HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	HEALTH	HEALTH	RNDRNG_NPI	NPI	11039787	14425	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: AVG_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI for matched vs unmatched :: paired bars	overlap_bar paired_bars	no-org-to-person-enrollment-bridge owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI~HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI	HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	HEALTH	HEALTH	RNDRNG_NPI	FQHC_SITE_NPI_NUMBER	11039787	19038	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: AVG_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI for matched vs unmatched :: paired bars | gap: OPERATING_HOURS_PER_WEEK in FED_HRSA_UDS_SERVICE_DELIVERY_SITES for matched vs unmatched :: paired bars	overlap_bar paired_bars	reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER~HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER	HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI	HEALTH	HEALTH	RNDRNG_NPI	RNDRNG_NPI	1296739	11039787	MONEY PEOPLE SIBLING	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | same source, another year or cut: who is new, who left, who grew most :: slope chart | gap: TOT_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER for matched vs unmatched :: paired bars | gap: AVG_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI for matched vs unmatched :: paired bars | big on both sides: TOT_MDCR_ALOWD_AMT against AVG_MDCR_ALOWD_AMT, one dot per match :: scatter	overlap_bar paired_bars scatter slope_chart	reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER~HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER	HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	HEALTH	HEALTH	RNDRNG_NPI	NPI	1296739	14425	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOT_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER for matched vs unmatched :: paired bars	overlap_bar paired_bars	no-org-to-person-enrollment-bridge owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER~HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER	HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	HEALTH	HEALTH	RNDRNG_NPI	FQHC_SITE_NPI_NUMBER	1296739	19038	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOT_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER for matched vs unmatched :: paired bars | gap: OPERATING_HOURS_PER_WEEK in FED_HRSA_UDS_SERVICE_DELIVERY_SITES for matched vs unmatched :: paired bars	overlap_bar paired_bars	reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_MEDICARE_PROVIDER~HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	skip	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_MEDICARE_PROVIDER	HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	HEALTH	HEALTH	NPI	NPI	1296739	14425	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOT_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PROVIDER for matched vs unmatched :: paired bars	overlap_bar paired_bars	no-org-to-person-enrollment-bridge owner-flag-columns-exist-but-empty reach-is-not-a-usable-join	auto-skip at build: HEALTH__FED_CMS_MEDICARE_PROVIDER is a copy of HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER; the original's rows carry the work		build	2026-09-24
P:NPI:HEALTH__FED_CMS_MEDICARE_PROVIDER~HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	skip	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_MEDICARE_PROVIDER	HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	HEALTH	HEALTH	NPI	FQHC_SITE_NPI_NUMBER	1296739	19038	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOT_MDCR_ALOWD_AMT in FED_CMS_MEDICARE_PROVIDER for matched vs unmatched :: paired bars | gap: OPERATING_HOURS_PER_WEEK in FED_HRSA_UDS_SERVICE_DELIVERY_SITES for matched vs unmatched :: paired bars	overlap_bar paired_bars	reach-is-not-a-usable-join	auto-skip at build: HEALTH__FED_CMS_MEDICARE_PROVIDER is a copy of HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER; the original's rows carry the work		build	2026-09-24
P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS_2022~HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_OPEN_PAYMENTS_2022	HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT	HEALTH	HEALTH	NPI	NPI	13306564	1697025	MONEY PEOPLE SIBLING	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | same source, another year or cut: who is new, who left, who grew most :: slope chart | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2022 for matched vs unmatched :: paired bars	overlap_bar paired_bars slope_chart	reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS_2022~HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_OPEN_PAYMENTS_2022	HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	HEALTH	HEALTH	NPI	NPI	13306564	14425	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2022 for matched vs unmatched :: paired bars	overlap_bar paired_bars	no-org-to-person-enrollment-bridge owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS_2022~HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_OPEN_PAYMENTS_2022	HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	HEALTH	HEALTH	NPI	FQHC_SITE_NPI_NUMBER	13306564	19038	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2022 for matched vs unmatched :: paired bars | gap: OPERATING_HOURS_PER_WEEK in FED_HRSA_UDS_SERVICE_DELIVERY_SITES for matched vs unmatched :: paired bars	overlap_bar paired_bars	reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS_2023~HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_OPEN_PAYMENTS_2023	HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT	HEALTH	HEALTH	NPI	NPI	14700786	1697025	MONEY PEOPLE SIBLING	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | same source, another year or cut: who is new, who left, who grew most :: slope chart | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2023 for matched vs unmatched :: paired bars	overlap_bar paired_bars slope_chart	reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS_2023~HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_OPEN_PAYMENTS_2023	HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	HEALTH	HEALTH	NPI	NPI	14700786	14425	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2023 for matched vs unmatched :: paired bars	overlap_bar paired_bars	no-org-to-person-enrollment-bridge owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS_2023~HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_OPEN_PAYMENTS_2023	HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	HEALTH	HEALTH	NPI	FQHC_SITE_NPI_NUMBER	14700786	19038	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS_2023 for matched vs unmatched :: paired bars | gap: OPERATING_HOURS_PER_WEEK in FED_HRSA_UDS_SERVICE_DELIVERY_SITES for matched vs unmatched :: paired bars	overlap_bar paired_bars	reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS~HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_OPEN_PAYMENTS	HEALTH__FED_CMS_OPEN_PAYMENTS_PROFILE_SUPPLEMENT	HEALTH	HEALTH	NPI	NPI	15385047	1697025	MONEY PEOPLE SIBLING	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | same source, another year or cut: who is new, who left, who grew most :: slope chart | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS for matched vs unmatched :: paired bars	overlap_bar paired_bars slope_chart	reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS~HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_OPEN_PAYMENTS	HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	HEALTH	HEALTH	NPI	NPI	15385047	14425	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS for matched vs unmatched :: paired bars	overlap_bar paired_bars	no-org-to-person-enrollment-bridge owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_OPEN_PAYMENTS~HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_OPEN_PAYMENTS	HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	HEALTH	HEALTH	NPI	FQHC_SITE_NPI_NUMBER	15385047	19038	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOTAL_AMOUNT_OF_PAYMENT_USDOLLARS in FED_CMS_OPEN_PAYMENTS for matched vs unmatched :: paired bars | gap: OPERATING_HOURS_PER_WEEK in FED_HRSA_UDS_SERVICE_DELIVERY_SITES for matched vs unmatched :: paired bars	overlap_bar paired_bars	reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_PARTD_PRESCRIBERS~HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_PARTD_PRESCRIBERS	HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	HEALTH	HEALTH	NPI	NPI	25869521	14425	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOTAL_DRUG_COST in FED_CMS_PARTD_PRESCRIBERS for matched vs unmatched :: paired bars	overlap_bar paired_bars	no-org-to-person-enrollment-bridge owner-flag-columns-exist-but-empty partd-is-dy2022 reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_PARTD_PRESCRIBERS~HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_PARTD_PRESCRIBERS	HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES	HEALTH	HEALTH	NPI	FQHC_SITE_NPI_NUMBER	25869521	19038	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: TOTAL_DRUG_COST in FED_CMS_PARTD_PRESCRIBERS for matched vs unmatched :: paired bars | gap: OPERATING_HOURS_PER_WEEK in FED_HRSA_UDS_SERVICE_DELIVERY_SITES for matched vs unmatched :: paired bars	overlap_bar paired_bars	partd-is-dy2022 reach-is-not-a-usable-join				
P:NPI:HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE~HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	untouched	7.1	NPI	doctor or clinic	HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE	HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS	HEALTH	HEALTH	NPI	NPI	503917	14425	MONEY PEOPLE	land rate: how many NPI values, each a doctor or clinic, sit on both sides; check a name or state agrees :: overlap bar | gap: ALLOWED_CHARGES in FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE for matched vs unmatched :: paired bars	overlap_bar paired_bars	no-org-to-person-enrollment-bridge owner-flag-columns-exist-but-empty reach-is-not-a-usable-join				
