id	status	score	schema	table	rows	level	geo_col	all_levels	metrics	a	b	tags	look_for	charts	traps	hunt_trap	found	finding_ids	by	date
G2:near:HEALTH__FED_NURSINGHOME411~JUSTICE__XC_WAPO_FATAL_FORCE	untouched	10.0	HEALTH ↔ JUSTICE	FED_NURSINGHOME411 ↔ XC_WAPO_FATAL_FORCE	10430	proximity pair	LATITUDE, LONGITUDE / LATITUDE, LONGITUDE		TOTAL_AMOUNT_OF_FINES_IN_DOLLARS, CHAIN_AVERAGE_OVERALL_5_STAR_RATING +14 / 	HEALTH__FED_NURSINGHOME411	JUSTICE__XC_WAPO_FATAL_FORCE	HARM MONEY PEOPLE CROSS PANEL	what sits near what: FED_NURSINGHOME411 points within a mile of XC_WAPO_FATAL_FORCE points :: point map | count of near neighbors per point; the ones with the most :: ranked bar	point_map ranked_bar						
G2:near:HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS~JUSTICE__XC_WAPO_FATAL_FORCE	untouched	10.0	HOUSING ↔ JUSTICE	FED_HUD_ASSISTED_HOUSING_PROJECTS ↔ XC_WAPO_FATAL_FORCE	10430	proximity pair	LATITUDE, LONGITUDE / LATITUDE, LONGITUDE		HH_INCOME, PERSON_INCOME +9 / 	HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS	JUSTICE__XC_WAPO_FATAL_FORCE	HARM MONEY PEOPLE CROSS PANEL	what sits near what: FED_HUD_ASSISTED_HOUSING_PROJECTS points within a mile of XC_WAPO_FATAL_FORCE points :: point map | count of near neighbors per point; the ones with the most :: ranked bar	point_map ranked_bar	reach-is-not-a-usable-join					
G2:near:JUSTICE__XC_WAPO_FATAL_FORCE~TRANSPORT__FED_FRA_EQUIPMENT_ACCIDENTS	untouched	10.0	JUSTICE ↔ TRANSPORT	XC_WAPO_FATAL_FORCE ↔ FED_FRA_EQUIPMENT_ACCIDENTS	10430	proximity pair	LATITUDE, LONGITUDE / LATITUDE, LONGITUDE		 / EQUIPMENT_DAMAGE_COST, TRACK_DAMAGE_COST +25	JUSTICE__XC_WAPO_FATAL_FORCE	TRANSPORT__FED_FRA_EQUIPMENT_ACCIDENTS	HARM MONEY PEOPLE CROSS PANEL	what sits near what: XC_WAPO_FATAL_FORCE points within a mile of FED_FRA_EQUIPMENT_ACCIDENTS points :: point map | count of near neighbors per point; the ones with the most :: ranked bar	point_map ranked_bar						
G:ECONOMICS__FED_SBA_PPP	untouched	10.0	ECONOMICS	ECONOMICS__FED_SBA_PPP	968524	ZIP code	BORROWER_ZIP	ZIP code, state	INITIAL_APPROVAL_AMOUNT, CURRENT_APPROVAL_AMOUNT, UNDISBURSED_AMOUNT, TERM_MONTHS, JOBS_REPORTED, PAYROLL_PROCEED +4			MONEY MAP DEMOGRAPHIC OUTCOME	rank every ZIP code by INITIAL_APPROVAL_AMOUNT per person :: choropleth map | correlate against every other ZIP code number; see the county panel rows :: scatter | which places moved most over DATE_APPROVED :: slope chart | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter slope_chart	reach-is-not-a-usable-join					
G:TRANSPORT__FED_FRA_CASUALTIES	untouched	10.0	TRANSPORT	TRANSPORT__FED_FRA_CASUALTIES	1150788	map point	LATITUDE, LONGITUDE	map point	POSITIVE_ALCOHOL_TESTS, POSITIVE_DRUG_TESTS, DAYS_AWAY_FROM_WORK, DAYS_RESTRICTED_ACTIVITY, rows with NATURE_OF_INJURY, rows with INJURY_ILLNESS +4			HARM MAP DEMOGRAPHIC TEXT	rank every map point by POSITIVE_ALCOHOL_TESTS per person :: point map | clusters: where the points bunch; then what they sit near, see the proximity rows :: point map | which places moved most over DATE :: slope chart | top and bottom tenth: name them, then name the boring reason :: decile staircase	decile_staircase point_map slope_chart		DATE blank before 1997				
G2:county:ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL~ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS	untouched	9.9	ECONOMICS ↔ ENVIRONMENT	FED_USASPENDING_ASSISTANCE_FULL ↔ FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS	578198	county pair	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE / COUNTY_FIPS		FEDERAL_ACTION_OBLIGATION, TOTAL_OBLIGATED_AMOUNT +18 / 	ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL	ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS	MONEY PEOPLE CROSS PANEL	roll both to county: FEDERAL_ACTION_OBLIGATION against row count, per person :: scatter | top tenth of counties by FEDERAL_ACTION_OBLIGATION: where do they sit on row count :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join					
G2:county:ECONOMICS__FED_USASPENDING_CONTRACTS_FULL~ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS	untouched	9.9	ECONOMICS ↔ ENVIRONMENT	FED_USASPENDING_CONTRACTS_FULL ↔ FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS	578198	county pair	PRIME_AWARD_TRANSACTION_RECIPIENT_COUNTY_FIPS_CODE, PRIME_AWARD_TRANSACTION_PLACE_OF_PERFORMANCE_COUNTY_FIPS_CODE / COUNTY_FIPS		FEDERAL_ACTION_OBLIGATION, TOTAL_DOLLARS_OBLIGATED +29 / 	ECONOMICS__FED_USASPENDING_CONTRACTS_FULL	ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS	MONEY PEOPLE CROSS PANEL	roll both to county: FEDERAL_ACTION_OBLIGATION against row count, per person :: scatter | top tenth of counties by FEDERAL_ACTION_OBLIGATION: where do they sit on row count :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join					
G2:near:EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION~JUSTICE__XC_MAPPING_POLICE_VIOLENCE	untouched	9.9	EDUCATION ↔ JUSTICE	FED_ED_COLLEGE_SCORECARD_INSTITUTION ↔ XC_MAPPING_POLICE_VIOLENCE	6273	proximity pair	LATITUDE, LONGITUDE / LATITUDE, LONGITUDE		NET_PRICE_PUBLIC, NET_PRICE_PRIVATE +37 / NATIVE_AMERICAN_PERCENT_OF_THE_POPULATION_ACS, ASIAN_PERCENT_OF_THE_POPULATION_ACS +9	EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION	JUSTICE__XC_MAPPING_POLICE_VIOLENCE	HARM MONEY PEOPLE CROSS PANEL	what sits near what: FED_ED_COLLEGE_SCORECARD_INSTITUTION points within a mile of XC_MAPPING_POLICE_VIOLENCE points :: point map | count of near neighbors per point; the ones with the most :: ranked bar	point_map ranked_bar	reach-is-not-a-usable-join					
G2:near:EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION~JUSTICE__XC_WAPO_FATAL_FORCE	untouched	9.9	EDUCATION ↔ JUSTICE	FED_ED_COLLEGE_SCORECARD_INSTITUTION ↔ XC_WAPO_FATAL_FORCE	6273	proximity pair	LATITUDE, LONGITUDE / LATITUDE, LONGITUDE		NET_PRICE_PUBLIC, NET_PRICE_PRIVATE +37 / 	EDUCATION__FED_ED_COLLEGE_SCORECARD_INSTITUTION	JUSTICE__XC_WAPO_FATAL_FORCE	HARM MONEY PEOPLE CROSS PANEL	what sits near what: FED_ED_COLLEGE_SCORECARD_INSTITUTION points within a mile of XC_WAPO_FATAL_FORCE points :: point map | count of near neighbors per point; the ones with the most :: ranked bar	point_map ranked_bar	reach-is-not-a-usable-join					
G2:near:ENVIRONMENT__FED_WQP_MONITORING_STATIONS~JUSTICE__XC_MAPPING_POLICE_VIOLENCE	untouched	9.9	ENVIRONMENT ↔ JUSTICE	FED_WQP_MONITORING_STATIONS ↔ XC_MAPPING_POLICE_VIOLENCE	5818	proximity pair	LATITUDE, LONGITUDE / LATITUDE, LONGITUDE		DRAINAGE_AREA_MEASURE_VALUE, CONTRIBUTING_DRAINAGE_AREA_MEASURE_VALUE +6 / NATIVE_AMERICAN_PERCENT_OF_THE_POPULATION_ACS, ASIAN_PERCENT_OF_THE_POPULATION_ACS +9	ENVIRONMENT__FED_WQP_MONITORING_STATIONS	JUSTICE__XC_MAPPING_POLICE_VIOLENCE	HARM MONEY PEOPLE CROSS PANEL	what sits near what: FED_WQP_MONITORING_STATIONS points within a mile of XC_MAPPING_POLICE_VIOLENCE points :: point map | count of near neighbors per point; the ones with the most :: ranked bar	point_map ranked_bar	reach-is-not-a-usable-join					
G2:near:ENVIRONMENT__FED_WQP_MONITORING_STATIONS~JUSTICE__XC_WAPO_FATAL_FORCE	untouched	9.9	ENVIRONMENT ↔ JUSTICE	FED_WQP_MONITORING_STATIONS ↔ XC_WAPO_FATAL_FORCE	5818	proximity pair	LATITUDE, LONGITUDE / LATITUDE, LONGITUDE		DRAINAGE_AREA_MEASURE_VALUE, CONTRIBUTING_DRAINAGE_AREA_MEASURE_VALUE +6 / 	ENVIRONMENT__FED_WQP_MONITORING_STATIONS	JUSTICE__XC_WAPO_FATAL_FORCE	HARM MONEY PEOPLE CROSS PANEL	what sits near what: FED_WQP_MONITORING_STATIONS points within a mile of XC_WAPO_FATAL_FORCE points :: point map | count of near neighbors per point; the ones with the most :: ranked bar	point_map ranked_bar						
G:HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE	untouched	9.9	HEALTH	HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE	503917	state	PRACTICE_STATE_OR_US_TERRITORY	state	ALLOWED_CHARGES, PAYMENT_ADJUSTMENT_PERCENTAGE, COST_IMPROVEMENT_SCORE, COST_REWEIGHTING_EUC, COST_MEASURE_ACHIEVEMENT_POINTS_1, COST_MEASURE_ACHIEVEMENT_POINTS_2 +53			MONEY PEOPLE MAP OUTCOME	rank every state by ALLOWED_CHARGES per person :: choropleth map | correlate against every other state number; see the county panel rows :: scatter | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter		ALLOWED_CHARGES is the group's total on every clinician row, sums to $17.3T; use PARTICIPATION_OPTION = 'Individual'				
G:IMMIGRATION__FED_ICE_DETAINERS	untouched	9.9	IMMIGRATION	IMMIGRATION__FED_ICE_DETAINERS	609769	country	BIRTH_COUNTRY, CITIZENSHIP_COUNTRY, DEPARTURE_COUNTRY	country	MSC_SENTENCE_DAYS, MSC_SENTENCE_MONTHS, MSC_SENTENCE_YEARS, rows with MOST_SERIOUS_CONVICTION_CHARGE, rows with ARREST_TIME_CASE_CATEGORY, rows with ARREST_TIME_CURRENT_PROGRAM			HARM MAP DEMOGRAPHIC OUTCOME	rank every country by MSC_SENTENCE_DAYS per person :: world map | offshore and sanctions hot spots: which countries carry the money or the harm :: world map | which places moved most over DETAINER_PREPARE_DATE :: slope chart | top and bottom tenth: name them, then name the boring reason :: decile staircase	decile_staircase slope_chart world_map						
G2:county:HEALTH__FED_CDC_DRUG_POISONING_COUNTY~HOSPITAL_CLOSURE_RISK	skip	9.8	HEALTH ↔ FINDINGS	FED_CDC_DRUG_POISONING_COUNTY ↔ HOSPITAL_CLOSURE_RISK	4210	county pair	FIPS / COUNTY_FIPS		POPULATION, rows with ESTIMATED_AGE_ADJUSTED_DEATH_RATE_11_CATEGORIES_IN_RANGES / OPERATING_INCOME, NET_PATIENT_REVENUE +4	HEALTH__FED_CDC_DRUG_POISONING_COUNTY	HOSPITAL_CLOSURE_RISK	DERIVED HARM MONEY CROSS PANEL	roll both to county: POPULATION against OPERATING_INCOME, per person :: scatter | top tenth of counties by POPULATION: where do they sit on OPERATING_INCOME :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
G2:county:HEALTH__FED_CDC_DRUG_POISONING_COUNTY~HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	untouched	9.8	HEALTH ↔ HOUSING	FED_CDC_DRUG_POISONING_COUNTY ↔ FED_HUD_PUBLIC_HOUSING_AUTHORITIES	3787	county pair	FIPS / PLACE_FIPS		POPULATION, rows with ESTIMATED_AGE_ADJUSTED_DEATH_RATE_11_CATEGORIES_IN_RANGES / OPERATING_FUND_AMOUNT, CAPITAL_FUND_AMOUNT +20	HEALTH__FED_CDC_DRUG_POISONING_COUNTY	HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	HARM MONEY CROSS PANEL	roll both to county: POPULATION against OPERATING_FUND_AMOUNT, per person :: scatter | top tenth of counties by POPULATION: where do they sit on OPERATING_FUND_AMOUNT :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join					
G2:county:HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY~HOSPITAL_CLOSURE_RISK	skip	9.8	HEALTH ↔ FINDINGS	FED_CDC_INJURY_VIOLENCE_COUNTY ↔ HOSPITAL_CLOSURE_RISK	4210	county pair	GEOID / COUNTY_FIPS		COUNT_SUP, RATE +2 / OPERATING_INCOME, NET_PATIENT_REVENUE +4	HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY	HOSPITAL_CLOSURE_RISK	DERIVED HARM MONEY CROSS PANEL	roll both to county: COUNT_SUP against OPERATING_INCOME, per person :: scatter | top tenth of counties by COUNT_SUP: where do they sit on OPERATING_INCOME :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	cdc-injury-count-sup-is-the-count cdc-injury-county-has-overdose-2019-2024 reach-is-not-a-usable-join		auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
G2:county:HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY~HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	untouched	9.8	HEALTH ↔ HOUSING	FED_CDC_INJURY_VIOLENCE_COUNTY ↔ FED_HUD_PUBLIC_HOUSING_AUTHORITIES	3787	county pair	GEOID / PLACE_FIPS		COUNT_SUP, RATE +2 / OPERATING_FUND_AMOUNT, CAPITAL_FUND_AMOUNT +20	HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY	HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	HARM MONEY CROSS PANEL	roll both to county: COUNT_SUP against OPERATING_FUND_AMOUNT, per person :: scatter | top tenth of counties by COUNT_SUP: where do they sit on OPERATING_FUND_AMOUNT :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	cdc-injury-count-sup-is-the-count cdc-injury-county-has-overdose-2019-2024 reach-is-not-a-usable-join					
G2:county:HEALTH__FED_HRSA_HPSA_PRIMARY_CARE~HOSPITAL_CLOSURE_RISK	skip	9.8	HEALTH ↔ FINDINGS	FED_HRSA_HPSA_PRIMARY_CARE ↔ HOSPITAL_CLOSURE_RISK	4210	county pair	COMMON_STATE_COUNTY_FIPS_CODE, STATE_COUNTY_FIPS_CODE / COUNTY_FIPS		HPSA_SCORE, PC_MCTA_SCORE +8 / OPERATING_INCOME, NET_PATIENT_REVENUE +4	HEALTH__FED_HRSA_HPSA_PRIMARY_CARE	HOSPITAL_CLOSURE_RISK	DERIVED HARM MONEY CROSS PANEL	roll both to county: HPSA_SCORE against OPERATING_INCOME, per person :: scatter | top tenth of counties by HPSA_SCORE: where do they sit on OPERATING_INCOME :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
G2:county:HEALTH__FED_HRSA_HPSA_PRIMARY_CARE~HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	untouched	9.8	HEALTH ↔ HOUSING	FED_HRSA_HPSA_PRIMARY_CARE ↔ FED_HUD_PUBLIC_HOUSING_AUTHORITIES	3787	county pair	COMMON_STATE_COUNTY_FIPS_CODE, STATE_COUNTY_FIPS_CODE / PLACE_FIPS		HPSA_SCORE, PC_MCTA_SCORE +8 / OPERATING_FUND_AMOUNT, CAPITAL_FUND_AMOUNT +20	HEALTH__FED_HRSA_HPSA_PRIMARY_CARE	HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	HARM MONEY CROSS PANEL	roll both to county: HPSA_SCORE against OPERATING_FUND_AMOUNT, per person :: scatter | top tenth of counties by HPSA_SCORE: where do they sit on OPERATING_FUND_AMOUNT :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join					
G2:county:HEALTH__FED_HRSA_SHORTAGE_AREAS~HOSPITAL_CLOSURE_RISK	skip	9.8	HEALTH ↔ FINDINGS	FED_HRSA_SHORTAGE_AREAS ↔ HOSPITAL_CLOSURE_RISK	4210	county pair	COMMON_STATE_COUNTY_FIPS_CODE / COUNTY_FIPS		rows with HPSA_DISCIPLINE_CLASS / OPERATING_INCOME, NET_PATIENT_REVENUE +4	HEALTH__FED_HRSA_SHORTAGE_AREAS	HOSPITAL_CLOSURE_RISK	DERIVED HARM MONEY CROSS PANEL	roll both to county: rows with HPSA_DISCIPLINE_CLASS against OPERATING_INCOME, per person :: scatter | top tenth of counties by rows with HPSA_DISCIPLINE_CLASS: where do they sit on OPERATING_INCOME :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
G2:county:HEALTH__FED_HRSA_SHORTAGE_AREAS~HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	untouched	9.8	HEALTH ↔ HOUSING	FED_HRSA_SHORTAGE_AREAS ↔ FED_HUD_PUBLIC_HOUSING_AUTHORITIES	3787	county pair	COMMON_STATE_COUNTY_FIPS_CODE / PLACE_FIPS		rows with HPSA_DISCIPLINE_CLASS / OPERATING_FUND_AMOUNT, CAPITAL_FUND_AMOUNT +20	HEALTH__FED_HRSA_SHORTAGE_AREAS	HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	HARM MONEY CROSS PANEL	roll both to county: rows with HPSA_DISCIPLINE_CLASS against OPERATING_FUND_AMOUNT, per person :: scatter | top tenth of counties by rows with HPSA_DISCIPLINE_CLASS: where do they sit on OPERATING_FUND_AMOUNT :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join					
G2:county:HOSPITAL_CLOSURE_RISK~OPIOID_PRESCRIBER_PAID_HIGH_RX	skip	9.8	FINDINGS ↔ FINDINGS	HOSPITAL_CLOSURE_RISK ↔ OPIOID_PRESCRIBER_PAID_HIGH_RX	4210	county pair	COUNTY_FIPS / COUNTY_FIPS_2015		OPERATING_INCOME, NET_PATIENT_REVENUE +4 / OPIOID_PAY_USD, OPIOID_RATE +6	HOSPITAL_CLOSURE_RISK	OPIOID_PRESCRIBER_PAID_HIGH_RX	DERIVED HARM MONEY PEOPLE PANEL	roll both to county: OPERATING_INCOME against OPIOID_PAY_USD, per person :: scatter | top tenth of counties by OPERATING_INCOME: where do they sit on OPIOID_PAY_USD :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
G2:near:HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES~JUSTICE__XC_MAPPING_POLICE_VIOLENCE	untouched	9.8	HOUSING ↔ JUSTICE	FED_HUD_PUBLIC_HOUSING_AUTHORITIES ↔ XC_MAPPING_POLICE_VIOLENCE	3787	proximity pair	LONGITUDE, LATITUDE, LAT_GEOCODED, LON_GEOCODED / LATITUDE, LONGITUDE		OPERATING_FUND_AMOUNT, CAPITAL_FUND_AMOUNT +20 / NATIVE_AMERICAN_PERCENT_OF_THE_POPULATION_ACS, ASIAN_PERCENT_OF_THE_POPULATION_ACS +9	HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	JUSTICE__XC_MAPPING_POLICE_VIOLENCE	HARM MONEY PEOPLE CROSS PANEL	what sits near what: FED_HUD_PUBLIC_HOUSING_AUTHORITIES points within a mile of XC_MAPPING_POLICE_VIOLENCE points :: point map | count of near neighbors per point; the ones with the most :: ranked bar	point_map ranked_bar	reach-is-not-a-usable-join					
G2:near:HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES~JUSTICE__XC_WAPO_FATAL_FORCE	untouched	9.8	HOUSING ↔ JUSTICE	FED_HUD_PUBLIC_HOUSING_AUTHORITIES ↔ XC_WAPO_FATAL_FORCE	3787	proximity pair	LONGITUDE, LATITUDE, LAT_GEOCODED, LON_GEOCODED / LATITUDE, LONGITUDE		OPERATING_FUND_AMOUNT, CAPITAL_FUND_AMOUNT +20 / 	HOUSING__FED_HUD_PUBLIC_HOUSING_AUTHORITIES	JUSTICE__XC_WAPO_FATAL_FORCE	HARM MONEY PEOPLE CROSS PANEL	what sits near what: FED_HUD_PUBLIC_HOUSING_AUTHORITIES points within a mile of XC_WAPO_FATAL_FORCE points :: point map | count of near neighbors per point; the ones with the most :: ranked bar	point_map ranked_bar	reach-is-not-a-usable-join					
G:HOSPITAL_CLOSURE_RISK	skip	9.8	FINDINGS	HOSPITAL_CLOSURE_RISK	4210	county	COUNTY_FIPS	county, ZIP code, state	OPERATING_INCOME, NET_PATIENT_REVENUE, MEDICAID_REVENUE, OPERATING_MARGIN_PCT, MEDICAID_DEPENDENCE_PCT, UNCOMPENSATED_CARE			MONEY MAP DEMOGRAPHIC DERIVED	rank every county by OPERATING_INCOME per person, using CORE.DIM_COUNTY population :: choropleth map | correlate against every other county number; see the county panel rows :: scatter | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter	reach-is-not-a-usable-join		auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
G:POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	untouched	9.8	POLITICS	POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS	457521	ZIP code	ZIP, INTERMEDIARY_ZIP	ZIP code, state	AMOUNT, MATCH_AMOUNT, PREVIOUS_AMOUNT			MONEY PEOPLE MAP TEXT	rank every ZIP code by AMOUNT per person :: choropleth map | correlate against every other ZIP code number; see the county panel rows :: scatter | which places moved most over CONTRIBUTION_DATE :: slope chart | top and bottom tenth: name them, then name the boring reason :: decile staircase	choropleth_map decile_staircase scatter slope_chart	reach-is-not-a-usable-join					
G2:county:ENVIRONMENT__EPA_PENALTY_GAP~JUSTICE__COUNTY_DOUBLE_BURDEN	untouched	9.7	ENVIRONMENT ↔ JUSTICE	EPA_PENALTY_GAP ↔ COUNTY_DOUBLE_BURDEN	3029	county pair	FIPS_CODE / FIPS		TOTAL_PENALTIES, LAST_PENALTY_AMT +8 / OVERDOSE_METRIC, OVERDOSE_PCTILE +7	ENVIRONMENT__EPA_PENALTY_GAP	JUSTICE__COUNTY_DOUBLE_BURDEN	HARM MONEY CROSS PANEL	roll both to county: TOTAL_PENALTIES against OVERDOSE_METRIC, per person :: scatter | top tenth of counties by TOTAL_PENALTIES: where do they sit on OVERDOSE_METRIC :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map						
G2:county:ENVIRONMENT__FED_EPA_ECHO~JUSTICE__COUNTY_DOUBLE_BURDEN	untouched	9.7	ENVIRONMENT ↔ JUSTICE	FED_EPA_ECHO ↔ COUNTY_DOUBLE_BURDEN	3029	county pair	FIPS_CODE / FIPS		TOTAL_PENALTIES, PENALTY_COUNT +12 / OVERDOSE_METRIC, OVERDOSE_PCTILE +7	ENVIRONMENT__FED_EPA_ECHO	JUSTICE__COUNTY_DOUBLE_BURDEN	HARM MONEY CROSS PANEL	roll both to county: TOTAL_PENALTIES against OVERDOSE_METRIC, per person :: scatter | top tenth of counties by TOTAL_PENALTIES: where do they sit on OVERDOSE_METRIC :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join					
G2:county:FINANCE__FED_FDIC_BANK_DATA~JUSTICE__COUNTY_DOUBLE_BURDEN	untouched	9.7	FINANCE ↔ JUSTICE	FED_FDIC_BANK_DATA ↔ COUNTY_DOUBLE_BURDEN	3029	county pair	FIPS / FIPS		ASSET, DEP +4 / OVERDOSE_METRIC, OVERDOSE_PCTILE +7	FINANCE__FED_FDIC_BANK_DATA	JUSTICE__COUNTY_DOUBLE_BURDEN	HARM MONEY CROSS PANEL	roll both to county: ASSET against OVERDOSE_METRIC, per person :: scatter | top tenth of counties by ASSET: where do they sit on OVERDOSE_METRIC :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join					
G2:county:FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS~JUSTICE__COUNTY_DOUBLE_BURDEN	untouched	9.7	FINANCE ↔ JUSTICE	FED_FDIC_SOD_BRANCH_DEPOSITS ↔ COUNTY_DOUBLE_BURDEN	3029	county pair	BRANCH_STATE_COUNTY_FIPS, INSTITUTION_STATE_COUNTY_FIPS / FIPS		BRANCH_DEPOSITS_THOUSANDS, INSTITUTION_ASSETS_THOUSANDS +5 / OVERDOSE_METRIC, OVERDOSE_PCTILE +7	FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	JUSTICE__COUNTY_DOUBLE_BURDEN	HARM MONEY CROSS PANEL	roll both to county: BRANCH_DEPOSITS_THOUSANDS against OVERDOSE_METRIC, per person :: scatter | top tenth of counties by BRANCH_DEPOSITS_THOUSANDS: where do they sit on OVERDOSE_METRIC :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join					
G2:county:HOSPITAL_CLOSURE_RISK~JUSTICE__COUNTY_DOUBLE_BURDEN	skip	9.7	FINDINGS ↔ JUSTICE	HOSPITAL_CLOSURE_RISK ↔ COUNTY_DOUBLE_BURDEN	3029	county pair	COUNTY_FIPS / FIPS		OPERATING_INCOME, NET_PATIENT_REVENUE +4 / OVERDOSE_METRIC, OVERDOSE_PCTILE +7	HOSPITAL_CLOSURE_RISK	JUSTICE__COUNTY_DOUBLE_BURDEN	DERIVED HARM MONEY CROSS PANEL	roll both to county: OPERATING_INCOME against OVERDOSE_METRIC, per person :: scatter | top tenth of counties by OPERATING_INCOME: where do they sit on OVERDOSE_METRIC :: decile staircase | counties high on both: name them, then the boring reason :: two-color map	decile_staircase scatter two-color_map	reach-is-not-a-usable-join		auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
