model,layer,subject,family,class,thing_token,map_evidence,map_confidence,grain_phrase,spine_entity,natural_key,n_columns,column_quality,pre_aggregated,sem_date,sem_money,sem_geo,sem_id,sem_code,sem_population,sem_flag,sem_quantity
health__fed_va_suicide_state,marts,health,aggregate,aggregate,,override: VA suicide appendix is published statistics,high,,,,10,clean,True,1,0,2,1,0,3,0,1
health__intl_healthcanada_dpd_drug,marts,health,code,code,code,grain says 'one row per drug_code',high,drug_code,,,17,star-upstream-resolved,False,1,0,0,4,3,0,1,1
health__pharma_meal_cap_fingerprint,marts,health,organization,noun,manufacturer,grain says 'one row per manufacturer',high,manufacturer per program year,,,16,star-cte-resolved,False,1,5,0,1,0,0,1,2
health__st_oehha_proposition_65_list,marts,health,registry,noun,list,name token 'list',medium,,,,12,star-upstream-resolved,False,2,0,0,3,1,0,0,0
health__xc_guttmacher_monthly_abortion,marts,health,unresolved,event,,columns only: dated rows,low,,,,8,clean,False,1,0,1,0,0,0,0,0
health__xc_owid_life_expectancy,marts,health,aggregate,aggregate,owid,name token 'owid',medium,,,,4,clean,True,1,0,0,0,1,0,0,0
historical_records__fed_slavevoyages_intraamerican,marts,historical_records,measurement,event,voyage,grain says 'one row per intra-american slave voyage',high,intra-American slave voyage,,,172,clean,False,6,0,0,1,0,0,0,0
history__fed_david_rumsey,marts,history,unresolved,event,,columns only: dated rows,low,,,,13,clean,False,1,0,1,2,0,0,0,0
history__fed_densho_ddr,marts,history,unresolved,event,,columns only: dated rows,low,,,,12,clean,False,1,0,1,2,1,0,0,0
history__fed_docsouth,marts,history,unresolved,event,,columns only: dated rows,low,,,,6,clean,False,1,0,0,0,0,0,0,0
history__fed_slavevoyages_transatlantic,marts,history,measurement,event,voyage,grain says 'one row per transatlantic slave voyage',high,transatlantic slave voyage,,,276,clean,False,0,0,0,0,1,0,0,0
history__fed_wpa_slave_narratives,marts,history,unresolved,event,,columns only: dated rows,low,,,,19,star-cte-resolved,False,3,0,2,3,1,0,0,1
housing__fed_cfpb_hmda,marts,housing,unresolved,event,,columns only: dated money rows,low,,,,101,star-upstream-resolved,False,10,7,4,2,15,2,0,9
housing__fed_cfpb_hmda_arid2017_lei_xref,marts,housing,crosswalk,link,xref,name token 'xref',medium,,,,1,documented-only-partial,False,0,0,0,0,0,0,0,0
housing__fed_cfpb_hmda_dc_only,marts,housing,unresolved,event,,columns only: dated money rows,low,,,,99,clean,False,10,7,4,1,15,2,0,9
housing__fed_cfpb_hmda_historic,marts,housing,unresolved,event,,columns only: dated money rows,low,,,,82,star-upstream-resolved,False,3,4,4,4,21,2,0,3
housing__fed_cfpb_hmda_lar,marts,housing,loan,event+noun,lar,name token 'lar',medium,,,,103,star-upstream-resolved,False,10,7,4,3,15,2,0,9
housing__fed_fema_ia_housing_registrations,marts,housing,registration,event+noun,registrations,name token 'registrations',medium,,,,103,star-upstream-resolved,False,7,18,9,3,9,0,0,0
housing__fed_fema_nfip_community_status_book,marts,housing,place,noun,community,grain says 'one row per community',high,community,,,1,documented-only-partial,False,0,0,0,1,0,0,0,0
housing__fed_fhfa_hpi,marts,housing,unresolved,event,,columns only: dated rows,low,,,,12,clean,False,1,0,1,1,2,0,0,0
housing__fed_fhfa_nmdb,marts,housing,unresolved,event,,columns only: dated rows,low,,,,10,clean,False,1,0,2,0,2,0,0,0
housing__fed_hud_assisted_housing_projects,marts,housing,unresolved,event,,columns only: dated money rows,low,,,,94,star-upstream-resolved,False,4,3,6,1,1,0,0,57
housing__fed_hud_data,marts,housing,unresolved,event,,columns only: dated rows,low,,,,8,clean,False,1,0,2,1,0,0,0,0
housing__fed_hud_fha_sf_portfolio_snapshot,marts,housing,document,noun,snapshot,name token 'snapshot',medium,,,,21,star-upstream-resolved,False,2,2,4,5,2,0,0,1
housing__fed_hud_mf_firm_commitments,marts,housing,action,event,activity,grain says 'one row per firm commitment activity',high,firm commitment activity,,,29,star-upstream-resolved,False,2,1,2,3,5,0,0,1
housing__fed_hud_mf_section8_contracts,marts,housing,award,event+noun,contracts,name token 'contracts',medium,,,,35,star-upstream-resolved,False,6,0,0,4,5,0,3,8
housing__fed_hud_public_housing_authorities,marts,housing,organization,noun,pha,grain says 'one row per pha',high,PHA,,,1,documented-only-partial,False,0,0,0,0,1,0,0,0
housing__fed_mapping_inequality,marts,housing,crosswalk,link,mapping,name token 'mapping',medium,,,,18,clean,False,1,0,6,4,3,0,0,1
housing__fed_usda_rd_mfh_active_projects,marts,housing,place,noun,location,grain says 'one row per borrower_id + project_id with location',high,"borrower_id + project_id with location, management company, tax-credit and restrictive-clause expiration dates, and unit counts including rental-assistance and vacant units",,,2,documented-only-partial,False,0,0,0,2,0,0,0,0
immigration__fed_cbp_encounters,marts,immigration,measurement,event,encounters,name token 'encounters',medium,,,,15,clean,False,1,0,0,0,0,0,0,0
immigration__fed_cms_hospice_enrollments,marts,health,registration,event+noun,enrollments,name token 'enrollments',medium,,,,20,clean,False,1,0,5,3,5,2,0,0
immigration__fed_cms_medicare_fee_for_service_public_provider_enrollment,marts,health,registration,event+noun,enrollment,name token 'enrollment',medium,,,,11,clean,False,0,0,0,4,3,0,0,0
immigration__fed_dhs_ohss,marts,immigration,filing,event+noun,report,grain says 'one row per encounter report row',high,encounter report row,,,35,clean,False,4,0,1,0,4,0,0,2
immigration__fed_dhs_yearbook,marts,immigration,unresolved,event,,columns only: dated rows,low,,,,11,clean,False,1,0,3,0,3,0,0,1
immigration__fed_dol_oflc,marts,immigration,unresolved,event,,columns only: dated money rows,low,,,,260,clean,False,25,50,38,1,16,4,0,1
immigration__fed_eoir_case_data,marts,immigration,case,event+noun,case,name token 'case',medium,,,,1,clean,False,0,0,0,0,1,0,0,0
immigration__fed_epa_sdwa_sdwa_service_areas,marts,environment,place,noun,areas,name token 'areas',medium,,,,6,clean,False,2,0,0,0,2,0,0,0
immigration__fed_ice_detainers,marts,immigration,unresolved,event,,columns only: dated rows,low,,,,66,star-upstream-resolved,False,10,0,6,22,10,0,0,0
immigration__fed_ice_detention_facility_codes,marts,immigration,code,code,codes,name token 'codes',medium,,,,15,star-upstream-resolved,False,0,0,7,1,3,0,0,0
immigration__fed_ice_detention_facility_list,marts,immigration,facility,noun,facility,name token 'facility',medium,,,,7,star-upstream-resolved,False,0,0,2,1,1,0,0,0
immigration__fed_ice_detention_stints,marts,immigration,unresolved,event,,columns only: dated money rows,low,,,,70,star-upstream-resolved,False,17,2,6,8,13,0,0,0
immigration__fed_ice_statistics,marts,immigration,aggregate,aggregate,statistics,name token 'statistics',medium,,,,10,clean,True,2,0,1,0,3,0,0,1
immigration__fed_uscis_data,marts,immigration,unresolved,event,,columns only: dated money rows,low,,,,16,clean,False,3,1,1,1,1,0,0,1
immigration__xc_owid_refugees,marts,immigration,aggregate,aggregate,owid,name token 'owid',medium,,,,5,clean,True,1,0,2,0,1,0,0,0
int_fed_revolvingdoor_project__positions_sectors,intermediate,fed_revolvingdoor_project,ownership,link,positions,name token 'positions',medium,,,,14,clean,False,0,0,0,3,1,0,0,0
int_fed_usaspending__awards,intermediate,usaspending,award,event+noun,award,grain says 'one row per contract_award_unique_key)',high,"CONTRACT_AWARD_UNIQUE_KEY), neutralizing the transaction-vs-award grain trap",,,33,star-cte-resolved,False,4,3,3,6,7,0,0,2
int_open_payments_all_years,intermediate,open_payments,payment,event,payments,name token 'payments',medium,,,,10,documented-only-partial,False,2,3,0,4,0,0,0,0
int_sanctioned_vessels,intermediate,sanctioned_vessels,asset,noun,vessels,name token 'vessels',medium,,,,6,star-cte-resolved,False,0,0,0,1,0,0,0,0
investigations__intl_leiden_russian_ops_europe,marts,investigations,action,event,ops,name token 'ops',medium,,,,16,clean,False,0,0,0,0,0,0,0,0
investigations__xc_wayback_replay_doj_deep_pages,marts,investigations,document,noun,pages,name token 'pages',medium,link scraped from an archived DOJ deep,,,9,clean,False,2,0,0,0,0,0,0,0
investigations__xc_wayback_replay_doj_listing,marts,investigations,measurement,event,capture,grain says 'one row per link scraped from an archived doj listing page capture',high,link scraped from an archived DOJ listing page capture,,,9,clean,False,2,0,0,0,0,0,0,0
judiciary__fed_oyez,marts,judiciary,unresolved,event,,columns only: dated rows,low,,,,25,star-cte-resolved,False,5,0,0,3,0,0,2,0
justice__county_double_burden,marts,justice,place,noun,county,grain says 'one row per us county',high,US county,,,16,star-cte-resolved,False,1,0,4,0,0,1,2,4
justice__fed_atf_ffl,marts,justice,unresolved,noun,,"columns only: named located rows, undated",low,,,,20,clean,False,0,0,11,1,4,0,0,0
justice__fed_cisa_kev,marts,justice,unresolved,event,,columns only: dated rows,low,,,,11,clean,False,2,0,0,1,0,0,0,0
justice__fed_consolidated_screening_list,marts,justice,registry,noun,list,name token 'list',medium,entry,,,28,star-upstream-resolved,False,2,0,0,3,2,0,1,0
justice__fed_courtlistener_citations,marts,justice,violation,event,citations,name token 'citations',medium,,,,8,clean,False,2,0,0,2,1,0,0,1
justice__fed_courtlistener_court_appeals_to,marts,justice,case,event+noun,appeals,name token 'appeals',medium,,,,3,clean,False,0,0,0,3,0,0,0,0
justice__fed_courtlistener_courthouses,marts,justice,unresolved,noun,,"columns only: named located rows, undated",low,,,,11,clean,False,0,0,3,2,2,0,0,0
justice__fed_courtlistener_courts,marts,justice,unresolved,event,,columns only: dated rows,low,,,,20,clean,False,4,0,0,4,0,0,2,0
justice__fed_courtlistener_disclosure_agreements,marts,justice,filing,event+noun,disclosure,name token 'disclosure',medium,,,,7,clean,False,3,0,0,2,0,0,0,0
justice__fed_courtlistener_disclosure_debts,marts,justice,filing,event+noun,disclosure,name token 'disclosure',medium,,,,8,clean,False,2,0,0,2,1,0,0,0
justice__fed_courtlistener_disclosure_gifts,marts,justice,contribution,event,gifts,name token 'gifts',medium,,,,8,clean,False,2,0,0,2,0,0,0,0
justice__fed_courtlistener_disclosure_non_investment_income,marts,justice,filing,event+noun,disclosure,name token 'disclosure',medium,,,,8,clean,False,3,1,0,2,1,0,0,0
justice__fed_courtlistener_disclosure_positions,marts,justice,ownership,link,positions,name token 'positions',medium,,,,7,clean,False,2,0,0,2,0,0,0,0
justice__fed_courtlistener_disclosure_reimbursements,marts,justice,filing,event+noun,disclosure,name token 'disclosure',medium,,,,10,clean,False,3,1,1,2,0,0,0,0
justice__fed_courtlistener_disclosure_spousal_income,marts,justice,filing,event+noun,disclosure,name token 'disclosure',medium,,,,7,clean,False,3,0,0,2,1,0,0,0
justice__fed_courtlistener_dockets,marts,justice,case,event+noun,dockets,name token 'dockets',medium,,,,54,clean,False,13,1,0,14,5,0,0,2
justice__fed_courtlistener_financial_disclosures,marts,justice,filing,event+noun,disclosures,name token 'disclosures',medium,,,,16,clean,False,3,0,0,2,2,0,2,1
justice__fed_courtlistener_fjc_idb_cl_linked,marts,justice,unresolved,event,,columns only: dated rows,low,,,,39,clean,False,9,0,2,5,1,0,0,0
justice__fed_courtlistener_investments,marts,justice,unresolved,event,,columns only: dated money rows,low,,,,18,clean,False,4,1,0,3,5,0,1,0
justice__fed_courtlistener_judge_educations,marts,justice,person,noun,judge,name token 'judge',medium,,,,8,clean,False,3,0,0,3,1,0,0,0
justice__fed_courtlistener_judge_political_affiliations,marts,justice,membership,link,affiliations,name token 'affiliations',medium,,,,10,clean,False,6,0,0,2,0,0,0,0
justice__fed_courtlistener_judge_races,marts,justice,person,noun,judge,name token 'judge',medium,,,,3,clean,False,0,0,0,3,0,0,0,0
justice__fed_courtlistener_judges,marts,justice,person,noun,judges,name token 'judges',medium,,,,26,clean,False,11,0,3,3,0,0,1,0
justice__fed_courtlistener_opinion_clusters,marts,justice,case,event+noun,opinion,name token 'opinion',medium,,,,36,clean,False,5,0,0,3,1,0,0,1
justice__fed_courtlistener_oral_arguments,marts,justice,unresolved,event,,columns only: dated rows,low,,,,22,clean,False,3,0,0,2,1,0,0,1
justice__fed_courtlistener_originating_court_info,marts,justice,unresolved,event,,columns only: dated rows,low,,,,16,clean,False,8,0,0,5,0,0,0,0
justice__fed_courtlistener_parentheticals,marts,justice,unresolved,link,,"columns only: 4 ids, narrow",low,,,,6,clean,False,0,0,0,4,0,0,0,1
justice__fed_courtlistener_positions,marts,justice,ownership,link,positions,name token 'positions',medium,,,,38,clean,False,15,0,2,8,2,0,1,2
justice__fed_courtlistener_race_codes,marts,justice,code,code,codes,name token 'codes',medium,,,,2,clean,False,0,0,0,1,0,0,0,0
justice__fed_courtlistener_schools,marts,justice,organization,noun,schools,name token 'schools',medium,,,,6,clean,False,2,0,0,3,0,0,0,0
justice__fed_doj_fca_settlements,marts,justice,enforcement,event,settlements,name token 'settlements',medium,,,,18,clean,False,2,1,1,4,1,0,1,0
justice__fed_fbi_cde,marts,justice,unresolved,event,,columns only: dated rows,low,,,,9,clean,False,2,0,1,0,0,0,0,2
justice__fed_fbi_nics_checks,marts,justice,unresolved,event,,columns only: dated rows,low,,,,27,clean,False,1,0,8,0,0,0,0,0
justice__fed_fhfa_suspended_counterparties,marts,justice,unresolved,event,,columns only: dated rows,low,,,,10,star-upstream-resolved,False,2,0,2,1,0,0,0,0
justice__fed_fjc_idb_appellate,marts,justice,unresolved,event,,columns only: dated money rows,low,,,,57,star-upstream-resolved,False,15,1,6,4,8,0,0,1
justice__fed_fjc_idb_bankruptcy,marts,justice,unresolved,event,,columns only: dated money rows,low,,,,90,star-upstream-resolved,False,17,10,5,6,3,0,1,1
justice__fed_fjc_idb_civil,marts,justice,unresolved,event,,columns only: dated money rows,low,,,,49,star-upstream-resolved,False,15,1,2,5,2,0,0,0
justice__fed_fjc_idb_criminal,marts,justice,unresolved,event,,columns only: dated money rows,low,,,,147,star-upstream-resolved,False,44,6,3,10,33,0,0,2
justice__fed_ftc_datasets,marts,justice,dataset,noun,datasets,name token 'datasets',medium,,,,8,clean,False,1,0,0,1,2,0,0,0
justice__fed_jpml_pending_mdls,marts,justice,unresolved,link,,"columns only: 2 ids, narrow",low,,,,8,star-upstream-resolved,False,0,0,1,2,0,0,0,1
justice__fed_ofac_sdn,marts,justice,organization,noun,entity,grain says 'one row per sanctioned entity',high,sanctioned entity,,,18,clean,False,0,0,0,2,3,0,3,1
justice__fed_scdb,marts,justice,vote,event,justice-vote,grain says 'one row per justice-vote',high,justice-vote,,,67,star-cte-resolved,False,4,0,0,6,30,0,3,1
justice__fed_uscourts_stats,marts,justice,aggregate,aggregate,stats,name token 'stats',medium,,,,17,clean,True,0,0,2,1,3,0,0,0
justice__intl_austlii,marts,justice,unresolved,event,,columns only: dated rows,low,,,,11,clean,False,2,0,0,0,1,0,0,0
justice__intl_eu_sanctions,marts,justice,unresolved,event,,columns only: dated rows,low,,,,59,clean,False,8,0,13,11,1,0,0,1
justice__intl_eu_socta_europol,marts,justice,unresolved,event,,columns only: dated rows,low,,,,16,clean,False,3,0,1,1,1,0,0,1
justice__intl_eurlex_cellar,marts,justice,unresolved,event,,columns only: dated rows,low,,,,17,clean,False,2,0,1,3,1,0,0,0
justice__intl_hudoc,marts,justice,unresolved,event,,columns only: dated rows,low,,,,24,star-cte-resolved,False,3,0,1,2,1,0,0,0
justice__intl_nti_cns_dprk_missile_tests,marts,justice,measurement,event,tests,name token 'tests',medium,,,,19,clean,False,3,0,4,0,2,0,0,0
justice__intl_opensanctions,marts,justice,unresolved,event,,columns only: dated rows,low,,,,17,clean,False,2,0,0,1,0,0,0,0
justice__intl_opensanctions_default,marts,justice,unresolved,event,,columns only: dated rows,low,target,,,18,star-upstream-resolved,False,1,0,0,2,1,0,0,0
justice__intl_ucdp_ged,marts,justice,unresolved,event,,columns only: dated rows,low,,,,49,clean,False,6,0,7,9,2,0,0,1
justice__racial_jail_disparity,marts,justice,unresolved,event,,columns only: dated rows,low,,,,28,star-cte-resolved,False,4,0,5,1,0,0,1,9
justice__state_mo_sex_offender_registry,marts,justice,registry,noun,registry,name token 'registry',medium,,,,13,star-upstream-resolved,False,1,0,5,1,1,0,1,1
justice__xc_mapping_police_violence,marts,justice,crosswalk,link,mapping,name token 'mapping',medium,,,,64,clean,False,4,1,9,3,6,8,0,0
justice__xc_nagix_dprk_missile_tests,marts,justice,measurement,event,tests,name token 'tests',medium,,,,12,clean,False,2,0,0,0,0,0,0,0
justice__xc_owid_homicide,marts,justice,aggregate,aggregate,owid,name token 'owid',medium,,,,5,clean,True,1,0,1,0,1,1,0,0
justice__xc_owid_nuclear_warheads,marts,justice,aggregate,aggregate,owid,name token 'owid',medium,,,,4,clean,True,1,0,0,0,1,0,0,1
justice__xc_owid_terrorism_deaths,marts,justice,aggregate,aggregate,owid,name token 'owid',medium,,,,5,clean,True,1,0,1,0,1,0,0,0
justice__xc_ransomwarelive_victims,marts,justice,unresolved,noun,,"columns only: named located rows, undated",low,victim post —,,,9,clean,False,0,0,1,0,1,0,0,0
justice__xc_uk_sanctions_list,marts,justice,registry,noun,list,name token 'list',medium,"name variant with regime, designation date, and identifiers",,,43,star-upstream-resolved,False,3,0,4,7,5,0,0,0
justice__xc_un_consolidated_sanctions_list,marts,justice,organization,noun,entity,grain says 'one row per designated individual/entity',high,designated individual/entity,,,32,star-upstream-resolved,False,2,0,2,4,3,0,1,1
justice__xc_vera_incarceration_trends,marts,justice,measurement,event,measure,grain says 'one row per county x year incarceration measure',high,county x year incarceration measure,,,167,clean,False,2,0,6,1,2,0,1,76
justice__xc_wapo_fatal_force,marts,justice,measurement,event,encounter,grain says 'one row per fatal encounter',high,fatal encounter,,,18,clean,False,1,0,5,1,2,0,0,0
labor__fed_dol_ebsa_form5500_schedule_sb,marts,labor,filing,event+noun,schedule,name token 'schedule',medium,,,,127,star-upstream-resolved,False,31,42,5,3,6,0,11,10
labor__fed_dol_olms,marts,labor,asset,noun,assets,grain says 'one row per lm filing with totals for assets',high,"LM filing with totals for assets, liabilities, receipts, disbursements, and members",,,61,star-upstream-resolved,False,10,8,6,7,1,0,8,1
labor__fed_msha_accidents,marts,labor,accident,event,accident,grain says 'one row per accident document',high,accident document,,,26,clean,False,2,0,0,4,4,0,2,0
labor__fed_msha_mines,marts,labor,facility,noun,mine,grain says 'one row per mine',high,mine,,,23,clean,False,2,0,4,3,5,1,2,1
labor__fed_msha_violations,marts,labor,violation,event,violations,name token 'violations',medium,,,,26,clean,False,4,3,0,5,1,0,2,1
labor__fed_osha_ita_300a_summary_2023,marts,labor,aggregate,aggregate,summary,name token 'summary',medium,,,,32,clean,True,3,0,3,3,4,1,0,14
labor__fed_osha_ita_300a_summary_2024,marts,labor,aggregate,aggregate,summary,name token 'summary',medium,,,,32,clean,True,3,0,3,3,4,1,0,14
labor__fed_osha_ita_300a_summary_2025,marts,labor,aggregate,aggregate,summary,name token 'summary',medium,establishment for this filing-year file,,,32,clean,True,3,0,3,3,4,1,0,14
labor__fed_osha_ita_case_detail_2023,marts,labor,case,event+noun,case,name token 'case',medium,,,,49,clean,False,8,0,4,4,10,1,0,4
labor__fed_osha_ita_case_detail_2024,marts,labor,case,event+noun,case,name token 'case',medium,,,,49,clean,False,8,0,4,4,10,1,0,4
labor__fed_osha_ita_case_detail_2025,marts,labor,case,event+noun,case,name token 'case',medium,,,,39,clean,False,8,0,4,4,6,1,0,4
labor__fed_pbgc_trusteed_plans,marts,labor,case,event+noun,case,grain says 'one row per case',high,case,,,12,star-upstream-resolved,False,3,0,2,4,0,0,0,0
lead_queue,marts,review,unresolved,event,,columns only: dated money rows,low,reviewable lead,,,36,star-cte-resolved,False,4,3,2,3,3,0,0,3
legal_enforcement__fed_naag_multistate_settlements,marts,legal_enforcement,action,event,action,grain says 'one row per multistate settlement action',high,multistate settlement action,,,55,clean,False,8,1,2,3,2,0,0,1
maritime__fed_noaa_ais,marts,maritime,unresolved,event,,columns only: dated rows,low,,,,27,star-cte-resolved,False,1,0,3,3,5,0,0,1
money__debt_repayment_cliff,marts,money_finance,unresolved,event,,columns only: dated money rows,low,,,,17,star-cte-resolved,False,4,7,1,0,1,0,2,1
open_data__intl_ar_datosgob,marts,open_data,unresolved,event,,columns only: dated rows,low,,,,15,clean,False,1,0,0,5,0,0,0,0
open_data__intl_br_dados_gov,marts,open_data,unresolved,event,,columns only: dated rows,low,,,,13,clean,False,1,0,1,1,0,0,0,2
open_data__intl_ca_open_canada,marts,open_data,unresolved,event,,columns only: dated rows,low,,,,19,star-upstream-resolved,False,4,0,0,2,0,0,0,0
open_data__intl_ch_opendataswiss,marts,open_data,unresolved,event,,columns only: dated rows,low,,,,26,star-upstream-resolved,False,2,0,1,1,1,0,0,1
open_data__intl_cl_datosgob,marts,open_data,unresolved,event,,columns only: dated rows,low,,,,17,star-upstream-resolved,False,1,0,1,2,1,0,0,1
open_data__intl_de_govdata,marts,open_data,unresolved,event,,columns only: dated rows,low,,,,18,star-upstream-resolved,False,3,0,0,2,0,0,1,0
open_data__intl_es_datosgob,marts,open_data,unresolved,event,,columns only: dated rows,low,,,,13,star-upstream-resolved,False,1,0,1,0,0,0,0,0
open_data__intl_fr_data_gouv,marts,open_data,dataset,noun,dataset,grain says 'one row per dataset',high,dataset,,,28,clean,False,3,0,0,3,0,0,0,1
open_data__intl_ge_datagov,marts,open_data,unresolved,event,,columns only: dated rows,low,,,,12,clean,False,2,0,1,2,0,0,0,1
open_data__intl_gh_datagovgh,marts,open_data,unresolved,event,,columns only: dated rows,low,,,,10,clean,False,1,0,0,0,0,0,0,2
open_data__intl_gr_datagov,marts,open_data,unresolved,event,,columns only: dated rows,low,,,,18,star-upstream-resolved,False,1,0,0,3,1,0,1,1
open_data__xc_wayback_doj_epstein,marts,open_data,measurement,event,capture,grain says 'one row per wayback machine capture',high,Wayback Machine capture,,,9,clean,False,2,0,0,0,1,0,0,1
politics__bill_cosponsors,marts,politics,unresolved,event,,columns only: dated rows,low,,,,11,clean,False,2,0,1,2,1,0,2,0
politics__bills,marts,politics,unresolved,event,,columns only: dated rows,low,bill,,,18,clean,False,2,0,0,3,2,0,1,0
politics__ca_lobby_amendments,marts,politics_lobbying,filing,event+noun,filing,grain says 'one row per amendment filing version',high,amendment filing version,,,44,star-upstream-resolved,False,3,0,0,4,2,0,0,0
politics__ca_lobby_chg_log,marts,politics_lobbying,change,event,change,grain says 'one row per logged attribute change',high,logged attribute change,,,26,star-upstream-resolved,False,3,0,4,5,2,0,1,0
politics__ca_lobby_contributions,marts,politics_lobbying,contribution,event,contribution,grain says 'one row per reported contribution',high,reported contribution,,,9,star-upstream-resolved,False,3,1,0,3,0,0,0,0
politics__ca_lobby_cover,marts,politics_lobbying,filing,event+noun,filing,grain says 'one row per filing version',high,filing version,,,19,star-upstream-resolved,False,3,0,1,4,3,0,0,1
politics__ca_lobby_cover2,marts,politics_lobbying,filing,event+noun,filing,grain says 'one row per entity line item on a filing version',high,entity line item on a filing version,,,15,star-upstream-resolved,False,0,0,0,5,3,0,0,0
politics__ca_lobby_emp_lobbyist,marts,politics_lobbying,role,link,lobbyist-employer-session,grain says 'one row per lobbyist-employer-session',high,lobbyist-employer-session,,,8,star-upstream-resolved,False,0,0,0,4,0,0,0,0
politics__ca_lobby_employer,marts,politics_lobbying,organization,noun,employer,grain says 'one row per employer',high,employer per legislative session,,,22,star-upstream-resolved,False,4,2,0,4,1,0,0,0
politics__ca_lobby_employer_firms,marts,politics_lobbying,role,link,employer-firm-session,grain says 'one row per employer-firm-session',high,employer-firm-session,,,7,star-upstream-resolved,False,1,0,0,4,0,0,0,0
politics__ca_lobby_firm,marts,politics_lobbying,organization,noun,firm,grain says 'one row per firm',high,firm per session,,,20,star-upstream-resolved,False,4,2,0,4,0,0,0,0
politics__ca_lobby_firm_employer,marts,politics_lobbying,role,link,firm-filing-employer-period,grain says 'one row per firm-filing-employer-period',high,firm-filing-employer-period,,,13,star-upstream-resolved,False,2,0,0,3,0,0,0,2
politics__ca_lobby_firm_lobbyist,marts,politics_lobbying,role,link,lobbyist-firm-session,grain says 'one row per lobbyist-firm-session',high,lobbyist-firm-session,,,8,star-upstream-resolved,False,0,0,0,4,0,0,0,0
politics__fec_cand_cmte_link,marts,politics,contribution,event,fec,name token 'fec',medium,,,,8,clean,False,2,0,0,3,0,0,0,0
politics__fec_candidate,marts,politics,person,noun,candidate,name token 'candidate',medium,,,,11,clean,False,1,0,2,2,1,0,0,0
politics__fec_candidate_summary,marts,politics,aggregate,aggregate,summary,name token 'summary',medium,,,,15,clean,True,1,4,0,1,0,0,0,0
politics__fed_congress_committee_membership,marts,politics,person,noun,legislator,grain says 'one row per legislator',high,legislator per committee/subcommittee assignment,,,8,clean,False,0,0,0,1,1,0,1,0
politics__fed_congress_legislators,marts,politics,person,noun,legislator,grain says 'one row per legislator',high,legislator,,,29,clean,False,3,0,2,3,1,0,0,0
politics__fed_doj_epstein_library,marts,politics,document,noun,library,name token 'library',medium,"link found on a DOJ Epstein-library page, per the model's own header comment -- a given href can appear on more than one page, and a page can list many hrefs, so the pair is the real key",,,6,clean,False,0,0,0,0,0,0,0,0
politics__fed_eac_eavs,marts,politics,unresolved,noun,,"columns only: named located rows, undated",low,,,,428,clean,False,0,0,2,0,0,0,0,0
politics__fed_fcc_licensing,marts,politics,unresolved,event,,columns only: dated rows,low,,,,26,clean,False,4,0,3,3,5,0,0,1
politics__fed_fec_api,marts,politics_lobbying,contribution,event,fec,name token 'fec',medium,,,,22,star-upstream-resolved,False,3,1,4,3,2,0,1,0
politics__fed_fec_pac_summary,marts,politics,aggregate,aggregate,summary,name token 'summary',medium,,,,22,clean,True,2,5,0,2,1,0,0,1
politics__fed_fjc_judges,marts,politics,person,noun,judges,name token 'judges',medium,,,,201,clean,False,95,0,4,6,12,0,0,0
politics__fed_fjc_service,marts,politics,role,link,service,name token 'service',medium,,,,30,clean,False,14,0,0,1,2,0,0,0
politics__fed_medsl_house_returns,marts,politics,role,link,combination,grain says 'one row per candidate-state-district-year-stage-mode combination',high,candidate-state-district-year-stage-mode combination,,,17,clean,False,1,0,4,0,0,0,3,1
politics__fed_medsl_president_returns,marts,politics,role,link,combination,grain says 'one row per candidate-state-year-party combination',high,candidate-state-year-party combination,,,11,clean,False,1,0,3,0,0,0,1,1
politics__fed_medsl_senate_returns,marts,politics,role,link,combination,grain says 'one row per candidate-state-year-stage-mode combination',high,candidate-state-year-stage-mode combination,,,15,clean,False,1,0,3,0,0,0,2,1
politics__fed_voteview_members,marts,politics,person,noun,,override: voteview members are legislators,high,,,,22,clean,False,0,0,3,2,2,0,0,2
politics__fed_voteview_rollcall_meta,marts,politics,vote,event,rollcall,name token 'rollcall',medium,,,,18,clean,False,1,0,0,1,0,0,0,2
politics__intl_elections_canada_contributions,marts,politics_lobbying,contribution,event,contributions,name token 'contributions',medium,,,,31,star-upstream-resolved,False,2,2,2,4,2,0,0,1
politics__intl_freedomhouse,marts,politics,aggregate,aggregate,freedomhouse,name token 'freedomhouse',medium,,,,44,clean,True,0,0,2,0,1,0,0,1
politics__intl_owid_milspend,marts,politics,aggregate,aggregate,owid,name token 'owid',medium,,,,5,clean,True,1,1,1,0,1,0,0,0
politics__intl_voeten_unga_votes,marts,politics,vote,event,votes,name token 'votes',medium,,,,11,clean,False,1,0,0,0,0,0,0,0
politics__irs527_8871_orgs,marts,politics_lobbying,unresolved,event,,columns only: dated rows,low,,,,20,star-upstream-resolved,False,1,0,4,2,0,0,5,0
politics__irs527_8872_reports,marts,politics_lobbying,filing,event+noun,reports,name token 'reports',medium,,,,50,star-upstream-resolved,False,5,0,19,3,2,0,6,2
politics__irs527_directors_officers,marts,politics_lobbying,person,noun,person,grain says 'one row per listed person',high,listed person per form,,,14,star-upstream-resolved,False,0,0,4,4,0,0,0,0
politics__irs527_eain,marts,politics_lobbying,unresolved,link,,"columns only: 4 ids, narrow",low,EAIN per form,,,6,star-upstream-resolved,False,1,0,0,4,0,0,0,0
