branch,park_type,family,model,line
per person served,needs-population,award,procurement__fed_usaspending_bulk,procurement__fed_usaspending_bulk: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,award,procurement__fed_usaspending_bulk,procurement__fed_usaspending_bulk: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,award,procurement__fed_usaspending_bulk,procurement__fed_usaspending_bulk: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,award,procurement__fed_usaspending_bulk,procurement__fed_usaspending_bulk: harm lives in a different fact table
per person served,needs-population,award,procurement__fed_usaspending_subawards,procurement__fed_usaspending_subawards: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,award,procurement__fed_usaspending_subawards,procurement__fed_usaspending_subawards: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,award,procurement__fed_usaspending_subawards,procurement__fed_usaspending_subawards: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,award,procurement__fed_usaspending_subawards,procurement__fed_usaspending_subawards: harm lives in a different fact table
per person served,needs-population,unresolved,procurement__intl_ec_sercop,procurement__intl_ec_sercop: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,unresolved,procurement__intl_ec_sercop,procurement__intl_ec_sercop: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,unresolved,procurement__intl_ec_sercop,procurement__intl_ec_sercop: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,procurement__intl_ec_sercop,procurement__intl_ec_sercop: harm lives in a different fact table
any trend over time,needs-history,code,ref__dim_geography,ref__dim_geography: no date column — snapshot only
per person served,needs-population,place,ref__dim_state,ref__dim_state: no population/served column on the thing itself
any trend over time,needs-history,place,ref__dim_state,ref__dim_state: no date column — snapshot only
per person served,needs-population,unresolved,reference__fed_dhs_hifld,reference__fed_dhs_hifld: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,unresolved,reference__fed_dhs_hifld,reference__fed_dhs_hifld: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,reference__fed_dhs_hifld,reference__fed_dhs_hifld: harm lives in a different fact table
per person served,needs-population,post,reference__fed_itis_comments,reference__fed_itis_comments: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,post,reference__fed_itis_comments,reference__fed_itis_comments: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,post,reference__fed_itis_comments,reference__fed_itis_comments: harm lives in a different fact table
per person served,needs-population,person,reference__fed_itis_experts,reference__fed_itis_experts: no population/served column on the thing itself
any trend over time,needs-history,code,reference__fed_itis_hierarchy,reference__fed_itis_hierarchy: no date column — snapshot only
any trend over time,needs-history,code,reference__fed_itis_longnames,reference__fed_itis_longnames: no date column — snapshot only
per person served,needs-population,unresolved,reference__fed_itis_other_sources,reference__fed_itis_other_sources: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,unresolved,reference__fed_itis_other_sources,reference__fed_itis_other_sources: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,reference__fed_itis_other_sources,reference__fed_itis_other_sources: harm lives in a different fact table
per person served,needs-population,dataset,reference__fed_itis_publications,reference__fed_itis_publications: no population/served column on the thing itself
any trend over time,needs-history,code,reference__fed_itis_strippedauthor,reference__fed_itis_strippedauthor: no date column — snapshot only
per person served,needs-population,unresolved,reference__fed_usgs_gnis_all_names,reference__fed_usgs_gnis_all_names: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,unresolved,reference__fed_usgs_gnis_all_names,reference__fed_usgs_gnis_all_names: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,reference__fed_usgs_gnis_all_names,reference__fed_usgs_gnis_all_names: harm lives in a different fact table
per person served,needs-population,unresolved,reference__fed_usgs_topoview,reference__fed_usgs_topoview: no population/served column on the thing itself
any trend over time,needs-history,unresolved,reference__fed_usgs_topoview,reference__fed_usgs_topoview: no date column — snapshot only
per person served,needs-population,unresolved,reference__intl_eg_capmas,reference__intl_eg_capmas: no population/served column on the thing itself
events per noun via hard ID,needs-crosswalk,unresolved,reference__intl_eg_capmas,reference__intl_eg_capmas: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,unresolved,reference__intl_eg_capmas,reference__intl_eg_capmas: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,reference__intl_eg_capmas,reference__intl_eg_capmas: harm lives in a different fact table
per person served,needs-population,unresolved,reference__intl_eurostat,reference__intl_eurostat: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,unresolved,reference__intl_eurostat,reference__intl_eurostat: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,reference__intl_eurostat,reference__intl_eurostat: harm lives in a different fact table
per person served,needs-population,unresolved,reference__intl_gdelt,reference__intl_gdelt: no population/served column on the thing itself
events per noun via hard ID,needs-crosswalk,unresolved,reference__intl_gdelt,reference__intl_gdelt: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,unresolved,reference__intl_gdelt,reference__intl_gdelt: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,reference__intl_gdelt,reference__intl_gdelt: harm lives in a different fact table
per person served,needs-population,organization,reference__xc_crossref_funder_registry,reference__xc_crossref_funder_registry: no population/served column on the thing itself
any trend over time,needs-history,organization,reference__xc_crossref_funder_registry,reference__xc_crossref_funder_registry: no date column — snapshot only
row-level version of this aggregate,needs-source-upgrade,aggregate,reference__xc_owid_fertility,reference__xc_owid_fertility: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,organization,reference__xc_ror_research_organizations,reference__xc_ror_research_organizations: no population/served column on the thing itself
per person served,needs-population,document,regulatory__fed_federal_register_documents,regulatory__fed_federal_register_documents: no population/served column on the thing itself
per person served,needs-population,unresolved,science__fed_nasa_open_data,science__fed_nasa_open_data: no population/served column on the thing itself
events per noun via hard ID,needs-crosswalk,unresolved,science__fed_nasa_open_data,science__fed_nasa_open_data: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,unresolved,science__fed_nasa_open_data,science__fed_nasa_open_data: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,science__fed_nasa_open_data,science__fed_nasa_open_data: harm lives in a different fact table
per person served,needs-population,award,science__fed_nsf_awards,science__fed_nsf_awards: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,award,science__fed_nsf_awards,science__fed_nsf_awards: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,award,science__fed_nsf_awards,science__fed_nsf_awards: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,award,science__fed_nsf_awards,science__fed_nsf_awards: harm lives in a different fact table
per person served,needs-population,action,science__fed_usgs_earthquakes,science__fed_usgs_earthquakes: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,action,science__fed_usgs_earthquakes,science__fed_usgs_earthquakes: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,action,science__fed_usgs_earthquakes,science__fed_usgs_earthquakes: harm lives in a different fact table
was there an inspection first (real lineage),needs-lineage,unresolved,science__intl_embl_ensembl,science__intl_embl_ensembl: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,science__intl_embl_ensembl,science__intl_embl_ensembl: harm lives in a different fact table
per person served,needs-population,accident,science__xc_owid_ai_incidents_annual,science__xc_owid_ai_incidents_annual: no population/served column on the thing itself
events per noun via hard ID,needs-crosswalk,accident,science__xc_owid_ai_incidents_annual,science__xc_owid_ai_incidents_annual: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,accident,science__xc_owid_ai_incidents_annual,science__xc_owid_ai_incidents_annual: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,accident,science__xc_owid_ai_incidents_annual,science__xc_owid_ai_incidents_annual: harm lives in a different fact table
per person served,needs-population,unresolved,science_research__fed_nih_reporter,science_research__fed_nih_reporter: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,unresolved,science_research__fed_nih_reporter,science_research__fed_nih_reporter: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,unresolved,science_research__fed_nih_reporter,science_research__fed_nih_reporter: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,science_research__fed_nih_reporter,science_research__fed_nih_reporter: harm lives in a different fact table
per person served,needs-population,recall,science_research__fed_retraction_watch,science_research__fed_retraction_watch: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,recall,science_research__fed_retraction_watch,science_research__fed_retraction_watch: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,recall,science_research__fed_retraction_watch,science_research__fed_retraction_watch: harm lives in a different fact table
assessed vs actually collected,needs-second-table,award,science_research__fed_sbir_sttr_awards,science_research__fed_sbir_sttr_awards: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,award,science_research__fed_sbir_sttr_awards,science_research__fed_sbir_sttr_awards: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,award,science_research__fed_sbir_sttr_awards,science_research__fed_sbir_sttr_awards: harm lives in a different fact table
per person served,needs-population,unresolved,science_research__xc_biorxiv_medrxiv,science_research__xc_biorxiv_medrxiv: no population/served column on the thing itself
assessed vs actually collected,needs-second-table,unresolved,science_research__xc_biorxiv_medrxiv,science_research__xc_biorxiv_medrxiv: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,unresolved,science_research__xc_biorxiv_medrxiv,science_research__xc_biorxiv_medrxiv: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,science_research__xc_biorxiv_medrxiv,science_research__xc_biorxiv_medrxiv: harm lives in a different fact table
per person served,needs-population,registration,science_research__xc_osf_registrations,science_research__xc_osf_registrations: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,registration,science_research__xc_osf_registrations,science_research__xc_osf_registrations: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,registration,science_research__xc_osf_registrations,science_research__xc_osf_registrations: harm lives in a different fact table
per person served,needs-population,recall,science_research__xc_retraction_watch_database,science_research__xc_retraction_watch_database: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,recall,science_research__xc_retraction_watch_database,science_research__xc_retraction_watch_database: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,recall,science_research__xc_retraction_watch_database,science_research__xc_retraction_watch_database: harm lives in a different fact table
per person served,needs-population,filing,stg_ca_lobby__amendments,stg_ca_lobby__amendments: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,filing,stg_ca_lobby__amendments,stg_ca_lobby__amendments: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,filing,stg_ca_lobby__amendments,stg_ca_lobby__amendments: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,stg_ca_lobby__amendments,stg_ca_lobby__amendments: harm lives in a different fact table
per person served,needs-population,change,stg_ca_lobby__chg_log,stg_ca_lobby__chg_log: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,change,stg_ca_lobby__chg_log,stg_ca_lobby__chg_log: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,change,stg_ca_lobby__chg_log,stg_ca_lobby__chg_log: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,change,stg_ca_lobby__chg_log,stg_ca_lobby__chg_log: harm lives in a different fact table
per person served,needs-population,contribution,stg_ca_lobby__contributions,stg_ca_lobby__contributions: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,contribution,stg_ca_lobby__contributions,stg_ca_lobby__contributions: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,contribution,stg_ca_lobby__contributions,stg_ca_lobby__contributions: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,contribution,stg_ca_lobby__contributions,stg_ca_lobby__contributions: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,contribution,stg_ca_lobby__contributions,stg_ca_lobby__contributions: harm lives in a different fact table
per person served,needs-population,filing,stg_ca_lobby__cover2,stg_ca_lobby__cover2: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,filing,stg_ca_lobby__cover2,stg_ca_lobby__cover2: spine entity undetermined at onboarding
any trend over time,needs-history,filing,stg_ca_lobby__cover2,stg_ca_lobby__cover2: no date column — snapshot only
was there an inspection first (real lineage),needs-lineage,filing,stg_ca_lobby__cover2,stg_ca_lobby__cover2: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,stg_ca_lobby__cover2,stg_ca_lobby__cover2: harm lives in a different fact table
join to the entity spine,needs-crosswalk,role,stg_ca_lobby__emp_lobbyist,stg_ca_lobby__emp_lobbyist: spine entity undetermined at onboarding
any trend over time,needs-history,role,stg_ca_lobby__emp_lobbyist,stg_ca_lobby__emp_lobbyist: no date column — snapshot only
per person served,needs-population,organization,stg_ca_lobby__employer,stg_ca_lobby__employer: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,organization,stg_ca_lobby__employer,stg_ca_lobby__employer: spine entity undetermined at onboarding
join to the entity spine,needs-crosswalk,role,stg_ca_lobby__employer_firms,stg_ca_lobby__employer_firms: spine entity undetermined at onboarding
per person served,needs-population,organization,stg_ca_lobby__firm,stg_ca_lobby__firm: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,organization,stg_ca_lobby__firm,stg_ca_lobby__firm: spine entity undetermined at onboarding
join to the entity spine,needs-crosswalk,role,stg_ca_lobby__firm_employer,stg_ca_lobby__firm_employer: spine entity undetermined at onboarding
join to the entity spine,needs-crosswalk,role,stg_ca_lobby__firm_lobbyist,stg_ca_lobby__firm_lobbyist: spine entity undetermined at onboarding
any trend over time,needs-history,role,stg_ca_lobby__firm_lobbyist,stg_ca_lobby__firm_lobbyist: no date column — snapshot only
per person served,needs-population,filing,stg_ca_lobby_cover__filings,stg_ca_lobby_cover__filings: no population/served column on the thing itself
was there an inspection first (real lineage),needs-lineage,filing,stg_ca_lobby_cover__filings,stg_ca_lobby_cover__filings: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,stg_ca_lobby_cover__filings,stg_ca_lobby_cover__filings: harm lives in a different fact table
per person served,needs-population,place,stg_fed_bia_tribal_geo__bia_geospatial_features,stg_fed_bia_tribal_geo__bia_geospatial_features: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,place,stg_fed_bia_tribal_geo__bia_geospatial_features,stg_fed_bia_tribal_geo__bia_geospatial_features: spine entity undetermined at onboarding
per person served,needs-population,dataset,stg_fed_bjs_data__bjs_data_collections,stg_fed_bjs_data__bjs_data_collections: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,dataset,stg_fed_bjs_data__bjs_data_collections,stg_fed_bjs_data__bjs_data_collections: spine entity undetermined at onboarding
per person served,needs-population,measurement,stg_fed_bls_qcew__records,stg_fed_bls_qcew__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,measurement,stg_fed_bls_qcew__records,stg_fed_bls_qcew__records: spine entity undetermined at onboarding
events per noun via hard ID,needs-crosswalk,measurement,stg_fed_bls_qcew__records,stg_fed_bls_qcew__records: events carry no entity ID — name-match only
assessed vs actually collected,needs-second-table,measurement,stg_fed_bls_qcew__records,stg_fed_bls_qcew__records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,measurement,stg_fed_bls_qcew__records,stg_fed_bls_qcew__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,stg_fed_bls_qcew__records,stg_fed_bls_qcew__records: harm lives in a different fact table
join to the entity spine,needs-crosswalk,aggregate,stg_fed_bop_statistics__records,stg_fed_bop_statistics__records: spine entity undetermined at onboarding
row-level version of this aggregate,needs-source-upgrade,aggregate,stg_fed_bop_statistics__records,stg_fed_bop_statistics__records: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,measurement,stg_fed_cbp_encounters__records,stg_fed_cbp_encounters__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,measurement,stg_fed_cbp_encounters__records,stg_fed_cbp_encounters__records: spine entity undetermined at onboarding
events per noun via hard ID,needs-crosswalk,measurement,stg_fed_cbp_encounters__records,stg_fed_cbp_encounters__records: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,measurement,stg_fed_cbp_encounters__records,stg_fed_cbp_encounters__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,stg_fed_cbp_encounters__records,stg_fed_cbp_encounters__records: harm lives in a different fact table
join to the entity spine,needs-crosswalk,aggregate,stg_fed_cdc_anxiety_depression__records,stg_fed_cdc_anxiety_depression__records: spine entity undetermined at onboarding
row-level version of this aggregate,needs-source-upgrade,aggregate,stg_fed_cdc_anxiety_depression__records,stg_fed_cdc_anxiety_depression__records: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,dataset,stg_fed_cdc_data_portal__records,stg_fed_cdc_data_portal__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,dataset,stg_fed_cdc_data_portal__records,stg_fed_cdc_data_portal__records: spine entity undetermined at onboarding
join to the entity spine,needs-crosswalk,measurement,stg_fed_cdc_drug_poisoning_county__rates,stg_fed_cdc_drug_poisoning_county__rates: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,measurement,stg_fed_cdc_drug_poisoning_county__rates,stg_fed_cdc_drug_poisoning_county__rates: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,stg_fed_cdc_drug_poisoning_county__rates,stg_fed_cdc_drug_poisoning_county__rates: harm lives in a different fact table
join to the entity spine,needs-crosswalk,aggregate,stg_fed_cdc_health_insurance__records,stg_fed_cdc_health_insurance__records: spine entity undetermined at onboarding
row-level version of this aggregate,needs-source-upgrade,aggregate,stg_fed_cdc_health_insurance__records,stg_fed_cdc_health_insurance__records: publisher pre-aggregated — per-noun cuts impossible below its grain
per person served,needs-population,measurement,stg_fed_cdc_injury_violence_county__rates,stg_fed_cdc_injury_violence_county__rates: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,measurement,stg_fed_cdc_injury_violence_county__rates,stg_fed_cdc_injury_violence_county__rates: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,measurement,stg_fed_cdc_injury_violence_county__rates,stg_fed_cdc_injury_violence_county__rates: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,stg_fed_cdc_injury_violence_county__rates,stg_fed_cdc_injury_violence_county__rates: harm lives in a different fact table
per person served,needs-population,unresolved,stg_fed_cdc_leading_causes_state__all,stg_fed_cdc_leading_causes_state__all: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_fed_cdc_leading_causes_state__all,stg_fed_cdc_leading_causes_state__all: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_cdc_leading_causes_state__all,stg_fed_cdc_leading_causes_state__all: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_fed_cdc_leading_causes_state__all,stg_fed_cdc_leading_causes_state__all: harm lives in a different fact table
per person served,needs-population,measurement,stg_fed_cdc_overdose__records,stg_fed_cdc_overdose__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,measurement,stg_fed_cdc_overdose__records,stg_fed_cdc_overdose__records: spine entity undetermined at onboarding
events per noun via hard ID,needs-crosswalk,measurement,stg_fed_cdc_overdose__records,stg_fed_cdc_overdose__records: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,measurement,stg_fed_cdc_overdose__records,stg_fed_cdc_overdose__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,stg_fed_cdc_overdose__records,stg_fed_cdc_overdose__records: harm lives in a different fact table
per person served,needs-population,measurement,stg_fed_cdc_suicide_rates__records,stg_fed_cdc_suicide_rates__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,measurement,stg_fed_cdc_suicide_rates__records,stg_fed_cdc_suicide_rates__records: spine entity undetermined at onboarding
events per noun via hard ID,needs-crosswalk,measurement,stg_fed_cdc_suicide_rates__records,stg_fed_cdc_suicide_rates__records: events carry no entity ID — name-match only
was there an inspection first (real lineage),needs-lineage,measurement,stg_fed_cdc_suicide_rates__records,stg_fed_cdc_suicide_rates__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,measurement,stg_fed_cdc_suicide_rates__records,stg_fed_cdc_suicide_rates__records: harm lives in a different fact table
join to the entity spine,needs-crosswalk,unresolved,stg_fed_cdc_wonder__records,stg_fed_cdc_wonder__records: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_cdc_wonder__records,stg_fed_cdc_wonder__records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_fed_cdc_wonder__records,stg_fed_cdc_wonder__records: harm lives in a different fact table
per person served,needs-population,complaint,stg_fed_cfpb_complaints__complaints,stg_fed_cfpb_complaints__complaints: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,complaint,stg_fed_cfpb_complaints__complaints,stg_fed_cfpb_complaints__complaints: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,complaint,stg_fed_cfpb_complaints__complaints,stg_fed_cfpb_complaints__complaints: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,complaint,stg_fed_cfpb_complaints__complaints,stg_fed_cfpb_complaints__complaints: harm lives in a different fact table
join to the entity spine,needs-crosswalk,loan,stg_fed_cfpb_hmda__loans,stg_fed_cfpb_hmda__loans: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,loan,stg_fed_cfpb_hmda__loans,stg_fed_cfpb_hmda__loans: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,loan,stg_fed_cfpb_hmda__loans,stg_fed_cfpb_hmda__loans: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,loan,stg_fed_cfpb_hmda__loans,stg_fed_cfpb_hmda__loans: harm lives in a different fact table
join to the entity spine,needs-crosswalk,crosswalk,stg_fed_cfpb_hmda_arid2017_lei_xref__xref,stg_fed_cfpb_hmda_arid2017_lei_xref__xref: spine entity undetermined at onboarding
any trend over time,needs-history,crosswalk,stg_fed_cfpb_hmda_arid2017_lei_xref__xref,stg_fed_cfpb_hmda_arid2017_lei_xref__xref: no date column — snapshot only
multi-year trending,needs-history,crosswalk,stg_fed_cfpb_hmda_arid2017_lei_xref__xref,"stg_fed_cfpb_hmda_arid2017_lei_xref__xref: single-year table — history exists at publisher, not loaded"
full column inventory,needs-metadata-pull,crosswalk,stg_fed_cfpb_hmda_arid2017_lei_xref__xref,stg_fed_cfpb_hmda_arid2017_lei_xref__xref: columns not fully recoverable from SQL
join to the entity spine,needs-crosswalk,loan,stg_fed_cfpb_hmda_historic__lar_records,stg_fed_cfpb_hmda_historic__lar_records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,loan,stg_fed_cfpb_hmda_historic__lar_records,stg_fed_cfpb_hmda_historic__lar_records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,loan,stg_fed_cfpb_hmda_historic__lar_records,stg_fed_cfpb_hmda_historic__lar_records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,loan,stg_fed_cfpb_hmda_historic__lar_records,stg_fed_cfpb_hmda_historic__lar_records: harm lives in a different fact table
join to the entity spine,needs-crosswalk,loan,stg_fed_cfpb_hmda_lar__lar_records,stg_fed_cfpb_hmda_lar__lar_records: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,loan,stg_fed_cfpb_hmda_lar__lar_records,stg_fed_cfpb_hmda_lar__lar_records: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,loan,stg_fed_cfpb_hmda_lar__lar_records,stg_fed_cfpb_hmda_lar__lar_records: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,loan,stg_fed_cfpb_hmda_lar__lar_records,stg_fed_cfpb_hmda_lar__lar_records: harm lives in a different fact table
per person served,needs-population,registry,stg_fed_cisa_kev__records,stg_fed_cisa_kev__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,registry,stg_fed_cisa_kev__records,stg_fed_cisa_kev__records: spine entity undetermined at onboarding
join to the entity spine,needs-crosswalk,unresolved,stg_fed_clinicaltrials__clinical_trials,stg_fed_clinicaltrials__clinical_trials: spine entity undetermined at onboarding
was there an inspection first (real lineage),needs-lineage,unresolved,stg_fed_clinicaltrials__clinical_trials,stg_fed_clinicaltrials__clinical_trials: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,unresolved,stg_fed_clinicaltrials__clinical_trials,stg_fed_clinicaltrials__clinical_trials: harm lives in a different fact table
any trend over time,needs-history,role,stg_fed_cms_facility_affiliation__providers,stg_fed_cms_facility_affiliation__providers: no date column — snapshot only
join to the entity spine,needs-crosswalk,filing,stg_fed_cms_hcris__hospital_cost_report,stg_fed_cms_hcris__hospital_cost_report: spine entity undetermined at onboarding
assessed vs actually collected,needs-second-table,filing,stg_fed_cms_hcris__hospital_cost_report,stg_fed_cms_hcris__hospital_cost_report: has amounts; collection outcome lives elsewhere if anywhere
was there an inspection first (real lineage),needs-lineage,filing,stg_fed_cms_hcris__hospital_cost_report,stg_fed_cms_hcris__hospital_cost_report: stage-to-stage links need row-level lineage proof
did anyone get hurt (harm join),needs-second-table,filing,stg_fed_cms_hcris__hospital_cost_report,stg_fed_cms_hcris__hospital_cost_report: harm lives in a different fact table
per person served,needs-population,facility,stg_fed_cms_hospice__facilities,stg_fed_cms_hospice__facilities: no population/served column on the thing itself
per person served,needs-population,facility,stg_fed_cms_hospital_compare__facilities,stg_fed_cms_hospital_compare__facilities: no population/served column on the thing itself
any trend over time,needs-history,facility,stg_fed_cms_hospital_compare__facilities,stg_fed_cms_hospital_compare__facilities: no date column — snapshot only
per person served,needs-population,facility,stg_fed_cms_hospital_general__facilities,stg_fed_cms_hospital_general__facilities: no population/served column on the thing itself
any trend over time,needs-history,facility,stg_fed_cms_hospital_general__facilities,stg_fed_cms_hospital_general__facilities: no date column — snapshot only
per person served,needs-population,provider,stg_fed_cms_hpt_mrf__providers,stg_fed_cms_hpt_mrf__providers: no population/served column on the thing itself
per person served,needs-population,facility,stg_fed_cms_irf__facilities,stg_fed_cms_irf__facilities: no population/served column on the thing itself
per person served,needs-population,unresolved,stg_fed_cms_main__records,stg_fed_cms_main__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,unresolved,stg_fed_cms_main__records,stg_fed_cms_main__records: spine entity undetermined at onboarding
any trend over time,needs-history,unresolved,stg_fed_cms_main__records,stg_fed_cms_main__records: no date column — snapshot only
per person served,needs-population,provider,stg_fed_cms_medicare_provider__providers,stg_fed_cms_medicare_provider__providers: no population/served column on the thing itself
any trend over time,needs-history,provider,stg_fed_cms_medicare_provider__providers,stg_fed_cms_medicare_provider__providers: no date column — snapshot only
per person served,needs-population,product,stg_fed_cms_nadac__records,stg_fed_cms_nadac__records: no population/served column on the thing itself
join to the entity spine,needs-crosswalk,product,stg_fed_cms_nadac__records,stg_fed_cms_nadac__records: spine entity undetermined at onboarding
