model,family,class,n_rows,date_min,date_max,span_years,clock_verdict,time_columns_present,epoch1970,far_future,dup_ratio
environment__fed_epa_sdwa_sdwa_pn_violation_assoc,violation,event,387627,1950-01-01,2026-07-01,76.5,CLEAN,SUBMISSIONYEARQUARTER|COMPL_PER_BEGIN_DATE|COMPL_PER_END_DATE|NON_COMPL_PER_BEGIN_DATE|NON_COMPL_PER_END_DATE|FIRST_REPORTED_DATE,0,0,0.0
environment__fed_epa_sdwa_sdwa_pub_water_systems,program,noun,434040,1900-02-01,2031-05-29,131.3,CORRUPT_RANGE,SUBMISSIONYEARQUARTER|SEASON_BEGIN_DATE|SEASON_END_DATE|PWS_DEACTIVATION_DATE|FIRST_REPORTED_DATE|LAST_REPORTED_DATE,66,0,0.0
environment__fed_epa_sdwa_sdwa_site_visits,facility,noun,2495249,1900-01-01,2026-07-01,126.5,CLEAN,SUBMISSIONYEARQUARTER|VISIT_DATE|FIRST_REPORTED_DATE|LAST_REPORTED_DATE,32,0,0.0
environment__fed_epa_sdwa_sdwa_violations_enforcement,action,event,15432737,1900-01-01,2028-12-31,129.0,CLEAN,SUBMISSIONYEARQUARTER|COMPL_PER_BEGIN_DATE|COMPL_PER_END_DATE|NON_COMPL_PER_BEGIN_DATE|NON_COMPL_PER_END_DATE|PWS_DEACTIVATION_DATE,693,0,0.0
environment__fed_epa_superfund_site_boundaries,place,noun,2114,2003-11-05 00:00:00,2026-08-10 23:35:16.411653,22.8,CLEAN,LAST_CHANGE_DATE|ORIGINAL_CREATION_DATE,0,0,0.0
environment__fed_epa_tri_basic_2023,facility,noun,78647,,,,UNMEASURED_CLOCK,C_1_YEAR|C_94_OFF_SITE_RECYCLED_TOTAL|C_120_8_8_ONE_TIME_RELEASE,0,0,0.0
environment__fed_epa_tri_facility,facility,noun,64990,,,,NO_CLOCK,,0,0,0.0
environment__fed_fracfocus_disclosure_list,filing,event+noun,248835,,,,UNMEASURED_CLOCK,JOBSTARTDATE|JOBENDDATE,0,0,0.0
environment__fed_fracfocus_registry,filing,event+noun,7200550,,,,UNMEASURED_CLOCK,JOBSTARTDATE|JOBENDDATE,0,0,0.0
environment__fed_fracfocus_water_source,filing,event+noun,23747,,,,NO_CLOCK,,0,0,0.0
environment__fed_nid_dams,asset,noun,92766,1901-01-01,5023-05-25,3122.3,CORRUPT_RANGE,YEAR_COMPLETED|YEAR_COMPLETED_CATEGORY|YEARS_MODIFIED|DATA_LAST_UPDATED|LAST_INSPECTION_DATE|CONDITION_ASSESSMENT_DATE,31,2,0.0
environment__fed_noaa_storm_events,action,event,1780730,,,,UNMEASURED_CLOCK,BEGIN_YEARMONTH|BEGIN_TIME|END_YEARMONTH|END_TIME|YEAR|MONTH_NAME,0,0,0.0
environment__fed_noaa_weather_api,natural_event,event,287,2026-07-01,2026-07-04,0.0,SHORT_SPAN,TIMESTAMP,0,0,0.0
environment__fed_phmsa_flagged_incidents,filing,event+noun,2039,2010-03-10,2026-07-31,16.4,CLEAN,REPORT_RECEIVED_DATE|IYEAR|LOCAL_DATETIME|TIME_ZONE|NRC_RPT_DATETIME|SHUTDOWN_DATETIME,0,0,0.0
environment__fed_uscg_nrc_incident_reports,filing,event+noun,116662,2020-01-01 00:14:00,2024-12-31 22:27:00,5.0,CLEAN,DATE_TIME_RECEIVED|DATE_TIME_COMPLETE,0,0,0.0
environment__fed_uscg_nrc_incidents,accident,event,1029020,1990-01-01 00:01:00,2026-08-02 23:17:00,36.6,CLEAN,DATE_TIME_RECEIVED|DATE_TIME_COMPLETE|SRC_YEAR,0,0,0.0
environment__fed_usgs_minerals,aggregate,aggregate,304632,,,,UNMEASURED_CLOCK,YEAR|DISC_YR,0,0,0.0
environment__fed_usgs_orphaned_oil_gas_wells,asset,noun,117672,2019-07-01,2022-12-10,3.4,CLEAN,QTR|QTR_QTR|QTR_QTR_QTR|DATA_FILE_DATE,0,0,0.0
environment__fed_usgs_water,measurement,event,6694816,,,,UNMEASURED_CLOCK,DATETIME,0,0,0.0045
environment__fed_usgs_wbd_huc8,place,noun,2456,2012-06-11 07:54:56,2026-08-08 01:43:01.186418,14.2,CLEAN,LOADDATE,0,0,0.0
environment__fed_wqp_monitoring_stations,facility,noun,5818,,,,UNMEASURED_CLOCK,CONSTRUCTIONDATETEXT,0,0,0.0
environment__intl_gem_hazard,natural_event,event,12,,,,UNMEASURED_CLOCK,PGA_10PCT_50YR,0,0,0.0
environment__intl_global_witness_defenders,accident,event,232,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
environment__xc_epa_corporate_crosswalk,crosswalk,link,5300149,,,,NO_CLOCK,,0,0,0.0
environment__xc_owid_co2,aggregate,aggregate,29384,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
environment__xc_owid_fossil_share,aggregate,aggregate,6379,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
environment__xc_owid_temp_anomaly,aggregate,aggregate,531,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
finance__fed_epa_icis_fec_case_enforcement_conclusion_facilities,facility,noun,150877,,,,NO_CLOCK,,0,0,0.0001
finance__fed_epa_icis_fec_case_facilities,facility,noun,204019,,,,NO_CLOCK,,0,0,0.0
finance__fed_epa_icis_fec_epa_informal_enforcement_actions,action,event,21930,1970-06-01,2026-07-17,56.1,CLEAN,ACHIEVED_DATE,1,0,0.0
finance__fed_epa_icis_fec_icis_fec_epa_inspections,inspection,event,260556,0201-08-01,2026-07-24,1824.9,CORRUPT_RANGE,ACTUAL_BEGIN_DATE|ACTUAL_END_DATE,0,0,0.0
finance__fed_fatca_ffi,organization,noun,516298,2026-08-05 21:24:50.345862,2026-08-05 21:24:50.345862,0.0,LOAD_DATE_ONLY,,0,0,0.0
finance__fed_fdic_bank_data,organization,noun,27836,1782-01-01,9999-12-31,8217.8,CORRUPT_RANGE,DATEUPDT|EFFDATE|INSDATE|INSDROPDATE|PROCDATE|RISDATE,544,4444,0.0
finance__fed_fdic_sod_branch_deposits,payment,event,2823000,1782-01-01,2026-08-10 19:22:47.335969,244.6,CORRUPT_RANGE,SIMS_ACQUIRED_DATE|SIMS_ESTABLISHED_DATE|YEAR,26581,0,0.0
finance__fed_fec_bulk,contribution,event,20938,,,,NO_CLOCK,,0,0,0.0
finance__fed_fec_bulk_committees,organization,noun,20007,,,,UNMEASURED_CLOCK,CYCLE,0,0,0.0
finance__fed_fec_cand_cmte_linkage,crosswalk,link,30536,,,,NO_CLOCK,,0,0,0.0
finance__fed_fec_candidates,person,noun,33506,,,,NO_CLOCK,,0,0,0.1913
finance__fed_fec_committee_to_candidate,person,noun,866730,,,,UNMEASURED_CLOCK,TRANSACTION_DT|CYCLE,0,0,0.0
finance__fed_fec_committees,organization,noun,78039,,,,NO_CLOCK,,0,0,0.2308
finance__fed_fec_independent_expenditures,trade,event,261033,,,,UNMEASURED_CLOCK,EXP_DATE|FEC_ELECTION_YR|DISSEM_DT,0,0,0.0
finance__fed_fec_indiv_contributions,contribution,event,84172112,2000-01-01,3312-01-01,1312.0,CORRUPT_RANGE,TRANSACTION_DT,0,4,0.0
finance__fed_fec_leadership_pac,crosswalk,link,8619,,,,UNMEASURED_CLOCK,FEC_CANDIDATE_ID|CAND_ELECTION_YR|FEC_ELECTION_YR,0,0,0.0
finance__fed_fhfa_fhlb_membership,membership,link,6327,1973-01-02,2066-04-18,93.3,CORRUPT_RANGE,APPR_DATE|MEM_DATE,0,88,0.0
finance__fed_finra_mpid_list,registry,noun,4215,,,,NO_CLOCK,,0,0,0.0
finance__fed_irs_soi,aggregate,aggregate,179796,,,,UNMEASURED_CLOCK,TAX_YEAR,0,0,0.0
finance__fed_msrb_registrants,organization,noun,925,,,,NO_CLOCK,,0,0,0.0
finance__fed_ncua_call_reports_foicu,filing,event+noun,4336,1899-12-30,2026-05-19 05:00:00.000,126.4,CORRUPT_RANGE,CYCLE_DATE|YEAR_OPENED|ISSUE_DATE|QUARTER_FLAG|INSURED_DATE|AM_DATEHELD,55,0,0.0
finance__fed_ncua_call_reports_fs220,filing,event+noun,4336,2026-03-31,2026-05-20 22:02:49.000,0.1,SHORT_SPAN,CYCLE_DATE|UPDATE_DATE,0,0,0.0
finance__fed_ncua_charter_merger_events,action,event,27,,,,NO_CLOCK,,0,0,0.0
finance__fed_ncua_federally_insured_cu_list,organization,noun,4250,,,,UNMEASURED_CLOCK,YEAR_AND_QUARTER|TOTAL_DEPOSITS_4_QUARTER_GROWTH|TOTAL_LOANS_4_QUARTER_GROWTH|TOTAL_ASSETS_4_QUARTER_GROWTH|MEMBERS_4_QUARTER_GROWTH|NET_WORTH_4_QUARTER_GROWTH_EXCLUDES_CECL_TRANSITION_PROVISION,0,0,0.0
finance__fed_occ_national_banks,organization,noun,724,,,,NO_CLOCK,,0,0,0.0
finance__fed_occ_thrifts,organization,noun,218,,,,NO_CLOCK,,0,0,0.0
finance__fed_pcaob_form_ap_filings,filing,event+noun,155384,2026-08-08 01:43:19.023062,2026-08-08 01:43:19.023062,0.0,LOAD_DATE_ONLY,AUDIT_REPORT_DATE|FISCAL_PERIOD_END_DATE|IS_MULTIPLE_AUDIT_PERIOD|AUDIT_PERIOD_INFORMATION|DUAL_DATED|AUDIT_DUAL_DATE,0,0,0.0
finance__fed_sec_13f_filers,organization,noun,344109,2012-10-01,2027-05-17,14.6,CLEAN,REPORTCALENDARORQUARTER|DATEDENIEDEXPIRED|DATEREPORTED,0,0,0.0
finance__fed_sec_13f_holdings,ownership,link,101261252,,,,NO_CLOCK,,0,0,0.0
finance__fed_sec_13f_positions,ownership,link,101261252,,,,NO_CLOCK,,0,0,0.0
finance__fed_sec_13f_submission,filing,event+noun,3822885,,,,NO_CLOCK,,0,0,0.0
finance__fed_sec_13f_submissions,filing,event+noun,336124,,,,UNMEASURED_CLOCK,FILING_DATE|PERIODOFREPORT,0,0,0.0
finance__fed_sec_business_development_company_report,filing,event+noun,212,0001-05-01,0095-06-02,94.1,CORRUPT_RANGE,FILING_DATE,0,0,0.0
finance__fed_sec_closed_end_fund_information,program,noun,973,0001-08-22,0099-08-26,98.0,CORRUPT_RANGE,FILING_DATE,0,0,0.0
finance__fed_sec_dera_sub_2024q1,filing,event+noun,6028,,,,UNMEASURED_CLOCK,PERIOD,0,0,0.0
finance__fed_sec_dera_sub_2024q2,filing,event+noun,7675,,,,UNMEASURED_CLOCK,PERIOD,0,0,0.0
finance__fed_sec_dera_sub_2024q3,filing,event+noun,6699,,,,UNMEASURED_CLOCK,PERIOD,0,0,0.0
finance__fed_sec_dera_sub_2024q4,filing,event+noun,6491,,,,UNMEASURED_CLOCK,PERIOD,0,0,0.0
finance__fed_sec_dera_sub_2025q1,filing,event+noun,6231,,,,UNMEASURED_CLOCK,PERIOD,0,0,0.0
finance__fed_sec_dera_sub_2025q2,filing,event+noun,7009,,,,UNMEASURED_CLOCK,PERIOD,0,0,0.0
finance__fed_sec_dera_sub_2025q3,filing,event+noun,6541,,,,UNMEASURED_CLOCK,PERIOD,0,0,0.0
finance__fed_sec_dera_sub_2025q4,filing,event+noun,6304,,,,UNMEASURED_CLOCK,PERIOD,0,0,0.0
finance__fed_sec_dera_sub_2026q1,filing,event+noun,6169,,,,UNMEASURED_CLOCK,PERIOD,0,0,0.0
finance__fed_sec_edgar_company_tickers_exchange,instrument,noun,10398,,,,NO_CLOCK,,0,0,0.0
finance__fed_sec_edgar_financials,filing,event+noun,55635,,,,UNMEASURED_CLOCK,PERIOD,0,0,0.0
finance__fed_sec_edgar_insiders,filing,event+noun,69259,2020-11-06,2026-03-31,5.4,CLEAN,FILING_DATE|PERIOD_OF_REPORT|DATE_OF_ORIG_SUB,0,0,0.0
finance__fed_sec_insider_deriv_trans,trade,event,1049121,0018-02-26,2050-12-31,2032.8,CORRUPT_RANGE,TRANS_DATE|TRANS_DATE_FN|DEEMED_EXECUTION_DATE|DEEMED_EXECUTION_DATE_FN|TRANS_TIMELINESS|TRANS_TIMELINESS_FN,0,64164,0.0
finance__fed_sec_insider_nonderiv_trans,trade,event,2672841,0022-10-12,2047-05-24,2024.6,CORRUPT_RANGE,TRANS_DATE|TRANS_DATE_FN|DEEMED_EXECUTION_DATE|DEEMED_EXECUTION_DATE_FN|TRANS_TIMELINESS|TRANS_TIMELINESS_FN,0,6,0.0
finance__fed_sec_insider_reportingowner,role,link,1934673,2026-07-24 02:29:10,2026-07-24 02:29:10,0.0,LOAD_DATE_ONLY,,0,0,0.0
finance__fed_sec_insider_submission,filing,event+noun,1772088,0001-01-01,2027-06-04,2026.4,CORRUPT_RANGE,FILING_DATE|PERIOD_OF_REPORT|DATE_OF_ORIG_SUB,0,0,0.0
finance__fed_sec_investment_company_series_class,organization,noun,43123,,,,NO_CLOCK,,0,0,0.0
finance__fed_sec_money_market_fund_information,program,noun,1206,,,,UNMEASURED_CLOCK,REPORTMONTH,0,0,0.0
finance__intl_iso_mic_registry,code,code,2864,2003-04-01,2026-07-27,23.3,CLEAN,CREATION_DATE|LAST_UPDATE_DATE|LAST_VALIDATION_DATE|EXPIRY_DATE,0,0,0.0
finance__intl_osfi_regulated_fi,organization,noun,343,,,,NO_CLOCK,,0,0,0.0
finance__intl_wb_ids,aggregate,aggregate,62983,,,,NO_CLOCK,,0,0,0.0
foreign_influence__fed_fara_bulk,filing,event+noun,48104,1942-01-16,2026-07-30 12:06:10.313000-07:00,84.5,CLEAN,REGISTRATION_DATE|TERMINATION_DATE|DATE_STAMPED|SHORT_FORM_TERMINATION_DATE|SHORT_FORM_DATE|FOREIGN_PRINCIPAL_TERMINATION_DATE,337,0,0.0
governance__fed_revolvingdoor_project,ownership,link,406,2026-06-17 19:02:09.104875,2026-06-17 19:02:09.104875,0.0,LOAD_DATE_ONLY,,0,0,0.0
government_records__fed_nara_aad,dataset,noun,9,,,,UNMEASURED_CLOCK,DATE,0,0,0.0
government_records__fed_usaspending_tas_filter_tree,award,event+noun,92,2026-08-07 20:20:54.361016,2026-08-07 20:20:54.361016,0.0,LOAD_DATE_ONLY,,0,0,0.0
health__fed_cdc_anxiety_depression,unresolved,event,16794,2020-04-23 00:00:00,2024-09-16 00:00:00,4.4,CLEAN,TIME_PERIOD|TIME_PERIOD_LABEL|TIME_PERIOD_START_DATE|TIME_PERIOD_END_DATE,0,0,0.0
health__fed_cdc_data_portal,dataset,noun,1471,2013-06-10 19:09:30.000,2026-08-11 14:00:20.000,13.2,CLEAN,YEAR|UPDATED_AT,0,0,0.0
health__fed_cdc_drug_poisoning_county,place,noun,53387,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
health__fed_cdc_health_insurance,unresolved,event,16056,2020-04-23 00:00:00,2024-09-16 00:00:00,4.4,CLEAN,TIME_PERIOD|TIME_PERIOD_LABEL|TIME_PERIOD_START_DATE|TIME_PERIOD_END_DATE,0,0,0.0
health__fed_cdc_injury_violence_county,place,noun,132000,,,,UNMEASURED_CLOCK,PERIOD|TTM_DATE_RANGE,0,0,0.0
health__fed_cdc_leading_causes_state,unresolved,event,10868,2026-08-09 18:18:23.310413,2026-08-09 18:18:23.310413,0.0,LOAD_DATE_ONLY,YEAR,0,0,0.0
health__fed_cdc_nndss_weekly_2024,unresolved,event,1932840,,,,UNMEASURED_CLOCK,CURRENT_MMWR_YEAR|MMWR_WEEK|CURRENT_WEEK|CURRENT_WEEK_FLAG|PREVIOUS_52_WEEK_MAX|PREVIOUS_52_WEEKS_MAX_FLAG,0,0,0.0
health__fed_cdc_overdose,accident,event,83790,,,,UNMEASURED_CLOCK,YEAR|MONTH|PERIOD,0,0,0.0
health__fed_cdc_suicide_rates,measurement,event,6390,,,,UNMEASURED_CLOCK,YEAR|YEAR_NUM,0,0,0.0
health__fed_cdc_wonder,unresolved,event,880,2026-08-09 18:18:09.399039,2026-08-09 18:18:09.399039,0.0,LOAD_DATE_ONLY,YEAR,0,0,0.0
health__fed_clinicaltrials,unresolved,event,500,1997-01-01,2032-06-06,35.4,CORRUPT_RANGE,START_DATE|COMPLETION_DATE|PRIMARY_COMPLETION_DATE|RESULTS_FIRST_POSTED_DATE|LAST_UPDATE_POSTED_DATE|FIRST_POSTED_DATE,0,3,0.0
health__fed_cms_ambulatory_specialty_model_participants,unresolved,noun,6637,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_dialysis,unresolved,event,7557,,,,UNMEASURED_CLOCK,FIVE_STAR_DATE|CERTIFICATION_DATE|CLAIMS_DATE|EQRS_DATE|SMR_DATE|SHR_DATE,0,0,0.0
health__fed_cms_facility_affiliation,membership,link,2260193,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_facility_level_minimum_data_set_frequency,measurement,event,31403215,,,,UNMEASURED_CLOCK,REPORT_DATE,0,0,0.0
health__fed_cms_federally_qualified_health_center_enrollments,registration,event+noun,11063,1817-01-01,2024-08-26,207.6,CORRUPT_RANGE,INCORPORATION_DATE,281,0,0.0
health__fed_cms_fiscal_intermediary_shared_system_attending_and_rendering,program,noun,2047828,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_hcris,unresolved,event,6103,2022-10-01,2024-09-30,2.0,CLEAN,FISCAL_YEAR_BEGIN_DATE|FISCAL_YEAR_END_DATE,0,0,0.0
health__fed_cms_home_health,unresolved,event,12392,1966-07-01,2025-10-09,59.3,CLEAN,CERTIFICATION_DATE|NUMERATOR_FOR_HOW_OFTEN_THE_HOME_HEALTH_TEAM_BEGAN_THEIR_PATIENTS_CARE_IN_A_TIMELY_MANNER|DENOMINATOR_FOR_HOW_OFTEN_THE_HOME_HEALTH_TEAM_BEGAN_THEIR_PATIENTS_CARE_IN_A_TIMELY_MANNER|HOW_OFTEN_THE_HOME_HEALTH_TEAM_BEGAN_THEIR_PATIENTS_CARE_IN_A_TIMELY_MANNER|FOOTNOTE_FOR_HOW_OFTEN_THE_HOME_HEALTH_TEAM_BEGAN_THEIR_PATIENTS_CARE_IN_A_TIMELY_MANNER|NUMERATOR_FOR_HOW_OFTEN_PHYSICIAN_RECOMMENDED_ACTIONS_TO_ADDRESS_MEDICATION_ISSUES_WERE_COMPLETELY_TIMELY,26,0,0.0
health__fed_cms_home_health_agency_enrollments,registration,event+noun,11508,1808-03-08,2024-08-09,216.4,CORRUPT_RANGE,INCORPORATION_DATE,7,0,0.0
health__fed_cms_hospice,unresolved,event,6852,1983-11-01,2025-10-15,42.0,CLEAN,CERTIFICATION_DATE,0,0,0.0
health__fed_cms_hospital_compare,provider,noun,5432,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_hospital_enrollments,registration,event+noun,9175,1800-01-01,2026-03-14,226.2,CORRUPT_RANGE,INCORPORATION_DATE|REH_CONVERSION_DATE,60,0,0.0
health__fed_cms_hospital_general,provider,noun,5432,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_irf,unresolved,event,1222,1983-10-01,2026-10-01,43.0,CLEAN,CERTIFICATION_DATE,0,0,0.0
health__fed_cms_ltch,unresolved,event,311,1966-07-01,2025-02-01,58.6,CLEAN,CERTIFICATION_DATE,1,0,0.0
health__fed_cms_main,unresolved,noun,158,,,,UNMEASURED_CLOCK,UPDATE_FREQUENCY,0,0,0.0
health__fed_cms_medicare_diabetes_prevention_program,program,noun,1037,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_medicare_dialysis_facilities,facility,noun,12456456,,,,UNMEASURED_CLOCK,YEAR,0,0,0.0
health__fed_cms_medicare_durable_medical_equipment_devices_supplies_by_refer,product,noun,381228,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_medicare_durable_medical_equipment_devices_supplies_by_suppl,product,noun,440670,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_medicare_inpatient_hospitals_by_provider,provider,noun,3044,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_medicare_inpatient_hospitals_by_provider_and_service,role,link,145879,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_medicare_outpatient_hospitals_by_provider_and_service,role,link,116182,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_medicare_physician_other_practitioners_by_provider,provider,noun,1296739,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_medicare_physician_other_practitioners_by_provider_and_servi,provider,noun,9781673,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_medicare_provider,provider,noun,1296739,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_nadac,product,noun,359514,2022-11-23,2024-12-25,2.1,CLEAN,EFFECTIVE_DATE|CORRESPONDING_GENERIC_DRUG_EFFECTIVE_DATE|AS_OF_DATE,0,0,0.0
health__fed_cms_nppes,provider,noun,9606683,2005-05-23,2026-06-08,21.0,CLEAN,PROVIDER_ENUMERATION_DATE|LAST_UPDATE_DATE|NPI_DEACTIVATION_DATE|NPI_REACTIVATION_DATE|CERTIFICATION_DATE,0,0,0.0
health__fed_cms_nursing_home,facility,noun,14700,2026-08-08 07:18:30.556000-07:00,2026-08-08 07:18:30.556000-07:00,0.0,LOAD_DATE_ONLY,DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES|MOST_RECENT_HEALTH_INSPECTION_MORE_THAN_2_YEARS_AGO|PROVIDER_CHANGED_OWNERSHIP_IN_LAST_12_MONTHS|TOTAL_NUMBER_OF_NURSE_STAFF_HOURS_PER_RESIDENT_PER_DAY_ON_THE_WEEKEND|REGISTERED_NURSE_HOURS_PER_RESIDENT_PER_DAY_ON_THE_WEEKEND|CASE_MIX_WEEKEND_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY,0,0,0.0
health__fed_cms_nursing_home_deficiencies,violation,event,418479,2002-04-08,2026-06-29,24.2,CLEAN,SURVEY_DATE|CORRECTION_DATE|INSPECTION_CYCLE|PROCESSING_DATE,0,0,0.0
health__fed_cms_nursing_home_fire_deficiencies,violation,event,200030,2016-01-15,2027-05-30,11.4,CLEAN,SURVEY_DATE|CORRECTION_DATE|INSPECTION_CYCLE|PROCESSING_DATE,0,0,0.0
health__fed_cms_nursing_home_penalties,enforcement,event,16180,2023-06-17,2026-06-01,3.0,CLEAN,PENALTY_DATE|PAYMENT_DENIAL_START_DATE|PROCESSING_DATE,0,0,0.0
health__fed_cms_open_payments,payment,event,15385047,,,,UNMEASURED_CLOCK,DATE_OF_PAYMENT|PROGRAM_YEAR|PAYMENT_PUBLICATION_DATE,0,0,0.0
health__fed_cms_open_payments_2022,payment,event,13250000,,,,UNMEASURED_CLOCK,DATE_OF_PAYMENT|PROGRAM_YEAR|PAYMENT_PUBLICATION_DATE,0,0,0.0
health__fed_cms_open_payments_2023,payment,event,14700786,,,,UNMEASURED_CLOCK,DATE_OF_PAYMENT|PROGRAM_YEAR|PAYMENT_PUBLICATION_DATE,0,0,0.0
health__fed_cms_open_payments_profile_supplement,payment,event,1697025,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_opioid_treatment_program_providers,provider,noun,1558,2014-10-25,2026-05-20,11.6,CLEAN,MEDICARE_ID_EFFECTIVE_DATE,0,0,0.0
health__fed_cms_opt_out_affidavits,unresolved,event,57209,1998-01-01,2028-10-01,30.7,CLEAN,OPTOUT_EFFECTIVE_DATE|OPTOUT_END_DATE|LAST_UPDATED,0,0,0.0019
health__fed_cms_order_and_referring,enforcement,event,2018354,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_part_d_prescribers,provider,noun,1416883,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_partd_prescribers,provider,noun,25869521,2026-07-23 22:44:38,2026-07-23 22:44:38,0.0,LOAD_DATE_ONLY,,0,0,0.0
health__fed_cms_pending_initial_logging_and_tracking_non_physicians,provider,noun,6880,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_pending_initial_logging_and_tracking_physicians,provider,noun,7240,,,,NO_CLOCK,,0,0,0.0
health__fed_cms_pos_other,unresolved,event,44429,,,,UNMEASURED_CLOCK,CHOW_DT|CRTFCTN_DT|ORGNL_PRTCPTN_DT|CHOW_PRIOR_DT|TRMNTN_EXPRTN_DT|ACRDTN_EFCTV_DT,0,0,0.0
health__fed_cms_quality_payment_program_experience,program,noun,503917,,,,UNMEASURED_CLOCK,YEARS_IN_MEDICARE,0,0,0.0
health__fed_cms_rural_health_clinic_enrollments,registration,event+noun,5530,1859-01-28,2024-08-19,165.6,CORRUPT_RANGE,INCORPORATION_DATE,22,0,0.0
health__fed_cms_skilled_nursing_facility_enrollments,registration,event+noun,14425,1800-01-01,2024-09-17,224.7,CORRUPT_RANGE,INCORPORATION_DATE,36,0,0.0
health__fed_dea_arcos,trade,event,178598026,2006-01-01,2026-07-27 15:58:30.224197,20.6,CLEAN,,0,0,0.0
health__fed_fda_caers,unresolved,event,85511,2001-08-09,2026-08-06 00:02:43,25.0,CLEAN,,0,0,0.0
health__fed_fda_device_510k,product,noun,175686,1976-05-26,2026-08-06 00:00:35,50.2,CLEAN,,0,0,0.0
health__fed_fda_device_classification,code,code,7085,,,,NO_CLOCK,,0,0,0.0
health__fed_fda_device_enforcement,recall,event+noun,39635,1930-12-11,2026-07-29,95.6,CLEAN,,0,0,0.0
health__fed_fda_device_pma,product,noun,56853,1900-01-01,2026-08-06 00:01:29,126.6,CLEAN,,5,0,0.0
health__fed_fda_drug_enforcement,recall,event+noun,17816,2006-02-24,2026-07-16,20.4,CLEAN,,0,0,0.0
health__fed_fda_drug_master_files,organization,noun,41253,1939-07-18,2026-08-08 04:36:49.824519,87.1,CLEAN,SUBMIT_DATE,140,0,0.0
health__fed_fda_establishment_reg,unresolved,event,263374,2026-08-05 21:43:33,2026-08-05 21:43:33,0.0,LOAD_DATE_ONLY,,0,0,0.0
health__fed_fda_faers_demo,accident,event,5811086,,,,UNMEASURED_CLOCK,EVENT_DT|MFR_DT|FDA_DT|REPT_DT|DEATH_DT|_SRC_QUARTER,0,0,0.0
health__fed_fda_faers_drug,product,noun,20914284,,,,UNMEASURED_CLOCK,EXP_DT|_SRC_QUARTER,0,0,0.0
health__fed_fda_faers_indi,accident,event,9833260,,,,UNMEASURED_CLOCK,_SRC_QUARTER,0,0,0.0
health__fed_fda_faers_outc,accident,event,1134815,,,,UNMEASURED_CLOCK,_SRC_QUARTER,0,0,0.0
health__fed_fda_faers_reac,accident,event,20621386,,,,UNMEASURED_CLOCK,_SRC_QUARTER,0,0,0.7619
health__fed_fda_gudid,unresolved,event,5083948,2013-02-20,2026-08-05 21:50:00,13.5,CLEAN,,0,0,0.0
health__fed_fda_maude,unresolved,event,2743561,1900-01-01,2026-08-06 00:25:45,126.6,CLEAN,,1,0,0.0
health__fed_fda_purple_book,unresolved,event,2228,1930-06-14,2037-03-05,106.7,CORRUPT_RANGE,PURPLE_BOOK_MONTHLY_HISTORICAL_DATA_CHANGES_REPORT_JUNE_2026,2,69,0.0
health__fed_fda_unii_gsrs_substances,crosswalk,link,168046,2026-08-08 04:35:02.628239,2026-08-08 04:35:02.628239,0.0,LOAD_DATE_ONLY,,0,0,0.0
health__fed_hhs_oig_leie,enforcement,event,83369,2026-06-10 15:59:57.867000,2026-06-10 15:59:57.867000,0.0,LOAD_DATE_ONLY,EXCLDATE|REINDATE|WAIVERDATE,0,0,0.0
health__fed_hrsa_hpsa_primary_care,measurement,event,79158,1970-01-01,2026-08-07 18:54:15.903191,56.6,CLEAN,HPSA_DESIGNATION_DATE|HPSA_DESIGNATION_LAST_UPDATE_DATE|WITHDRAWN_DATE|HPSA_WITHDRAWN_DATE_STRING|DATA_WAREHOUSE_RECORD_CREATE_DATE|DATA_WAREHOUSE_RECORD_CREATE_DATE_TEXT,1,0,0.0
health__fed_hrsa_npdb,filing,event+noun,1911185,,,,UNMEASURED_CLOCK,ORIGYEAR|MALYEAR1|MALYEAR2|AAYEAR|AAEFYEAR|AASIGYR,0,0,0.0
