lead_id	story_id	section	grade	verdict	novelty_guess	headline
223	S193	deep3cd	C	narrowed		Senegal's government foreign-debt payments due in 2026 equal 54% of its 2024 export earnings, top of 108 poorer countries
224	S194	deep3cd	C	narrowed		Companies late on stock-option award reports in 2017-20 stayed late in 2021-24: roughly 13% vs 1.5% for peers
225	S195	deep3cd	C	narrowed		189 old campaign funds paid out $8.57M in the 2024 cycle; 19% went to candidates, parties and PACs, not 2.1%
226	S196	deep3cd	C	narrowed		41 super PACs named for police, veterans and sick kids raised $181.5M; roughly 4% reached real political spending
227	S197	deep3cd	C	narrowed		3 of 748 big credit unions lost 20%+ of net worth in a year: Civic, Greater Nevada, U.S. Eagle
228	S198	deep3cd	C	narrowed		19 water systems serving 4,347 people buy only from sellers that broke a chemical limit; their own records look clean
229	S199	deep3cd	C	narrowed		EPA's database shows Nebraska with 24 of 66 plants nationwide holding an old, serious air violation never acted on
230	S200	deep3cd	C	narrowed		Diamondback's Permian Basin frack jobs drew 1.6-2.3 times the fresh-groundwater share of other reporting drillers in 2025
231	S201	deep3cd	C	narrowed		The Pentagon's tech agency renewed Ivanti's often-hacked phone-management software each spring: $21.8M+ since 2023, on a fixed calendar
232	S202	deep3cd	C	narrowed		US coal power rose 85 terawatt-hours (13%) in 2025, about 1.8 times every other country's coal rise combined
233	S203	deep3cd	C	narrowed		Texas gas plants able to switch to oil rose from 4.9% to 6.0% of capacity after the 2021 freeze
234	S204	deep3cd	C	narrowed		Four unnamed traders held 69.7% of sell positions in one mid-Atlantic power futures contract in early 2026, a record
235	S205	deep3cd	C	narrowed		FEMA couldn't confirm occupancy on 28.6% of downtown Lahaina's fire-aid registrations; adjusted, the gap to neighbors is 7.5-9 points
236	S206	deep3cd	C	narrowed		Four people barred from Medicare show up in the offshore leaks at matching US addresses, out of 1,611 name hits
237	S207	deep3cd	C	narrowed		Justice Department's Epstein file list for Data Set 10 shrank from 10,071 to 5,569 pages, March to late May 2026
238	S208	deep3cd	C	narrowed		Coal operators who hand off a mine leave 16.6% of safety fines unpaid, vs 13.0% for those who close it
239	S209	deep3cd	C	narrowed		13 tankers seen in U.S. waters one January 2024 week now sit on government sanctions lists, most renamed
