story_id	lead_ids	primary_lead	headline	number	grade	verdict	novelty_guess	pre_known	sections	tables	watch_out	frozen_sha1
S046	59	59	One pension plan (EIN 822871833) is 25.8% funded with $95.4M unpaid; Transit Management of Southeast Louisiana shows $79.5M unpaid	631 single-employer plans report $426.7M in unpaid minimum contributions for 2024; EIN 822871833 is 25.8% funded with $95.4M unpaid; Transit Management of Southeast Louisiana shows $79.5M unpaid.		unchecked	3		menu	`LABOR__FED_DOL_EBSA_FORM5500_SCHEDULE_SB`, `ECONOMICS__FED_DOL_FORM5500`, `ECONOMICS__FED_SEC_EDGAR`, `ECONOMICS__FED_IRS_BMF`, `ECONOMICS__FED_PBGC_TRUSTEED_PENSION_PLANS`	"No skeptic has checked it; for 201 plans the ""unpaid"" amount equals exactly this year's minimum, which points to filing before the payment deadline, not arrears."	5c49d5ca8fba
S047	60,116	60	92 political committees each raised $1M+ from individuals in 2024 ($580M total) but passed under 10% to candidates or ads	92 non-joint-fundraising PACs, $580M from individuals, each sending under 10% of spending to candidates, committees, outside ads or affiliates; the 12 busiest treasurers have 29 of 96 such PACs (30%) vs 14.6% for everyone else.		unchecked	2		menu	`POLITICS__FEC_COMMITTEE`, `POLITICS__FED_FEC_PAC_SUMMARY`, `FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES`	"No skeptic has checked it; canvassing, digital ads not reported as outside spending, conduits and legal bills all look like a ""low share."""	e3cc8f33af89
S048	61	61	About 89 active Texas major air polluters have had no full compliance inspection in 5+ years; New Mexico is worse	About 89 of 2,481 Texas majors (3.6 per 100) with activity on their own permit since mid-2021 but no full evaluation in 5+ years, vs a 0.2 state median; New Mexico 23 of 160 (14.4 per 100).		narrowed	3		menu	`ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FCES_PCES`, `ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES`, `ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_STACK_TESTS`, `ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_INFORMAL_ACTIONS`, `ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FORMAL_ACTIONS`, `ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY`, `ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS`	All four plants first named had a twin record at the same site that did get evaluated; a second skeptic (skeptic2) got Texas at 3.0 per 100 and New Mexico at 12.5.	bf40eaea6858
S049	62	62	Aircraft Guaranty Corp's trustee arm holds 364 live US plane registrations and added 38 in 2024-26, after 1 in 2021-23	364 valid, unexpired tail numbers at one Oklahoma City address; new certificates 2024: 6, 2025: 18, 2026: 14, against 1 in 2021 and 1 in 2023.		unchecked	3	lead_cites_press	menu	`TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY`, `JUSTICE__INTL_OPENSANCTIONS_DEFAULT`, `PROCUREMENT__FED_SAM_EXCLUSIONS`, `JUSTICE__FED_OFAC_SDN`	No skeptic has checked it; the conviction tie comes from press reports, not verified, and trustee registration is legal and common.	bf767126463a
S050	63	63	Serious water-system defects found before 2022 are still unfixed in 19% of West Virginia cases, against 3% elsewhere	Pre-2022 unfixed inspection-defect cases still open: West Virginia 19.0%, EPA-run tribal land in Region 9 11.3%, Louisiana 8.8%, other states 3.0%; open 2+ years: WV 218, LA 337, Region 9 48.		narrowed	3		menu	`ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT`, `ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS`, `ENVIRONMENT__FED_EPA_SDWA_SDWA_SITE_VISITS`	The physical thing is an unfixed inspection defect, not contaminated water, and Region 9 logs close-outs a median 478 days late.	3f1498c95488
S051	64	64	For-profit nursing homes: 3.70 staff hours per resident a day vs 4.40 at nonprofits; fines $320 vs $205 a bed	10,851 for-profit homes at 3.70 staff hours per resident per day vs 2,908 nonprofits at 4.40; fines $320 vs $205 per bed; Arcadia Care is the worst chain at $1,357 per bed.		unchecked	1		menu	`HEALTH__FED_CMS_NURSING_HOME`, `HEALTH__FED_CMS_NURSING_HOME_PENALTIES`	No skeptic has checked it; the penalty file is CMS's rolling 3-year window, not lifetime fines, and the story itself is well known.	c6d926859c73
S052	65	65	Five firms at one Newington, Connecticut, address won $13.35M in 41 small-business research awards; the Air Force barred all five	$13.35M in 41 SBIR awards, 2021-25, to five firms at 549 Cedar St, Newington CT; the Air Force barred all five on 2026-07-17.		confirmed	2		menu	`PROCUREMENT__FED_SAM_EXCLUSIONS`, `SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS`	"The ban says ""proceedings pending,"" not a finding of fault, and it is already public."	313341e26f3d
S053	66	66	Barred landlord Amerihost Services drew $1.54M in federal Section 8 rent subsidy in 27 payments during its 2021-26 ban	$1.54M in 27 HUD Section 8 payments, 2021-11 to 2026-03, inside an EPA ban running 2021-09-08 to 2026-09-07.		narrowed	4		menu	`PROCUREMENT__FED_SAM_EXCLUSIONS`, `ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL`	It's one rent contract renewed every year since 2007, not new grants, and rent aid follows the tenants.	1a7f79a8750a
S054	67	67	US companies registered through Bloomberg refuse to name their ultimate owner 5.7% of the time; other registrars, 2.3%	Current US global company IDs (LEIs): 5.7% refuse to name the ultimate owner at Bloomberg vs 2.3% at every other registrar; 91% of US refusals sit at Bloomberg.		unchecked	4		menu	`ECONOMICS__INTL_GLEIF_REPEX`, `ECONOMICS__INTL_GLEIF`	Bloomberg's client mix (swap counterparties, fund vehicles) isn't ruled out, and the harm is unclear.	a23fbd9d76ea
S055	68	68	Black home buyers were denied about twice as often as white buyers at every big 2017 mortgage lender	At every 2017 home-purchase lender with 500+ Black and 2,000+ white applications, the Black denial rate ran about 2x the white rate.		unchecked	1		menu	`HOUSING__FED_CFPB_HMDA_HISTORIC`, `HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF`	No income or credit columns, so the gap can't be adjusted, and it's a known shape.	ab70a580e8ba
S056	69	69	NYC's 2025 mayor race: one committee, Fix the City, took $35.6M from 381 gifts; Mamdani raised $4.03M from 54,103	Fix the City $35.6M from 381 gifts; Mamdani $4.03M from 54,103 gifts, after 302 refund rows were removed.		confirmed	1		menu	`POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS`	Confirmed, but it's a known story from the 2025 race.	4aca19207234
S057	71	71	706 finished US drug and device trials, 8.6% of those the law covers, never posted results: 152,850 patients	706 of 8,234 FDA-regulated US phase 2-4 trials that finished 2017-01-18 to 2022-06-30 have no results as of 2026-09-04, covering 152,850 enrolled patients.		unchecked	1		menu	`HEALTH__FED_CLINICALTRIALS`	A long tail: 435 of 537 sponsors miss exactly one, and TrialsTracker already ranks sponsors.	924cdb4275e0
S058	72	72	Among diabetes shots, doctors paid only by Novo (Ozempic's maker) chose Ozempic 54% of the time; unpaid doctors 41%	Prescribers with 50+ Ozempic/Rybelsus plus Trulicity claims in 2022: paid only by Novo 54% Ozempic, paid by neither 41%.		narrowed	2		menu	`HEALTH__FED_CMS_OPEN_PAYMENTS_2022`, `HEALTH__FED_CMS_PARTD_PRESCRIBERS`	Correlation only: half the gap was there before the money arrived.	cbcba187ae4e
S059	73,107	73	Elgin, Illinois, tests at 53 parts per billion of lead; about 17 big water systems are over the limit now	About 17 systems serving 10K+ people are over the 15 ppb lead line on their newest test (19 before the skeptic); Elgin reads 53 ppb, over in 7 of 13 tests.		narrowed	1		menu	`ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES`, `ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS`	The other Illinois towns jumped only after the state's 2025 testing change; Elgin was over before it.	680b69380946
S060	74	74	Nevro's spinal-cord stimulator has 168 death reports out of 737 (22.8%); similar devices run 0.18%	Nevro Senza: 168 death reports of 737 (22.8%); the rest of its product code: 76 of about 42,200 (0.18%); 0 of the 168 flag a device problem.		unchecked	2		menu	`HEALTH__FED_FDA_MAUDE`	Zero device-problem flags points at how Nevro reports, not harm; only 21 months (2020-01 to 2021-09) are loaded.	b3840697d715
S061	75	75	56,159 rural apartments in federal farm-agency housing opened by 1980 have no live low-rent clause; 35,324 get rent help	56,159 units (13.5%) sit in projects opened by 1980 with no live restrictive clause; 35,324 get rental help; Iowa 36%, Missouri 32%.		unchecked	2		menu	`HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS`	The clause dates follow a formula and the table has no loan due date; the outstanding loan can still bind the project.	c33a67e2d5f1
S062	76	76	ACNR's underground coal mines logged 11.1 injuries per 100 workers a year, 2018-24; other big owners ran 2.2 to 8.8	ACNR 11.10 recordable injuries per 100 current workers a year, 2018-24; other big coal owners 2.24-8.81; Foresight 12.33.		unchecked	2		menu	`LABOR__FED_MSHA_ACCIDENTS`, `LABOR__FED_MSHA_MINES`	The denominator is today's headcount, and ACNR's lead is sprains booked as days away; on fractures it's mid-pack.	7ad6b3e47f4a
S063	77	77	5,362 company officers and directors match $555M of federal campaign gifts by name, state and employer	5,362 SEC insiders (officer or director filings 2021-25) matched to $555M of $1,000+ individual FEC gifts, 2022-26 cycles; coal CEO Joseph Craft III gave $8.2M.		unchecked	2		menu	`FINANCE__FED_SEC_INSIDER_REPORTINGOWNER`, `FINANCE__FED_SEC_INSIDER_SUBMISSION`, `FINANCE__FED_FEC_INDIV_CONTRIBUTIONS`, `FINANCE__FED_FEC_COMMITTEES_DIM`	A name-and-employer match never skeptic-checked; the bridge is worth more than the story.	9fa6054689d1
S064	78	78	Sea Robin pipeline's 2025 gas-loss reports reuse one number, 1,587,069, whole, halved and split three ways	1,587,069 filed whole (May 17), as two 793,534 halves (Jan 13) and, minus 3,508, as three 527,853 blowdowns; counted once, 2025 is still the record at about 3.5M vs 2.98M in 2022.		narrowed	4		menu	`ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS`	No unit column: if Sea Robin typed cubic feet instead of thousand cubic feet, 2025 falls to about 1.94M, an ordinary year.	18af9faf3948
S065	80	80	Acetaminophen-codeine liquid's generic price jumped 30-fold in 2024; saxagliptin tablets rose 4.2x, then 4.9x	Of 308,054 same-unit generic price steps in 2024, 20 were 3x+ up; acetaminophen-codeine solution $0.0145 to $0.434 per mL; saxagliptin 5 mg $1.35 to $6.67.		unchecked	2		menu	`HEALTH__FED_CMS_NADAC`	Only 2024's weekly files are loaded, and shortages and makers leaving explain most jumps.	6cf41065f5b9
S066	81	81	Diamondback hides 30.3% of its Texas fracking chemicals as trade secrets, nearly double the 16.2% state rate	Diamondback withholds 30.3% of its Texas chemical-ID rows vs 16.2% statewide, with secrets in 96.7% of its 3,164 jobs.		unchecked	2		menu	`ENVIRONMENT__FED_FRACFOCUS_REGISTRY`	No job dates on any row, and trade-secret claims are legal and industry-wide.	952848bb5eb0
S067	82	82	DeKalb County's Snapfinger Creek sewer plant logged 1,394 overflows since 2016 against $52,344 in penalties: about $38 each	Snapfinger Creek (GA0024147): 1,394 overflows since Oct 2016, 4 formal actions, $52,344 in penalties since 2015; 202 overflows in 2025, its high.		unchecked	2		menu	`ENVIRONMENT__FED_EPA_NPDES_NPDES_SE_VIOLATIONS`, `ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS`, `ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES`	A known consent-decree story, and overflow counts map which states report (only 21-36 do).	1c636adc3298
S068	83	83	94 ex-members of Congress later filed foreign-agent forms; five filed in 2025, including Blagojevich for Bosnia and Fattah for Liberia	94 ex-members (left office 1970 or later) filed FARA short forms after leaving; 26 first filed 2017+; 5 in 2025: Wexler, Blagojevich, Stewart, Fattah, Seymour (weak match).		unchecked	2		menu	`FOREIGN_INFLUENCE__FED_FARA_BULK`, `POLITICS__FED_CONGRESS_LEGISLATORS`	"Name-only match with at least one sure miss (""Stephanie Jones"" filed in 2019; Stephanie Tubbs Jones died in 2008), and no dollars."	eff4cedad6da
S069	84	84	143 doctor-shortage areas first flagged in 1978-89 are still flagged; 31 still rank severe, mostly Mississippi Delta and South Texas	143 of 999 still-designated primary-care areas date from 1978-89; 31 still score 18+ (Humphreys, Jefferson, Copiah MS 22; Jim Hogg TX 23).		unchecked	2		menu	`HEALTH__FED_HRSA_SHORTAGE_AREAS`	Designations double as funding applications, so they persist; chronic rural shortage is well known.	4d40fce766fb
S070	85	85	Beaver Valley Hospital, 25 beds in Utah, took $22.3M in COVID relief: 2.45 times its 2019 patient revenue	$22.3M relief vs $9.1M 2019 net patient revenue (2.45x); 40 Utah nursing-home enrollments carry the hospital's name.		unchecked	3		menu	`HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND`, `HEALTH__FED_CMS_HCRIS`, `HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS`	The rural tranche paid critical-access hospitals more by design (median 19.8% of revenue).	c4a991f08a8a
S071	86	86	Political ad buyers who gave Google only a tax ID, no federal election ID, spent $861.4M on Google ads	8,368 EIN-only US buyers spent $861.4M (FEC-ID buyers $1,389.1M); Securing American Greatness Inc put 84% of its 2024 spend on one-gender ads.		unchecked	3		menu	`EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_STATS`, `EDUCATION__FED_GOOGLE_POLADS_CREATIVE_STATS`, `FINANCE__FED_FEC_COMMITTEES_DIM`	State candidates and ballot committees have no federal election ID by law, so most of the pile is legal.	49cd978b0dd8
S072	87	87	CareCore Health's 12 Ohio nursing homes draw 1.95x their state's fire-safety citations; 11 repeat a citation across three inspections	CareCore (OH, 12 homes) 1.95x its state's fire citations per home; 11 of 12 repeat a tag in all 3 cycles (2.54x the state rate); median chain 1.00x.		unchecked	3		menu	`HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES`, `HEALTH__FED_CMS_NURSING_HOME`	Almost all sprinkler and alarm-testing upkeep (K0353, K0345), with 0-1 serious citations per chain.	cc39f1fce4c5
S073	88	88	One Egyptian national born in 2001 controls 630 UK companies the register calls live; none file accounts	630 companies where he's a not-ceased controlling person, notified 2022-26, none filing accounts, most at one Manchester business centre.		narrowed	3		menu	`CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC`	Not-ceased control is not a live company (Southern: 0 of 759 alive); likely a company-formation agent.	e8bdc28f9400
S074	89	89	68 federal district judges with unusual loans from a bank were assigned 424 cases naming that bank	379 judges got 3,650 cases naming a bank they owed that year (2003-21); the narrow cut is 68 district judges with investment, guaranty or $250K+ loans on 424 cases.		unchecked	3		menu	`JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS`, `JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES`, `JUSTICE__FED_COURTLISTENER_DOCKETS`	Under recusal law an ordinary loan isn't ownership, so most hits are routine.	3145792839b6
S075	90	90	The federal housing agency pays $2,574 a unit a month for White Birch Apartments in Milwaukee: 223% of fair rent	$2,574 a unit a month, 223% of fair rent for its bedroom mix; no other 100+ unit building in a cheap market outside Puerto Rico runs a higher ratio.		narrowed	3		menu	`HOUSING__FED_HUD_MF_SECTION8_CONTRACTS`, `HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS`, `FED_HUD_MF_PROPERTIES_OWNERS` (landing)	Two tax-credit deals in seven years (2017 FHA purchase, May 2024 new owner) fit a legal rent reset.	387e2147540d
S076	91	91	29 Medicare-enrolled businesses are signed for by someone sharing a banned person's name, city and state; two drew $4.91M	29 enrolled orgs, org NPI created after the ban; 2 drew 2024 Part B money: National Health Transport (Miami ambulance) $4.25M, ASAP EMS (Laurel MS) $662K.		unchecked	3		menu	`HEALTH__FED_HHS_OIG_LEIE`, `HEALTH__FED_CMS_NPPES`, `HEALTH__FED_CMS_PECOS_PROVIDER_ENROLLMENT`, `HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER`	Raul Rodriguez and Kevin Smith are common names, so namesakes aren't ruled out.	14abf895bfc3
S077	92	92	33 US healthcare posts on ransomware leak sites match a Medicare hospital by name; Watsonville's was posted by two gangs	1,146 US healthcare posts; 33 match a Medicare hospital (32 hospitals); Watsonville Community Hospital posted by termite (2024-12) and sinobi (2025-10).		unchecked	3		menu	`JUSTICE__XC_RANSOMWARELIVE_VICTIMS`, `HEALTH__FED_CMS_HOSPITAL_GENERAL`	A leak-site post is not a confirmed breach.	2f74216182db
S078	93	93	Altair Recycling in Texas got a $57.0M state water-pollution penalty in June 2025, the biggest on file after BP's	$57.0M state civil judicial penalty on 2025-06-06 (case TX-D-1-GN-19-002002), biggest after BP's two $3.35B lines; hazardous-waste violations open since 2019.		unchecked	3		menu	`ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS`, `ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES`, `ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS`	One site; the water fine and the waste violations are tied by name, not by an ID.	4b7ffd6f7d28
S079	94	94	On a strict name and birth-date match, 22 sanctioned people control 46 live UK companies; about 3 are likely chance	Strict full-name match, open control, Active company: 22 people on 46 companies (loose count was 45 on 83); a shifted-birth-month test finds about 3 by chance.		narrowed	3		menu	`JUSTICE__INTL_OPENSANCTIONS`, `CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC`, `CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE`	Kong isn't a find: OFAC's own 2026-06-23 action names 6 of his UK companies by number.	f22448eb9ffe
S080	95	95	Two cases went to judges whose spouses drew director fees from the defendant: McMahon–JetBlue, Leinenweber–Procter & Gamble	Liotti v. Jet Blue (SDNY 1:17-cv-00838, closed in 5 days; spouse's JetBlue fees 2014-18) and Gardner v. Procter & Gamble (NDIL 1:09-cv-06690; spouse's P&G fees 2004-09).		unchecked	4		menu	`JUSTICE__FED_COURTLISTENER_DISCLOSURE_SPOUSAL_INCOME`, `JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES`, `JUSTICE__FED_COURTLISTENER_JUDGES`, `JUSTICE__FED_COURTLISTENER_DOCKETS`	CourtListener holds only dockets someone pulled, so hits are floors, and recusal isn't ruled out.	adc167c99588
S081	96	96	Drug companies logged 47,607 doctor meals at exactly $125.00 in 2024, against 675 at $126.00	2024 meals: 47,607 at $125.00 and 20,666 at $124.99 vs 675 at $126.00 and 192 at $123.99; AstraZeneca 11.1 per 1,000 meals just under $125, Pfizer 0.6.		unchecked	3		menu	`HEALTH__PHARMA_MEAL_CAP_FINGERPRINT`, `HEALTH__FED_CMS_OPEN_PAYMENTS`	$125 is a company policy cap, not a law, so this is a fingerprint, not harm.	c2069aefe15a
S082	97	97	E-bike and moped emergency-room visits quadrupled, 21,800 to 87,600 a year from 2019 to 2023, while all injuries stayed flat	E-bikes plus mopeds (code 3215, split into 5045 and 5046 in 2024): 21.8K to 87.6K weighted ER visits, 2019 to 2023 (4.0x); all injuries 0.95x.		unchecked	1		menu	`CONSUMER_SAFETY__FED_CPSC_NEISS`, `EDUCATION__FED_CPSC_NEISS_CODES`	Weights reset in 2024 and floor injuries jumped in 2025, so don't read trends past 2023.	99a9139f3447
S083	98	98	Outside money beat the candidate's own spending in 104 of 637 congressional campaigns in 2024; Moreno tops at 5.8x	104 of 637 matched 2024 House and Senate candidates saw more outside spending than their own (82 over $1M); Moreno $152M outside vs $26M own.		unchecked	1	lead_cites_press	menu	`FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES`, `POLITICS__FEC_CANDIDATE_SUMMARY`, `POLITICS__FED_CONGRESS_LEGISLATORS`	29 crank rows hold $115B and must be filtered; the famous Senate races top every list.	5195d2f2afaa
S084	99	99	Forest County, Pennsylvania, has 1,685 orphaned oil and gas wells for every 10,000 residents	Forest PA 1,685 per 10K people; Monroe OH 1,491; Nowata OK 1,441; Venango PA holds 4,786 wells, 25% of Pennsylvania's.		unchecked	1		menu	`ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS`, `DIM_COUNTY`	One 2019-22 snapshot with no operator column, and counts track how hard each state looked.	f4e96419da97
S085	100	100	Delaware's court got 46 of the 80 billion-dollar business bankruptcies filed since 2015, counting affiliated cases as one	Delaware 46 of 80 Chapter 11 families with $1B+ assets (57.5%) vs 3.2% of all families; Houston has 58 families of 20+ affiliates, 52 showing under $1M assets.		unchecked	1	lead_cites_press	menu	`JUSTICE__FED_FJC_IDB_BANKRUPTCY`	"The dollar columns failed (Houston's assets are blank, ""debt discharged"" isn't), and venue shopping is well covered."	83d80f04860a
S086	101,110	101	76 co-authors of papers retracted in federal misconduct cases got $187M in federal health-research grants afterward	76 US co-authors of ORI-investigated retractions (2010-25) got $187M in NIH awards noticed after the retraction.		narrowed	2		menu	`SCIENCE_RESEARCH__FED_RETRACTION_WATCH`, `SCIENCE_RESEARCH__FED_NIH_REPORTER`	Can't tell the person who faked data from the lab head; the closing skeptic reads it as C.	fb7d97d45f48
S087	102	102	23 firms under a government-wide ban got $800K in new federal orders after the ban, mostly from Defense	23 firms under Reciprocal or Procurement exclusions got about $800K of positive new actions after the ban, mostly DoD.		narrowed	3		menu	`PROCUREMENT__FED_SAM_EXCLUSIONS`, `ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2`	A real join but small money.	58df2a754142
S088	103	103	Hedge funds and banks paid for 14.6% of itemized Texas lobby meals; the top recipient got $10-14K over 15 years	Firm-named filers paid 2,114 of 14,448 itemized meals (14.6%, about 22% of range-high dollars); Brad Gilbert got 70 meals worth $10.2K-$14.4K from 11 funds, 2011-26.		unchecked	3		menu	`POLITICS__TX_LOBBY_FOOD_BEVERAGE`	Itemized meals are only 3.5% of reported food money, so this ranks what got itemized.	83d5fe15258c
S089	104,115	104	NAI Logistics got 13 Defense fuel payments worth a net $20,647 within 3 days of its sanctions listing	NAI Logistics B.V.: $3.28M over 436 DoD actions; 13 actions, net $20,647, dated on or up to 3 days after its 2023-12-11 Global Magnitsky listing.		unchecked	2		menu	`JUSTICE__INTL_OPENSANCTIONS_DEFAULT`, `ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2`	FIRST_SEEN is when OpenSanctions picked the entry up, not the designation date.	9c7916409852
S090	105	105	Oklahoma lost 161 veterans to suicide in 2023, against 98 to 134 every year from 2011 to 2022	161 in 2023 vs 98-134 a year in 2011-22; about z=3.3 for 2023 alone against the national trend, the top state but not unique (Indiana 2022, z=3.64).		narrowed	2		menu	`HEALTH__FED_VA_SUICIDE_STATE`, `HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY`	"One bad year, not a trend; the ""4.9 SD"" and Kansas claims broke under the skeptic."	3b7f167ab775
S091	106	106	Tesla has 43 California accident inspections by job-safety regulators; 18 are still open, with a median 486 days to close	Tesla: 44 accident or fatality inspections since 2015, 43 in California; 18 still open; median 486 days to close vs 139-251 for most top employers.		unchecked	2		menu	`ECONOMICS__FED_DOL_OSHA_INSPECTIONS`	California files serious-injury inspections as type A where other states use M, and there's no headcount.	7abc8c9aade6
S092	108	108	Redlined 1930s neighborhoods hold 13.35 toxic-release plants per 100 square kilometers, six times the 2.21 in 'B' areas	Toxic-release plants per 100 km²: D areas 13.35, C 5.82, B 2.21, A 0.07; D denser than B in 119 of 212 cities.		unchecked	1		menu	`HOUSING__FED_MAPPING_INEQUALITY`, `ENVIRONMENT__FED_EPA_TRI_BASIC_2023`	The plants likely came before the maps, and redlining-to-pollution research is already published.	255817b22949
S093	109	109	Black residents' jail rate ran 4.57x the white rate in 2010, 3.41x in 2019 and 3.86x in 2023, median county	Median Black/white jail-rate ratio in 356 fixed counties: 4.57 (2010), 3.41 (2019), 3.86 (2023); counties at 10x+: 30, 19, 24.		unchecked	1		menu	`JUSTICE__RACIAL_JAIL_DISPARITY`, `JUSTICE__XC_VERA_INCARCERATION_TRENDS`	This table is Vera's data re-served (0 differences), and the post-2020 rise crosses a race-coding break.	2f8c25539a1c
S094	111	111	987 of 22,770 months where an insider sold $5M+ of stock came 4-9 months before a 50%+ price drop	987 of 22,770 owner-months with $5M+ sold (2015-25) preceded a price at least 50% lower; e.g. Daniel Loeb in Upstart, $712M at $225, later $51.		unchecked	2		menu	`FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS`, `FINANCE__FED_SEC_INSIDER_SUBMISSION`, `FINANCE__FED_SEC_INSIDER_REPORTINGOWNER`	The top of the list is stock splits (Tesla, Walmart, Alphabet), and preset trading plans can't be checked.	7707baf3293f
S095	112	112	Oklahoma refineries pay $3,300 in air penalties per logged violation; Texas refineries pay $142,000	Refinery-coded sites 2015-25: Oklahoma 9 sites, 148 violations, $0.48M penalties ($3.3K each); Texas 58 sites, 203 violations, $28.8M ($142K each).		unchecked	3		menu	`ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FORMAL_ACTIONS`, `ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES`, `ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY`	Only 9 facilities, and states differ in what they report into this federal file.	30a29c98d93d
S096	113	113	CSX and Norfolk Southern made 8.2 times the spill-hotline calls of Union Pacific and BNSF in 2015-17	CSX plus Norfolk Southern 511 calls a year vs 63 for Union Pacific plus BNSF, 2015-17 (8.2x); 140 vs 76.5 in 2024-25 (1.8x).		unchecked	3		menu	`ENVIRONMENT__FED_USCG_NRC_INCIDENTS`	Self-reported call headers only, with no material, amount or place, and habits differ by railroad.	81d6e4d1de11
S097	114	114	In two environmental-agency regions, 78% of hazardous-waste sites inspected twice have no action on file, versus 33% in two others	RCRA sites inspected on-site twice or more since 2015: no EPA case or informal action on file at 78% in Regions 6 and 9 vs 33% in Regions 7 and 8.		unchecked	3		menu	`FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS`, `FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES`, `FINANCE__FED_EPA_ICIS_FEC_EPA_INFORMAL_ENFORCEMENT_ACTIONS`	"The case tables carry no dates, so ""no action"" means none ever, not none after the inspection."	58665aa781da
S098	117	117	Kings County, California, rejected 13.7% of returned mail ballots in 2022, against 1.52% nationally	Kings County CA rejected 13.7% of returned mail ballots in 2022 (3,628 under unlabeled reason C9P) vs 1.52% nationally.		unchecked	3		menu	`POLITICS__FED_EAC_EAVS`	"Some counties book undeliverable mail as rejections (Orange, Los Angeles, Hernando); read the ""other"" labels first."	d3616f1bb1a9
S099	118	118	37 planes that crash investigators rated destroyed got their federal registration renewed or extended after the crash	Of 420 destroyed US planes still marked valid, 383 sit inside a term that began before the crash; 37 had terms start after it, all touched in 2023.		narrowed	3		menu	`TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT`, `TRANSPORT__FED_NTSB_AVIATION_EVENTS`, `TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY`	The 37 could be rebuilds (mostly warbirds, helicopters, homebuilts) or FAA batch processing.	f8d8c2fe5665
S100	119	119	Senators on the Banking Committee were 19% of trading senators but made 34% of bank-stock trades, 2012-20	Banking Committee members were 19% of trading senator-Congress pairs but made 34% of bank-stock trades, 2012-20.		narrowed	2		menu	`POLITICS__SENATE_TRADES`, `POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP`, `FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE`, `FINANCE__FED_SEC_EDGAR_FINANCIALS`	Perdue alone drives it; the closing skeptic reads it as C.	a4cc1c04d22e
