COMPANY_NAME,EIN,CIK,SIC,LATEST_FY,ESTABLISHMENTS,EMPLOYEES,HOURS,TOTAL_CASES,DEATHS,INJURY_RATE_PER_100_FTE,SEC_FILINGS,INSIDER_FILINGS,FORM4_FILINGS,LATEST_INSIDER_FILING
INTERNATIONAL PAPER CO /NEW/,130872805,51434,2621,2024,107,15618,35833649,198,1,1.11,8,16,14,2026-03-12
INGREDION INC,223514823,1046257,2040,2024,21,2570,5300687,29,0,1.09,8,53,51,2026-03-19
"ALEXANDRIA REAL ESTATE EQUITIES, INC.",954502084,1035443,6798,2024,7,521,931367,5,0,1.07,8,71,63,2026-03-17
TELEDYNE TECHNOLOGIES INC,251843385,1094285,3812,2024,2,304,560741,3,0,1.07,8,14,14,2026-02-04
OPTICAL CABLE CORP,541237042,1000230,3357,2024,2,257,377639,2,0,1.06,8,2,2,2026-02-03
"MICROVISION, INC.",911600822,65770,3679,2024,1,104,187988,1,0,1.06,8,17,17,2026-03-16
"AIR PRODUCTS & CHEMICALS, INC.",231274455,2969,2810,2024,40,2303,4890082,26,0,1.06,8,18,18,2026-02-13
LOCKHEED MARTIN CORP,521893632,936468,3760,2024,114,98424,207534369,1093,0,1.05,8,30,30,2026-03-13
WELLTOWER INC.,341096634,766704,6798,2024,71,714,1160527,6,0,1.03,8,17,17,2026-02-27
"TREEHOUSE FOODS, INC.",202311383,1320695,2030,2024,3,369,797785,13,0,3.26,8,15,14,2026-02-12
BARRETT BUSINESS SERVICES INC,520812977,902791,7363,2024,9,683,1605720,26,0,3.24,7,13,13,2026-03-26
CORE MOLDING TECHNOLOGIES INC,311481870,1026655,3089,2024,1,153,310394,5,0,3.22,8,29,21,2026-03-31
QUAKER CHEMICAL CORP,230993790,81362,2990,2024,2,94,187209,3,0,3.20,9,15,14,2026-03-17
LEAR CORP,133386776,842162,3714,2024,31,9378,18705128,292,0,3.12,8,26,25,2026-03-16
DONALDSON CO INC,410222640,29644,3564,2025,9,1008,1934925,30,0,3.10,8,11,11,2026-03-27
CLEARWATER PAPER CORP,203594554,1441236,2631,2024,3,1781,3962415,61,0,3.08,8,20,18,2026-03-17
GORMAN RUPP CO,340253990,42682,3561,2024,2,531,997741,15,0,3.01,8,29,14,2026-03-05
"ADVANCED DRAINAGE SYSTEMS, INC.",510105665,1604028,3086,2025,37,3138,6304474,93,0,2.95,8,3,3,2026-03-19
FLEXSTEEL INDUSTRIES INC,420442319,37472,2510,2024,5,241,476091,7,0,2.94,8,7,7,2026-03-13
HURCO COMPANIES INC,351150732,315374,3823,2024,1,174,343302,5,0,2.91,8,19,18,2026-03-16
ATMOS ENERGY CORP,751743247,731802,4924,2024,178,5655,10605010,154,0,2.90,8,24,22,2026-03-10
"BIO-RAD LABORATORIES, INC.",941381833,12208,3826,2024,3,175,351220,5,0,2.85,8,0,0,
"SONIDA SENIOR LIVING, INC.",752678809,1043000,8050,2024,3,167,210161,3,0,2.85,8,5,1,2026-03-23
KNIFE RIVER CORP,921008893,1955520,1400,2024,4,219,421254,6,0,2.85,8,13,13,2026-03-09
TXNM ENERGY INC,850019030,1108426,4911,2024,7,725,1273966,18,0,2.83,8,12,12,2026-03-09
HEARTLAND EXPRESS INC,930926999,799233,4213,2024,13,1972,5089576,72,0,2.83,8,0,0,
GENERAL DYNAMICS CORP,131673581,40533,3730,2024,1,304,641618,9,0,2.81,8,60,60,2026-03-19
FASTENAL CO,410948415,815556,5200,2024,128,7477,12686469,177,0,2.79,8,26,23,2026-03-06
PUBLIX SUPER MARKETS INC,590324412,81061,5411,2024,1424,252175,326674090,4545,0,2.78,8,16,5,2026-03-23
AMERICAS CARMART INC,630851141,799850,5500,2025,1,2311,4248783,59,0,2.78,8,1,1,2026-01-16
"SCHNEIDER NATIONAL, INC.",391258315,1692063,4213,2024,86,14309,31921729,442,1,2.77,8,16,16,2026-03-02
ABM INDUSTRIES INC /DE/,941369354,771497,7340,2024,1,79907,174222381,2404,0,2.76,8,25,22,2026-02-27
METALLUS INC.,464024951,1598428,3312,2024,1,1879,3855867,53,0,2.75,8,19,19,2026-03-02
"HELIOS TECHNOLOGIES, INC.",592754337,1024795,3490,2024,1,662,1161962,16,0,2.75,8,27,27,2026-03-23
WEIS MARKETS INC,240755415,105418,5411,2024,72,6845,8010326,108,0,2.70,8,0,0,
URBAN OUTFITTERS INC,232003332,912615,5651,2024,8,3520,6422894,86,0,2.68,8,60,60,2026-03-13
KROGER CO,310345740,56873,5411,2024,322,48671,69275812,927,0,2.68,8,32,30,2026-03-16
GOODYEAR TIRE & RUBBER CO /OH/,340253240,42582,3011,2024,12,6965,14074750,188,0,2.67,8,26,26,2026-03-03
"ALTO INGREDIENTS, INC.",412170618,778164,2860,2024,3,375,761125,10,0,2.63,8,5,5,2026-03-19
BEACON ROOFING SUPPLY INC,364173371,1124941,5030,2024,68,1900,3880629,51,0,2.63,8,0,0,
WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,251615902,943452,3743,2024,5,868,1990841,26,0,2.61,8,51,50,2026-03-13
"HUB GROUP, INC.",364007085,940942,4731,2024,101,9619,12433247,160,0,2.57,8,15,14,2026-01-16
"LULU'S FASHION LOUNGE HOLDINGS, INC.",208442468,1780201,5961,2024,7,445,941142,12,0,2.55,8,3,3,2026-02-05
RALPH LAUREN CORP,132622036,1037038,2320,2025,3,1953,2616454,33,0,2.52,8,12,11,2026-03-05
ACCURAY INC,208370041,1138723,3841,2024,4,249,238158,3,0,2.52,8,4,4,2026-03-03
QVC INC,232414041,1254699,5961,2024,4,7283,10556044,133,0,2.52,8,0,0,
ILLINOIS TOOL WORKS INC,361258310,49826,3560,2024,59,4576,9264652,116,0,2.50,8,21,20,2026-03-16
NORTHERN TECHNOLOGIES INTERNATIONAL CORP,410857886,875582,3470,2024,1,80,159754,2,0,2.50,10,0,0,
ZEBRA TECHNOLOGIES CORP,362675536,877212,3560,2024,3,373,815448,10,0,2.45,8,24,23,2026-03-18
HERSHEY CO,230691590,47111,2060,2024,7,5218,9271391,113,0,2.44,8,48,48,2026-03-27
"PELOTON INTERACTIVE, INC.",473533761,1639825,3949,2025,5,1689,2801654,34,0,2.43,8,21,21,2026-03-17
PACCAR INC,910351110,75362,3711,2024,18,6971,12889511,156,0,2.42,8,87,87,2026-03-06
NCR VOYIX CORP,310387920,70866,3578,2024,5,2740,5615300,68,0,2.42,8,13,13,2026-03-16
EASTMAN KODAK CO,160417150,31235,3861,2024,3,1513,3395712,41,0,2.41,8,8,8,2026-03-12
PACKAGING CORP OF AMERICA,364277050,75677,2650,2024,111,15194,32171819,385,0,2.39,8,30,29,2026-03-31
LIGHTPATH TECHNOLOGIES INC,860708398,889971,3674,2025,1,99,168200,2,0,2.38,8,9,9,2026-03-30
MATTHEWS INTERNATIONAL CORP,250644320,63296,3360,2024,4,642,1266489,15,0,2.37,8,17,17,2026-03-23
ALLIANT ENERGY CORP,391380265,352541,4931,2024,38,2658,5164827,61,0,2.36,8,18,15,2026-03-19
PPG INDUSTRIES INC,250730780,79879,2851,2024,25,4019,8386253,99,0,2.36,8,99,90,2026-03-16
DEERE & CO,362382580,315189,3523,2024,10,8753,16847455,198,0,2.35,8,11,11,2026-03-05
WINNEBAGO INDUSTRIES INC,420802678,107687,3716,2025,6,2083,3416635,40,0,2.34,8,2,2,2026-03-03
CHESAPEAKE UTILITIES CORP,510064146,19745,4923,2024,24,552,1109926,13,1,2.34,8,20,8,2026-02-26
3M CO,410417775,66740,3841,2024,380,35194,61828783,724,0,2.34,8,38,30,2026-03-03
ENCORE WIRE CORP,752274963,850460,3350,2024,2,3290,7545112,88,0,2.33,6,0,0,
"RED TRAIL ENERGY, LLC",760742311,1359687,2860,2024,1,50,86515,1,0,2.31,7,0,0,
WISCONSIN PUBLIC SERVICE CORP,390715160,107833,4931,2024,11,1077,2154000,11,0,1.02,8,0,0,
XPERI INC.,834470363,1788999,7372,2024,1,94,195520,1,0,1.02,8,5,5,2026-03-03
ARCHER-DANIELS-MIDLAND CO,410129150,7084,2070,2024,73,8642,18549952,95,0,1.02,12,51,50,2026-03-25
COMMERCIAL METALS CO,750725338,22444,3312,2024,17,1129,2385974,12,0,1.01,8,18,18,2026-02-04
TTM TECHNOLOGIES INC,911033443,1116942,3672,2024,2,708,1404189,7,0,1.00,8,23,21,2026-03-03
PLUG POWER INC,223672377,1093691,3620,2024,1,284,608290,3,0,0.99,8,9,9,2026-01-14
ICU MEDICAL INC/DE,330022692,883984,3841,2024,3,421,827048,4,0,0.97,8,13,13,2026-03-26
"CROCS, INC.",202164234,1334036,3021,2024,4,1606,3138094,15,0,0.96,8,12,12,2026-03-24
GLATFELTER CORP,230628360,41719,2621,2024,2,293,627977,3,0,0.96,8,12,11,2026-03-10
"FIRST SOLAR, INC.",204623678,1274494,3674,2024,4,3536,7330875,35,0,0.95,8,47,47,2026-03-17
"H&E EQUIPMENT SERVICES, INC.",810553291,1339605,7350,2024,1,2938,6543254,31,0,0.95,8,0,0,
BUCKLE INC,470366193,885245,5651,2024,1,700,1268944,6,0,0.95,8,16,16,2026-03-23
HOWMET AEROSPACE INC.,250317820,4281,3350,2024,3,1508,3382327,16,0,0.95,8,13,13,2026-02-27
CORNING INC /NY,160393470,24741,3357,2024,4,1013,2351260,11,0,0.94,8,60,59,2026-02-27
AVIENT CORP,341730488,1122976,2821,2024,11,966,2121790,10,0,0.94,8,33,32,2026-02-24
CONMED CORP,160977505,816956,3845,2024,3,451,854536,4,0,0.94,8,16,10,2026-03-18
TANDEM DIABETES CARE INC,204327508,1438133,3841,2024,4,2451,5098373,24,0,0.94,8,10,10,2026-03-18
TRANSCAT INC,160874418,99302,3825,2025,1,927,1710193,8,0,0.94,8,4,4,2026-01-08
NISOURCE INC.,352108964,1111711,4931,2024,166,7814,15278782,72,0,0.94,8,19,19,2026-03-03
CENTRUS ENERGY CORP,522107911,1065059,1400,2024,1,128,215496,1,0,0.93,8,1,1,2026-03-17
FEDERAL REALTY INVESTMENT TRUST,520782497,34903,6798,2024,22,349,651667,3,0,0.92,8,10,9,2026-02-13
NANOPHASE TECHNOLOGIES CORP,363687863,883107,2844,2024,2,160,436686,2,0,0.92,8,0,0,
ALBANY INTERNATIONAL CORP /DE/,140462060,819793,2221,2024,8,1969,3921987,18,0,0.92,8,8,8,2026-03-03
HORTON D R INC /DE/,752386963,882184,1531,2024,46,5122,10008027,46,0,0.92,8,20,20,2026-03-31
"REKOR SYSTEMS, INC.",815266334,1697851,3669,2024,1,305,652167,3,0,0.92,8,2,2,2026-03-23
LENNAR CORP /NEW/,954337490,920760,1520,2024,52,13686,20082728,91,0,0.91,8,10,10,2026-03-18
VULCAN MATERIALS CO,208579133,1396009,1400,2024,1,75,221258,1,0,0.90,8,30,29,2026-03-04
INTERNATIONAL FLAVORS & FRAGRANCES INC,131432060,51253,2860,2024,3,432,902900,4,0,0.89,8,6,4,2026-03-25
COHERENT CORP.,251214948,820318,3827,2025,3,563,1145141,5,0,0.87,8,18,18,2026-03-18
PERMA FIX ENVIRONMENTAL SERVICES INC,581954497,891532,4955,2024,4,127,229904,1,0,0.87,8,9,9,2026-02-10
MOHAWK INDUSTRIES INC,521604305,851968,2273,2024,45,8902,17686307,76,0,0.86,8,30,30,2026-03-20
"CIVITAS RESOURCES, INC.",611630631,1509589,1311,2024,1,622,1157716,5,0,0.86,8,15,15,2026-02-03
STAAR SURGICAL CO,953797439,718937,3851,2024,6,784,1394719,6,0,0.86,8,14,12,2026-03-16
CATERPILLAR INC,370602744,18230,3531,2024,35,20687,43943925,188,0,0.86,8,55,54,2026-03-27
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,911069248,746515,4731,2024,29,3036,5588168,24,0,0.86,8,6,6,2026-03-03
NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/,520891669,70502,6159,2025,1,293,701915,3,0,0.85,8,0,0,
IRON MOUNTAIN INC,232588479,1020569,6798,2024,187,13527,28140853,119,0,0.85,8,28,28,2026-03-23
AES CORP,541163725,874761,4991,2024,5,226,472662,2,0,0.85,9,16,16,2026-02-26
"GOLDEN ENTERTAINMENT, INC.",411913991,1071255,7990,2024,1,284,477822,2,0,0.84,8,8,8,2026-02-27
MCCORMICK & CO INC,520408290,63754,2090,2024,5,1175,2866705,12,0,0.84,8,71,67,2026-03-24
TAMPA ELECTRIC CO,590475140,96271,4911,2024,23,3246,6644858,28,0,0.84,8,0,0,
SNAP ONE HOLDINGS CORP.,821952221,1856430,3670,2024,3,110,242272,1,0,0.83,6,0,0,
"VIRTRA, INC",931207631,1085243,3990,2024,1,119,244211,1,0,0.82,8,2,1,2026-02-25
VAREX IMAGING CORP,813434516,1681622,3679,2024,5,1195,2222511,9,1,0.81,8,15,13,2026-03-27
PRICESMART INC,330628530,1041803,5331,2024,1,236,490880,2,0,0.81,8,18,18,2026-02-18
"AGILENT TECHNOLOGIES, INC.",770518772,1090872,3826,2024,15,4624,7934000,32,0,0.81,9,14,13,2026-03-23
DUCOMMUN INC /DE/,950693330,30305,3728,2024,1,235,752963,3,0,0.80,8,7,7,2026-03-12
AMETEK INC/,141682544,1037868,3823,2024,10,734,1506203,6,0,0.80,8,39,36,2026-03-25
NEWELL BRANDS INC.,363514169,814453,3089,2024,4,756,1496821,6,0,0.80,8,24,24,2026-03-03
"LSB INDUSTRIES, INC.",731015226,60714,2810,2024,2,317,759445,3,0,0.79,8,28,28,2026-03-30
BIOGEN INC.,330112644,875045,2836,2024,2,742,1535645,6,0,0.78,8,21,21,2026-02-17
ULTRAGENYX PHARMACEUTICAL INC.,272546083,1515673,2834,2024,6,1192,2062878,8,0,0.78,8,11,11,2026-03-10
EMAGIN CORP,561764501,1046995,3674,2023,1,123,255840,1,0,0.78,3,0,0,
GRANITE CONSTRUCTION INC,770239383,861459,1600,2024,1,4078,8156363,31,0,0.76,8,24,16,2026-03-30
CACI INTERNATIONAL INC /DE/,541345888,16058,7373,2025,8,743,1331268,5,0,0.75,8,12,10,2026-03-12
MICROCHIP TECHNOLOGY INC,860629024,827054,3674,2025,25,3169,5584912,21,0,0.75,8,26,26,2026-03-04
CLEVELAND-CLIFFS INC.,341464672,764065,1000,2024,2,367,816038,3,0,0.74,8,19,19,2026-02-20
"CLEARFIELD, INC.",411347235,796505,3661,2024,2,258,539285,2,0,0.74,8,12,12,2026-03-02
MERIDIAN BIOSCIENCE INC,310888197,794172,2835,2023,3,327,545811,2,0,0.73,1,0,0,
"INDEPENDENCE CONTRACT DRILLING, INC.",371653648,1537028,1381,2024,1,398,1103052,4,0,0.73,8,0,0,
"10X GENOMICS, INC.",455614458,1770787,3826,2024,1,1110,2220000,8,0,0.72,8,10,10,2026-03-25
STEPAN CO,361823834,94049,2840,2024,7,1059,2256344,8,0,0.71,8,21,18,2026-03-05
TD SYNNEX CORP,942703333,1177394,5045,2024,11,4446,8567002,30,0,0.70,8,14,14,2026-03-05
FREQUENCY ELECTRONICS INC,111986657,39020,3825,2025,1,137,288687,1,0,0.69,8,0,0,
ONCOR ELECTRIC DELIVERY CO LLC,752967830,1193311,4911,2024,67,5891,11557508,40,0,0.69,10,0,0,
AVERY DENNISON CORP,951492269,8818,2670,2024,18,1869,3760951,13,0,0.69,8,13,13,2026-03-13
UNIVAR SOLUTIONS INC.,261251958,1494319,5160,2023,66,3129,6356146,22,0,0.69,3,0,0,
"BEYOND, INC.",870634302,1130713,5961,2024,2,711,865359,3,0,0.69,8,9,9,2026-03-12
REVLON INC /DE/,133662955,887921,2844,2022,1,315,594826,2,0,0.67,1,0,0,
"LEONARDO DRS, INC.",132632319,1833756,3812,2024,3,1762,3864569,13,0,0.67,9,8,7,2026-03-17
"CONSUMER PORTFOLIO SERVICES, INC.",330459135,889609,6199,2024,5,859,1786027,6,0,0.67,9,4,3,2026-03-17
TRULIEVE CANNABIS CORP.,581882476,1754195,2833,2024,175,6144,12176056,40,0,0.66,10,17,15,2026-03-17
PAR TECHNOLOGY CORP,161434688,708821,3578,2024,3,822,1521163,5,0,0.66,9,10,8,2026-03-05
METTLER TOLEDO INTERNATIONAL INC/,133668641,1037646,3826,2024,2,346,301916,1,0,0.66,8,4,2,2026-02-19
ARMSTRONG WORLD INDUSTRIES INC,230366390,7431,3089,2024,4,1525,3089127,10,0,0.65,8,12,12,2026-03-02
BECTON DICKINSON & CO,220760120,10795,3841,2024,6,2691,5338648,17,0,0.64,8,26,24,2026-03-27
"ARCUS BIOSCIENCES, INC.",473898435,1724521,2834,2024,1,606,1259728,4,0,0.64,8,11,11,2026-01-26
NUCOR CORP,131860817,73309,3312,2024,15,6108,12940690,41,0,0.63,8,24,23,2026-03-25
AVNET INC,111890605,8858,5065,2025,23,2206,4576402,14,0,0.61,8,25,25,2026-03-19
INFINERA CORP,770560433,1138639,3661,2024,5,820,1636000,5,0,0.61,9,0,0,
"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",161590339,1299130,3826,2024,2,494,985824,3,0,0.61,8,12,11,2026-03-05
MASIMO CORP,330368882,937556,3845,2024,1,1272,2326228,7,0,0.60,8,14,14,2026-03-16
IRADIMED CORP,731408526,1325618,3841,2024,1,160,334000,1,0,0.60,8,11,11,2026-03-25
"CYTEK BIOSCIENCES, INC.",472547526,1831915,3826,2024,5,331,662160,2,0,0.60,8,11,11,2026-03-13
CONAGRA BRANDS INC.,470248710,23217,2000,2025,8,2031,4164122,12,0,0.58,9,5,3,2026-03-04
"REVANCE THERAPEUTICS, INC.",770551645,1479290,2834,2024,1,168,350000,1,0,0.57,8,0,0,
RAYONIER INC,132607329,52827,6798,2024,21,387,714053,2,0,0.56,8,28,19,2026-03-27
OLIN CORP,131872319,74303,2800,2024,4,650,1428802,4,0,0.56,8,21,21,2026-03-20
CAL-MAINE FOODS INC,640500378,16160,0200,2025,48,1757,17651940,49,0,0.56,7,13,13,2026-01-14
ZOETIS INC.,460696167,1555280,2834,2024,4,668,1436836,4,0,0.56,8,70,69,2026-03-31
"TABULA RASA HEALTHCARE, INC.",465726437,1651561,7389,2023,3,737,1085534,3,0,0.55,3,0,0,
PARKER HANNIFIN CORP,340451060,76334,3490,2025,155,24454,46140179,127,0,0.55,8,13,13,2026-02-18
NORTHWEST PIPE CO,930557988,1001385,3317,2024,5,351,731497,2,0,0.55,8,21,20,2026-03-31
"KEYSIGHT TECHNOLOGIES, INC.",464254555,1601046,3823,2024,18,3971,7942000,22,0,0.55,8,19,19,2026-03-26
FMC CORP,940479804,37785,2800,2024,2,187,366590,1,0,0.55,8,31,30,2026-03-05
KRAFT HEINZ CO,462078182,1637459,2030,2024,2,525,1092000,3,0,0.55,8,14,12,2026-03-03
OSHKOSH CORP,390520270,775158,3711,2024,1,171,374835,1,0,0.53,8,35,34,2026-03-02
"CORTEVA, INC.",824979096,1755672,0100,2024,22,2941,6076236,16,0,0.53,8,35,35,2026-03-02
APPLIED MATERIALS INC /DE,941655526,6951,3674,2024,32,15828,35264670,93,0,0.53,8,17,17,2026-03-13
"NIKE, INC.",930584541,320187,3021,2025,3,14987,26091697,68,0,0.52,8,6,6,2026-02-13
"GILEAD SCIENCES, INC.",943047598,882095,2836,2024,1,587,1146088,3,0,0.52,8,27,26,2026-03-30
FOSTER L B CO,251324733,352825,5051,2024,5,170,381968,1,0,0.52,11,48,28,2026-03-30
WATERS CORP /DE/,133668640,1000697,3826,2024,7,2927,5876014,15,0,0.51,8,33,32,2026-03-18
"ORION ENERGY SYSTEMS, INC.",391847269,1409375,3640,2024,1,217,388457,1,0,0.51,8,1,1,2026-02-27
ABBOTT LABORATORIES,360698440,1800,2834,2024,13,13638,28105656,71,0,0.51,8,28,27,2026-03-25
"KIMBALL ELECTRONICS, INC.",352047713,1606757,3672,2025,1,795,1564922,4,0,0.51,8,1,1,2026-01-06
MARTIN MARIETTA MATERIALS INC,561848578,916076,1400,2024,17,918,1969324,5,0,0.51,8,22,21,2026-03-03
COLGATE PALMOLIVE CO,131815595,21665,2844,2024,3,1254,2764452,7,0,0.51,8,18,17,2026-03-24
JOHNSON & JOHNSON,221024240,200406,2834,2024,4,6575,13676768,34,0,0.50,8,32,31,2026-03-12
PFIZER INC,135315170,78003,2834,2024,5,12557,25377139,63,0,0.50,8,38,38,2026-03-30
NEXTERA ENERGY INC,592449419,753308,4911,2024,111,7856,16360786,41,0,0.50,8,39,39,2026-03-18
BIOMARIN PHARMACEUTICAL INC,680397820,1048477,2834,2024,1,2275,4447631,11,0,0.49,8,23,16,2026-03-19
908 DEVICES INC.,454524096,1555279,3829,2024,3,229,409868,1,0,0.49,8,9,5,2026-03-06
BAXTER INTERNATIONAL INC,360781620,10456,3841,2024,6,4926,8669797,21,0,0.48,8,19,17,2026-03-10
"CERIBELL, INC.",471785452,1861107,3845,2024,1,116,424857,1,0,0.47,1,22,21,2026-03-27
LAM RESEARCH CORP,942634797,707549,3559,2025,14,6783,13566000,31,0,0.46,8,26,23,2026-03-11
METHODE ELECTRONICS INC,362090085,65270,3678,2025,3,233,436821,1,0,0.46,8,5,5,2026-03-16
J M SMUCKER CO,340538550,91419,2033,2025,2,673,1312890,3,0,0.46,8,11,9,2026-03-23
HAIN CELESTIAL GROUP INC,223240619,910406,2000,2024,2,520,1295390,3,0,0.46,8,1,0,2026-01-07
VIASAT INC,330174996,797721,3663,2025,13,1426,2679449,6,0,0.45,8,10,9,2026-03-18
REYNOLDS CONSUMER PRODUCTS INC.,453464426,1786431,2673,2024,1,450,881465,2,0,0.45,8,14,13,2026-03-19
HANESBRANDS INC.,203552316,1359841,5600,2024,3,1258,2643803,6,0,0.45,8,0,0,
DANA INC,261531856,26780,3714,2024,26,8473,21769070,49,0,0.45,8,45,45,2026-03-24
"REGENERON PHARMACEUTICALS, INC.",133444607,872589,2834,2024,1,4916,10476810,23,0,0.44,8,18,18,2026-03-03
"LIFETIME BRANDS, INC",112682486,874396,3420,2024,1,274,460475,1,0,0.43,8,6,6,2026-03-12
"KRYSTAL BIOTECH, INC.",821080209,1711279,2836,2024,2,244,468480,1,0,0.43,8,11,9,2026-03-06
BORGWARNER INC,133404508,908255,3714,2024,1,821,1865410,4,0,0.43,8,45,38,2026-03-13
"ATRICURE, INC.",341940305,1323885,3841,2024,5,1190,2796148,6,0,0.43,8,11,11,2026-03-16
CLOROX CO /DE/,310595760,21076,2842,2025,2,540,948337,2,0,0.42,8,13,13,2026-03-17
COCA COLA CO,580628465,21344,2080,2024,12,7547,15226069,32,0,0.42,8,41,41,2026-03-10
"FTC SOLAR, INC.",814816270,1828161,3674,2024,1,220,471120,1,0,0.42,8,1,1,2026-01-20
"UPBOUND GROUP, INC.",450491516,933036,7359,2024,1,406,963184,2,0,0.42,8,28,28,2026-02-27
LOUISIANA-PACIFIC CORP,930609074,60519,2400,2024,17,2759,5896580,12,0,0.41,8,24,24,2026-03-11
"RXO, INC.",882183384,1929561,4700,2024,49,2908,5406000,11,0,0.41,8,20,20,2026-03-24
LUMENTUM HOLDINGS INC.,473108385,1633978,3669,2025,5,618,995141,2,0,0.40,8,15,14,2026-03-03
"AXONICS, INC.",454744083,1603756,3841,2024,1,783,1498531,3,0,0.40,8,0,0,
"DOMINION ENERGY SOUTH CAROLINA, INC.",570248695,91882,4931,2024,41,3375,6197704,12,0,0.39,8,0,0,
AMERICAN TOWER CORP /MA/,650723837,1053507,6798,2024,1,1896,3701396,7,0,0.38,8,29,29,2026-03-12
"ARROWHEAD PHARMACEUTICALS, INC.",460408024,879407,2834,2024,2,260,520000,1,0,0.38,8,7,7,2026-03-09
"M.D.C. HOLDINGS, INC.",840622967,773141,1531,2024,2,584,1051666,2,0,0.38,8,0,0,
"ILLUMINA, INC.",330804655,1110803,3826,2024,4,5697,11511769,22,0,0.38,8,24,24,2026-03-09
TE CONNECTIVITY LTD.,980518048,1385157,5065,2024,37,6853,12745776,23,0,0.36,7,7,7,2026-03-16
EASTMAN CHEMICAL CO,621539359,915389,2821,2024,1,7278,13702511,24,0,0.35,8,30,30,2026-02-26
CLECO CORPORATE HOLDINGS LLC,721445282,1089819,4911,2024,11,552,1128494,2,0,0.35,8,0,0,
"DELEK US HOLDINGS, INC.",352581557,1694426,2911,2024,1,260,585570,1,0,0.34,8,26,26,2026-03-31
"GOPRO, INC.",770629474,1500435,3861,2024,3,296,614400,1,0,0.33,8,7,6,2026-03-17
"COMMSCOPE HOLDING COMPANY, INC.",274332098,1517228,3663,2024,3,290,615713,1,0,0.32,8,16,16,2026-02-26
AMPHENOL CORP /DE/,222785165,820313,3678,2024,3,348,622482,1,0,0.32,8,8,7,2026-02-19
UNION CARBIDE CORP /NEW/,131421730,100790,2860,2024,4,1192,2474246,4,0,0.32,8,0,0,
JOHN BEAN TECHNOLOGIES CORP,911650317,1433660,3550,2024,3,334,649238,1,0,0.31,9,26,26,2026-03-04
HEXCEL CORP /DE/,941109521,717605,2821,2024,8,2480,5213986,8,0,0.31,8,32,29,2026-03-06
TEXAS INSTRUMENTS INC,750289970,97476,3674,2024,11,14074,27539525,39,0,0.28,8,32,32,2026-03-23
NOVANTA INC,980110412,1076930,3690,2024,1,356,708755,1,0,0.28,8,33,33,2026-03-18
NOV INC.,760475815,1021860,3533,2024,4,647,1484325,2,0,0.27,8,29,29,2026-03-24
CALIFORNIA RESOURCES CORP,465670947,1609253,1311,2024,4,1775,3766816,5,0,0.27,8,33,32,2026-03-19
QUANTERIX CORP,208957988,1503274,3826,2024,1,250,760000,1,0,0.26,11,21,18,2026-03-24
EOG RESOURCES INC,470684736,821189,1311,2024,2,711,1532086,2,0,0.26,8,25,25,2026-03-23
MICRON TECHNOLOGY INC,751618004,723125,3674,2025,4,7219,13299180,17,0,0.26,8,10,10,2026-02-04
"XBP EUROPE HOLDINGS, INC.",852002883,1839530,7389,2024,20,2485,4857280,6,0,0.25,15,0,0,
AEROVIRONMENT INC,952705790,1368622,3721,2025,13,1149,2389920,3,0,0.25,8,11,11,2026-03-19
"ASANA, INC.",263912448,1477720,7372,2025,3,1417,2516228,3,0,0.24,8,14,11,2026-03-31
CHART INDUSTRIES INC,341712937,892553,3443,2024,1,350,836217,1,0,0.24,8,17,17,2026-02-26
VERIZON COMMUNICATIONS INC,232259884,732712,4813,2024,36,30953,61906000,72,0,0.23,8,85,84,2026-03-30
ABBVIE INC.,320375147,1551152,2834,2024,2,7881,16217469,19,0,0.23,8,24,23,2026-03-11
"ENPHASE ENERGY, INC.",204645388,1463101,3674,2024,3,433,852698,1,0,0.23,8,13,13,2026-03-17
HF SINCLAIR CORP,872092143,1915657,4610,2024,1,485,1008800,1,0,0.20,8,3,2,2026-03-26
"TREACE MEDICAL CONCEPTS, INC.",471052611,1630627,3841,2024,1,506,1062989,1,0,0.19,8,13,13,2026-03-11
ECOLAB INC.,410231510,31462,2840,2024,5,466,1060893,1,0,0.19,8,32,32,2026-03-30
"INNOVEX INTERNATIONAL, INC.",742162088,1042893,3533,2024,1,400,1130970,1,0,0.18,10,16,16,2026-03-03
"PATTERSON COMPANIES, INC.",410886515,891024,5047,2025,1,678,1133139,1,0,0.18,8,0,0,
"FRONTIER COMMUNICATIONS PARENT, INC.",862359749,20520,4813,2024,4,1680,3360000,3,0,0.18,8,21,21,2026-01-22
"L3HARRIS TECHNOLOGIES, INC. /DE/",340276860,202058,3812,2024,29,12338,27309422,25,0,0.18,8,21,21,2026-03-02
"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",351811116,1340122,2911,2024,2,444,1105403,1,0,0.18,6,0,0,
EXXON MOBIL CORP,135409005,34088,2911,2024,6,4768,11461969,9,0,0.16,8,19,17,2026-03-17
WESTROCK CO,371880617,1732845,2650,2024,3,1675,3786006,3,0,0.16,6,0,0,
"GREEN BRICK PARTNERS, INC.",205952523,1373670,1531,2024,9,622,1293760,1,0,0.15,8,19,17,2026-03-27
