schema,table,rows,description
POLITICS,POLITICS__MEMBER_CROSSWALK,12794,"Master lookup table matching each member of Congress across a dozen different political ID systems, plus their basic bio and term info."
POLITICS,POLITICS__MEMBER_FEC_ID,1715,"Links each member of Congress to their Federal Election Commission candidate ID, so campaign-finance records can be tied to a specific lawmaker."
POLITICS,POLITICS__MEMBER_INDIV_DONATIONS,1057,"Individual campaign donations received by each member of Congress -- itemized totals, how much was routed through a middleman, and self-funding, by election cycle."
POLITICS,POLITICS__MEMBER_MONEY_RAISED,1050,"How much money each member of Congress's campaign raised and had on hand, by election cycle."
POLITICS,POLITICS__MEMBER_PAC_MONEY,1258,"How much PAC money each member of Congress received, plus outside spending for and against them, by election cycle."
POLITICS,POLITICS__MEMBER_SPINE,12794,"The master list of members of Congress used to tie together all the other Congress tables in this warehouse -- one row per member, with their ideology score and party."
POLITICS,POLITICS__MEMBER_VOTING_RECORD,1105,"Each member of Congress's voting attendance and party-loyalty record -- votes cast versus missed, and how often they voted with their own party."
POLITICS,POLITICS__SCOTUS_JUSTICE,40,"Roster of Supreme Court justices -- years on the bench, whether currently serving, and how many votes and cases are on record for them."
POLITICS,POLITICS__SENATE_TRADES,8350,"Stock and asset trades reported by US Senators -- what they bought or sold, the date, and a rough dollar-amount range, matched to the senator's name."
POLITICS,POLITICS__ST_CANNABIS_POLICY_BUNDLES,1500,"State-by-state marijuana policy tracker, year by year -- whether medical or recreational cannabis was approved and implemented, plus dozens of specific rules like growing limits, taxes, and dispensary rules."
POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2001_CONTRIBUTION,193741,"New York City campaign finance contributions for the 2001 election cycle -- one row per reported donation, with donor name, address, employer, and amount."
POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2009_CONTRIBUTION,146112,"New York City campaign finance contributions for the 2009 election cycle -- one row per reported donation, with donor name, address, employer, and amount."
POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2013_CONTRIBUTION,197968,"New York City campaign finance contributions for the 2013 election cycle -- one row per reported donation, with donor name, address, employer, and amount."
POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS,457521,"New York City campaign finance contributions for the 2021 election cycle -- one row per reported donation, with donor name, address, employer, and amount."
POLITICS,POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS,259537,"New York City campaign finance contributions for the 2025 election cycle -- one row per reported donation, with donor name, address, employer, and amount."
POLITICS,POLITICS__TX_LOBBY_AWARDS,1589,"Texas lobbyist spending on awards and mementos given to state officials -- who received what, and roughly how much it cost."
POLITICS,POLITICS__TX_LOBBY_COVER,283803,"Cover sheets of Texas lobbyist activity reports -- who filed, the reporting period, and total spending by category (transportation, food, gifts, entertainment, events, media)."
POLITICS,POLITICS__TX_LOBBY_DOCKETS,1207,"Legislative or agency proceedings Texas lobbyists registered an interest in -- which docket, at which agency."
POLITICS,POLITICS__TX_LOBBY_ENTERTAINMENT,2836,"Texas lobbyist spending on entertainment for state officials -- venue, recipient, and roughly how much it cost."
POLITICS,POLITICS__TX_LOBBY_EVENTS,3107,"Texas lobbyist spending on receptions and ceremonies honoring state officials -- who was honored, who benefited, and what kind of event."
POLITICS,POLITICS__TX_LOBBY_FOOD_BEVERAGE,14452,"Texas lobbyist spending on meals for state officials -- restaurant, recipient, and roughly how much it cost."
POLITICS,POLITICS__TX_LOBBY_GIFTS,4084,"Texas lobbyist spending on gifts to state officials -- who received what, and roughly how much it cost."
POLITICS,POLITICS__TX_LOBBY_INDIVIDUAL_REPORTING,38662,Clients that Texas lobbyist spending was made on behalf of -- one row per client named on a lobbyist's expense report.
POLITICS,POLITICS__TX_LOBBY_SUBJECT_MATTER,209957,Subject areas Texas lobbyists reported working on -- one row per topic listed on a lobbying activity report.
POLITICS,POLITICS__TX_LOBBY_TRANSPORTATION,3697,"Texas lobbyist spending on travel and lodging for state officials -- hotel, flights, dates, and destination."
POLITICS,POLITICS__VOTEVIEW_ROLLCALLS,3364,"Metadata on a subset of roll-call votes in Congress -- date, yea/nay counts, result, and the bill involved."
POLITICS,POLITICS__VOTEVIEW_VOTES,945523,"How each member of Congress voted on each roll call -- one row per member per vote, covering the 118th and 119th Congresses."
POLITICS,POLITICS__WHO_WON,10976,"The winner of every tracked federal election -- office, year, state, winning and runner-up candidate, vote totals, and margin of victory."
POLITICS,POLITICS__XC_JCS_COA,705,"Circuit-court judge ideology scores -- an earlier-stage version of the judge-ideology-COA table, before cleanup."
POLITICS,POLITICS__XC_JCS_MEDIANS,102,"Ideological midpoint of the House, Senate, Supreme Court, and each of the federal appeals circuits, by year -- a more detailed version of the branch-median table."
POLITICS,POLITICS__XC_JCS_SCOTUS,782,"Supreme Court justice ideology scores -- an earlier-stage version of the judge-ideology-SCOTUS table, before cleanup."
POLITICS,POLITICS__XC_OWID_CPI,2312,"Corruption Perceptions Index by country and year, from Our World in Data -- a widely used score of perceived public-sector corruption."
ENVIRONMENT,ENVIRONMENT__EPA_PENALTY_GAP,93808,"Facilities that broke environmental rules repeatedly (EPA's own inspection and violation counts) but paid little or no penalty for it, with location, inspection counts, penalty totals, and the nearby population's minority share."
ENVIRONMENT,ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS,10411826,"How much of each air pollutant a facility reported releasing in a given year, from EPA's national air-emissions inventory."
ENVIRONMENT,ENVIRONMENT__FED_EPA_AQS_SITES,20994,"Every EPA air-quality monitor location in the country -- one row per monitor, with its address, land use around it, and the dates it opened and closed."
ENVIRONMENT,ENVIRONMENT__FED_EPA_ECHO,3135554,"EPA's master compliance file: one row per facility with its inspections, violations, penalties paid, and which pollution programs (air, water, hazardous waste, drinking water, toxic release, greenhouse gas) it's enrolled in."
ENVIRONMENT,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022,11974,"Every US power plant in 2022 -- its owner, fuel mix, how much electricity it generated, and how much smog-forming, greenhouse-gas, and toxic pollution (NOx, SO2, CO2, mercury, etc.) it put out."
ENVIRONMENT,ENVIRONMENT__FED_EPA_ENVIROFACTS,5000,"A small 5,000-row test sample pulled from EPA's Envirofacts system -- just toxic-release facility names and locations, not the full dataset; other ID fields are blank. For testing only."
ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FACILITIES,5300149,"EPA's master list of every facility it tracks anywhere in its programs -- name, address, county, region, tribal land status, and location, one row per facility."
ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_FACILITIES,3277557,"A second, slightly different pull of EPA's facility list (name, address, county, region, location) -- most facilities overlap with the other FRS facility table, but about 85,000 IDs only show up here."
ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_NAICS_CODES,2179702,Which industry code (the standard government business-type classification) each EPA-registered facility is filed under.
ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS,4406498,"Which specific EPA pollution programs (like toxic release, hazardous waste, air permits, water discharge) each registered facility shows up in, with the name and address on file in that program."
ENVIRONMENT,ENVIRONMENT__FED_EPA_FRS_FRS_SIC_CODES,1085211,Which old-style industry code (the pre-NAICS government business classification) each EPA-registered facility is filed under.
ENVIRONMENT,ENVIRONMENT__FED_EPA_GHGRP_EMISSION,346683,"How many tons of greenhouse gas (converted to a single CO2-equivalent number) a facility reported for a given year and gas type, from EPA's mandatory greenhouse-gas reporting program, 2010 onward."
ENVIRONMENT,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,136005,"Facilities that report their greenhouse-gas output to EPA each year -- name, address, location, parent company, and industry code, one row per facility per reporting year."
ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,279728,"Facilities holding a Clean Air Act permit -- name, address, industry codes, and whether it's currently flagged as a high-priority violator."
ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FCES_PCES,1779096,"Compliance-check visits (full or partial evaluations) EPA or a state ran on air-permitted facilities, with the date and type of check."
ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FORMAL_ACTIONS,106009,Formal enforcement actions -- the kind with a dollar penalty attached -- taken against air-permitted facilities.
ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_INFORMAL_ACTIONS,175736,"Informal enforcement actions (warnings, no penalty amount recorded) taken against air-permitted facilities."
ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_POLLUTANTS,948342,"A reference list of the pollutants tracked under the Clean Air Act permit program, with each one's chemical registry number."
ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_PROGRAMS,457581,"Which Clean Air Act sub-programs each permitted facility is enrolled in, and whether that enrollment is currently active."
ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_PROGRAM_SUBPARTS,190980,The specific regulatory subparts of each Clean Air Act program that apply to a given facility's enrollment.
ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_STACK_TESTS,620302,Smokestack emissions tests run at air-permitted facilities -- which pollutants were tested and the pass/fail-style status.
ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_TITLEV_CERTS,499113,"Annual compliance certifications that major air-permitted facilities are required to file, flagging whether they admitted any deviation from their permit."
ENVIRONMENT,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY,102037,"Air-pollution violation history per facility -- which pollutants were involved and the dates the violation was found, escalated, and resolved."
ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,1213737,"Facilities that hold a permit to discharge wastewater into rivers, lakes, or the ocean -- name, address, location, and whether the water body it discharges into is already listed as impaired."
ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_NPDES_CS_VIOLATIONS,82187,"Wastewater-discharge permit holders that missed a scheduled step on their path to compliance, with the missed deadline and when (if ever) it was resolved."
ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS,112373,"Formal enforcement actions against wastewater-discharge permit holders, including the federal and state penalty dollar amounts."
ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS,478855,Informal (no-penalty) enforcement actions against wastewater-discharge permit holders.
ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS,1900067,"Inspections carried out at wastewater-discharge permit holders, with the date and outcome."
ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_NPDES_NAICS,326473,The industry code on file for each wastewater-discharge permit.
ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_NPDES_PS_VIOLATIONS,397615,Wastewater-discharge permit holders that violated the terms or schedule written into their permit.
ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY,7951656,A quarter-by-quarter scorecard of noncompliance for every wastewater-discharge permit -- counts of violation types logged each quarter.
ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_NPDES_SE_VIOLATIONS,305445,"One-off violation events (like a specific spill or limit exceedance) reported by wastewater-discharge permit holders, with a comment describing what happened."
ENVIRONMENT,ENVIRONMENT__FED_EPA_NPDES_NPDES_SICS,792807,The old-style industry code on file for each wastewater-discharge permit.
ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_ENFORCEMENTS,383519,"Enforcement actions against hazardous-waste handlers, with the proposed and final penalty dollar amounts and any cost-recovery or project amounts attached."
ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_EVALUATIONS,1166410,"Compliance inspections of hazardous-waste handlers, with the date and whether the inspector found a violation."
ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_FACILITIES,1613224,"Every business or site handling hazardous waste that EPA tracks -- name, address, and whether it's a generator, under full enforcement, or in the compliance-report universe."
ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_RCRA_ENFORCEMENTS,383519,"Same hazardous-waste enforcement penalty records as the other RCRA enforcement table, stripped down to just the core fields."
ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_RCRA_EVALUATIONS,1166410,"Same hazardous-waste inspection records as the other RCRA evaluations table, stripped down to just the core fields."
ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_RCRA_FACILITIES,1613224,"Same hazardous-waste handler list as the other RCRA facilities table, plus flags for whether it's a transporter, still active, or an operating treatment/storage/disposal site."
ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_RCRA_NAICS,434734,The industry code on file for each hazardous-waste handler location.
ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_RCRA_VIOLATIONS,708114,"Same hazardous-waste violation records as the other RCRA violations table, stripped down to just the core fields."
ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_RCRA_VIOSNC_HISTORY,2675581,"Same month-by-month hazardous-waste violation/serious-noncompliance status history as the other RCRA history table, stripped down to just the core fields."
ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS,708114,"Hazardous-waste violations found at handler sites, with the type, the date it was determined, and the date (if any) it was fixed."
ENVIRONMENT,ENVIRONMENT__FED_EPA_RCRA_VIOSNC_HISTORY,2675581,"A month-by-month record of whether each hazardous-waste handler was in violation, or in serious ongoing violation, of the rules."
ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_EVENTS_MILESTONES,394075,"Scheduled compliance steps and milestones for public drinking-water systems working through a violation, with due dates and actual completion dates."
ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_FACILITIES,1554832,"The individual wells, treatment plants, and other physical facilities that make up each public drinking-water system, with water source type and filtration status."
ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS,578198,"The cities, counties, zip codes, and tribal areas each public drinking-water system actually serves."
ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES,927415,"Lead and copper test results drawn from public drinking-water systems' taps, with the contaminant, measured level, and sample dates."
ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC,387627,Links each case where a drinking-water system failed to notify the public of a problem to the underlying violation that triggered the notice requirement.
ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,434040,"The master list of public drinking-water systems in the country -- name, location, population served, owner type, and contact info, one row per system."
ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_SITE_VISITS,2495249,"Inspection visits to public drinking-water systems, rated across categories like source water, security, treatment, distribution, and finances."
ENVIRONMENT,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,15432737,"Drinking-water rule violations for public water systems -- the contaminant involved, whether it's a health-based limit, and any enforcement action and penalty that followed."
ENVIRONMENT,ENVIRONMENT__FED_EPA_SUPERFUND_SITE_BOUNDARIES,2114,"Mapped boundary and feature outlines for Superfund toxic-waste sites, with the site's name, National Priorities List status, address, and contact info."
ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,78647,"2023 Toxics Release Inventory data: how much of each specific chemical a facility released or shipped off-site that year, broken down by air, water, land, and disposal method."
ENVIRONMENT,ENVIRONMENT__FED_EPA_TRI_FACILITY,64990,"Every facility required to report toxic chemical releases to EPA -- name, address, parent company (US and foreign), and location, one row per facility."
ENVIRONMENT,ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST,248835,"One row per oil or gas well hydraulic-fracturing job disclosed to FracFocus -- the operator, well ID, location, job dates, and how much water and other fluid was used."
ENVIRONMENT,ENVIRONMENT__FED_FRACFOCUS_REGISTRY,7200550,"The individual chemical ingredients used in each hydraulic-fracturing job disclosed to FracFocus, with the chemical ID number and how much was used -- though many chemical ID numbers are hidden as trade secrets."
ENVIRONMENT,ENVIRONMENT__FED_FRACFOCUS_WATER_SOURCE,23747,"Where the water for each hydraulic-fracturing job disclosed to FracFocus came from, and what share of the job's total water it supplied."
ENVIRONMENT,ENVIRONMENT__FED_NID_DAMS,92766,"Every dam in the Army Corps of Engineers' national dam inventory -- owner, hazard rating if it failed, condition, last inspection date, height, and how much water it can hold."
ENVIRONMENT,ENVIRONMENT__FED_NOAA_STORM_EVENTS,1780730,"Individual storm and severe-weather events (tornadoes, floods, hail, etc.) logged by the National Weather Service, with location, time, injuries, deaths, and dollar damage to property and crops."
ENVIRONMENT,ENVIRONMENT__FED_NOAA_WEATHER_API,287,"A small snapshot of live weather alerts and station readings (temperature, wind) pulled from the National Weather Service's public feed -- a point-in-time grab, not a running history."
ENVIRONMENT,ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS,2039,"Serious pipeline incidents (gas pipelines only) since 2010 -- the operator, location, what leaked, how much, and any deaths or injuries."
ENVIRONMENT,ENVIRONMENT__FED_USCG_NRC_INCIDENTS,1029020,"Pollution and chemical-spill calls made to the Coast Guard's National Response Center -- who reported it, the type of call, and when it came in and was closed out."
ENVIRONMENT,ENVIRONMENT__FED_USCG_NRC_INCIDENT_REPORTS,116662,"A second, smaller pull of the same Coast Guard pollution-spill call log, with a few unlabeled extra columns the publisher never explained."
ENVIRONMENT,ENVIRONMENT__FED_USGS_MINERALS,304632,"Mineral production and reserve statistics by country and year, combined with individual mine and mineral-deposit site records (location, ore type, geology) from the US Geological Survey."
ENVIRONMENT,ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS,117672,"Old oil and gas wells with no responsible owner left to plug them, tracked by the US Geological Survey -- well ID, state, county, type, status, and location."
ENVIRONMENT,ENVIRONMENT__FED_USGS_WATER,6456952,"Individual water measurements (streamflow, groundwater level, or water-quality readings) from US Geological Survey monitoring sites, with the parameter measured, the value, and when it was taken."
ENVIRONMENT,ENVIRONMENT__FED_USGS_WBD_HUC8,2456,"The US Geological Survey's index of watershed boundaries -- one row per named watershed, with the states it spans and its area. Used to link other environmental data by watershed."
ENVIRONMENT,ENVIRONMENT__FED_WQP_MONITORING_STATIONS,5818,"Surface- and ground-water monitoring stations tracked by the Water Quality Portal -- the organization running it, station type, watershed, location, and well/aquifer details if it's a groundwater well."
ENVIRONMENT,ENVIRONMENT__INTL_GEM_HAZARD,12,"Earthquake shaking-hazard estimates by location, from the Global Earthquake Model -- a handful of summary rows, not a detailed site-by-site catalog."
ENVIRONMENT,ENVIRONMENT__INTL_GLOBAL_WITNESS_DEFENDERS,232,"People killed or attacked worldwide for defending land or the environment, tracked by Global Witness -- name, country, year, what happened, and who was responsible."
ENVIRONMENT,ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,5300149,"A built match-up linking EPA-registered facilities to the corporate entity that owns them -- parent company name, corporate ID numbers, and how confident the match is."
ENVIRONMENT,ENVIRONMENT__XC_OWID_CO2,29384,"Yearly carbon dioxide emissions by country, from Our World in Data."
ENVIRONMENT,ENVIRONMENT__XC_OWID_FOSSIL_SHARE,6379,"What share of a country's energy came from fossil fuels each year, from Our World in Data."
ENVIRONMENT,ENVIRONMENT__XC_OWID_TEMP_ANOMALY,531,"How far a country or the globe's average temperature strayed from normal each year, with the estimated error range, from Our World in Data."
JUSTICE,JUSTICE__COUNTY_DOUBLE_BURDEN,3029,"One row per US county comparing its drug overdose death rate to its jail incarceration rate, with a flag for counties that rank in the worst 10% on both at once."
JUSTICE,JUSTICE__FED_ATF_FFL,77514,"Every business licensed by the ATF to sell or manufacture firearms, one row per license, with the business name, owner name, address, phone, and map coordinates."
JUSTICE,JUSTICE__FED_BOP_STATISTICS,50,"Federal Bureau of Prisons population statistics, one row per reported metric (like a facility-type headcount) with its value, unit, and report date."
JUSTICE,JUSTICE__FED_CISA_KEV,1674,"The US government's catalog of software security flaws known to be actively exploited by hackers, with the product affected, when it was added, the fix required, and whether ransomware gangs are using it."
JUSTICE,JUSTICE__FED_CONSOLIDATED_SCREENING_LIST,25988,"The US government's merged blacklist of people, companies, and ships banned from exports or blocked over sanctions, combined from 13 separate federal lists into one row per entry."
JUSTICE,JUSTICE__FED_COURTLISTENER_COURTHOUSES,3361,"Physical addresses of federal courthouse buildings, one row per courthouse, with city, county, state, zip, and which court sits there."
JUSTICE,JUSTICE__FED_COURTLISTENER_COURTS,3361,"The list of federal courts CourtListener tracks, one row per court, with its name, jurisdiction, active dates, and cross-reference IDs to other federal court databases."
JUSTICE,JUSTICE__FED_COURTLISTENER_COURT_APPEALS_TO,8,A tiny lookup table showing which court's rulings get appealed to which higher court.
JUSTICE,JUSTICE__FED_COURTLISTENER_DISCLOSURE_AGREEMENTS,10007,"Business or financial agreements disclosed by federal judges on their required yearly financial disclosure forms, one row per agreement, with the parties and terms (redacted where the judge withheld it)."
JUSTICE,JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS,18775,"Debts owed by federal judges, one row per debt, as reported on their yearly financial disclosure forms, with the creditor's name and a description."
JUSTICE,JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS,2025,"Gifts received by federal judges, one row per gift, as reported on their yearly financial disclosure forms, with who gave it and a description."
JUSTICE,JUSTICE__FED_COURTLISTENER_DISCLOSURE_NON_INVESTMENT_INCOME,15302,"Outside income (not from investments, e.g. speaking fees or royalties) reported by federal judges on their yearly financial disclosure forms, one row per income source."
JUSTICE,JUSTICE__FED_COURTLISTENER_DISCLOSURE_POSITIONS,37050,"Outside jobs, board seats, or positions held by federal judges, one row per position, as reported on their yearly financial disclosure forms."
JUSTICE,JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS,33472,"Travel or expenses paid for federal judges by outside parties, one row per reimbursement, with who paid, where, and for what, from their financial disclosure forms."
JUSTICE,JUSTICE__FED_COURTLISTENER_DISCLOSURE_SPOUSAL_INCOME,20174,"Income earned by a federal judge's spouse, one row per income source, as reported on the judge's yearly financial disclosure form."
JUSTICE,JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES,66287,"The federal judges' yearly financial disclosure filings themselves, one row per filing document, with the year, page count, report type, and whether it was later amended."
JUSTICE,JUSTICE__FED_COURTLISTENER_FJC_IDB_CL_LINKED,10323280,"Federal court case records, one row per case filed in a US District Court, with docket number, filing date, plaintiff, defendant, what the case was about, and how it ended."
JUSTICE,JUSTICE__FED_COURTLISTENER_INVESTMENTS,1901599,"Individual stock holdings and trades reported by federal judges on their financial disclosure forms, one row per investment, with a description, value, and any transaction made."
JUSTICE,JUSTICE__FED_COURTLISTENER_JUDGES,16191,"A biographical profile of each federal judge tracked by CourtListener, one row per judge, with birth and death details, gender, and religion where known."
JUSTICE,JUSTICE__FED_COURTLISTENER_JUDGE_EDUCATIONS,12777,"Which school each federal judge attended and what degree they earned there, one row per degree."
JUSTICE,JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS,8486,"The political party each federal judge has been affiliated with over time, one row per affiliation period, with start and end dates."
JUSTICE,JUSTICE__FED_COURTLISTENER_JUDGE_RACES,6542,"Links each federal judge to a race or ethnicity code, one row per judge-race link."
JUSTICE,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,10070727,"Federal and state court opinions (written rulings), one row per published decision, with the case name, judges, a summary, disposition, and how many times it's been cited by later cases."
JUSTICE,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,102649,"Audio recordings of oral arguments heard in federal court cases, one row per recording, with the case name, judges present, an audio file link, and a speech-to-text transcript where available."
JUSTICE,JUSTICE__FED_COURTLISTENER_ORIGINATING_COURT_INFO,973419,"Lower-court details for cases that were appealed, one row per case, showing which judge handled it below and when it was filed, disposed, and judged there."
JUSTICE,JUSTICE__FED_COURTLISTENER_PARENTHETICALS,6408887,"Short summaries courts write when one ruling cites another, one row per citation, with the quoted text and which opinion is describing which."
JUSTICE,JUSTICE__FED_COURTLISTENER_POSITIONS,51290,"Every job or appointment a federal judge has held, one row per position, including the nomination, Senate confirmation vote, and start/end dates for judicial seats."
JUSTICE,JUSTICE__FED_COURTLISTENER_RACE_CODES,8,A tiny lookup table translating a numeric race code into its name.
JUSTICE,JUSTICE__FED_COURTLISTENER_SCHOOLS,6011,"The list of schools and universities that federal judges attended, one row per school."
JUSTICE,JUSTICE__FED_DOJ_FCA_SETTLEMENTS,12,"Department of Justice settlements under the False Claims Act (fraud against the government), one row per settlement, with the company or person, the case, the dollar amount, and whether a whistleblower (qui tam relator) was involved."
JUSTICE,JUSTICE__FED_FBI_CDE,238680,"The FBI's Crime Data Explorer figures: reported crimes and how many got solved, broken down by state, type of offense, and month, going back to 1985, as counts and rates per 100,000 people."
JUSTICE,JUSTICE__FED_FBI_NICS_CHECKS,16445,"FBI background-check counts for gun purchases, one row per state per month, broken out by handgun, long gun, and other categories."
JUSTICE,JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS,10838,"FDIC enforcement actions against banks and bank employees, one row per order, with the bank name, the type of order (fine, cease-and-desist, ban), and the penalty and restitution dollar amounts."
JUSTICE,JUSTICE__FED_FHFA_SUSPENDED_COUNTERPARTIES,222,"People and companies banned from doing business with Fannie Mae, Freddie Mac, and the Federal Home Loan Banks, one row per ban, with when it started and (usually undated) when it ends."
JUSTICE,JUSTICE__FED_FJC_ARTICLE_III_JUDGES,4074,"The Federal Judicial Center's full roster of every lifetime-appointed federal judge, one row per judge, with their entire career history: every court they sat on, every nomination and Senate vote, their schooling, and birth/death details."
JUSTICE,JUSTICE__FED_FJC_IDB_APPELLATE,988183,"The Federal Judicial Center's record of appeals filed in the US Courts of Appeals, one row per appeal case, with the circuit, the parties, the type of appeal, and how it was decided."
JUSTICE,JUSTICE__FED_FJC_IDB_BANKRUPTCY,6965441,"The Federal Judicial Center's record of bankruptcy cases filed in federal court, one row per case, with the filing date, chapter filed under, debtor's location, and estimated assets, liabilities, and debt discharged."
JUSTICE,JUSTICE__FED_FJC_IDB_CIVIL,10857396,"The Federal Judicial Center's record of civil lawsuits filed in US District Courts, one row per case, with the parties, what the suit was about, the amount demanded, and how it ended."
JUSTICE,JUSTICE__FED_FJC_IDB_CRIMINAL,6299908,"The Federal Judicial Center's record of individual defendants prosecuted in US District Courts, one row per defendant, with the charges, the judge, the disposition, prison time, probation, and fines."
JUSTICE,JUSTICE__FED_FTC_DATASETS,1004,"Federal Trade Commission enforcement cases, one row per case, with the company or person named, the topic, filing date, and current status."
JUSTICE,JUSTICE__FED_JPML_PENDING_MDLS,162,"Cases the Judicial Panel on Multidistrict Litigation has grouped into a single pending multidistrict lawsuit, one row per grouped lawsuit, with the district, judge, and how many individual suits are pending versus filed in total."
JUSTICE,JUSTICE__FED_OFAC_SDN,19114,"The US Treasury's Specially Designated Nationals list, one row per person, company, or ship blocked from the US financial system under a sanctions program, with the program name and, for ships, vessel details."
JUSTICE,JUSTICE__FED_SCDB,83644,"The Supreme Court Database: one row per justice's vote in a case, with the case name, citations, decision date, which side won, the legal issue, and how each justice voted."
JUSTICE,JUSTICE__INTL_AUSTLII,1,"Australian legal case documents from the AustLII database, meant to hold case text, parties, and citations; currently just a single row, effectively empty."
JUSTICE,JUSTICE__INTL_EURLEX_CELLAR,13,"European Union legal documents and regulations from the EUR-Lex database, one row per document, with its title, type, author, publication date, and whether it's still in force; only 13 rows loaded so far."
JUSTICE,JUSTICE__INTL_EU_SANCTIONS,42347,"The European Union's financial sanctions list, with the names, addresses, birth details, nationality, and ID numbers of people and organizations sanctioned by the EU, spread across repeated name/address/birth blocks per entity."
JUSTICE,JUSTICE__INTL_EU_SOCTA_EUROPOL,26,"Europol's published threat-assessment reports on organized crime in Europe, one row per report (title, year, publisher, download link) — this holds the report listings, not the crime data inside them."
