EIN,EST_KEY,COMPANY,ESTABLISHMENT,CITY,STATE,NAICS,INDUSTRY,SIZE_BAND,EMPLOYEES,HOURS,DEATHS,DART_CASES,DAFW_DAYS,DART_RATE,TRIR,DAYS_PER_CASE,COHORT_N,COHORT_MEDIAN_DART,COHORT_POOLED_DART,FOLD_VS_POOLED,FOLD_VS_MEDIAN,Z_SCORE,PCT_RANK_IN_COHORT
060864003,1063507,,USESI CDCCT,MIDDLETOWN,CT,4236,,100-249,169,222171,0,11,226,9.90,15.30,45.2,131,0.87,1.63,6.06,11.36,2.72,0.96
680173691,1292218,NORTH STATE GROCERY GROUP,SavMor 14,ORLAND,CA,4451,445110 Supermarkets and Other Grocery Retailers except Convenience Retailers,50-99,70,88915,0,8,35,17.99,24.74,35.0,5288,2.22,2.97,6.06,8.10,4.65,0.9939
562174318,96728,FHI LLC,143 CHESHIRE CT,CHESHIRE,CT,4931,General Warehousing and Storage,50-99,53,95131,0,7,74,14.72,14.72,24.7,1521,1.49,2.43,6.06,9.91,3.75,0.9847
931606022,1079313,Andover Manor Rehab and Nursing,Andover Manor Rehab and Nursing,ANDOVER,MA,6231,Nursing homes,100-249,143,153534,0,23,507,29.96,29.96,22.0,3641,3.20,4.95,6.05,9.37,3.37,0.9805
381249848,1369872,Gordon Food Service,TNLAVER02,LA VERGNE,TN,4244,General Line Grocery Merchant Wholesalers,20-49,44,90428,0,10,584,22.12,24.33,64.9,810,2.18,3.66,6.05,10.16,2.65,0.9794
331148170,1314187,"Mayville Engineering Company, Inc.",MEC - Atkins,ATKINS,VA,3329,"Frames and handles, handbag and luggage, metal, manufacturing",100-249,144,275672,0,15,36,10.88,12.33,3.3,294,1.20,1.80,6.05,9.10,4.24,0.9908
274449278,988387,Main Electric Supply Company LLC,"Main Electric Supply Company, LLC - Chino, CA (United)",CHINO,CA,4236,"Distribution equipment, electrical, merchant wholesalers",50-99,81,121705,0,5,0,8.22,8.22,,261,0.00,1.36,6.05,,2.97,0.9298
741542718,141315,,039_Longview,LONGVIEW,TX,4441,Building materials supply dealers,50-99,56,98934,0,9,0,18.19,18.19,,1359,2.54,3.01,6.05,7.16,6.11,0.9991
202713652,1215696,"VT Trucking, LLC","VT Trucking, LLC",LAS VEGAS,NV,2389,Grading construction sites,50-99,79,189433,0,7,2,7.39,8.45,2.0,734,0.00,1.22,6.05,,3.02,0.9589
201989730,1355028,"Universal Health Services, Inc LIBERTY POINT BEHAVIORAL HEALTHCARE, LLC","552 LIBERTY POINT BEHAVIORAL HEALTHCARE, LLC",STAUNTON,VA,6232,Residential Mental Health and Substance Abuse Facilities,100-249,101,227505,0,24,752,21.10,29.01,53.7,331,2.31,3.49,6.05,9.14,3.74,0.989
741542718,139656,,089_Mission,MISSION,TX,4441,Building materials supply dealers,20-49,27,48514,0,5,0,20.61,28.86,,1717,0.00,3.40,6.05,,3.39,0.9728
813303034,365990,"Farm Labor Service of Central Cal, Inc.","Farm Labor Service of Central Cal, Inc.",FRESNO,CA,1151,Agriculture production or harvesting crews,50-99,80,109983,0,8,83,14.55,18.18,10.4,249,1.61,2.40,6.05,9.03,4.27,0.9938
561161596,909399,Saber Healthcare Group,Autumn Care Waynesville,WAYNESVILLE,NC,6231,Skilled nursing facilities,100-249,129,186740,0,28,127,29.99,29.99,4.7,3641,3.20,4.95,6.05,9.38,3.37,0.9808
381889682,709187,Discount Tire,SDR001,RAPID CITY,SD,4413,Tire Dealers,20-49,25,34427,0,5,1,29.05,29.05,1.0,1803,4.15,4.80,6.05,6.99,4.14,0.9953
391205380,1173689,Saelens Corporation,Diamond Precision Products,MILWAUKEE,WI,3336,"Drives, high-speed industrial (except hydrostatic), manufacturing",50-99,99,106320,0,5,45,9.41,20.69,22.5,58,1.34,1.55,6.05,7.01,3.86,1.0
161167638,69991,Harmac Medical Products Inc.,Harmac Medical Products Inc.,BUFFALO,NY,3391,IV apparatus manufacturing,250-999,384,713698,0,20,639,5.60,7.01,53.3,172,0.50,0.93,6.05,11.23,3.52,0.9766
571196143,1329525,Bronco Concrete Inc,Bronco Concrete Inc,FRESNO,CA,2381,"Foundation, building, poured concrete, contractors",100-249,100,194250,0,14,243,14.41,14.41,30.4,579,1.65,2.39,6.04,8.71,3.81,0.9865
871956135,1013633,Pria Logistics,Pria Logistics,JOHNSTON,IA,4921,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",100-249,106,123540,0,29,561,46.95,66.38,22.4,1272,6.61,7.77,6.04,7.10,5.84,0.9975
770518158,1234492,Browning Contractors Inc.,Browning Contractors Inc.,FRESNO,CA,2372,"Land subdividing and utility installation (e.g., electric, sewer and water)",100-249,240,237110,0,18,455,15.18,31.21,28.4,10,1.06,2.52,6.03,14.32,2.63,1.0
391838165,1417495,Kafka Conveyors & Equipment,Kafka Conveyors & Equipment,MOSINEE,WI,3339,"Conveyors, farm-type, manufacturing",50-99,70,122419,0,5,109,8.17,8.17,109.0,328,0.00,1.36,6.02,,3.41,0.9691
061317531,1053737,,Regency House,WALLINGFORD,CT,6231,Skilled nursing facilities,100-249,220,268336,0,40,561,29.81,32.79,17.0,3641,3.20,4.95,6.02,9.33,3.35,0.9799
201813441,1075140,"PhytogenX, Inc.",PhytogenX,MORGANTOWN,PA,3256,After-shave preparations manufacturing,250-999,278,521000,0,17,126,6.53,8.45,31.5,57,0.83,1.08,6.02,7.89,3.43,0.9792
376001398,1252540,City of Collinsville,City of Collinsville Fire Department,COLLINSVILLE,IL,9211,"General services departments, government",20-49,42,87513,0,6,58,13.71,13.71,9.7,517,0.00,2.28,6.02,,2.96,0.9323
842759702,1082898,Lincoln Care & Rehab,Lincoln Care & Rehab,"WICHITA, KS",KS,6231,Nursing homes,50-99,51,84011,0,13,56,30.95,33.33,4.7,2691,2.78,5.14,6.02,11.11,3.12,0.9631
831721360,556116,"CHC Lakeside Nursing Center, LLC",Lakeside Health and Rehab,LAKE CITY,AR,6231,Skilled nursing facilities,50-99,89,161495,0,25,114,30.96,30.96,4.6,2691,2.78,5.14,6.02,11.12,3.12,0.9636
542101864,1030987,Ethica Health,Avalon Health & Rehabilitation,NEWNAN,GA,6231,Nursing homes,50-99,92,142011,0,22,224,30.98,30.98,11.8,2691,2.78,5.14,6.02,11.13,3.12,0.9641
542101864,658590,Avalon Health & Rehabilitation,Avalon Health and Rehabilitation,NEWNAN,GA,6231,Skilled nursing facilities,50-99,92,142011,0,22,224,30.98,30.98,11.8,2691,2.78,5.14,6.02,11.13,3.12,0.9641
562354534,1005740,"Lakeland Nursing & Rehabilitation Center, LLC","Lakeland Nursing and Rehabilitation Center, LLC",JACKSON,MS,6231,Nursing homes,100-249,111,174308,0,26,114,29.83,29.83,4.6,3641,3.20,4.95,6.02,9.33,3.35,0.9802
451581860,987998,Centrum Valley Farms LLP,Centrum Valley North,CLARION,IA,1123,Chicken egg production,20-49,45,101270,0,8,0,15.80,15.80,,169,0.00,2.63,6.02,,3.64,0.9861
811444597,1237578,Hospital Housekeeping Systems,Bon Secours Memorial Regional Medical Center - FNS,MECHANICSVILLE,VA,7223,,50-99,57,106477,0,5,2,9.39,20.66,2.0,336,0.00,1.56,6.02,,2.72,0.9407
472933332,1402937,Pacific Gypsum Supply Inc,JB Sacramento,SACRAMENTO,CA,4233,Drywall and related building materials distributor,20-49,29,42912,0,5,0,23.30,27.96,,1072,2.52,3.87,6.02,9.25,3.66,0.9828
381889682,493637,Discount Tire,CAN018,MOUNTAIN VIEW,CA,4413,Tire Dealers,20-49,32,41474,0,6,38,28.93,33.76,12.7,1803,4.15,4.80,6.02,6.96,4.13,0.9944
421426985,673945,Kinzler Construction Services,Kinzler Construction Services - Cedar Rapids,CEDAR RAPIDS,IA,2383,Insulation contractors,50-99,57,114800,0,8,2,13.94,17.42,2.0,530,1.46,2.32,6.02,9.57,3.13,0.9837
472992483,808688,"WCA Group, LLC","WCA Group, LLC Columbus",WORTHINGTON,OH,2382,"Heating, ventilation and air-conditioning (HVAC) contractors",50-99,50,97792,0,6,2,12.27,14.32,2.0,2049,1.25,2.04,6.01,9.84,3.12,0.9713
203583692,358919,United Pharma LLC,United Pharma LLC,FULLERTON,CA,3254,"Pharmaceutical preparations (e.g., capsules, liniments, ointments, tablets) manufacturing",50-99,82,135000,0,6,36,8.89,8.89,7.2,169,0.00,1.48,6.01,,2.91,0.9452
416005234,1278097,Hibbing Public Utilities Commission,Hibbing Public Utilities,HIBBING,MN,2211,"Power generation, fossil fuel (e.g., coal, gas, oil), electric",50-99,69,143930,0,6,231,8.34,8.34,38.5,717,0.00,1.39,6.01,,3.63,0.9804
741542718,139024,,040_Beeville,BEEVILLE,TX,4441,Building materials supply dealers,20-49,27,48935,0,5,12,20.44,20.44,4.0,1717,0.00,3.40,6.00,,3.35,0.9716
351057796,1380468,"Patrick Industries, Inc.",Patrick Industries 510,FONTANA,CA,3212,"Plywood, softwood, manufacturing",50-99,60,117600,0,11,27,18.71,18.71,3.9,182,1.97,3.12,6.00,9.48,3.84,0.9839
460959596,1280860,"O.R. Builders, Inc","O.R. Builders, Inc",PALO ALTO,CA,2381,House framing,20-49,47,85207,0,7,0,16.43,16.43,,1799,0.00,2.74,6.00,,3.04,0.9532
222486319,932167,Consolidated School District of New Britain,Slade Middle School,NEW BRITAIN,CT,6111,Education,100-249,121,148590,0,10,128,13.46,17.50,64.0,469,1.46,2.24,6.00,9.25,3.37,0.9753
911223280,1378724,COSTCO WHOLESALE,1053   FREDERICK MD  WET   DEPOT,MONROVIA,MD,4931,Refrigerated Warehousing and Storage,50-99,96,164752,0,12,435,14.57,17.00,36.3,1521,1.49,2.43,6.00,9.81,3.7,0.9837
041103580,1078770,Boston Gas Company,OPERATIONS CENTER-MA38,LOWELL,MA,2212,Natural Gas Distribution,100-249,126,256751,0,14,241,10.91,10.91,60.3,108,0.99,1.82,5.99,11.06,3.93,0.9857
910919645,1254867,Ohno Construction Company,Ohno Construction Company,SEATTLE,WA,2371,Sewage disposal plant construction,50-99,91,147853,0,6,37,8.12,8.12,9.3,626,0.00,1.35,5.99,,2.88,0.9545
611776778,1246122,WVNH EMP LLC,Cameron Healthcare Center,CAMERON,WV,6231,Skilled nursing facilities,20-49,42,76141,0,11,233,28.89,52.53,21.2,579,2.52,4.83,5.99,11.46,2.94,0.947
132872916,1331347,Eden II School for Autistic Children Inc,600 Newbridge Rd,EAST MEADOW,NY,6111,"Schools for the intellectually and developmentally disabled (except preschool, job training, vocational rehabilitation)",100-249,132,148766,0,10,24,13.44,24.20,2.4,469,1.46,2.24,5.99,9.24,3.37,0.9722
366005690,398848,Joliet Township High School District 204,Joliet Township High School District 204 - Transportation Center,JOLIET,IL,4854,"Bus operation, school and employee",50-99,97,88924,0,7,530,15.74,15.74,106.0,281,2.08,2.63,5.99,7.57,4.19,0.9936
161531529,372632,,American Fruit and Vegetable Co. Inc.,ROCHESTER,NY,4244,"Produce, fresh, merchant wholesalers",20-49,24,45734,0,5,269,21.87,21.87,53.8,810,2.18,3.66,5.98,10.04,2.62,0.9771
750450550,996975,"Reece, Inc.",5003 - Hawthorne,HAWTHORNE,CA,4237,"Valves, plumbing and heating, merchant wholesalers",20-49,43,75612,0,5,104,13.23,15.87,52.0,1043,0.00,2.21,5.98,,2.89,0.9538
471977933,1240152,"Strong Ready Mix, Ltd","Strong Ready Mix, Ltd",ABILENE,TX,3273,Ready-mix concrete manufacturing and distributing,20-49,35,92300,0,8,32,17.33,17.33,5.3,836,1.83,2.90,5.98,9.45,3.44,0.9836
956000776,363899,City of San Diego,Metro Biosolids Center,SAN DIEGO,CA,2213,Sewage treatment plants or facilities,20-49,42,81060,0,7,17,17.27,17.27,4.3,385,0.00,2.89,5.98,,3.21,0.9636
993718396,1007347,NorCal,Sacramento,SACRAMENTO,CA,2382,Electrical Contractors and Other Wiring Installation Contractors,50-99,65,163951,0,10,4,12.20,15.86,2.0,2049,1.25,2.04,5.97,9.78,3.09,0.9704
350368130,1085081,Harrison Steel Casting Co.,Harrison Steel Casting Company,ATTICA,IN,3335,Foundry casting molds manufacturing,250-999,440,839552,0,32,228,7.62,11.20,28.5,44,1.01,1.28,5.97,7.51,4.17,1.0
262114516,953721,Jesup Health and Rehab,JESUP HEALTH AND REHAB,JESUP,GA,6231,Nursing homes,50-99,60,97758,0,15,57,30.69,32.73,5.7,2691,2.78,5.14,5.97,11.02,3.09,0.9626
911947756,544828,Compass Construction Inc,Compass Construction Inc,SPOKANE,WA,2361,"Residential construction, single-family, general contractors",50-99,57,106013,0,6,84,11.32,18.87,42.0,458,0.00,1.90,5.97,,2.93,0.9598
465084298,1270976,McKenzie Living Inc.,McKenzie Living,SPRINGFIELD,OR,6232,"Mental health facilities, residential",20-49,31,52266,0,5,6,19.13,22.96,2.0,827,0.00,3.21,5.97,,2.54,0.9565
620698961,74703,Fayetteville Public Utilities,Fayetteville Public Utilities,FAYETTEVILLE,TN,2211,Electric power distribution systems,100-249,128,242054,0,10,401,8.26,9.92,40.1,486,0.85,1.39,5.97,9.70,4.11,0.9969
376001569,1326895,McLean County Government,McLean County Nursing Home,NORMAL,IL,6231,Nursing homes,100-249,128,216337,0,32,263,29.58,30.51,9.1,3641,3.20,4.95,5.97,9.26,3.31,0.9796
412017315,1375013,Allina,Allina Health Restorative Suites,PLYMOUTH,MN,6231,Nursing homes,100-249,150,142055,0,21,195,29.57,30.97,9.8,3641,3.20,4.95,5.97,9.25,3.31,0.9793
453132366,160394,"Dubuque Hotel Partners, LLC",Holiday Inn,DUBUQUE,IA,7211,Hotels (except casino hotels),20-49,48,78222,0,5,10,12.78,12.78,5.0,2335,0.00,2.14,5.97,,2.56,0.9036
042931951,474000,J Polep Distribution Services,J Polep Providence,PROVIDENCE,RI,4244,General-line groceries merchant wholesalers,20-49,26,54980,0,6,76,21.83,25.46,19.0,810,2.18,3.66,5.97,10.02,2.61,0.9748
330990488,586259,"MEDIEVAL KNIGHTS, LLC",NJ-MKLLC-NEW JERSEY,LYNDHURST,NJ,7111,DINNER AND THEATRE,50-99,50,77061,0,23,41,59.69,72.67,8.2,30,2.75,10.00,5.97,21.71,3.07,1.0
470702918,104434,Amcon Distributing Company,Amcon - Crossville,CROSSVILLE,TN,4249,Tobacco products merchant wholesalers,50-99,66,107770,0,6,368,11.13,11.13,92.0,184,0.00,1.87,5.96,,3.48,0.9881
352639482,1066467,Cogir Senior Living,Cogir of Glenwood Place,VANCOUVER,WA,6233,Assisted-living facilities with on-site nursing facilities,50-99,61,72484,0,11,2,30.35,33.11,2.0,2183,3.60,5.09,5.96,8.43,4.2,0.9897
042855927,1379732,"Gentle Giant Moving Company, Inc.",Gentle Giant Moving Company Charlotte,CHARLOTTE,NC,4842,"Furniture moving, used",20-49,42,71841,0,7,31,19.49,19.49,5.2,938,2.03,3.27,5.96,9.60,2.87,0.9562
421418150,1190163,IOWA WALLS CONCRETE,IOWA WALLS CONCRETE,MARION,IA,2381,Concrete finishing,20-49,32,61241,0,5,302,16.33,19.59,60.4,1799,0.00,2.74,5.96,,3.02,0.9519
852767262,1197326,STYX Logistics LLC,STYX Logistics LLC,RENO,NV,4921,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",100-249,200,224435,0,52,2012,46.34,46.34,39.5,1272,6.61,7.77,5.96,7.01,5.75,0.9967
943245488,799691,Tree Sculpture Group dba Terra Landscape,Tree Sculpture Group dba Terra Landscape,SAN LEANDRO,CA,5617,Landscape contractors (except construction),100-249,138,224055,0,14,15,12.50,12.50,7.5,619,1.42,2.10,5.96,8.79,4.32,0.9957
330900701,1198437,"Steadfast Management Company, Inc.","Steadfast Management Company, Inc.",IRVINE,CA,5311,Apartment building rental or leasing,50-99,61,101639,0,6,53,11.81,11.81,17.7,205,1.32,1.98,5.96,8.95,3.51,0.973
590799925,857334,UCP of Central Florida,UCP Ose,KISSIMMEE,FL,6111,"Academies, elementary or secondary",50-99,86,140382,0,10,1,14.25,18.52,1.0,820,1.69,2.39,5.95,8.43,3.0,0.9776
845076936,1295835,Moxie Services Chicago,Moxie Services Chicago,ALGONQUIN,IL,5617,"Pest control (except agricultural, forestry) services",20-49,39,62565,0,6,48,19.18,25.57,12.0,2823,0.00,3.22,5.95,,3.29,0.9633
465007345,1371583,AMERICAN MED RESPONSEGLOBAL MED RESPONSE 015025,Panola County Ms - 35275,BATESVILLE,MS,6219,,20-49,32,66270,0,5,388,15.09,18.11,77.6,1162,0.00,2.53,5.95,,2.81,0.9427
930660607,201613,"Goschie Farms, Inc.",Goschie Farms,SILVERTON,OR,1119,Hop farming,50-99,68,140512,0,7,157,9.96,9.96,39.3,21,0.00,1.67,5.95,,3.6,1.0
410970130,1114241,Intermediate District 287,North Education Center,NEW HOPE,MN,6111,"Academies, elementary or secondary",100-249,205,299691,0,20,34,13.35,14.01,5.7,469,1.46,2.24,5.95,9.17,3.34,0.9691
383023403,136709,Detroit Diesel Remanufacturing LLC,"Detroit Diesel Remanufacturing LLC - Plant 2, Cambridge, OH",CAMBRIDGE,OH,3336,Diesel and semidiesel engines manufacturing,100-249,159,248454,0,13,80,10.46,12.88,8.9,47,0.97,1.76,5.95,10.79,3.03,0.9655
043341666,1007480,Northern Light CA Dean Hospital,Northern Light CA Dean,GREENVILLE,ME,6221,General medical and surgical hospitals,100-249,144,214822,0,12,19,11.17,14.90,2.7,635,1.19,1.88,5.95,9.40,3.69,0.982
742368053,852803,"Western International Gas & Cylinders, Inc",Berwick Acetylene Plant,BERWICK,PA,3251,Acetylene manufacturing,50-99,69,146670,0,5,130,6.82,8.18,130.0,265,0.00,1.15,5.95,,3.17,0.9672
383023403,1267847,Detroit Diesel Remanufacturing LLC,"Detroit Diesel Remanufacturing LLC- Plant 2, Cambridge, OH",CAMBRIDGE,OH,3336,Diesel and semidiesel engines manufacturing,100-249,159,248454,0,13,80,10.46,12.88,8.9,47,0.97,1.76,5.95,10.79,3.03,0.9655
208563851,1387138,Live Wire Entreprises LLC,As You Wish Electric,SEATTLE,WA,2382,Electrical contractors,50-99,60,98961,0,6,3,12.13,12.13,1.5,2049,1.25,2.04,5.94,9.73,3.07,0.9696
863069360,1192729,"Maple Distribution, LLC",Maple Distribution LLC,LEDYARD,CT,4885,Freight forwarding,50-99,50,72800,0,5,45,13.74,13.74,9.0,52,0.60,2.31,5.94,22.82,2.4,0.88
841986576,943141,"Sabre Plumbing, Heating, & Air Conditioning of Des Moines, Iowa LLC","Sabre Plumbing, Heating, & Air Conditioning, of Des Moines, Iowa, LLC",ANKENY,IA,2382,"Drain, waste and vent system installation",20-49,48,80938,0,5,0,12.36,22.24,,3383,0.00,2.08,5.94,,2.6,0.9379
841560494,1101226,Columbine Health Systems,"Centre Avenue Health and Rehab Facility, LLC",FORT COLLINS,CO,6231,Skilled nursing facilities,100-249,191,244612,0,36,240,29.43,36.79,7.3,3641,3.20,4.95,5.94,9.21,3.29,0.979
464092844,1179798,Mayor Construction LLC,Mayor Construction LLC,SPOKANE VALLEY,WA,2361,"Housing, multifamily, construction general contractors",100-249,155,265621,0,11,2,8.28,13.55,2.0,285,0.55,1.39,5.94,15.20,2.5,0.9533
271368911,740433,Elite Care,"Elite Care Fanno Creek, LLC",MILWAUKIE,OR,6233,Assisted-living facilities without on-site nursing care facilities,20-49,49,39364,0,5,64,25.40,25.40,64.0,1893,0.00,4.28,5.94,,3.12,0.966
812646274,487541,"Flash Plastering, Inc.","Flash Plastering, Inc.",CORONA,CA,2383,"Plastering (i.e., ornamental, plain) contractors",50-99,59,87257,0,6,322,13.75,16.04,64.4,530,1.46,2.32,5.94,9.45,3.08,0.9804
620649819,72143,Tennsco Corp.,Tennsco Plant 3,DICKSON,TN,3372,Lockers (except refrigerated) manufacturing,100-249,150,338837,0,26,28,15.35,22.43,2.8,106,1.80,2.58,5.94,8.52,4.56,1.0
391921060,1304008,"Milwaukee Composites, Inc.","Milwaukee Composites, Inc.",CUDAHY,WI,3252,Phenolic resins manufacturing,100-249,103,199449,0,8,3,8.02,9.02,1.0,95,0.72,1.35,5.93,11.19,3.43,0.9825
263391905,937487,,982356,SHEPHERDSVILLE,KY,4931,,20-49,33,75302,0,5,6,13.28,18.59,3.0,2398,0.00,2.24,5.93,,2.86,0.9476
770015018,428478,Thermo King of Central California,Thermo King of Central California,FRESNO,CA,8113,Truck refrigeration repair and maintenance services,100-249,151,259986,0,10,371,7.69,10.00,185.5,203,0.79,1.30,5.93,9.70,3.54,0.9839
630818597,1118632,"GAT Airline Ground Support, Inc. SFO",SFO SFO,BURLINGAME,CA,4881,Other Airport Operations,100-249,111,245157,0,22,124,17.95,18.76,10.3,308,2.28,3.03,5.93,7.88,4.64,0.996
670103877,1097698,Southside Unlimited,Southside Unlimited,SACRAMENTO,CA,6241,"Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities",100-249,141,164838,0,11,484,13.35,20.63,69.1,253,1.38,2.25,5.93,9.70,3.35,0.9744
852927415,1033503,iDeliver Ontime LLC,iDeliver Ontime LLC,LONG BEACH,CA,4841,"General freight trucking, local",50-99,75,87102,0,9,203,20.67,22.96,22.6,1163,2.87,3.49,5.93,7.21,4.61,0.9946
951987958,207445,Trader Joe's,Trader Joe's 0302 Denver,DENVER,CO,4451,Grocery Store,100-249,140,199465,0,18,333,18.05,30.08,33.3,8151,2.32,3.05,5.92,7.78,4.72,0.9949
841656258,1135079,MilliporeSigma,STL Dekalb,ST. LOUIS,MO,3251,"Carbon organic compounds, not specified elsewhere by process, manufacturing",250-999,325,612462,0,8,37,2.61,3.59,12.3,56,0.22,0.44,5.92,11.62,2.0,0.9688
823483044,926671,Winsupply Inc,Winsupply Tacoma WA Co.,"TACOMA, WA",WA,4237,"Boilers (e.g., heating, hot water, power, steam) merchant wholesalers",20-49,42,76427,0,5,18,13.08,13.08,4.5,1043,0.00,2.21,5.92,,2.85,0.9513
453750445,1272678,Bristol Farms,Bristol Farms - 004 - BF Westchester,WESCHESTER,CA,4451,"Food (i.e., groceries) stores",100-249,110,144185,0,13,72,18.03,19.42,7.2,8151,2.32,3.05,5.91,7.77,4.71,0.9948
410215170,638348,Target,2130 - Topsham,TOPSHAM,ME,4521,Discount Department Stores,100-249,177,166252,0,13,21,15.64,16.84,3.5,1747,2.21,2.65,5.91,7.07,6.1,1.0
460843552,1257435,Titan Modular Systems Inc,"Titan Modular Systems, INc",ALMA,GA,2362,Manufacturing building construction,250-999,406,338172,0,7,7,4.14,17.15,7.0,248,0.41,0.70,5.91,10.20,2.47,0.9524
821443814,284712,"Ovation Health Systems, Inc.","SALCO NC 2, Inc. dba Amberwood Health and Rehabilitation",BENTON,AR,6231,Convalescent homes or convalescent hospitals (except psychiatric),100-249,120,184345,0,27,180,29.29,30.38,6.9,3641,3.20,4.95,5.91,9.17,3.28,0.9786
510064326,1187431,St Francis Hospital Trinity Health Mid Atlantic,St. Francis Emergency Medical Services,WILMINGTON,DE,6219,"Emergency medical transportation services, air or ground",50-99,65,107361,0,11,381,20.49,31.67,34.6,429,2.17,3.47,5.91,9.46,3.68,0.9768
381889682,1184765,Discount Tire,TXD094,HUDSON OAKS,TX,4413,Tire Dealers,20-49,24,35240,0,5,137,28.38,28.38,137.0,1803,4.15,4.80,5.91,6.83,4.03,0.9934
923314684,1194525,,"HANCOCK OPCO, LLC dba HavenCare at Hancock Hall",DANBURY,CT,6231,Skilled nursing facilities,100-249,198,191375,0,28,353,29.26,29.26,12.6,3641,3.20,4.95,5.91,9.16,3.27,0.9783
066001990,918557,Town of East Haven,East Haven Public Services,EAST HAVEN,CT,2373,"Pavement, highway, road, street, bridge or airport runway, construction",20-49,29,68678,0,5,34,14.56,20.38,11.3,904,0.00,2.46,5.91,,2.96,0.9584
462803801,1005864,Janmac Expedited Services,Janmac Expedited Services Inc.,LANSING,MI,4922,"Delivery service (except as part of intercity carrier network, U.S. Postal Service)",50-99,67,91805,0,26,37,56.64,69.71,12.3,389,7.78,9.59,5.90,7.28,4.69,0.9971
417600000,1167640,US Postal Service,FORT WORTH TX PSA_1563144,HASLET,TX,4911,Mail and Parcel Delivery,1-19,11,21937,0,6,82,54.70,54.70,20.5,1072,8.06,9.26,5.90,6.79,6.71,0.999
141395444,1008411,Cardinal Hayes Home for Children,Millbrook ICF,MILLBROOK,NY,6232,"Intermediate care facilities, intellectual and developmental disability",100-249,216,291808,0,30,236,20.56,21.93,7.9,331,2.31,3.49,5.90,8.91,3.63,0.9853
150543657,1308052,Upstate Caring Partners,Caruso CRP Coral,UTICA,NY,6232,"Group homes, intellectual and developmental disability",20-49,30,52836,0,5,54,18.93,22.71,10.8,827,0.00,3.21,5.90,,2.51,0.9507
522124245,390738,,Lake Jackson EMS,LAKE JACKSON,TX,6219,"Emergency medical transportation services, air or ground",20-49,37,66907,0,5,29,14.95,17.94,14.5,1162,0.00,2.53,5.90,,2.78,0.9404
131255630,1062062,The Doe Run Company,The Doe Run Company,BOSS,MO,3314,Lead recovering from scrap and/or alloying purchased metals,250-999,327,690141,0,26,19,7.53,8.11,4.8,34,0.97,1.28,5.90,7.76,4.04,1.0
381886260,1282010,Jabil,Jabil SLC,GRANTSVILLE,UT,3359,"Batteries, storage, manufacturing",100-249,166,255462,0,11,33,8.61,10.18,8.3,153,0.82,1.46,5.90,10.52,3.2,0.9608
832549407,1142961,"Chick-fil-A Supply ST. LOUIS, MO","50052 ST. LOUIS, MO",MARYLAND HEIGHTS,MO,4931,Refrigerated Warehousing and Storage,50-99,50,111754,0,8,409,14.32,16.11,51.1,1521,1.49,2.43,5.90,9.64,3.63,0.9826
320049006,980478,Louisville Jefferson County Metro Govt,Louisville Jefferson County Metro Govt - EMS,LOUISVILLE,KY,6219,"Ambulance services, air or ground",100-249,141,329905,0,37,2014,22.43,27.28,57.5,256,2.85,3.80,5.90,7.86,4.53,0.9953
561525236,411486,"SHOWALTER CONSTRUCTION COMPANY, INC.",SHOWALTER CONSTRUCTION,CHARLOTTE,NC,2389,Excavation contractors,100-249,107,240437,0,8,21,6.65,8.32,10.5,411,0.48,1.13,5.90,13.93,2.77,0.9375
381989675,966635,Besser Company,Alpena Johnson Street,ALPENA,MI,3332,Concrete products forming machinery manufacturing,250-999,260,517487,0,15,9,5.80,8.50,3.0,47,0.72,0.98,5.89,8.05,3.3,0.9722
522418852,1007653,HD Supply Facilities Maintenance Ltd,CO074,AURORA,CO,4238,Service Establishment Equipment and Supplies Merchant Wholesalers,50-99,62,97824,0,5,121,10.22,10.22,60.5,400,1.15,1.74,5.89,8.85,3.13,0.9575
362495346,1143864,Darling Ingredients,Darling Ingredients - Des Moines,DES MOINES,IA,3111,Bone meal prepared as feed for animals and fowls,50-99,53,116786,0,8,8,13.70,15.41,4.0,123,1.72,2.32,5.89,7.94,3.98,1.0
223191624,50638,"Wastequip Manufacturing Company, LLC",Wastequip Erial,ERIAL,NJ,3324,"Containers, light gauge metal (except cans), manufacturing",100-249,127,254916,0,11,31,8.63,11.77,7.8,134,0.97,1.46,5.89,8.90,3.52,0.9804
311332763,613182,Block By Block,BBB 15030,LONG BEACH,CA,5617,Janitorial services,20-49,48,84284,0,8,119,18.98,18.98,29.8,2823,0.00,3.22,5.89,,3.25,0.9626
362580436,220221,,"US Carpentry - Tucson, LLC",TUCSON,AZ,2381,Building framing (except structural steel),50-99,56,96278,0,7,137,14.54,20.77,19.6,941,1.55,2.47,5.88,9.36,3.53,0.9808
951987958,322988,Trader Joe's,Trader Joe's 0030 Simi Valley,SIMI VALLEY,CA,4451,Grocery Store,100-249,102,133763,0,12,377,17.94,22.43,31.4,8151,2.32,3.05,5.88,7.73,4.69,0.9946
