company,contract_usd,osha_sites,cases,deaths,hours,rate,industry_rate,x_industry,top_naics,epa_sites,epa_formal_actions,epa_noncompliance_quarters
PNC,0.0,6,31.0,0.0,1155108.0,5.37,2.25,2.39,326111,3,0.0,12.0
POPULUS,0.0,5,2.0,0.0,1169099.0,0.34,1.41,0.24,561320,0,0,0
PORTFOLIO RECOVERY ASSOCIATES,0.0,0,0,0,0,,,,,1,0.0,0.0
PPG INDUSTRIES,81053600.11,136,550.0,0.0,48342640.0,2.28,2.0,1.14,325510,200,17.0,89.0
PRINCIPAL LIFE INSURANCE,0.0,2,0.0,0.0,56495.0,0.0,3.06,0.0,722310,2,0.0,0.0
PUBLIX SUPER MARKETS,0.0,2792,9123.0,1.0,620781565.0,2.94,4.8,0.61,445110,86,1.0,2.0
QUALCOMM,177975.3,0,0,0,0,,,,,22,0.0,0.0
QUIKRETE,52773.12,70,80.0,0.0,8178448.0,1.96,2.7,0.72,327390,8,1.0,12.0
R L CARRIERS SHARED,0.0,128,1270.0,3.0,43646174.0,5.82,4.62,1.26,484122,0,0,0
RAYTHEON,35749959003.58,81,274.0,0.0,176287748.0,0.31,0.69,0.45,334511,60,0.0,8.0
REGENERON PHARMACEUTICALS,326475498.0,2,51.0,0.0,20182833.0,0.51,0.79,0.64,325414,9,0.0,5.0
REGENTS OF THE UNIVERSITY OF CALIFORNIA,2981280213.72,33,8682.0,0.0,733006196.0,2.37,2.44,0.97,611310,3,0.0,0.0
REGIONS FINANCIAL,0.0,0,0,0,0,,,,,3,0.0,0.0
RELADYNE,4655829.17,0,0,0,0,,,,,16,1.0,4.0
ROCKET MORTGAGE,0.0,6,8.0,0.0,275341.0,5.81,3.06,1.9,722310,0,0,0
ROLLS ROYCE,2136458576.86,40,34.0,0.0,15253381.0,0.45,0.85,0.52,336412,49,0.0,9.0
RPM INTERNATIONAL,3276352.17,25,31.0,0.0,15493429.0,0.4,2.4,0.17,325510,0,0,0
RTX,34841433092.58,0,0,0,0,,,,,1,0.0,0.0
RXSIGHT,0.0,0,0,0,0,,,,,2,0.0,0.0
SAFEWAY,0.0,1645,7937.0,0.0,289026020.0,5.49,4.47,1.23,445110,109,0.0,9.0
SAINT GOBAIN,7254974.99,114,302.0,0.0,26878782.0,2.25,2.13,1.05,327910,99,9.0,96.0
SALESFORCE COM,0.0,0,0,0,0,,,,,2,0.0,0.0
SAMS EAST,0.0,878,7360.0,0.0,256475141.0,5.74,5.65,1.02,452910,7,0.0,0.0
SAMS WEST,0.0,336,3116.0,0.0,95019518.0,6.56,5.55,1.18,452910,2,0.0,4.0
SANOFI,55028915.35,9,28.0,0.0,5520919.0,1.01,1.14,0.89,541711,6,1.0,12.0
SANOFI AVENTIS,57954620.83,1,0.0,0.0,1159147.0,0.0,0.91,0.0,541711,13,1.0,0.0
SAP AMERICA,0.0,2,1.0,0.0,119005.0,1.68,3.06,0.55,722310,1,0.0,0.0
SAVANNAH RIVER NUCLEAR SOLUTIONS,4642097742.79,0,0,0,0,,,,,2,0.0,0.0
SCIENCE APPLICATIONS INTERNATIONAL,10541948805.6,0,0,0,0,,,,,20,1.0,0.0
SHERWIN WILLIAMS,9553099.55,208,314.0,0.0,39105643.0,1.61,2.63,0.61,325510,3231,30.0,221.0
SI BONE,158550.0,0,0,0,0,,,,,1,0.0,0.0
SIEMENS MEDICAL SOLUTIONS,456680339.64,9,12.0,0.0,5303024.0,0.45,0.46,0.99,334510,8,0.0,1.0
SMITH NEPHEW,0.0,22,10.0,0.0,10456926.0,0.19,0.74,0.26,339112,5,0.0,0.0
SMYRNA READY MIX,0.0,1,1.0,0.0,53043.0,3.77,1.52,2.48,327320,144,2.0,16.0
SODEXO,-7241951.34,14466,3488.0,0.0,441144406.0,1.58,3.48,0.45,722310,2,0.0,0.0
SOUTHERN,16855808.46,54,129.0,0.0,12139726.0,2.13,2.11,1.01,221210,12,0.0,0.0
SOUTHWEST AIRLINES,8996273.23,299,12286.0,0.0,186780054.0,13.16,5.17,2.55,481111,84,0.0,35.0
SPACE EXPLORATION TECHNOLOGIES,5828115228.24,20,781.0,0.0,70424839.0,2.22,0.8,2.78,336414,37,4.0,31.0
SPRING OAKS CAPITAL,0.0,2,1.0,0.0,654000.0,0.31,0.08,3.69,561440,0,0,0
STOP AND SHOP,0.0,381,1824.0,0.0,62904476.0,5.8,4.61,1.26,445110,25,0.0,0.0
STRAUMANN,-4246.91,3,5.0,0.0,1920542.0,0.52,1.41,0.37,339113,1,0.0,4.0
STRYKER,209156990.24,1,0.0,0.0,1152440.0,0.0,0.9,0.0,339112,5,0.0,0.0
SUMMIT MATERIALS,22626590.36,1,1.0,0.0,213815.0,0.94,0.71,1.31,237310,2,1.0,8.0
SYNCHRONY FINANCIAL,0.0,1,0.0,0.0,14560.0,0.0,2.09,0.0,561720,0,0,0
TAKEDA PHARMACEUTICALS,5885693.22,4,112.0,0.0,6902839.0,3.25,0.81,4.01,325414,3,0.0,0.0
TATA CONSULTANCY,0.0,0,0,0,0,,,,,1,0.0,0.0
TEACH FOR AMERICA,0.0,0,0,0,0,,,,,1,0.0,0.0
TEVA PHARMACEUTICALS,74658432.96,15,26.0,0.0,8662309.0,0.6,1.01,0.59,551114,9,0.0,25.0
THOMAS CONCRETE,0.0,33,50.0,0.0,2164500.0,4.62,1.51,3.07,327320,153,1.0,154.0
TITAN AMERICA,0.0,18,26.0,0.0,1304826.0,3.99,1.6,2.49,327320,11,0.0,2.0
TITAN II,0.0,0,0,0,0,,,,,1,0.0,0.0
TOYOTA MANUFACTURING,0.0,23,4487.0,0.0,128774657.0,6.97,4.8,1.45,336111,3,0.0,0.0
TRACTOR SUPPLY,0.0,2246,3521.0,0.0,79564753.0,8.85,5.36,1.65,444240,1881,7.0,103.0
TRADER JOE S,0.0,1128,15136.0,0.0,173925299.0,17.41,4.26,4.09,445110,229,0.0,0.0
TRANSDEV,0.0,191,1466.0,2.0,46786388.0,6.27,4.01,1.56,485112,8,0.0,0.0
TRANSWORLD SYSTEMS,13051004.92,0,0,0,0,,,,,1,0.0,0.0
TRINITY INDUSTRIES,0.0,12,53.0,0.0,3853257.0,2.75,1.04,2.66,336510,39,2.0,1.0
TYSON FOODS,482481119.2,11,5.0,0.0,936176.0,1.07,2.24,0.48,561720,189,3.0,71.0
UBER TECHNOLOGIES,480505.7,12,4.0,0.0,22669046.0,0.04,0.19,0.18,541511,8,0.0,0.0
UCB,92825.43,1,7.0,0.0,2580000.0,0.54,0.94,0.58,325412,0,0,0
UNION PACIFIC,99280.0,10,11.0,0.0,405383.0,5.43,2.03,2.67,484121,931,8.0,153.0
UNITED LAUNCH ALLIANCE,2620441238.92,13,30.0,0.0,11726054.0,0.51,1.1,0.47,336414,13,0.0,0.0
UNITED PARCEL,581797027.36,2737,47474.0,18.0,1204028315.0,7.89,8.92,0.88,492110,1412,1283.0,749.0
UNITED TECHNOLOGIES,-1743.58,8,27.0,0.0,2958015.0,1.83,2.41,0.76,333514,72,0.0,12.0
UNIVAR SOLUTIONS,75839.6,130,47.0,0.0,12763471.0,0.74,1.84,0.4,424690,110,14.0,69.0
UNIVERSITY OF MICHIGAN,82692813.12,13,1161.0,0.0,44665197.0,5.2,4.0,1.3,622110,75,0.0,38.0
UNIVERSITY OF PITTSBURGH MEDICAL CENTER,0.0,162,5894.0,2.0,182936742.0,6.44,3.51,1.84,622110,0,0,0
US DEPARTMENT OF DEFENSE,0.0,0,0,0,0,,,,,2,0.0,0.0
US DEPARTMENT OF JUSTICE,0.0,0,0,0,0,,,,,12,0.0,0.0
US DEPARTMENT OF THE INTERIOR,0.0,0,0,0,0,,,,,4,0.0,0.0
US FOODS,1136809119.7,419,4862.0,1.0,606335532.0,1.6,5.72,0.28,424410,39,0.0,17.0
US POSTAL,0.0,18127,63995.0,59.0,1936812501.0,6.61,7.4,0.89,491110,463,6.0,77.0
UT BATTELLE,5259117924.53,0,0,0,0,,,,,1,0.0,0.0
V SOFT CONSULTING,0.0,2,0.0,0.0,2199500.0,0.0,0.17,0.0,541511,0,0,0
VIIV HEALTHCARE,0.0,0,0,0,0,,,,,2,0.0,0.0
VMWARE,221827.33,0,0,0,0,,,,,2,0.0,0.0
VULCAN MATERIALS,46525.5,29,28.0,0.0,3248672.0,1.72,1.04,1.65,237310,223,0.0,64.0
WAL MART STORES EAST,0.0,3516,39257.0,0.0,1506482069.0,5.21,5.54,0.94,452910,54,0.0,0.0
WALMART STORES EAST,0.0,1966,30755.0,1.0,1090403265.0,5.64,5.64,1.0,452910,9,0.0,0.0
WALMART STORES TEXAS,0.0,335,5184.0,1.0,191620259.0,5.41,5.66,0.96,452910,1,0.0,0.0
WALT DISNEY,-64364.14,64,12207.0,1.0,429440958.0,5.69,4.66,1.22,713110,51,0.0,3.0
WAWA,0.0,3639,4638.0,0.0,165812643.0,5.59,3.35,1.67,445120,45,0.0,0.0
WEGMANS FOOD MARKETS,0.0,257,4263.0,0.0,141661670.0,6.02,4.19,1.44,445110,22,0.0,0.0
WEYERHAEUSER,6294.0,103,283.0,1.0,25732970.0,2.2,3.19,0.69,321113,59,0.0,16.0
WICO,10078217808.2,0,0,0,0,,,,,1,0.0,0.0
WINCO FOODS,0.0,302,5031.0,0.0,67464826.0,14.91,4.43,3.37,445110,65,0.0,1.0
XPO LOGISTICS FREIGHT,-2319.86,537,2769.0,5.0,93249316.0,5.94,4.41,1.35,484122,276,42.0,483.0
YALE NEW HAVEN HEALTH,38303453.48,17,2882.0,0.0,76095567.0,7.57,4.0,1.89,622110,1,0.0,0.0
ZACHRY,0.0,2,0.0,0.0,628815.0,0.0,0.46,0.0,237120,0,0,0
ZIMMER BIOMET,59272381.86,7,21.0,0.0,8834360.0,0.48,1.34,0.35,339113,14,0.0,2.0
