company,lists,contract_usd,osha_sites,cases,deaths,hours,expected,epa_sites,formal_actions,serious_violator,penalty_alloc
ALLINA HEALTH,injuries,,180,3053.0,0.0,84789666.0,1522.456386,89,0.0,0.0,0.0
PRINCIPAL LIFE INSURANCE,pacs,,2,0.0,0.0,56495.0,0.734435,2,0.0,0.0,0.0
CONCRETE SUPPLY,toxic_release,,55,59.0,0.0,3056582.0,26.485749,262,8.0,0.0,68967.56
PNC,complaints,,6,31.0,0.0,1155108.0,9.192372,3,0.0,0.0,20000.0
CONOCOPHILLIPS,lobbying,,27,14.0,1.0,6118180.0,18.980498,14,0.0,0.0,0.0
ALTRIA CLIENT,lobbying,,5,5.0,0.0,3383066.0,10.577385,1,0.0,0.0,0.0
ROCKET MORTGAGE,complaints,,6,8.0,0.0,275341.0,3.579433,,,,
US POSTAL,injuries,,18127,63995.0,59.0,1936812501.0,63914.812533,463,6.0,0.0,150519.35
KPMG,visas,,1,3.0,0.0,185736.0,2.600304,2,0.0,0.0,0.0
BIOTECHNOLOGY INNOVATION ORGANIZATION,lobbying,,1,0.0,0.0,276272.0,4.972896,,,,
SYNCHRONY FINANCIAL,complaints,,1,0.0,0.0,14560.0,0.13104,,,,
SPRING OAKS CAPITAL,complaints,,2,1.0,0.0,654000.0,5.886,,,,
AMERICAN AIRLINES GROUP AA DFW DALLAS FORT WORTH,injuries,,1,1476.0,0.0,22030413.0,704.973216,,,,
R L CARRIERS SHARED,injuries,,128,1270.0,3.0,43646174.0,698.338784,,,,
TRACTOR SUPPLY,injuries,,2246,3521.0,0.0,79564753.0,1445.614389,1881,7.0,0.0,918622.38
PIEDMONT HEALTHCARE,injuries,,45,2467.0,0.0,95863107.0,1966.462727,,,,
CONE HEALTH,injuries,,212,2178.0,0.0,83947918.0,1599.71955,4,0.0,0.0,0.0
HACKENSACK MERIDIAN HEALTH,injuries,,74,3018.0,0.0,91156753.0,1829.008252,1,0.0,0.0,0.0
TRINITY INDUSTRIES,toxic_release,,12,53.0,0.0,3853257.0,52.900106,39,2.0,0.0,72226.78
THOMAS CONCRETE,toxic_release,,33,50.0,0.0,2164500.0,23.8095,153,1.0,0.0,9980.0
OZINGA BROS,toxic_release,,2,1.0,0.0,823759.0,9.061349,17,0.0,0.0,0.0
AZZ,toxic_release,,85,181.0,0.0,12499865.0,162.498245,2,0.0,0.0,0.0
E R SQUIBB & SONS,doctor_payments,,3,27.0,0.0,12529846.0,75.179076,3,1.0,0.0,3600.0
CEMEX,toxic_release,,3,1.0,0.0,144756.0,1.592316,34,0.0,0.0,4500.0
EMD SERONO,doctor_payments,,3,2.0,0.0,3167009.0,50.672144,4,0.0,0.0,2635.0
BRENNTAG NORTH AMERICA,toxic_release,,17,13.0,0.0,1451315.0,23.22104,,,,
CONAGRA FOODS,toxic_release,,1,0.0,0.0,4363.0,0.039267,64,16.0,0.0,1446261.5
MGM RESORTS INTERNATIONAL,injuries,,42,4232.0,0.0,180342245.0,2400.169161,2,2.0,0.0,6000.0
COMCAST CABLE COMMUNICATIONS MANAGEMENT,injuries,,1557,2656.0,1.0,219027811.0,1531.209406,9,0.0,0.0,0.0
POPULUS,visas,,5,2.0,0.0,1169099.0,10.990586,,,,
ADVENTIST HEALTH SYSTEM,injuries,,92,4734.0,0.0,155910418.0,3263.50245,3,0.0,0.0,0.0
ASTELLAS PHARMA,doctor_payments,,4,5.0,0.0,11844280.0,71.06568,2,0.0,0.0,0.0
OCCIDENTAL PETROLEUM,lobbying,,4,2.0,0.0,3398308.0,6.796616,12,0.0,0.0,0.0
NYC HEALTH HOSPITALS,injuries,,48,2573.0,0.0,105474658.0,2034.872093,1,0.0,0.0,0.0
SAFEWAY,injuries,,1645,7937.0,0.0,289026020.0,6489.269966,109,0.0,0.0,212439.77
KFORCE,visas,,63,4.0,0.0,7310621.0,65.795589,,,,
SAMS EAST,injuries,,878,7360.0,0.0,256475141.0,6409.678925,7,0.0,0.0,0.0
BON SECOURS MERCY HEALTH,injuries,,84,2913.0,0.0,113310864.0,2362.109584,4,0.0,0.0,1703.0
V SOFT CONSULTING,visas,,2,0.0,0.0,2199500.0,8.798,,,,
HTC GLOBAL,visas,,1,5.0,0.0,3172180.0,12.68872,,,,
KOHLS,injuries,,1192,1357.0,0.0,99060977.0,2135.661432,4,0.0,0.0,0.0
PAYPAL,complaints visas,,1,0.0,0.0,12000.0,0.156,1,0.0,0.0,0.0
HARTFORD INSURANCE,pacs,,1,0.0,0.0,57241.0,0.515169,3,0.0,0.0,0.0
IPSEN BIOPHARMACEUTICALS,pacs,,2,0.0,0.0,1339792.0,6.42528,,,,
COSTCO WHOLESALE,injuries,,1404,19359.0,0.0,610823428.0,13777.106317,765,9.0,0.0,447088.68
COMMERCIAL METALS,toxic_release,,195,209.0,0.0,33642700.0,425.287134,40,3.0,0.0,1150042.0
CAPITAL ONE,visas,,46,56.0,0.0,1837814.0,22.519868,26,1.0,0.0,11576.25
ACADIA HEALTHCARE MANAGEMENT,injuries,,242,2635.0,1.0,66973672.0,1303.991461,,,,
MACYS,injuries,,460,1583.0,0.0,88561308.0,2211.113292,20,0.0,0.0,0.0
WEGMANS FOOD MARKETS,injuries,,257,4263.0,0.0,141661670.0,2943.738217,22,0.0,0.0,8580.0
ALBERTSONS,injuries,,438,1821.0,0.0,71974618.0,1640.251368,26,0.0,0.0,0.0
INARI MEDICAL,doctor_payments,,1,15.0,0.0,2284194.0,15.989358,2,0.0,0.0,0.0
SMYRNA READY MIX,toxic_release,,1,1.0,0.0,53043.0,0.583473,144,2.0,0.0,11162.0
WALMART,injuries lobbying,,3362,42876.0,7.0,1714130078.0,39732.978011,42,0.0,0.0,217000.0
HALLIBURTON ENERGY,toxic_release,,22,77.0,0.0,29838276.0,164.598414,235,0.0,0.0,1986326.67
BAYLOR SCOTT AND WHITE HEALTH,injuries,,58,1287.0,0.0,80899389.0,1330.617598,,,,
WAWA,injuries,,3639,4638.0,0.0,165812643.0,3803.792689,45,0.0,0.0,0.0
BLOCK,complaints,,11,60.0,0.0,1363631.0,16.092707,30,0.0,0.0,32350.0
TITAN AMERICA,toxic_release,,18,26.0,0.0,1304826.0,14.353086,11,0.0,0.0,2786.89
CRH AMERICAS,toxic_release,,25,58.0,0.0,5708780.0,61.178727,3,0.0,0.0,0.0
H E B,injuries,,422,5316.0,0.0,184102335.0,4130.915426,17,0.0,0.0,2160.0
SAP AMERICA,lobbying,,2,1.0,0.0,119005.0,1.547065,1,0.0,0.0,0.0
HYVEE,injuries,,459,1435.0,0.0,76666272.0,1630.504018,6,1.0,0.0,0.0
WALMART STORES EAST,injuries,,1966,30755.0,1.0,1090403265.0,27260.081625,9,0.0,0.0,0.0
ALIGN TECHNOLOGY,doctor_payments,,3,1.0,0.0,2276432.0,15.935024,2,0.0,0.0,0.0
WALMART STORES TEXAS,injuries,,335,5184.0,1.0,191620259.0,4784.415689,1,0.0,0.0,0.0
TRADER JOE S,injuries,,1128,15136.0,0.0,173925299.0,4000.281877,229,0.0,0.0,427151.97
ARGOS,toxic_release,,22,14.0,0.0,1691999.0,13.502354,51,0.0,0.0,17400.0
NORTHWELL,injuries,,723,5470.0,0.0,256632064.0,4506.221556,,,,
WINCO FOODS,injuries,,302,5031.0,0.0,67464826.0,1505.542614,65,0.0,0.0,2000.0
SMITH NEPHEW,doctor_payments,,22,10.0,0.0,10456926.0,50.27506,5,0.0,0.0,0.0
MENARDS,injuries,,914,5915.0,3.0,183428367.0,3152.75686,37,2.0,0.0,0.0
SAMS WEST,injuries,,336,3116.0,0.0,95019518.0,2343.92278,2,0.0,0.0,0.0
BOEHRINGER INGELHEIM PHARMACEUTICALS,doctor_payments,,4,9.0,0.0,5093958.0,30.563748,1,0.0,0.0,0.0
AARP,lobbying,,1,0.0,0.0,34865.0,0.453245,,,,
DELUXE,toxic_release,,1,3.0,0.0,71955.0,0.791505,7,0.0,0.0,0.0
BASF,toxic_release,,76,112.0,0.0,27475320.0,178.194578,169,7.0,0.0,2408473.0
PUBLIX SUPER MARKETS,injuries,,2792,9123.0,1.0,620781565.0,14163.103635,86,1.0,0.0,42634.0
ALSTOM TRANSPORTATION,lobbying,,11,30.0,0.0,3764497.0,43.324547,4,0.0,0.0,6045.0
WAL MART STORES EAST,injuries,,3516,39257.0,0.0,1506482069.0,37374.852783,54,0.0,0.0,0.0
ALKERMES,doctor_payments,,3,9.0,0.0,3903172.0,19.590232,6,0.0,0.0,0.0
CSL PLASMA,doctor_payments,,663,760.0,0.0,52832017.0,688.806533,14,0.0,0.0,0.0
EBAY,visas,,1,0.0,0.0,28480.0,0.59808,3,2.0,0.0,0.0
CARGILL,toxic_release,,109,277.0,0.0,29060001.0,283.926471,247,12.0,0.0,1582761.54
TOYOTA MANUFACTURING,injuries,,23,4487.0,0.0,128774657.0,1673.862611,3,0.0,0.0,0.0
FOODLION,injuries,,2218,2800.0,0.0,196390804.0,4491.495542,1,0.0,0.0,0.0
IBM,visas,,2,0.0,0.0,109683.0,0.767781,45,1.0,0.0,70314.0
ZACHRY,pacs,,2,0.0,0.0,628815.0,2.51526,,,,
FAIRVIEW HEALTH,injuries,,214,1473.0,0.0,67389491.0,1070.664736,,,,
TRANSDEV,injuries,,191,1466.0,2.0,46786388.0,515.783356,8,0.0,0.0,0.0
GLOBAL PAYMENTS,pacs,,,,,,,1,0.0,0.0,0.0
GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,pacs,,,,,,,1,0.0,0.0,0.0
SALESFORCE COM,visas,,,,,,,2,0.0,0.0,0.0
REGIONS FINANCIAL,complaints,,,,,,,3,0.0,0.0,0.0
PORTFOLIO RECOVERY ASSOCIATES,complaints,,,,,,,1,0.0,0.0,0.0
INTUIT,visas,,,,,,,5,0.0,0.0,0.0
HSBC NORTH AMERICA,complaints,,,,,,,2,1.0,0.0,1061.26
BORDEN,toxic_release,,,,,,,71,0.0,0.0,104500.0
OLDCASTLE,toxic_release,,,,,,,9,0.0,0.0,900.0
US DEPARTMENT OF THE INTERIOR,toxic_release,,,,,,,4,0.0,0.0,0.0
A2Z DEVELOPMENT CENTER,visas,,,,,,,1,0.0,0.0,0.0
ASSOCIATION OF AMERICAN RAILROADS,lobbying,,,,,,,1,0.0,0.0,0.0
TEACH FOR AMERICA,lobbying,,,,,,,1,0.0,0.0,0.0
DOVER,toxic_release,,,,,,,7,0.0,0.0,0.0
GENERAL ELECTRIC CO GE,toxic_release,,,,,,,3,0.0,0.0,100000.0
CAPITAL ONE FINANCIAL,complaints,,,,,,,2,0.0,0.0,0.0
BARCLAYS BANK DELAWARE,complaints,,,,,,,1,0.0,0.0,0.0
OCWEN FINANCIAL,complaints,,,,,,,1,0.0,0.0,0.0
HOLCIM PARTICIPATIONS,toxic_release,,,,,,,1,0.0,0.0,0.0
TATA CONSULTANCY,visas,,,,,,,1,0.0,0.0,0.0
MOHELA,complaints,,,,,,,1,0.0,0.0,0.0
ALLIED SIGNAL,toxic_release,,,,,,,57,0.0,0.0,104500.0
MEDCO HEALTH SOLUTIONS,lobbying,,,,,,,3,0.0,0.0,0.0
ALPHATEC SPINE,doctor_payments,,,,,,,3,0.0,0.0,0.0
RXSIGHT,doctor_payments,,,,,,,2,0.0,0.0,0.0
MR COOPER,complaints,,,,,,,2,0.0,0.0,0.0
ASSOCIATED BUILDERS AND CONTRACTORS,lobbying,,,,,,,1,0.0,0.0,0.0
OATH,visas,,,,,,,1,0.0,0.0,23517.0
COCA COLA ENTERPRISES,toxic_release,,,,,,,16,0.0,0.0,155478.0
US DEPARTMENT OF DEFENSE,toxic_release,,,,,,,2,0.0,0.0,0.0
VIIV HEALTHCARE,doctor_payments,,,,,,,2,0.0,0.0,0.0
TITAN II,contracts,,,,,,,1,0.0,0.0,0.0
CELGENE,doctor_payments,,,,,,,2,0.0,0.0,0.0
AIR PRODUCTS & CHEMICALS,toxic_release,,,,,,,97,4.0,0.0,148330.0
3M,toxic_release,,,,,,,34,7.0,0.0,190805.08
NEUROCRINE BIOSCIENCES,doctor_payments,,,,,,,4,0.0,0.0,0.0
GE,toxic_release,,,,,,,26,0.0,0.0,15500.0
US DEPARTMENT OF JUSTICE,toxic_release,,,,,,,12,0.0,0.0,0.0
ERC,complaints,,,,,,,3,0.0,0.0,0.0
MITRE,contracts,,,,,,,2,0.0,0.0,0.0
