n,company,domain,table,col,rows,distinct,sample
100,Lockheed Martin,environment,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWS_NAME,8,8,LOCKHEED MARTIN SKUNK WORKS | LOCKHEED MARTIN USAF AEROSTAT SITE | LOCKHEED MARTIN | LOCKHEED PROPULSION CO | LOCKHEED ADVANCED DEV CO | LOCKHEED MARTIN SPACE CO
101,General Dynamics,money,PROCUREMENT__FED_USASPENDING_BULK,RECIPIENT_DOING_BUSINESS_AS_NAME,1,1,GENERAL DYNAMICS INFORMATION TECHNOLOGY
102,Exxon Mobil,money,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE,NAME,2,1,EXXON MOBIL
103,Duke Energy,environment,ENERGY__FED_EIA861_FRAME,UTILITY_NAME,6,6,"DUKE ENERGY INDIANA, LLC | DUKE ENERGY FLORIDA, LLC | DUKE ENERGY CAROLINAS, LLC | DUKE ENERGY KENTUCKY | DUKE ENERGY OHIO INC | DUKE ENERGY PROGRESS - (NC)"
104,Wells Fargo,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_DOING_BUSINESS_AS_NAME,5,3,WELLS FARGO | WELLS FARGO BANK N A GOVERNMENT CONTRACTS DIVISION | WELLS FARGO BANK NORTHWEST NATIONAL ASSOCIATION (9260)
105,CVS Health,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,NAME,1,1,CVS HEALTH CORP
106,Peabody Energy,environment,ENVIRONMENT__EPA_PENALTY_GAP,FACILITY_NAME,2,2,PEABODY MIDWEST MINING - BEAR RUN MINE | PEABODY COAL CO-EAGLE SURFACE PREP PLT
107,Johnson & Johnson,health,HEALTH__FED_CMS_OPEN_PAYMENTS_2023,SUBMITTING_APPLICABLE_MANUFACTURER_OR_APPLICABLE_GPO_NAME,43763,4,"JOHNSON & JOHNSON SURGICAL VISION, INC. | JOHNSON AND JOHNSON INTERNATIONAL | JOHNSON & JOHNSON VISION CARE, INC. | JOHNSON & JOHNSON HEALTH CARE SYSTEMS INC."
108,General Dynamics,environment,ENVIRONMENT__FED_EPA_ENVIROFACTS,FACILITY_NAME,4,4,GENERAL DYNAMICS | GENERAL DYNAMICS C4 SYSTEMS | GENERAL DYNAMICS ELECTRO DYNAMIC | GENERAL DYNAMICS ELECTRIC BOAT CORP
109,Duke Energy,environment,ENERGY__FED_EIA860_1_UTILITY,UTILITY_NAME,8,8,"DUKE ENERGY FLORIDA SOLAR SOLUTIONS | DUKE ENERGY CAROLINAS, LLC | DUKE ENERGY PROGRESS - (NC) | DUKE ENERGY OHIO INC | DUKE ENERGY RENEWABLES SERVICES | DUKE ENERGY FLORIDA, LLC"
110,HCA Healthcare,health,HEALTH__FED_NURSINGHOME411,CHAIN_NAME,2,1,HCA HEALTHCARE
111,AbbVie,health,HEALTH__FED_CMS_OPEN_PAYMENTS,APPLICABLE_MANUFACTURER_OR_APPLICABLE_GPO_MAKING_PAYMENT_NAME,1720745,1,ABBVIE INC.
112,Alliance Resource Partners,justice,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,CASE_NAME_FULL,11,9,"CRANBERRY CREEK COAL COMPANY V. COMMONWEALTH OF PENNSYLVANIA ALLIANCE COAL MINING COMPANY V. COMMONWEALTH OF PENNSYLVANIA LEHIGH COAL & NAVIGATION COMPANY V. COMMONWEALTH OF PENNSYLVANIA AND PHILADELPHIA & READING COAL & IRON COMPANY V. COMMONWEALTH OF PENNSYLVANIA | JOSEPH BREWER, JOSHUA CHUCK, AND JASON MOODY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED V. ALLIANCE COAL, LLC, THE"
113,Johnson & Johnson,money,FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES,FACILITY_NAME,7,4,JOHNSON & JOHNSON MEDICAL INCORPORATED | JOHNSON & JOHNSON INC MIC | JOHNSON AND JOHNSON CONSUMER PRODUCTS COMPANY NORTH BRUNSWICK | ALZA CORP SUBSIDIARY OF JOHNSON & JOHNSON
114,UnitedHealth,money,PROCUREMENT__FED_USASPENDING_BULK,RECIPIENT_NAME,2,1,NORTH AMERICAN UNITED HEALTHCARE SERVICES JV LLC
115,Exxon Mobil,environment,ENERGY__FED_EIA860_1_UTILITY,UTILITY_NAME,3,3,EXXON MOBIL REFINING AND SUPPLY CO. | EXXON MOBIL PRODUCTION CO | EXXON MOBIL CORP
116,Johnson & Johnson,health,HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND,NAME_KEY,1,1,JOHNSON AND JOHNSON INVESTMENTS OF ONALASKA
117,Johnson & Johnson,money,FINANCE__FED_SEC_13F_FILERS,FILINGMANAGER_NAME,47,3,"JOHNSON & JOHNSON INNOVATION - JJDC, INC. | JOHNSON & JOHNSON | JOHNSON & JOHNSON UK TREASURY CO LTD"
118,Wells Fargo,labor,LABOR__FED_MSHA_VIOLATIONS,CONTROLLER_NAME,44,1,WELLS FARGO IOWA LIMESTONE TRUST
119,Amazon,transport,TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT,OPER_NAME,8,1,AMAZON.COM SERVICES LLC
120,AbbVie,health,HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,SUPLR_PRVDR_LAST_NAME_ORG,3,1,ABBVIE ENDOCRINOLOGY INC
121,Amazon,money,ECONOMICS__FED_USASPENDING_CONTRACTS,RECIPIENT_NAME,327,3,"AMAZON WEB SERVICES, INC | AMAZON.COM SERVICES LLC | AMAZON WEB SERVICES, INC."
122,Exxon Mobil,money,FINANCE__FED_SEC_DERA_SUB_2024Q3,NAME,1,1,EXXON MOBIL CORP
123,UnitedHealth,politics,POLITICS__ST_NYC_CFB_CAMPAIGN_2025_CONTRIBUTIONS,CONTRIBUTOR_NAME,1,1,1199 SEIU UNITED HEALTHCARE WO
124,JPMorgan Chase,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_DOING_BUSINESS_AS_NAME,85,7,JPMORGAN CHASE BANK NATIONAL ASSOCIATION (4650) | JPMORGAN CHASE BANK NA | J P MORGAN CHASE BANK (4650) | JP MORGAN | J P MORGAN ELECTRONIC FINANCE SRVS INCORPORATED | JPMORGAN CHASE
125,HCA Healthcare,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2023,COMPANY_NAME,24,8,HCA HEALTHCARE INC | HCA HEALTHCARE UCF LAKE NONA HOSPITAL | HOSPITAL CORPORATION OF AMERICA (HCA) - ST. DAVID'S HEALTHCARE | HCA HEALTHCARE | HCA- HOSPITAL CORPORATION OF AMERICA | HOSPITAL CORPORATION OF AMERICA (HCA)
126,Northrop Grumman,health,HEALTH__FED_CMS_PART_D_PRESCRIBERS,PRSCRBR_LAST_ORG_NAME,12,1,NORTHROP
127,Lockheed Martin,science,SCIENCE_RESEARCH__FED_NIH_REPORTER,ORG_NAME,23,5,"LOCKHEED MARTIN ACULIGHT CORPORATION | LOCKHEED MARTIN SERVICES, INC. | LOCKHEED MARTIN MGMT  SYS DESIGNERS, INC | LOCKHEED MARTIN ENERGY RESEARCH CORP | LOCKHEED MARTIN DELAWARE VALLEY"
128,Merck,money,FINANCE__FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,COMPANY_NAME,1,1,"MERCK & CO., INC."
129,JPMorgan Chase,money,ECONOMICS__FED_DOL_FORM5500,SPONSOR_DFE_NAME,63,1,"JPMORGAN CHASE BANK, N.A."
130,JPMorgan Chase,environment,ENERGY__FED_EIA860_2_PLANT,UTILITY_NAME,1,1,JPMORGAN CHASE BANK
131,Chevron,money,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,BRANCH_NAME,19,3,"CHEVRON CREDIT BANK, NATIONAL ASSOCIATION | CHEVRON TOWER BRANCH | CHEVRON CREDIT BANK, NATIONAL ASSOCI"
132,Eli Lilly,health,HEALTH__PHARMA_MEAL_CAP_FINGERPRINT,PAYMENT_MAKER_NAME,9,3,"ELI LILLY AND COMPANY | LILLY USA, LLC | ELI LILLY EXPORT S.A. PUERTO RICO BRANCH"
133,Exxon Mobil,companies,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,ORIGINAL_NAME,67,67,EXXON FINANCIAL SERVICES COMPANY LIMITED | ESSO INTERNATIONAL INVESTMENTS LTD. (FRMRLY EXXON AFRICA HOLDINGS | EXXON EXPLORATION AND PRODUCTION GULF OF THAILAND LIMITED | EXXON SABA LIMITED | EXXON SHABWA LIMITED | EXXON ESPIRITO SANTO BASIN LIMITED
134,HCA Healthcare,health,HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS,ORGANIZATION_NAME,1,1,COMMUNITY HCA INC
135,Eli Lilly,money,PROCUREMENT__FED_USASPENDING_BULK,RECIPIENT_NAME,3,1,ELI LILLY AND COMPANY
136,Boeing,money,FINANCE__FED_EPA_ICIS_FEC_CASE_FACILITIES,FACILITY_NAME,40,17,THE BOEING COMPANY - BOEING HELENA AERONAUTICS MANUFACTURING FACILITY | UPS BOEING FIELD 2 | BOEING AEROSPACE SUPPORT CENTER - AIRCRAFT FUELING FACILITY | BOEING COMPANY | THE BOEING CO | BOEING NORTH BOEING FIELD
137,General Dynamics,companies,CORPORATE_REGISTRY__FED_IRS_EO_BMF,SORT_NAME,1,1,CO GENERAL DYNAMICS CORPORATION
138,Walmart,politics,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,CLIENT_NAME,361,5,"WALMART INC | WAL-MART 701 8TH STREET NW #200 WASHINGTON DC 20001 | WAL-MART | WAL-MART STORES INC | WAL-MART STORES, INC."
139,Alliance Resource Partners,money,FINANCE__FED_SEC_DERA_SUB_2024Q1,NAME,1,1,ALLIANCE RESOURCE PARTNERS LP
140,Peabody Energy,labor,LABOR__FED_MSHA_MINES,CURRENT_CONTROLLER_NAME,78,4,PEABODY HOLDING COMPANY INC | SIMCO PEABODY COAL COMPANY | CYPRUS AMAX MINERALS COMPANY & PEABODY COAL COMPAN | PEABODY ENERGY CORPORATION
141,RTX Raytheon,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2023,ESTABLISHMENT_NAME,51,51,RAYTHEON_ABERDEEN PROVING  GROUND_MD | RAYTHEON_POINT MUGU_CA_NAWC | RAYTHEON COMPANY | RAYTHEON_ANDOVER_MA | RAYTHEON_DALLAS_TX_ EXPRESSWAY SITE | TX - RAYTHEON MCKINNEY
142,3M,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME,273,3,3M COMPANY | ADRIAN HARRIS (DBA THE 3M COMPANY FILM & VIDEO SOLUTIONS) | 3M CO
143,Duke Energy,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_DOING_BUSINESS_AS_NAME,19,1,DUKE ENERGY PROGRESS LLC
144,Northrop Grumman,justice,JUSTICE__FED_COURTLISTENER_DOCKETS,CASE_NAME_FULL,434,362,"SALLY NORTHROP V. THE MERRITT-CHAPMAN AND SCOTT CORPORATION | LEWIS NORTHROP V. . JOSEPH F. HILL | JACK MANUEL V. NORTHROP-GRUMMAN | AARON BEN NORTHROP V. FRANCISCO J. QUINTANA, WARDEN | MARY ANDERSON, BY ROY ANDERSON, HER NEXT FRIEND V. W.F. NORTHROP, RAY NORTHROP AND PEARL NORTHROP | ISAAC A. NORTHROP V. FRANK CHASE"
145,3M,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME,15357,1,3M COMPANY
146,UnitedHealth,justice,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,CASE_NAME,24,24,"FEDOR V. UNITED HEALTHCARE | SPINEDEX PHYSICAL THERAPY USA V. UNITED HEALTHCARE OF ARIZONA | SEIU, UNITED HEALTHCARE WORKER V. CENTINELA HOSPITAL MEDICAL CENTER | UNITED HEALTHCARE SERVICES, INC. V. GILEAD SCIENCES, INC. | DR. ROBERT L. MEINDERS, D.C. V. UNITED HEALTHCARE SERVICES | KIMBERLEY D. V. UNITED HEALTHCARE INS. CO."
147,RTX Raytheon,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_PARENT_NAME_RAW,354,2,RAYTHEON COMPANY | RAYTHEON TECHNOLOGIES CORPORATION
148,JPMorgan Chase,money,FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES,RECIPIENT_ADDR1,1,1,JP MORGAN CHASE
149,JPMorgan Chase,justice,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,CASE_NAME,104,103,"TERA ADVANCED TECHNOLOGIES V. JP MORGAN CHASE & CO. | MORTGAGE RESOLUTION SERVICING V. JPMORGAN CHASE BANK, N.A. | MATTHEW V. JP MORGAN CHASE BANK NA | KIRSCHNER V. JP MORGAN CHASE BANK, N.A. | WILLIAM PAATALO V. JPMORGAN CHASE BANK | JP MORGAN CHASE BANK, N.A. V. ROBINSON"
150,RTX Raytheon,environment,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,FACILITY_NAME,78,48,"RAYTHEON TECHNOLOGIES CORPORATION | RAYTHEON LOVE FIELD | RAYTHEON DALLAS NORTH CENTRAL EXPRESSWAY SITE | RAYTHEON MISSILE SYSTEMS DINE' | RAYTHEON GROUNDWATER TREATMENT SYSTEM | RSA RAYTHEON MAGAZINE IMPROVEMENTS (308,309,310)"
151,JPMorgan Chase,environment,ENVIRONMENT__FED_EPA_GHGRP_FACILITY,FACILITY_NAME,12,1,J.P. MORGAN VENTURES ENERGY CORPORATION
152,Eli Lilly,money,FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,OWNER_NAME,12,1,ELI LILLY & CO
153,Duke Energy,money,ECONOMICS__FED_IRS_REVOCATION,LEGAL_NAME,1,1,DUKE ENERGY CORPORATION VEBA IV
154,Johnson & Johnson,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,NAME,8,1,JOHNSON & JOHNSON
155,HCA Healthcare,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME_RAW,7,1,HCA INC.
156,Tyson Foods,money,FINANCE__FED_SEC_DERA_SUB_2025Q4,NAME,1,1,"TYSON FOODS, INC."
157,Wells Fargo,immigration,IMMIGRATION__FED_DOL_OFLC,EMPLOYER_ADDRESS1,2,1,"301 WELLS FARGO DRIVE,STE C-15"
158,HCA Healthcare,health,HEALTH__FED_CMS_NPPES,PARENT_ORGANIZATION_LBN,2,2,"HCA HEALTHCARE AT HOME-BHS, LLC | HCA HEALTHCARE"
159,Exxon Mobil,labor,LABOR__FED_OSHA_ITA_300A_SUMMARY_2025,COMPANY_NAME,1,1,EXXON CHEMICAL PLANT - BATON ROUGE
160,Walmart,environment,ENVIRONMENT__FED_NID_DAMS,DAM_NAME,3,3,WALMART SWM POND DAM(S) | WALMART  DETENTION POND A DAM | WALMART  DETENTION POND D DAM
161,3M,health,HEALTH__FED_FDA_ESTABLISHMENT_REG,ESTABLISHMENT_NAME,37,1,3M COMPANY
162,JPMorgan Chase,health,HEALTH__FED_CMS_HOME_HEALTH_OWNERS,ORGANIZATION_NAME_OWNER,2,1,"JP MORGAN CHASE, N.A."
163,3M,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_DOING_BUSINESS_AS_NAME,18,1,3M COMPANY
164,Lockheed Martin,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME_RAW,168583,28,"LOCKHEED MARTIN CANADA INC | RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE | LOCKHEED MARTIN INTEGRATED SYSTEMS  LLC | LOCKHEED MARTIN UK INSYS LTD | LOCKHEED MISSILES & SPACE CO | LOCKHEED MARTIN INTEGRATED SYSTEMS, INC"
165,Lockheed Martin,companies,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,ORIGINAL_NAME,2,2,LOCKHEED INC. | LOCKHEED TRADING CORP.
166,Amazon,companies,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COMPANY_NAME,3,2,AMAZON WEB SERVICES EMEA SARL | AMAZON LOGISTICS EU LIMITED
167,Chevron,politics,POLITICS__CA_LOBBY_EMPLOYER_FIRMS,FIRM_NAME,1,1,CHEVRON CORPORATION AND ITS SUBSIDIARIES
168,Boeing,environment,ENVIRONMENT__FED_EPA_TRI_BASIC_2023,C_15_PARENT_CO_NAME,67,1,THE BOEING CO
169,Northrop Grumman,companies,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,COMPANY_NAME,15,15,EDEN NORTHROP LTD | FRANCES NORTHROP CONSULTING LTD | NORTHROP PARTNERS LIMITED | NORTHROP GRUMMAN PROPERTIES LIMITED | NORTHROP GRUMMAN GLOBAL HOLDINGS LIMITED | NORTHROP GROUP LTD
170,RTX Raytheon,politics,POLITICS__CA_LOBBY_COVER,FIRM_NAME,47,1,RAYTHEON COMPANY
171,Pfizer,environment,ENVIRONMENT__FED_EPA_ECHO,FACILITY_NAME,94,58,PFIZER INC NORTHEAST DISTRIBUTION CENTER | PFIZER PHARMACEUTICALS - ARECIBO | PFIZER INCORPORATED WELL 2 | PFIZER MEMPHIS LOGISTICS CENTER | PFIZER INCORPORATED WELL 1 | PFIZER CUSTOMER RETURN CENTER
172,Chevron,labor,LABOR__FED_OSHA_ITA_CASE_DETAIL_2024,COMPANY_NAME,10,1,CHEVRON U.S.A. INC.
173,Johnson & Johnson,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME,16512,18,JOHNSON & JOHNSON CONSUMER COM | JOHNSON & JOHNSON SALES AND LOGISTICS COMPANY LLC | JOHNSON & JOHNSON CONSUMER INC. | JOHNSON & JOHNSON MEDICAL SPA | JOHNSON & JOHNSON SURGICAL INC | JOHNSON & JOHNSON (PHILIPPINES) INCORPORATED
174,Boeing,immigration,IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES,DETENTION_FACILITY_NAME,1,1,ELP BOEING DR HOLDROOM
175,CVS Health,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_PARENT_NAME_RAW,521,8,"CVS  INC | CVS CAREMARK CORPORATION | CVS, INC | CVS | CVS HEALTHSPIRE PAYOR & LIFE SCIENCES LLC | CVS HEALTH CORPORATION"
176,AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2024Q4,NAME,1,1,ABBVIE INC.
177,Bank of America,money,FINANCE__INTL_OSFI_REGULATED_FI,COMPANY_NAME,1,1,"BANK OF AMERICA, NATIONAL ASSOCIATION"
178,Amazon,money,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,RECIPIENT_NAME_RAW,51,21,"AMAZON LOGISTICS  LLC | AMAZON.COM INC | AMAZON LOGISTICS | AMAZON.COM  INC | WWW.AMAZON.COM/SHOPS/WEGOABOVE4U | AMAZON.COM, INC"
179,AbbVie,politics,POLITICS__ST_NYC_CFB_CAMPAIGN_2021_CONTRIBUTIONS,EMPLOYER_NAME,14,3,"PHARMACYCLICS/ABBVIE | ABBVIE, INC. | ABBVIE"
180,Chevron,transport,TRANSPORT__FED_FRA_CASUALTIES,REPORTING_PARENT_RAILROAD_NAME,11,1,RAIL SERVE PLANT A & B AND CHEVRON
181,3M,politics,POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS,CLIENT_NAME,71,1,3M COMPANY
182,Northrop Grumman,money,FINANCE__FED_SEC_EDGAR_FINANCIALS,NAME,8,1,NORTHROP GRUMMAN CORP /DE/
183,UnitedHealth,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_DOING_BUSINESS_AS_NAME,14,2,OPTUM OR UNITED HEALTHCARE | UNITED HEALTHCARE
184,Lockheed Martin,money,FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,OWNER_NAME,5,2,LOCKHEED MARTIN CORP | LOCKHEED MARTIN INVESTMENT MANAGEMENT CO
185,AbbVie,money,FINANCE__FED_SEC_DERA_SUB_2024Q2,NAME,1,1,ABBVIE INC.
186,CVS Health,money,PROCUREMENT__INTL_EC_SERCOP,SUPPLIER_NAME,2,1,CONSULTORIA VALOR Y SEGURIDAD INFORMATICA CVS S.A.
187,Exxon Mobil,politics,POLITICS__CA_LOBBY_EMPLOYER,EMPLOYER_NAME,1,1,EXXON MOBIL COPORATION
188,Exxon Mobil,environment,ENVIRONMENT__FED_EPA_TRI_FACILITY,PARENT_CO_NAME,57,3,EXXON MOBIL CORP | EXXON CORP | EXXON MOBIL OIL CORP
189,Bank of America,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL_R2,RECIPIENT_PARENT_NAME,911,8,"BANK OF AMERICA CORPORATION | BANK OF AMERICA, N.A | BANK OF AMERICA NA | BANK OF AMERICA | BANK OF AMERICA, NATIONAL ASSOCIATION | BANK OF AMERICA  NATIONAL ASSOCIATION"
190,CVS Health,money,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE,NAME,3,2,CVS | CVS PHARMACY
191,Bank of America,money,ECONOMICS__FED_FDIC_FAILED_BANKS,BANK_NAME,6,6,BANK OF AMERICA TRUST CO. | BANK OF AMERICA CALIFORNIA N.A. | BANK OF AMERICA OREGON N.A. | BANK OF AMERICA N.A. | BANK OF AMERICA RHODE ISLAND N.A. | U.S. SAVINGS BANK OF AMERICA
192,Boeing,money,ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,RECIPIENT_NAME,92825,27,"THE BOEING COMPANY (0674) | BOEING DISTRIBUTION, INC. | BOEING NORTH AMERICAN, INC | BOEING DISTRIBUTION SERVICES X, INC. | BOEING-SVS, INC | BOEING DISTRIBUTION SERVICES, INC."
193,Wells Fargo,money,FINANCE__FED_SEC_DERA_SUB_2025Q2,NAME,1,1,WELLS FARGO & COMPANY/MN
194,Merck,environment,ENERGY__FED_EIA860_6_2_ENVIROEQUIP,UTILITY_NAME,8,2,MERCK & CO INC-WEST POINT | MERCK & CO INC
195,Amazon,money,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,EMPLOYER,85719,81,"AMAZON WEB SERVICES, INC | AMAZON.COM HOLDINGS INC./SPOUSE | AMAZON.COM.DEDC, LLC | AMAZON.COM.AZDC LLC | AMAZON.COM LLC | AMAZON.COM FULFILLMENT"
196,Pfizer,environment,ENERGY__FED_EIA861_SALES_ULT_CUST_CS,FACILITY_NAME,2,2,PFIZER PEAPACK SOLAR | PFIZER GROTON FUEL CELL
197,Merck,money,FINANCE__FED_SEC_DERA_SUB_2025Q1,NAME,1,1,"MERCK & CO., INC."
198,Lockheed Martin,politics,POLITICS__CA_LOBBY_EMPLOYER,EMPLOYER_NAME,3,3,LOCKHEED MARTIN CORPORATION | LOCKHEED MARTIN SPACE SYSTEMS COMPANY | LOCKHEED MARTIN IMS
199,Merck,money,FINANCE__FED_NCUA_FEDERALLY_INSURED_CU_LIST,CREDIT_UNION_NAME,1,1,MERCK SHARP & DOHME
