-- S07 GLEIF x OpenSanctions: every sanctioned company target with an LEI-shaped ID, with its GLEIF record (row level)
LEI | OS_ID | OS_NAME | OS_COUNTRIES | OS_SANCTIONS | PROGRAM_IDS | DATASETS | FIRST_SEEN | LAST_SEEN | G_LEI | G_NAME | G_CTRY | G_CITY | G_ESTATUS | G_RSTATUS | G_LOU | G_REG0 | G_UPD | G_NEXT | G_VALID | G_CAT
31570010000000011250 | NK-ctbMzHmBLqgDJeW346oDJT | Czech Asset Investments, a.s. | cz | "MiFID - Společnost Colosseum, a.s., IČO 251 33 454, se sídlem Londýnská 730/59, 120 00 Praha 2
(i)
a) dne 5.2.2016, 8.3.2016 a 16.3.2016 při komunikaci se zákazníkem _______ _______ porušila vnitřní předpis Manuál_způsob poskytování služby ASISTENT a MAX, když tohoto zákazníka vybízela ke konkrétnímu investičnímu rozhodnutí,
b) ke dni 31.5.2016 v rozporu s vnitřním předpisem Manuál – Obsah složky |  | EU ESMA Sanctions;Legal Entity Identifier (LEI) Reference Data;PermID Open Data | 2024-03-21 16:29:48 | 2026-08-05 09:54:15 | 31570010000000011250 | Czech Asset Investments, a.s. | CZ | Praha | ACTIVE | ISSUED | 315700LK78Z7C0WMIL03 | 2014-01-06 00:00:00+01:00 | 2026-04-21 15:48:53+02:00 | 2027-01-19 00:00:00+01:00 | FULLY_CORROBORATED | GENERAL
391200IDSLOEBYSU9N27 | NK-BdL4dCGFG47MuNcQAPoe4E | Папа Оскар Венчурс ГмбХ | de | ;235/2023 - active - 2023-04-22 - 2033-04-22 | UA-SA1644 | Legal Entity Identifier (LEI) Reference Data;Ukraine NSDC State Register of Sanctions;Ukraine War and Sanctions | 2023-04-28 12:11:23 | 2026-08-05 16:22:02 | 391200IDSLOEBYSU9N27 | PAPA OSCAR Ventures GmbH | DE | Frankfurt am Main | ACTIVE | ISSUED | 39120001KULK7200U106 | 2020-11-11 11:10:50.585000+01:00 | 2025-09-17 11:37:13.059000+02:00 | 2026-11-11 11:10:50.585000+01:00 | FULLY_CORROBORATED | GENERAL
2534009ACUPRNCEK5939 | NK-KtEKPjqsRxRJwuH22PTiP9 | Uralkali Trading SIA | lv | 269/2014 - Sankciju sarakstā iekļautas personas kontrole - 2024-04-17 |  | Graph-based entity tagging;Latvia FIU Sanctions and Asset Freezes;Legal Entity Identifier (LEI) Reference Data;Register of Enterprises of the Republic of Latvia (Uzņēmumu reģistrs) | 2023-12-22 09:49:03 | 2026-08-05 12:40:08 | 2534009ACUPRNCEK5939 | Uralkali Trading SIA | LV | Riga | ACTIVE | LAPSED | 253400M18U5TB02TW421 | 2018-04-27 12:21:00+03:00 | 2024-01-18 21:31:18.073000+03:00 | 2023-06-03 13:07:27.070000+03:00 | FULLY_CORROBORATED | GENERAL
253400CBS86JS6X10J85 | NK-abmC8U6E6cWwMrsZct8ZNT | UCP Investment Group | ru | ;(UE) 2026/509 du 23/04/2026 (UE Ukraine intégrité territoriale - R (UE) 269/2014) - United Capital Partners Investment Group est un grand groupe russe d’investissement financier, qui a investi dans la production et le traitement du pétrole et du gaz. En particulier, avec la compagnie pétrolière publique russe Rosneft, United Capital Partners Investment Group détient une part importante d’une entr | EU-UKR;SECO-UKRAINE;UA-SA1644 | Belgian Financial Sanctions;EU Council Official Journal Sanctioned Entities;EU Financial Sanctions Files (FSF);French National Asset Freezing System;Global Energy Ownership Tracker;Graph-based entity tagging;Legal Entity Identifier (LEI) Reference Data;Monaco National Fund Freezing List;Russian Unified State Register of Legal Entities;Swiss SECO Sanctions/Embargoes;Ukraine NSDC State Register of Sanctions;Ukraine War and Sanctions | 2024-06-30 00:00:00 | 2026-08-05 18:25:02 | 253400CBS86JS6X10J85 | Общество с ограниченной ответственностью "Юнайтэд Кэпитал Партнерс Эдвайзори" | RU | Москва | ACTIVE | ISSUED | 253400M18U5TB02TW421 | 2019-12-18 16:33:00+03:00 | 2026-07-03 13:25:58.457000+03:00 | 2027-07-03 13:25:10.540000+03:00 | FULLY_CORROBORATED | GENERAL
253400EH37SSJEEJFB05 | NK-Z3exaBPY5AM98Joh736oSg | JSC SOLID BANK | ru | ;997/2025 - дії іноземної держави, іноземної юридичної чи фізичної особи, інших суб’єктів, які створюють реальні та/або потенційні загрози національним інтересам, національній безпеці, суверенітету і територіальній цілісності України, сприяють терористичній діяльності та/або порушують права і свободи людини і громадянина, інтереси суспільства та держави, призводять до окупації території, експропрі | GB-RUS;UA-SA1644 | Business Identifier Code (BIC) Reference Data;Legal Entity Identifier (LEI) Reference Data;Russia Banking Registry;UK Companies House Disqualified Directors;UK FCDO Sanctions List;US FATCA Foreign Financial Institution (FFI) List;Ukraine NSDC State Register of Sanctions;Ukraine War and Sanctions | 2024-12-06 05:05:03 | 2026-08-05 18:40:02 | 253400EH37SSJEEJFB05 | Акционерное общество "Солид Банк" | RU | Владивосток | ACTIVE | ISSUED | 253400M18U5TB02TW421 | 2019-03-22 14:55:00+03:00 | 2026-01-28 09:56:40.580000+03:00 | 2027-01-28 09:55:56.540000+03:00 | FULLY_CORROBORATED | GENERAL
253400TVL3KAKVE7WN59 | NK-iRqm9CSEc4rUno9fC5iqDB | OJSC Orenburgneft | ru | ;870/2025 - дії іноземної держави, іноземної юридичної чи фізичної особи, інших суб’єктів, які створюють реальні та/або потенційні загрози національним інтересам, національній безпеці, суверенітету і територіальній цілісності України, сприяють терористичній діяльності та/або порушують права і свободи людини і громадянина, інтереси суспільства та держави, призводять до окупації території, експропрі | UA-SA1644;US-BIS-EL;US-SSI;US-UKRRUS-REL | Legal Entity Identifier (LEI) Reference Data;PermID Open Data;Russian Unified State Register of Legal Entities;Taiwan Strategic High-Tech Commodities Entity List;US OFAC Consolidated (non-SDN) List;US OFAC Press Releases;US OFAC Specially Designated Nationals (SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL);Ukraine NSDC State Register of Sanctions;Ukraine War and Sanctions | 2023-04-20 10:56:14 | 2026-08-05 18:53:01 | 253400TVL3KAKVE7WN59 | Акционерное общество "Оренбургнефть" | RU | Бузулук | ACTIVE | LAPSED | 253400M18U5TB02TW421 | 2025-06-30 12:46:32.033000+03:00 | 2026-06-30 05:01:53.567000+03:00 | 2026-06-30 13:04:03.620000+03:00 | FULLY_CORROBORATED | GENERAL
254900UQV8MHA17JCW23 | NK-mZdnYtdVb3cKeTGDQHGRyS | PARAMOUNT ENERGY & COMMODITIES DMCC | ae;ru | ;613/2025 - дії іноземної держави, іноземної юридичної чи фізичної особи, інших суб’єктів, які створюють реальні та/або потенційні загрози національним інтересам, національній безпеці, суверенітету і територіальній цілісності України, сприяють терористичній діяльності та/або порушують права і свободи людини і громадянина, інтереси суспільства та держави, призводять до окупації території, експропрі | CA-SEMA;GB-RUS;UA-SA1644 | Canadian Consolidated Autonomous Sanctions List;Legal Entity Identifier (LEI) Reference Data;UK Companies House Disqualified Directors;UK FCDO Sanctions List;Ukraine NSDC State Register of Sanctions;Ukraine War and Sanctions | 2024-05-09 21:39:15 | 2026-08-05 18:43:24 | 254900UQV8MHA17JCW23 | PARAMOUNT ENERGY AND COMMODITIES DMCC | AE | Dubai | ACTIVE | LAPSED | 5493001KJTIIGC8Y1R12 | 2022-10-26 13:49:43.187000+00:00 | 2024-10-27 13:30:05.239000+00:00 | 2024-10-26 13:49:43.187000+00:00 | FULLY_CORROBORATED | GENERAL
254900ZDP84B13P44W22 | NK-SdZ7AL8yyXBL7Nw3buhFYz | Kaspersky Lab Uk Limited | gb | ;Entity List (EL) - Bureau of Industry and Security - For all items subject to the EAR (See §744.11 of the EAR). - 2024-06-24 | US-BIS-EL | Legal Entity Identifier (LEI) Reference Data;Taiwan Strategic High-Tech Commodities Entity List;UK Companies House People with Significant Control;US Trade Consolidated Screening List (CSL);Ukraine War and Sanctions | 2024-07-02 21:55:05 | 2026-08-05 18:53:01 | 254900ZDP84B13P44W22 | Kaspersky Lab Uk Limited | GB | London | ACTIVE | LAPSED | 5493001KJTIIGC8Y1R12 | 2017-12-08 15:36:20.664000+00:00 | 2022-05-05 12:27:15.574000+00:00 | 2021-02-04 14:03:37.093000+00:00 | PARTIALLY_CORROBORATED | GENERAL
3PPKBHUG1HD6BO7RNR87 | NK-Rx6ysRyiqEyaoLuixXiRQW | Textron Inc. | us | Product-based - Production of cluster munitions |  | EU Financial Instruments Reference Data System (FIRDS);Legal Entity Identifier (LEI) Reference Data;Norges Bank Investment Management observation and exclusion of companies;PermID Open Data;UK Companies House People with Significant Control;UK Financial Instruments Reference Data System (FIRDS) | 2023-10-19 07:50:19 | 2026-08-05 11:48:32 | 3PPKBHUG1HD6BO7RNR87 | TEXTRON INC. | US | WILMINGTON | ACTIVE | ISSUED | 5493001KJTIIGC8Y1R12 | 2012-10-19 18:37:00+00:00 | 2026-06-16 05:15:33.959000+00:00 | 2027-06-25 14:15:00+00:00 | FULLY_CORROBORATED | GENERAL
253400M1J0WDXMK1K063 | NK-fDNpyXivC2ev2dygGjhtbZ | Joint Stock Commercial Bank Rublev | ru;ua | ;126/2018 - updated - 2018-05-14 - 2021-05-14;133/2017 - excluded - 2017-05-15;133/2017 - expired - 2017-05-15 - 2018-05-15;176/2018 - expired - 2018-06-21 - 2021-06-21;264/2021 - expired - 2021-06-24 - 2024-06-24;467/2016 - excluded - 2016-10-17 - 2017-10-17;549/2015 - excluded - 2015-09-16 - 2016-09-16;Reciprocal - Active - 2017-06-20;UKRAINE-EO13685 - Executive Order 13685 (Ukraine) | UA-SA1644;US-UKRRUS-REL | Legal Entity Identifier (LEI) Reference Data;PermID Open Data;Russian Unified State Register of Legal Entities;US OFAC Specially Designated Nationals (SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL);Ukraine NSDC State Register of Sanctions;Ukraine War and Sanctions | 2023-04-20 10:27:20 | 2026-08-05 18:53:01 | 253400M1J0WDXMK1K063 | Акционерное общество Коммерческий Банк "РУБЛЕВ" | RU | Москва | ACTIVE | LAPSED | 253400M18U5TB02TW421 | 2015-05-22 12:04:00+03:00 | 2024-01-18 21:47:33.813000+03:00 | 2018-04-26 11:20:40.710000+03:00 | FULLY_CORROBORATED | GENERAL
253400QMD7MRJ6LTSS76 | NK-cqdcpd8t3XREia4VnmppTN | ALFASTRAKHOVANIE PLC | ru | ;(UE) 2025/1894 du 12/09/2025 (UE Ukraine intégrité territoriale - R (UE) 269/2014) - (UE) 2023/2875 du 18/12/2023 (UE Ukraine intégrité territoriale - R (UE) 269/2014) - AlfaStrakhovanie Group est l’un des plus grands groupes d’assurances de Russie. Il fait partie du consortium Alfa Group. AlfaStrakhovanie Group comprend 4 compagnies d’assurance: AlfaStrakhovanie PLC, AlfaStrakhovanie-Life LLC, A | AU-RUSSIA;CA-SEMA;EU-UKR;GB-RUS;SECO-UKRAINE;UA-SA1644;US-UKRRUS-REL | Australian Sanctions Consolidated List;Belgian Financial Sanctions;Canadian Consolidated Autonomous Sanctions List;EU Council Official Journal Sanctioned Entities;EU Financial Sanctions Files (FSF);French National Asset Freezing System;Latvia FIU Sanctions and Asset Freezes;Legal Entity Identifier (LEI) Reference Data;Monaco National Fund Freezing List;PermID Open Data;Russian Unified State Register of Legal Entities;Swiss SECO Sanctions/Embargoes;Taiwan Strategic High-Tech Commodities Entity List;UK Companies House Disqualified Directors;UK FCDO Sanctions List;US OFAC Press Releases;US OFAC Specially Designated Nationals (SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL);Ukraine NSDC State Register of Sanctions;Ukraine War and Sanctions | 2023-07-19 18:02:43 | 2026-08-05 18:53:01 | 253400QMD7MRJ6LTSS76 | Акционерное общество "АльфаСтрахование" | RU | Москва | ACTIVE | LAPSED | 253400M18U5TB02TW421 | 2015-07-10 12:57:00+03:00 | 2026-04-01 05:07:48.533000+03:00 | 2026-04-01 10:37:12.220000+03:00 | FULLY_CORROBORATED | GENERAL
253400SDB3Z1P5LA7C24 | NK-fmbGkKFxnMyMATiFF2dUgZ | Публичное акционерное общество "Софтлайн" | ru | 227/2023 - active - 2023-04-15 - 2033-04-15 | UA-SA1644 | Legal Entity Identifier (LEI) Reference Data;PermID Open Data;Russian National Settlement Depository (NSD, ISIN Assignment);Russian Unified State Register of Legal Entities;Ukraine NSDC State Register of Sanctions | 2022-11-17 10:16:52 | 2026-08-05 16:22:02 | 253400SDB3Z1P5LA7C24 | Публичное акционерное общество "Софтлайн" | RU | Москва | ACTIVE | LAPSED | 253400M18U5TB02TW421 | 2022-10-18 13:01:19.310000+03:00 | 2024-12-16 09:54:50.347000+03:00 | 2024-10-12 14:21:13.157000+03:00 | FULLY_CORROBORATED | GENERAL
253400VVNJ2304JLV519 | NK-YgkL3C8VtpTR44qQ8xQFmR | GLOBEXBANK | ru | 126/2018 - updated - 2018-05-14 - 2021-05-14;176/2018 - expired - 2018-06-21 - 2021-06-21;264/2021 - expired - 2021-06-24 - 2024-06-24;Reciprocal - Active - 2015-07-30;UKRAINE-EO13662 - Executive Order 13662 (Ukraine) | UA-SA1644;US-SSI | Graph-based entity tagging;Legal Entity Identifier (LEI) Reference Data;PermID Open Data;Russian Unified State Register of Legal Entities;US OFAC Consolidated (non-SDN) List;US SAM Procurement Exclusions;US Trade Consolidated Screening List (CSL);Ukraine NSDC State Register of Sanctions | 2023-04-20 10:50:14 | 2026-08-05 18:53:01 | 253400VVNJ2304JLV519 | Акционерное общество коммерческий банк "ГЛОБЭКС" | RU | Москва | INACTIVE | RETIRED | 253400M18U5TB02TW421 | 2014-02-18 10:43:00+04:00 | 2024-01-18 22:01:50.403000+03:00 | 2019-05-10 15:57:31.230000+03:00 | FULLY_CORROBORATED | GENERAL
(1401 rows; csv has all)
