domain,name,tier,bulk,horizon,have,why,have_v
"Financial Crimes, Sanctions & AML",UCC-1 financing statement filing number (state Secretary of State),STRONG,unclear,nice-to-have-later,no -- not present anywhere in the agency/state context given. Genui...,This is a standard tool in shell-company and real-estate money-laundering journalism (used routinely by ICIJ/OCCRP-style investigations a...,no
"Financial Crimes, Sanctions & AML",EUID (European Unique Identifier),STRONG,unclear,nice-to-have-later,no -- Ripple's existing EU(2) tables and single-country feeds (DE/F...,The first pass's OpenOwnership item notes 'a small but growing set of countries' publish open beneficial-ownership data and treats cross-...,no
"Financial Crimes, Sanctions & AML",NFA ID (National Futures Association registration number),STRONG,unclear,nice-to-have-later,no -- CFTC(2) tables were not checked for NFA ID columns this sessi...,The first pass flagged FINRA CRD as bridging broker-dealer AML enforcement to SEC filings but explicitly noted it 'likely overlaps with w...,no
"Financial Crimes, Sanctions & AML",ABA routing number / Federal Reserve E-Payments Routing Directory entry,STRONG,yes,nice-to-have-later,no -- not present anywhere in the confirmed table list. Believed fr...,The first pass's own SWIFT/BIC entry concludes it is realistically restricted/subscription-only and 'included per the brief's instruction...,no
"Financial Crimes, Sanctions & AML",NYDFS BitLicense number,STRONG,unclear,nice-to-have-later,no -- not present anywhere in the confirmed table list; NYDFS publi...,"NYDFS has issued some of the largest crypto AML/BSA consent orders in the country (against major exchanges, for sanctions-screening and A...",no
"Financial Crimes, Sanctions & AML",CBP Customs Broker License Number,STRONG,unclear,nice-to-have-later,no -- CBP's single existing table was not checked for broker-licens...,TBML is one of FATF's three core money-laundering channels (alongside financial-system and bulk-cash laundering) and is specifically how ...,no
"Financial Crimes, Sanctions & AML",OpenOwnership Beneficial Ownership Data Standard (BODS) statement ID,WEAK,yes,nice-to-have-later,"no -- not a government source, not present in agency context. Lower...","Global beneficial-ownership transparency is expanding country by country (EU registries, some Latin American and African registries); Ope...",no
"Financial Crimes, Sanctions & AML",Interpol Notice Control Number,WEAK,unclear,nice-to-have-later,no -- Interpol is not present anywhere in agency context. Realistic...,"Fugitives wanted internationally for embezzlement of public funds or large-scale fraud, who were never charged in the US, are otherwise f...",no
"Financial Crimes, Sanctions & AML",OCCRP Aleph entity ID,WEAK,unclear,nice-to-have-later,no -- not present anywhere in the confirmed source list. Aleph's le...,"The first pass's ICIJ item is correctly flagged as one of the most mission-aligned items on the whole list, but ICIJ is limited to five s...",no
Corporate Registration & Beneficial Ownership,FinCEN Identifier (FinCEN ID),STEEL,no,nice-to-have-later,no -- Ripple's FINCEN(1 table) is almost certainly OFAC/advisory/le...,"This is literally the ID meant to expose who really controls anonymous shell companies used to hide assets from fraud victims, judgment c...",no
Corporate Registration & Beneficial Ownership,OCC National Bank Charter Number,STEEL,unclear,nice-to-have-later,no -- OCC is not present anywhere in Ripple's current source list; ...,"OCC's own enforcement/consent-order database keys cases to charter number, not RSSD ID (already surfaced). Without it Ripple can't reliab...",no
Corporate Registration & Beneficial Ownership,NCUA Federal Credit Union Charter Number,STEEL,yes,now,unclear -- Ripple already has NCUA(1 table); check whether charter ...,Parallel to OCC charter number but for credit unions -- needed to connect an NCUA enforcement/insurance record to the same institution ap...,unclear
Corporate Registration & Beneficial Ownership,USPTO Trademark Serial Number / Registration Number,STEEL,yes,nice-to-have-later,no -- PATENT is already a known key (implying USPTO patent ingestio...,"Shell/holding companies frequently hold trademarks for consumer-facing brands (payday lenders, debt collectors, for-profit colleges) that...",no
Corporate Registration & Beneficial Ownership,CMS PECOS PAC ID / Enrollment ID,STEEL,yes,now,"very likely yes -- with CMS at 49 tables, PAC ID/Enrollment ID are ...","A provider can have one NPI but multiple PECOS enrollments across states, or a revoked/excluded owner can re-enroll a new corporate shell...",likely
Corporate Registration & Beneficial Ownership,FCC FRN (FCC Registration Number),STEEL,yes,now,very likely yes -- plausibly already sitting unrecognized in the ex...,The Bridge Fuel Reality memory already flags FCC ULS EIN as a masked-blank trap column. FRN is FCC's own clean entity ID and is very plau...,likely
Corporate Registration & Beneficial Ownership,EU EUID (European Unique Identifier),STEEL,unclear,nice-to-have-later,no -- Ripple's single-country international feeds appear to use nat...,Ripple's international coverage (CH/ES/GR/IE/CA/CL/DE/EC/EG/FR/GH/IT) is flagged as 'mostly UNFILED domain' -- meaning each country's nat...,no
Corporate Registration & Beneficial Ownership,ISIN (International Securities Identification Number),STEEL,yes,now,"possible-likely -- GLEIF (3 tables, includes 'gleif reverse-recon x...","Without ISIN, Ripple can't follow money when a US-enforcement-flagged entity raises capital via a non-US bond/equity listing under a diff...",likely
Corporate Registration & Beneficial Ownership,FIGI (Financial Instrument Global Identifier),STEEL,yes,nice-to-have-later,unclear -- possible CFTC(2)/Treasury(5) swap-data tables carry a ra...,"CUSIP/ISIN licensing costs cap how much of the security universe can be bulk-matched; FIGI is the only fully free, no-license identifier,...",unclear
Corporate Registration & Beneficial Ownership,NAIC Company Code (insurance company identifier),STEEL,unclear,nice-to-have-later,no -- confirmed absent per AGENCY_CONTEXT; a real new acquisition p...,"Insurance-industry harm (claim denials, redlining in homeowners/auto coverage, junk short-term health plans) is entirely invisible to Rip...",no
Corporate Registration & Beneficial Ownership,NFA ID (National Futures Association),STRONG,unclear,nice-to-have-later,"no -- CFTC(2 tables) is almost certainly enforcement/market data, n...",Same 'who actually sold this' gap as CRD but on the commodities/derivatives side -- lets Ripple trace repeat-offender commodity brokers a...,no
Corporate Registration & Beneficial Ownership,"SEC Commission File Number (""SEC File Number"")",STRONG,yes,now,very likely yes -- almost certainly already present unrecognized in...,Untangles complex financial groups where a parent's CIK covers the holding company but an affiliated registered investment adviser subsid...,likely
Corporate Registration & Beneficial Ownership,IRS Group Exemption Number (GEN),STRONG,yes,nice-to-have-later,"unclear -- IRS(9 tables) already ingested, plausibly includes Exemp...","National unions file one GEN covering hundreds of locals; without it, Ripple can only see each local's LM-2 or 990 in isolation and can't...",unclear
Corporate Registration & Beneficial Ownership,FARA Registration Number,STRONG,yes,now,very likely yes -- Ripple already has FARA(1 table); verify the reg...,Foreign influence campaigns route through PR/lobbying firms representing multiple foreign governments simultaneously; a stable registrant...,likely
Corporate Registration & Beneficial Ownership,Lobbying Disclosure Act Registrant ID (House ID / Senate ID),STRONG,yes,now,unclear -- Ripple's SENATE(2 tables) may cover a different Senate d...,"Complements FEC_CMTE_ID/FEC_CAND_ID (already known campaign-finance side) by covering corporate lobbying spend; without a stable ID, Ripp...",unclear
Corporate Registration & Beneficial Ownership,FMCSA MC Number (Motor Carrier Number / Operating Authority),STRONG,yes,now,"unclear -- generic ""DOT(1 table)"" entry in AGENCY_CONTEXT doesn't c...",'Chameleon carriers' -- unsafe trucking companies shut down for safety violations that immediately re-register under a new DOT Number whi...,unclear
Corporate Registration & Beneficial Ownership,CBP Importer of Record Number,STRONG,no,nice-to-have-later,"no -- CBP(1 table) is likely enforcement/seizure data, not importer...","Ties corporate identity to supply-chain harm (forced-labor goods, unsafe products, sanctions trans-shipment); without it Ripple can't con...",no
Corporate Registration & Beneficial Ownership,UK Companies House PSC (Persons with Significant Control) Reference,STRONG,yes,now,no -- confirmed this session that Companies House publishes PSC as ...,"UK shell companies are a well-documented laundering vehicle for sanctioned-oligarch money, fraud proceeds, and hidden ownership of US-fac...",no
Corporate Registration & Beneficial Ownership,EU VAT Identification Number,STRONG,unclear,now,unclear -- plausibly already present as free text inside EU(2 table...,"Often the ONLY entity identifier present in EU trade/customs/agricultural-subsidy data; without recognizing it as a join key, Ripple risk...",unclear
Corporate Registration & Beneficial Ownership,ICIJ Offshore Leaks Database (Panama/Paradise/Pandora/Bahamas Papers) entity & beneficial-owner records,STRONG,yes,nice-to-have-later,no -- not present anywhere in Ripple's current AGENCY_CONTEXT (fede...,The canonical dataset for 'which real person hides behind this shell company' -- directly the mission's core question applied to the worl...,no
Corporate Registration & Beneficial Ownership,OpenCorporates Company ID,STRONG,no,nice-to-have-later,no,Ripple's international coverage is explicitly flagged as 'mostly UNFILED domain'; OpenCorporates already did the hard work of normalizing...,no
Corporate Registration & Beneficial Ownership,"SBA Small Business Certification Number (8(a), HUBZone, WOSB/EDWOSB, VOSB/SDVOSB)",STRONG,unclear,now,unclear -- SBA(2 tables) already present; this certification data m...,'Rent-a-vet' and pass-through fraud (a disabled veteran or minority owner is nominally listed to win set-aside contracts while a non-elig...,unclear
Corporate Registration & Beneficial Ownership,BIS Entity List / Denied Persons List / Unverified List,STRONG,yes,nice-to-have-later,no -- Commerce/BIS not present anywhere in AGENCY_CONTEXT; a genuin...,Export-restricted shell entities reincorporate under new names to keep receiving US chips/tech (documented chip-smuggling and military-di...,no
Corporate Registration & Beneficial Ownership,UN Security Council Consolidated List Reference Number,STRONG,yes,nice-to-have-later,no -- OFAC(1 table) is a US-only list; the UN Consolidated List is ...,OFAC is US-only; entities UN-listed without a matching OFAC entry (or vice versa) exploit exactly that jurisdictional gap to keep operati...,no
Corporate Registration & Beneficial Ownership,World Bank / Multilateral Development Bank Cross-Debarment List Entry,STRONG,yes,nice-to-have-later,no -- no World Bank / multilateral development bank data present an...,Contractors debarred by one MDB for corruption frequently re-win aid-funded infrastructure/health contracts in developing countries under...,no
Corporate Registration & Beneficial Ownership,OpenSanctions Entity ID,STRONG,yes,nice-to-have-later,no,"Functions as the crosswalk layer letting Ripple recognize the same beneficial owner across OFAC, UN, EU, UK PSC, and dozens of national l...",no
Corporate Registration & Beneficial Ownership,UCC-1 Financing Statement / Filing Number,STRONG,unclear,nice-to-have-later,no,UCC filings are how investigative reporters trace who actually bankrolled a shell company's asset purchases when the bare entity registry...,no
Corporate Registration & Beneficial Ownership,Open Ownership Register / Beneficial Ownership Data Standard (BODS),WEAK,yes,nice-to-have-later,no,"Functions as a normalization layer, not a hard ID itself -- lets Ripple ingest UK PSC + Ukraine's register + Denmark's register through o...",no
Corporate Registration & Beneficial Ownership,State/County DBA (Fictitious Business Name) Registration Number,WEAK,no,nice-to-have-later,no,Predatory lenders and debt collectors frequently operate under a consumer-facing DBA that looks nothing like the parent LLC named in the ...,no
Corporate Registration & Beneficial Ownership,State Commercial Registered Agent Identifier,WEAK,unclear,nice-to-have-later,no,A small number of registered-agent firms in Delaware/Wyoming/Nevada form a disproportionate share of the anonymous shells used to hide be...,no
Corporate Registration & Beneficial Ownership,State Bar Attorney License Number (as entity-formation gatekeeper ID),WEAK,unclear,nice-to-have-later,no,"The brief explicitly asked for identifiers of regulated PEOPLE, not just organizations. CRD/NFA on the original list cover people who sel...",no
Corporate Registration & Beneficial Ownership,CFTC Interim Compliant Identifier (CICI),WEAK,unclear,nice-to-have-later,"unclear -- CFTC(2 tables) present, unknown whether any early swap-e...",The brief explicitly asked for older/legacy identifier systems being phased out; none of the 25 original candidates address this angle at...,unclear
Corporate Registration & Beneficial Ownership,State Franchise Registration Number,WEAK,unclear,nice-to-have-later,no,"Same shell-behind-the-brand mechanism the original list's USPTO Trademark entry already flags for payday lenders, debt collectors, and fo...",no
"Labor, Workplace Safety & Benefits",OFLC Case Number,STEEL,yes,now,yes -- FED_DOL_OFLC.CASE_NUMBER confirmed live via staging SQL read...,"Visa-tied guest workers (H-2A farmworkers, H-2B, H-1B) can't switch employers without risking deportation, making them the labor force mo...",yes
"Labor, Workplace Safety & Benefits",OLMS LM File Number,STEEL,yes,now,no -- no OLMS or union-related table appears anywhere in the 69-age...,"LM-2 financial reports are the only public window into union officer pay, loans-to-officers, and disbursements -- the main tool for catch...",no
"Labor, Workplace Safety & Benefits",NLRB Case Number,STEEL,yes,nice-to-have-later,no -- NLRB doesn't appear anywhere in the 69-agency source list. Bu...,Workers illegally fired or threatened for organizing show up today as isolated news stories. NLRB case data lets Ripple map employers wit...,no
"Labor, Workplace Safety & Benefits",OWCP/FECA Claim Number,STEEL,no,nice-to-have-later,no -- OWCP/DFEC not present in the agency list,"Postal workers, VA staff, federal prison guards hurt on the job would show up as injury clusters at specific facilities if claim-level da...",no
"Labor, Workplace Safety & Benefits",Black Lung Benefits Claim Number (DCMWC),STEEL,no,nice-to-have-later,"no, though MSHA(3 tables) already ingested covers the mine-safety s...",Would be a powerful direct link -- a specific mine's MSHA violation/dust-exposure history connected to the downstream black lung claim bu...,no
"Labor, Workplace Safety & Benefits",Longshore and Harbor Workers' Compensation Act (LHWCA) Claim Number,STEEL,no,nice-to-have-later,no,"Could connect dockworker/shipyard injuries to specific vessels or terminal operators, but the same privacy restriction as FECA/Black Lung...",no
"Labor, Workplace Safety & Benefits",QCEW Unemployment Insurance (UI) Employer Account Number,STEEL,no,nice-to-have-later,"no, and structurally can't be from the public QCEW release",Would be a near-universal employer key but BLS deliberately suppresses employer identity in the public QCEW release under its state data-...,no
"Labor, Workplace Safety & Benefits",OSHA Whistleblower Program Case Number,STEEL,unclear,nice-to-have-later,"unclear -- OSHA(6 tables) already ingested, plausible this is alrea...",Workers who report unsafe conditions or fraud and then get fired or demoted are exactly the 'who gets hurt for speaking up' pattern the m...,unclear
"Labor, Workplace Safety & Benefits",HIOS Standard Component ID,STEEL,yes,now,"unclear -- CMS is Ripple's single largest source at 49 tables, plau...","Enrollees, including many on employer-sponsored plans that mirror marketplace products, whose issuer has a pattern of coverage denials or...",unclear
"Labor, Workplace Safety & Benefits",WHD Case ID (WHISARD),STEEL,unclear,nice-to-have-later,no -- WHD isn't one of DOL's 2 ingested tables (Form5500 and OFLC);...,"Low-wage workers hit by pattern wage theft (restaurants, poultry plants, agriculture) would become visible as repeat-offender employers i...",no
"Labor, Workplace Safety & Benefits",PBGC Case Number (Trusteed Plans),STEEL,yes,now,no -- confirmed FED_PBGC_DATA (PBGC's only ingested table) is aggre...,"Workers whose pension got trusteed by PBGC often see reduced benefits (PBGC guarantees are capped, below what was promised). This is the ...",no
"Labor, Workplace Safety & Benefits",MSHA Controller ID / Violator ID / Contractor ID,STEEL,yes,now,yes -- confirmed live via direct SQL against LIBRARY_RAW.LANDING 20...,A parent company running a dangerous operation can hide a bad safety record behind dozens of separately-numbered mines and shell operator...,yes
"Labor, Workplace Safety & Benefits",Joint Board Enrolled Actuary (EA) Number,STEEL,yes,now,no -- confirmed via direct SQL 2026-08-05 that FED_DOL_FORM5500 onl...,One actuary signs off on funding certifications for dozens of unrelated employers' pension plans; if several of 'their' plans go on to fa...,no
"Labor, Workplace Safety & Benefits",Farm Labor Contractor (FLC) Certificate of Registration Number,STEEL,unclear,nice-to-have-later,no -- WHD data isn't ingested at all in any form,Farm labor contractors/crew leaders are the direct point of contact for the most trafficking-vulnerable workforce in US agriculture. Seri...,no
"Labor, Workplace Safety & Benefits",EBSA/ERISA Plan Number (PN),STRONG,yes,now,yes -- FED_DOL_FORM5500.PLAN_NUM / SPONS_DFE_PN / LAST_RPT_PLAN_NUM...,"Workers whose 401k or pension is mismanaged or looted can't be tracked across enforcement actions if the specific PLAN, not just the empl...",yes
"Labor, Workplace Safety & Benefits",National Prevailing Wage Center (NPWC) Tracking Number,STRONG,yes,now,yes -- FED_DOL_OFLC.PW_TRACKING_NUMBER_1 through _10 columns confir...,Employers can 'wage-shop' by requesting favorable prevailing-wage determinations to legally underpay guest workers and undercut local wag...,yes
"Labor, Workplace Safety & Benefits",Davis-Bacon Wage Determination Number,STRONG,yes,now,unclear -- USASPENDING(6 tables) may carry Davis-Bacon applicabilit...,"Construction workers on federally funded projects are legally owed a specific prevailing wage; without the WD# attached to a project, a w...",unclear
"Labor, Workplace Safety & Benefits",Service Contract Act (SCA) Wage Determination / Register Number,STRONG,yes,nice-to-have-later,unclear -- same USASPENDING caveat as Davis-Bacon above,"Same mechanism as Davis-Bacon but for the lowest-paid federal contract workforce -- cafeteria staff, guards, cleaners -- who are more lik...",unclear
"Labor, Workplace Safety & Benefits",Railroad Retirement Board (RRB) Employer BA Number,STRONG,unclear,nice-to-have-later,no -- RRB is completely absent from the agency list,"Could connect a specific railroad's FRA safety/accident record to the disability-claim burden of its own workforce, but I could not verif...",no
"Labor, Workplace Safety & Benefits",National Mediation Board (NMB) Case Number,STRONG,unclear,nice-to-have-later,no -- NMB absent from the agency list,"Same organizing-retaliation harm mechanism as NLRB cases, but for the rail/airline workforce NLRB doesn't cover. Low-confidence entry -- ...",no
"Labor, Workplace Safety & Benefits",RAPIDS Apprenticeship Program/Sponsor ID,STRONG,unclear,nice-to-have-later,no -- ETA apprenticeship data isn't in the agency list,Apprenticeship completion and wage outcomes vary sharply by race/gender; a program-level ID would let Ripple expose sponsors who systemat...,no
"Labor, Workplace Safety & Benefits",USCIS Receipt Number,STRONG,no,nice-to-have-later,no -- confirmed via direct SQL 2026-08-05 that FED_USCIS_DATA is ag...,"OFLC data shows what an employer was CERTIFIED to do; the USCIS petition shows what was actually GRANTED. Without linking the two, Ripple...",no
"Labor, Workplace Safety & Benefits",Form M-1 Receipt Confirmation Code,WEAK,yes,nice-to-have-later,"yes, partially -- FED_DOL_FORM5500.M1_RECEIPT_CONFIRMATION_CODE col...",MEWAs/association health plans are a recurring fraud vector: fake multi-employer health plans that collect premiums from small businesses...,yes
"Labor, Workplace Safety & Benefits",EEOC Charge Number / EEO-1 Company Number,WEAK,no,nice-to-have-later,no -- EEOC not present in the agency list at all,Race/sex/age/disability discrimination charge patterns by employer are one of the biggest invisible harms in this domain -- but Title VII...,no
"Labor, Workplace Safety & Benefits",VETS-4212 Filer Record,WEAK,yes,now,no -- DOL's 2 known tables are Form5500 and OFLC; this data was onl...,Contractors can win large federal contracts while systematically failing to hire or retain veterans despite the reporting requirement -- ...,no
"Labor, Workplace Safety & Benefits",OFCCP Corporate Scheduling Announcement List (CSAL) Establishment Listing,WEAK,yes,nice-to-have-later,no -- OFCCP not present in the agency list at all,"OFCCP compliance reviews are the main enforcement tool against systemic pay and hiring discrimination at federal contractors, but the CSA...",no
"Labor, Workplace Safety & Benefits",Federal Mediation and Conciliation Service (FMCS) Case Number,WEAK,unclear,nice-to-have-later,no -- FMCS absent from the agency list,"Would help map which employers chronically end up in mediation/strike territory with their workforce -- low-confidence entry, unverified ...",no
"Labor, Workplace Safety & Benefits",CBP Forced Labor Withhold Release Order (WRO) / Finding,WEAK,yes,nice-to-have-later,unclear -- CBP(1 table) is already ingested but its contents weren'...,"Workers coerced into forced labor overseas (seafood, cotton, minerals) are the most extreme labor-harm case this domain covers, and the W...",unclear
"Labor, Workplace Safety & Benefits",DOL VETS USERRA Case Data,WEAK,no,nice-to-have-later,no -- VETS isn't ingested in any form. (VETS appears to publish onl...,"Same 'fired for asserting a legal right' harm as the NLRB/whistleblower entries already flagged, just for veterans specifically -- invisi...",no
"Labor, Workplace Safety & Benefits",State Workers' Compensation Board Claim/Case Number,WEAK,unclear,nice-to-have-later,no -- no state workers' comp source appears anywhere in Ripple's ag...,"The candidate list correctly flags federal injury-claim systems (FECA, Black Lung, Longshore) as privacy-walled, but never mentions those...",no
"Labor, Workplace Safety & Benefits","State ""Little Davis-Bacon"" Prevailing Wage Determination Number",WEAK,unclear,nice-to-have-later,no,"Same underpayment-against-a-legal-floor mechanism as the Davis-Bacon entry already in the candidate list, but for the much larger univers...",no
Criminal Justice & Court Systems,BOP Register Number,STEEL,unclear,now,Plausible -- BOP already has 1 table in the warehouse; the register...,"Without a stable person-level ID linking a federal defendant's court docket to their actual time served, Ripple cannot trace disparate se...",likely
Criminal Justice & Court Systems,FJC Judge NID (Biographical Directory ID),STEEL,yes,now,"Likely -- FJC already has 3 tables in the warehouse, and the Biogra...","Judicial conflicts of interest -- a judge ruling on a case while holding stock in a party, or a donor-network path from campaign giving t...",likely
Criminal Justice & Court Systems,ATF Federal Firearms License (FFL) Number,STEEL,yes,now,"no — ATF does not appear anywhere in the warehouse's agency list, s...",A small fraction of FFL dealers are consistently linked to a hugely disproportionate share of guns later traced to crimes — a documented ...,no
Criminal Justice & Court Systems,State Department of Corrections Inmate/Offender Number,STRONG,unclear,nice-to-have-later,No -- no state Department of Corrections appears anywhere in the cu...,"The federal BOP holds only ~10% of US prisoners; the other ~90% are in state systems. Without any state DOC inmate number, Ripple's entir...",no
Criminal Justice & Court Systems,BJS Facility ID (Census of State & Federal Adult Correctional Facilities / Annual Survey of Jails),STRONG,yes,now,"Unclear -- BJS already has 1 table in the warehouse, but a single B...",Incarcerated people cannot choose where they're housed and have essentially no exit option if their facility sits on contaminated ground ...,unclear
Criminal Justice & Court Systems,National Registry of Exonerations Case ID,STRONG,unclear,nice-to-have-later,"No -- not a government agency, does not appear anywhere in the curr...",This is arguably the single highest harm-concentration dataset available in the whole domain: without it joined to Ripple's officer/prose...,no
Criminal Justice & Court Systems,ICE Detention Facility Code (TRAC / Deportation Data Project standardized),STRONG,yes,now,"Unclear -- ICE already has 1 table in the warehouse, but it is more...",ICE detention deaths and medical neglect are chronically undercounted and hard to trace to a specific operator's track record. A stable f...,unclear
Criminal Justice & Court Systems,State POST Certification / Decertification Number,STRONG,no,nice-to-have-later,No -- no state POST board or the NDI appears anywhere in the agency...,"The single clearest 'systemic pattern, no seed question' policing story available anywhere is the 'wandering officer' -- fired or decerti...",no
Criminal Justice & Court Systems,NamUs Case Number,STRONG,unclear,nice-to-have-later,No -- NamUs does not appear in the current agency list; DOJ (3 tabl...,"Missing and murdered Indigenous people, unhoused people, and trafficking victims are chronically undercounted specifically because no sha...",no
Criminal Justice & Court Systems,Sex Offender Registry ID (state registries + NSOPW aggregation),STRONG,unclear,nice-to-have-later,"no -- no sex-offender-registry source, state or federal, appears an...","Registrants carry some of the most severe permanent collateral consequences in the whole CJ system -- housing exclusion, employment bars,...",no
Criminal Justice & Court Systems,FBI Number (UCN) / State Identification Number (SID),STRONG,no,nice-to-have-later,no -- CJIS/III criminal-history records are restricted to criminal-...,This is the specific identifier that would let Ripple prove things like a 'wandering officer' being arrested in a second state and it nev...,no
Criminal Justice & Court Systems,State Judicial Conduct Commission Case Number / State Judge Identity,STRONG,no,nice-to-have-later,no -- no state judicial conduct commission appears anywhere in the ...,"FJC Judge NID reaches roughly 870 sitting Article III judges. The other ~30,000 state judges -- who handle nearly all US bail, sentencing...",no
Criminal Justice & Court Systems,State Bar License / Attorney Registration Number,STRONG,unclear,nice-to-have-later,no -- no state bar association appears anywhere in the agency list;...,"The NRE candidate's own domain_bridge names 'prosecutor's office' as a link target, but no ID anywhere in the list can actually name and ...",no
Criminal Justice & Court Systems,TRAC/EOIR Immigration Judge Identity,STRONG,yes,now,"unclear -- EOIR already has 1 table in the warehouse, but it is far...",TRAC's own long-running reporting shows asylum grant rates for materially identical cases swinging from single digits to 90%+ depending p...,unclear
Criminal Justice & Court Systems,OJJDP Juvenile Residential Facility Census (JRFC) Facility ID,STRONG,yes,now,"no -- no OJJDP source appears anywhere in the agency list, and per ...","Every incarcerated population already on this candidate list is adult (federal inmates, state inmates, ICE detainees). Juveniles in resid...",no
Criminal Justice & Court Systems,USSC Individual Offender Datafile ID (USSCIDN),WEAK,yes,now,No -- USSC does not appear anywhere in the current agency list; thi...,"Sentencing disparity by race, district, and judge is one of the best-documented harms in federal criminal justice, and USSC's own data is...",no
Criminal Justice & Court Systems,DOJ Civil Rights Division Pattern-or-Practice Investigation / Consent Decree Case Number,WEAK,no,nice-to-have-later,"Unclear -- DOJ already has 3 tables in the warehouse, but this spec...",There is no existing index anywhere in Ripple linking an ORI-coded police department to a federal finding of unconstitutional policing. W...,unclear
Law Enforcement & Corrections,FBI Number (Universal Control Number) / State Identification Number (SID),STEEL,no,nice-to-have-later,"no — FBI(2 tables) is present, but FBI's actual open-data releases ...","Ripple's spine currently leans on NAME/ADDRESS-style matching, which is exactly the kind of fuzzy match that can wrongly merge two differ...",no
Law Enforcement & Corrections,National Decertification Index (NDI) Officer Certification ID / state POST decertification number,STEEL,no,nice-to-have-later,no — no LE-personnel-certification source appears anywhere in the w...,"The clearest 'systemic pattern, not one case' story in this whole domain: officers fired or decertified for misconduct in one department ...",no
Law Enforcement & Corrections,NCIC Record ID (Wanted Person / Stolen Property / Protection Order / Gang File entries),STEEL,no,nice-to-have-later,no — NCIC data is law-enforcement-network-only by design and has ne...,"Bad NCIC hits (stale protection orders, wrongful stolen-vehicle flags, gang-file misclassification) are a documented trigger for wrongful...",no
Law Enforcement & Corrections,CODIS Specimen / DNA Profile ID,STEEL,no,nice-to-have-later,no — CODIS is even more tightly restricted than criminal-history re...,"Untested rape-kit backlogs and CODIS mismanagement are a direct, well-documented harm mechanism in both directions — assailants walk free...",no
Law Enforcement & Corrections,State Department of Corrections / County Jail Offender ID,STRONG,unclear,nice-to-have-later,no — no state-DOC prefix appears anywhere in the warehouse; BOP(1) ...,"Most in-custody deaths, medical neglect, and solitary-confinement abuse happen in state prisons and county jails, not federal ones. Witho...",no
Law Enforcement & Corrections,National Institute of Corrections (NIC) State & Federal Prison Facility Directory ID,STRONG,unclear,nice-to-have-later,no — NIC doesn't appear anywhere in the warehouse's agency list. Lo...,GEO Group and CoreCivic are publicly traded and already sit in Ripple's SEC data. A clean facility ID is the anchor that would let Ripple...,no
Law Enforcement & Corrections,"BJS Mortality in Correctional Institutions (MCI, formerly Deaths in Custody Reporting Program/DCRP) Facility ID",STRONG,no,nice-to-have-later,maybe — BJS(1 table) is present; worth checking what that one table...,A near-textbook Ripple story: a specific jail/prison's in-custody death pattern held against CDC cause-of-death codes at facility grain (...,other
Law Enforcement & Corrections,BJS Census of Jails / Annual Survey of Jails Facility ID,STRONG,unclear,nice-to-have-later,maybe — same BJS(1 table) caveat as MCI/DCRP above; could not verif...,"County jails hold mostly pretrial detainees — people convicted of nothing, often held only because they can't afford bail. A jail-level I...",other
Law Enforcement & Corrections,ICE Detention Facility Code,STRONG,yes,now,maybe — ICE(1 table) is already in the warehouse. Confirmed this se...,"Same private-prison-profit-meets-harm pattern as state prisons, but for immigration detainees who have even fewer legal protections and l...",other
Law Enforcement & Corrections,Census of Juveniles in Residential Placement (CJRP) Facility ID,STRONG,unclear,nice-to-have-later,no — OJJDP doesn't appear anywhere in the warehouse's agency list. ...,"Juvenile facilities have distinct harm patterns — solitary confinement of minors, sexual abuse of youth in custody — that vanish entirely...",no
Law Enforcement & Corrections,NamUs (National Missing and Unidentified Persons System) Case Number,STRONG,no,nice-to-have-later,"no — NIJ doesn't appear anywhere in the warehouse's agency list, so...",Unidentified bodies and missing-persons cases tied to a law-enforcement or detention-facility contact are exactly the kind that fall thro...,no
Law Enforcement & Corrections,State/County Sex Offender Registry ID,STRONG,unclear,nice-to-have-later,no — no state sex-offender-registry prefix appears anywhere in the ...,Registrants who move state to state can slip through registration-compliance gaps between separate state systems — a known enforcement fa...,no
Law Enforcement & Corrections,BJS Survey of Sexual Victimization (SSV) / PREA Audit Facility ID,STRONG,unclear,nice-to-have-later,maybe — BJS(1 table) present again; same caveat as the DCRP/MCI and...,"PREA audits and BJS's victimization survey are currently two disconnected paper trails per facility — an audit PDF here, a national aggre...",other
Law Enforcement & Corrections,INTERPOL Notice ID (Red/Yellow/Blue Notice number),STRONG,no,nice-to-have-later,no — no INTERPOL or international-LE source appears anywhere in the...,"Niche for Ripple's current US-centric mission, but relevant to a story about someone using immigration status to evade international acco...",no
Law Enforcement & Corrections,Individual Forensic Analyst / Crime Lab Examiner Certification Number,STRONG,unclear,nice-to-have-later,no — no forensic-lab/crime-lab source appears anywhere in the wareh...,"Documented scandals (Annie Dookhan/Massachusetts, Fred Zain/West Virginia, Houston PD crime lab) show a single discredited analyst can ta...",no
Law Enforcement & Corrections,"State Bar License Number (public defenders, prosecutors, defense counsel)",STRONG,yes,now,no — no bar-association or attorney-license source appears anywhere...,"Ineffective assistance of counsel and prosecutorial misconduct are caseload-driven, systemic problems, but the pattern is only provable i...",no
