subject,tier,title,question,why_it_matters,tables,joins_on,visual,notes
POLITICS,run,"One member of Congress, every table","For one member: ideology, votes, bills, committees, money, trades, donors?",A card that proves the warehouse links up.,POLITICS__MEMBER_SPINE|POLITICS__FED_VOTEVIEW_MEMBERS|POLITICS__MEMBER_BILL_RECORD|POLITICS__MEMBER_VOTING_RECORD|POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP|POLITICS__MEMBER_PAC_MONEY|POLITICS__MEMBER_INDIV_DONATIONS|FINANCE__SENATE_TRADES|POLITICS__MEMBER_FEC_ID,"BIOGUIDE, FEC_CAND_ID",other,
POLITICS,run,Follow the money,"From individual donor to committee to candidate to outside spending, as one flow?",A sankey of an election.,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS|FINANCE__FED_FEC_COMMITTEES|FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE|FINANCE__FED_FEC_CANDIDATES|FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES,"FEC_CMTE_ID, FEC_CAND_ID",flow,
POLITICS,run,"Texas lobbying, whole picture","Who spent what on which official, on which subject, for which client?","Six tables, one filer.",POLITICS__TX_LOBBY_COVER|POLITICS__TX_LOBBY_FOOD_BEVERAGE|POLITICS__TX_LOBBY_GIFTS|POLITICS__TX_LOBBY_TRANSPORTATION|POLITICS__TX_LOBBY_SUBJECT_MATTER|POLITICS__TX_LOBBY_INDIVIDUAL_REPORTING,filer ID,other,"Same-source filer ID, not a catalog key."
POLITICS,run,Judicial confirmations against Senate polarization,"Did confirmation margins narrow as the Senate polarized, year by year?",Two long series on one axis.,POLITICS__FED_FJC_SERVICE|POLITICS__FED_VOTEVIEW_MEMBERS|REFERENCE__CALENDAR,year,timeline,"Year is a lookup, not a catalog key."
ENVIRONMENT,crawl,Repeat violators who paid nothing,Which facilities broke rules most often and paid the least?,Built table with minority share nearby.,ENVIRONMENT__EPA_PENALTY_GAP,single table,map,Built table.
ENVIRONMENT,crawl,Dirtiest power plants,Which plants emit the most CO2 per megawatt-hour?,Names and owners on a map.,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022,single table,map,
ENVIRONMENT,crawl,Greenhouse gas by facility since 2010,Which facilities cut emissions and which grew?,A slope chart per facility.,ENVIRONMENT__FED_EPA_GHGRP_EMISSION|ENVIRONMENT__FED_EPA_GHGRP_FACILITY,"stack, same shape",timeline,"Same facility ID; FRS_ID likely, confirm."
ENVIRONMENT,crawl,Toxic releases 2023,"Which facilities released the most, by chemical and by route?","Air, water, land as stacked bars.",ENVIRONMENT__FED_EPA_TRI_BASIC_2023|ENVIRONMENT__FED_EPA_TRI_FACILITY,"stack, same shape",ranking,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
ENVIRONMENT,crawl,Discharging into already impaired water,How many permit holders dump into water already listed as impaired?,The flag is in the table.,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES,single table,map,
ENVIRONMENT,crawl,Drinking water violations map,Which water systems have the most health-based violations?,15M rows to one map.,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,single table,map,
ENVIRONMENT,crawl,Lead at the tap,"Where did lead samples exceed the limit, and when?","Flint-style question, national scope.",ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES,single table,map,
ENVIRONMENT,crawl,Superfund sites map,Where are Superfund sites and which are on the priority list?,"Boundaries, not dots.",ENVIRONMENT__FED_EPA_SUPERFUND_SITE_BOUNDARIES,single table,map,
ENVIRONMENT,crawl,Fracking water use,"How much water does one frack job use, by state and year?",Gallons people can picture.,ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST,single table,timeline,
ENVIRONMENT,crawl,Trade-secret chemicals,"What share of fracking ingredients hide their chemical ID, and is it rising?",Secrecy as a trend line.,ENVIRONMENT__FED_FRACFOCUS_REGISTRY,single table,timeline,7.2M rows.
ENVIRONMENT,crawl,High-hazard dams in poor condition,Which dams would kill people if they failed and are rated poor?,Map plus years since last inspection.,ENVIRONMENT__FED_NID_DAMS,single table,map,
ENVIRONMENT,crawl,Storm damage by year,Which storm types cause the most dollar damage and deaths per year?,Tornado tracks on a map.,ENVIRONMENT__FED_NOAA_STORM_EVENTS|ENERGY_ENVIRONMENT__NOAA_STORMS_BY_STATE_EVENT_AGG,"stack, same shape",timeline,Rollup exists in PUBLIC.
ENVIRONMENT,crawl,Pipeline incidents by operator,Which gas pipeline operators have the most serious incidents since 2010?,Operator names and deaths.,ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS,single table,ranking,
ENVIRONMENT,crawl,Spill calls to the Coast Guard,"How many spill calls per year, by type, and where?",A million calls.,ENVIRONMENT__FED_USCG_NRC_INCIDENTS,single table,timeline,
ENVIRONMENT,crawl,Orphaned wells map,Where are the abandoned oil and gas wells nobody will plug?,Dots that look like a rash.,ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS,single table,map,
ENVIRONMENT,crawl,A river over fifty years,How did streamflow or groundwater level at one site change over decades?,"Pick one gauge, one long line.",ENVIRONMENT__FED_USGS_WATER,single table,timeline,6.5M readings.
ENVIRONMENT,crawl,Killed defending land,"Where are environmental defenders killed, and by whom?","Names, countries, years.",ENVIRONMENT__INTL_GLOBAL_WITNESS_DEFENDERS,single table,map,
ENVIRONMENT,crawl,"Country CO2, fossil share, warming","How do CO2, fossil share and temperature anomaly move together per country?","Three OWID series, one page.",ENVIRONMENT__XC_OWID_CO2|ENVIRONMENT__XC_OWID_FOSSIL_SHARE|ENVIRONMENT__XC_OWID_TEMP_ANOMALY,country + year,timeline,"Country code lookup, not a catalog key."
ENVIRONMENT,crawl,Air monitors opening and closing,Where were air-quality monitors shut down?,"Fewer monitors, less data.",ENVIRONMENT__FED_EPA_AQS_SITES,single table,map,
ENVIRONMENT,crawl,High-priority air violators,Which air-permitted facilities are flagged high-priority right now?,"One flag, one map.",ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES,single table,map,
ENVIRONMENT,crawl,Admitted deviations,What share of big air polluters admit deviating from their permit each year?,Self-reported honesty.,ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_TITLEV_CERTS,single table,timeline,
ENVIRONMENT,crawl,"Hazardous waste, months in violation",Which handlers stayed in serious violation the longest?,A month-by-month status strip.,ENVIRONMENT__FED_EPA_RCRA_VIOSNC_HISTORY,single table,timeline,
ENVIRONMENT,crawl,Stack tests failed,Which facilities fail smokestack tests most?,"Pass-fail, per facility.",ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_STACK_TESTS,single table,ranking,
ENVIRONMENT,crawl,Minerals by country,Which countries hold the reserves of each critical mineral?,A world map per mineral.,ENVIRONMENT__FED_USGS_MINERALS,single table,map,
ENVIRONMENT,crawl,Water system size versus owner type,Are small private systems more common than people think?,Population served by owner type.,ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,single table,other,
ENVIRONMENT,walk,Violations per permit against inspections,"Do more inspections find more violations, or fewer?",Catalog item 26.,ENVIRONMENT__FED_EPA_NPDES_NPDES_PS_VIOLATIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS,NPDES_ID,other,
ENVIRONMENT,walk,Enforcement by industry,Which industries draw the most enforcement per facility?,Catalog item 27.,ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_NAICS,NPDES_ID,ranking,
ENVIRONMENT,walk,Quarterly noncompliance by old industry code,Which SIC sectors are chronically noncompliant?,Catalog item 28.,ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY|ENVIRONMENT__FED_EPA_NPDES_NPDES_SICS,NPDES_ID,other,
ENVIRONMENT,walk,Violations per person served,Which water systems have the most violations per resident?,Catalog item 29.,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT|ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,PWSID,map,
ENVIRONMENT,walk,Site visits against violations,Do systems with more visits have fewer violations?,Catalog item 30.,ENVIRONMENT__FED_EPA_SDWA_SDWA_SITE_VISITS|ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,PWSID,other,
ENVIRONMENT,walk,Lead exceedances by area served,Which cities and zips drink from systems with lead exceedances?,Catalog item 31.,ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES|ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS,PWSID,map,
ENVIRONMENT,walk,Air emissions by corporate parent,Which parent companies own the most air pollution?,Catalog item 32.,ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS|ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,FRS_ID,ranking,
ENVIRONMENT,walk,Toxic releases per county,Which counties carry the most toxic release per resident?,Catalog item 33.,ENVIRONMENT__FED_EPA_TRI_BASIC_2023|DIM_COUNTY,FIPS,map,
ENVIRONMENT,walk,EPA facilities against county jobs,"Do counties with more EPA facilities have more jobs, or just more pollution?",Catalog item 37.,ENVIRONMENT__FED_EPA_FRS_FACILITIES|ECONOMICS__FED_BLS_QCEW,FIPS,other,
ENVIRONMENT,walk,Storms and FEMA housing aid,Which counties' storm damage turned into the most FEMA housing registrations?,Catalog item 40.,ENVIRONMENT__FED_NOAA_STORM_EVENTS|HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,FIPS,map,FEMA table is a partial load; counts are floors.
ENVIRONMENT,walk,Subsidiaries with EPA facilities,Which global parents own the most EPA-tracked facilities through subsidiaries?,Catalog item 53.,ECONOMICS__INTL_GLEIF_RELATIONSHIPS|ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,LEI,other,
ENVIRONMENT,walk,Penalties against releases,Do facilities that release the most pay the most?,ECHO penalties meet TRI pounds.,ENVIRONMENT__FED_EPA_ECHO|ENVIRONMENT__FED_EPA_TRI_BASIC_2023,FRS_ID,other,
ENVIRONMENT,walk,Facilities in every program,"Which facilities are in air, water, waste and toxic programs all at once?","Program links per facility, counted.",ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS|ENVIRONMENT__FED_EPA_FRS_FACILITIES,FRS_ID,ranking,
ENVIRONMENT,walk,Fracking water by source,"Where does frack water come from, and does that differ by state?",Source table meets job table.,ENVIRONMENT__FED_FRACFOCUS_WATER_SOURCE|ENVIRONMENT__FED_FRACFOCUS_DISCLOSURE_LIST,job ID,other,Same-source job ID; not a catalog key.
ENVIRONMENT,walk,Plant emissions by owner share,"Which utilities own the most emissions, weighted by share?",Catalog items 34 and 35.,ENVIRONMENT__FED_EPA_EGRID_PLANT_2022|ENERGY__FED_EIA860_4_OWNER,EIA_PLANT_ID,ranking,EIA keys are in the keyset with zero edges. Unproven.
ENVIRONMENT,run,"One facility, every EPA system","For one FRS ID: programs, inspections, violations, penalties, releases, gases, parent?",The facility page.,ENVIRONMENT__FED_EPA_FRS_FACILITIES|ENVIRONMENT__FED_EPA_ECHO|ENVIRONMENT__FED_EPA_FRS_FRS_PROGRAM_LINKS|ENVIRONMENT__FED_EPA_TRI_BASIC_2023|ENVIRONMENT__FED_EPA_GHGRP_EMISSION|ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK|ENVIRONMENT__FED_EPA_AIR_EMISSIONS_POLL_RPT_COMBINED_EMISSIONS,FRS_ID,other,"FRS_ID: 17 tables, 136 edges."
ENVIRONMENT,run,Corporate polluter family tree,From a global parent down through subsidiaries to facilities to violations?,A tree with pollution at the leaves.,ECONOMICS__INTL_GLEIF|ECONOMICS__INTL_GLEIF_RELATIONSHIPS|ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK|ENVIRONMENT__FED_EPA_ECHO,"LEI, FRS_ID",flow,
ENVIRONMENT,run,Your tap water,"For a zip: which system, its violations, lead samples, visits, milestones?",A lookup a reader will try on their own address.,ENVIRONMENT__FED_EPA_SDWA_SDWA_GEOGRAPHIC_AREAS|ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS|ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT|ENVIRONMENT__FED_EPA_SDWA_SDWA_LCR_SAMPLES|ENVIRONMENT__FED_EPA_SDWA_SDWA_SITE_VISITS|ENVIRONMENT__FED_EPA_SDWA_SDWA_EVENTS_MILESTONES,PWSID,other,"PWSID: 10 tables, 45 edges."
ENVIRONMENT,run,"Wastewater permit, whole life","Permit, inspections, violations, enforcement, quarterly scorecard, one timeline?",Every NPDES table on one strip.,ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES|ENVIRONMENT__FED_EPA_NPDES_NPDES_INSPECTIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_PS_VIOLATIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_SE_VIOLATIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS|ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY,NPDES_ID,timeline,
JUSTICE,crawl,Sentence length by charge and district,Do the same federal charges get different prison time in different districts?,"Same crime, different years behind bars.",JUSTICE__FED_FJC_IDB_CRIMINAL,single table,other,6.3M defendants.
JUSTICE,crawl,"What people sue about, by decade",Which civil case types grew and shrank in federal court?,A stacked area of a country's grievances.,JUSTICE__FED_FJC_IDB_CIVIL,single table,timeline,
JUSTICE,crawl,Bankruptcies per county per year,"Where did personal bankruptcy spike, and when?",A map that lights up in 2009.,JUSTICE__FED_FJC_IDB_BANKRUPTCY,single table,map,Chapter mix as a follow-up.
JUSTICE,crawl,Reversal rate by circuit,Which appeals circuits overturn the most lower-court rulings?,One bar per circuit.,JUSTICE__FED_FJC_IDB_APPELLATE,single table,ranking,
JUSTICE,crawl,Which justices vote together,"How often does each pair of justices agree, term by term?",The agreement matrix.,JUSTICE__FED_SCDB,single table,other,
JUSTICE,crawl,5-4 decisions per term,How many cases were decided by one vote each term?,A count that tracks the court's temperature.,JUSTICE__FED_SCDB,single table,timeline,
JUSTICE,crawl,Most-cited opinions,"Which rulings get cited most, and who wrote them?",A leaderboard of law.,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,single table,ranking,10M rows.
JUSTICE,crawl,Citation web,"Which opinions cite which, and where are the hubs?",A graph of precedent.,JUSTICE__FED_COURTLISTENER_PARENTHETICALS,single table,other,6.4M citation rows.
JUSTICE,crawl,Gifts to federal judges,"Who gives judges gifts, and which judges get the most?","The disclosure forms, itemized.",JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS,single table,ranking,
JUSTICE,crawl,Who pays for judges' travel,"Which organizations reimburse judges most, and for trips where?",Junkets on a map.,JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS,single table,ranking,
JUSTICE,crawl,Judges' stock holdings,Which companies show up most in judges' investment disclosures?,1.9M holdings.,JUSTICE__FED_COURTLISTENER_INVESTMENTS,single table,ranking,
JUSTICE,crawl,Judges' spouses' income sources,"Where do judges' spouses earn, by employer type?",A side of the bench nobody charts.,JUSTICE__FED_COURTLISTENER_DISCLOSURE_SPOUSAL_INCOME,single table,ranking,
JUSTICE,crawl,Judges' debts,Which creditors hold the most judge debt?,Debts on the record.,JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS,single table,ranking,
JUSTICE,crawl,Law schools of the bench,"Which schools produce the most federal judges, by decade?",A ranking that changes slowly.,JUSTICE__FED_COURTLISTENER_JUDGE_EDUCATIONS|JUSTICE__FED_COURTLISTENER_SCHOOLS,"stack, same shape",timeline,School ID same-source; CL_PERSON_ID for judge.
JUSTICE,crawl,Party affiliation by court,Which courts have swung party over time?,Affiliation periods as color bars.,JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS,single table,timeline,
JUSTICE,crawl,Race and gender on the bench,How did the bench's race and gender mix change per decade of appointment?,"Slow change, visible.",JUSTICE__FED_COURTLISTENER_JUDGES|JUSTICE__FED_COURTLISTENER_JUDGE_RACES|POLITICS__FJC_JUDGE,CL_PERSON_ID,timeline,
JUSTICE,crawl,"Crimes solved, by state","Which states clear the fewest reported crimes, and did it change since 1985?",Clearance rate is the number nobody quotes.,JUSTICE__FED_FBI_CDE,single table,map,
JUSTICE,crawl,Gun background checks by month,"When did gun checks spike, state by state?",Spikes line up with news.,JUSTICE__FED_FBI_NICS_CHECKS,single table,timeline,
JUSTICE,crawl,Gun dealers per county,Where are licensed gun dealers densest per resident?,"77K dealers, every address.",JUSTICE__FED_ATF_FFL|DIM_COUNTY,FIPS,map,FFL has coordinates; county via lookup.
JUSTICE,crawl,People killed by police,"How many per year, by race, armed status, and were officers charged?","Two trackers, one chart.",JUSTICE__XC_MAPPING_POLICE_VIOLENCE|JUSTICE__XC_WAPO_FATAL_FORCE,"stack, same shape",timeline,Different coverage; do not add them together.
JUSTICE,crawl,County jail rates over time,Which counties' jail rates climbed most since 1970?,"Vera's county trends, animated.",JUSTICE__XC_VERA_INCARCERATION_TRENDS,single table,map,
JUSTICE,crawl,The racial jail gap by county,Where is the Black-white jail rate gap widest?,"Built table, one map.",JUSTICE__RACIAL_JAIL_DISPARITY,single table,map,Built table.
JUSTICE,crawl,"Overdose and jail, worst-tenth counties",Which counties are in the worst tenth for both overdose and jail?,Built table with the flag.,JUSTICE__COUNTY_DOUBLE_BURDEN,single table,map,Built table.
JUSTICE,crawl,Sanctioned ships,"Which sanctioned vessels exist, under which programs?",OFAC lists ship details.,JUSTICE__FED_OFAC_SDN,single table,ranking,
JUSTICE,crawl,Thirteen blacklists in one,Which entries appear on several federal screening lists?,Overlap counted.,JUSTICE__FED_CONSOLIDATED_SCREENING_LIST,single table,other,
JUSTICE,crawl,A million sanctioned targets,"How does the global watchlist split by country, type, and crypto wallets?",Crypto wallets on a sanctions list is new.,JUSTICE__INTL_OPENSANCTIONS_DEFAULT,single table,other,
JUSTICE,crawl,Exploited software flaws,"Which vendors' flaws get exploited most, and how many are ransomware-used?",Product names people recognize.,JUSTICE__FED_CISA_KEV,single table,ranking,
JUSTICE,crawl,Ransomware gangs and their victims,"Which gangs claim the most victims, in which countries, by month?",Gang names on a timeline.,JUSTICE__XC_RANSOMWARELIVE_VICTIMS,single table,timeline,
JUSTICE,crawl,Conflict deaths on a map,"Where did conflict events cluster, and how deadly, year by year?",386K events.,JUSTICE__INTL_UCDP_GED,single table,map,
JUSTICE,crawl,"North Korean missile tests, two trackers","Do the two trackers agree on count, type, and outcome?",Disagreement between sources is itself the chart.,JUSTICE__INTL_NTI_CNS_DPRK_MISSILE_TESTS|JUSTICE__XC_NAGIX_DPRK_MISSILE_TESTS,"stack, same shape",timeline,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
JUSTICE,crawl,Human rights violations by country and article,"Which countries lose most at the European court, on which articles?","2,000 rulings.",JUSTICE__INTL_HUDOC,single table,other,
JUSTICE,crawl,"Homicide, warheads, terrorism by country",Three OWID series on one country page?,Simple world context.,JUSTICE__XC_OWID_HOMICIDE|JUSTICE__XC_OWID_NUCLEAR_WARHEADS|JUSTICE__XC_OWID_TERRORISM_DEATHS,country + year,timeline,Country code lookup. Not a catalog key; lookup or unproven.
JUSTICE,crawl,Missouri registry by county,"Where are registrants per resident highest, and what share are noncompliant?","A state registry, mapped.",JUSTICE__STATE_MO_SEX_OFFENDER_REGISTRY,single table,map,Names present. Aggregate only.
JUSTICE,crawl,FTC cases by topic,"What does the FTC go after, and did it shift?","1,004 cases.",JUSTICE__FED_FTC_DATASETS,single table,timeline,
JUSTICE,crawl,Biggest multidistrict lawsuits,Which MDLs hold the most pending cases?,A ranking of mass litigation.,JUSTICE__FED_JPML_PENDING_MDLS,single table,ranking,
JUSTICE,crawl,Bank enforcement fines,"Which banks were fined most by the FDIC, and when?",Bank names and dollar amounts.,JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS,single table,timeline,
JUSTICE,crawl,Oral argument transcripts,"Which judges talk most in oral argument, by word count?",Transcript text as data.,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS,single table,ranking,Transcript column where available.
JUSTICE,crawl,Courthouses map,"Where are federal courthouses, and which counties are far from one?",Distance-to-court map.,JUSTICE__FED_COURTLISTENER_COURTHOUSES|DIM_COUNTY,FIPS,map,
JUSTICE,walk,Judge positions against party,Do judges with a party affiliation hold more outside positions?,Catalog item 48.,JUSTICE__FED_COURTLISTENER_POSITIONS|JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS,CL_PERSON_ID,other,
JUSTICE,walk,Disclosures per judge against positions held,Which judges file the most disclosures relative to positions?,Catalog item 49.,JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES|JUSTICE__FED_COURTLISTENER_POSITIONS,CL_PERSON_ID,other,
JUSTICE,walk,Judges per court against cases filed,Which courts are most overloaded per judge?,Catalog item 50.,JUSTICE__FED_COURTLISTENER_COURTS|JUSTICE__FED_COURTLISTENER_FJC_IDB_CL_LINKED,CL_COURT_ID,ranking,
JUSTICE,walk,Opinions per case by case type,Which case types generate the most written opinions?,Catalog item 51.,JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS|JUSTICE__FED_COURTLISTENER_FJC_IDB_CL_LINKED,DOCKET,other,"DOCKET is mostly unproven: 17 tables, 2 edges."
JUSTICE,walk,Oral arguments against opinions,Do argued cases get more opinions?,Catalog item 52.,JUSTICE__FED_COURTLISTENER_ORAL_ARGUMENTS|JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,other,DOCKET unproven.
JUSTICE,walk,Jail rate against injury deaths,Do high-jail counties also have high injury and violence death rates?,Catalog item 39.,JUSTICE__XC_VERA_INCARCERATION_TRENDS|HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,FIPS,other,
JUSTICE,walk,Judges' gifts against their positions,Which outside positions come with the most gifts and travel?,Gift and reimbursement tables meet positions.,JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS|JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS|JUSTICE__FED_COURTLISTENER_POSITIONS,CL_PERSON_ID,other,
JUSTICE,walk,Judge holdings against Senate trades,Which stocks appear in both judges' and senators' disclosures?,"Two branches, same tickers.",JUSTICE__FED_COURTLISTENER_INVESTMENTS|FINANCE__SENATE_TRADES,ticker / asset name,other,Not a catalog key. Fuzzy name match.
JUSTICE,walk,Sentencing by judge,Which judges hand down the longest sentences for the same charge?,Judge column exists in the criminal file.,JUSTICE__FED_FJC_IDB_CRIMINAL|JUSTICE__FED_FJC_ARTICLE_III_JUDGES,judge code,ranking,Judge code not a catalog key. Needs proving.
JUSTICE,walk,Gun dealers against background checks,Do states with more dealers per person run more checks per person?,State-level scatter.,JUSTICE__FED_ATF_FFL|JUSTICE__FED_FBI_NICS_CHECKS,state code,other,"State is a lookup, not a catalog key."
JUSTICE,walk,"Same name, four sanctions lists","Which targets appear on OFAC, EU, UK and UN lists at once?",A Venn of sanctions.,JUSTICE__FED_OFAC_SDN|JUSTICE__INTL_EU_SANCTIONS|JUSTICE__INTL_UK_SANCTIONS_LIST|JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST,name,other,Name match only. Not a catalog key.
JUSTICE,run,"One judge, every table","For one judge: bio, courts, votes, ideology, disclosures, gifts, trips, holdings?",The judge card.,JUSTICE__FED_FJC_ARTICLE_III_JUDGES|JUSTICE__FED_COURTLISTENER_JUDGES|JUSTICE__FED_COURTLISTENER_POSITIONS|JUSTICE__FED_COURTLISTENER_JUDGE_EDUCATIONS|JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS|JUSTICE__FED_COURTLISTENER_FINANCIAL_DISCLOSURES|JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS|JUSTICE__FED_COURTLISTENER_INVESTMENTS|POLITICS__JUDGE_IDEOLOGY_COA,CL_PERSON_ID,other,"CL_PERSON_ID: 8 tables, 28 edges."
JUSTICE,run,Fifty years of federal court,"Civil, criminal, appellate and bankruptcy filings by district, one animated map?",The whole system breathing.,JUSTICE__FED_FJC_IDB_CIVIL|JUSTICE__FED_FJC_IDB_CRIMINAL|JUSTICE__FED_FJC_IDB_APPELLATE|JUSTICE__FED_FJC_IDB_BANKRUPTCY|JUSTICE__FED_COURTLISTENER_COURTS,CL_COURT_ID / district code,map,Not a catalog key; lookup or unproven.
JUSTICE,run,One name across the sanctions world,"For one entity: every list, every program, every alias, every date?",Sanctions as a lookup.,JUSTICE__FED_OFAC_SDN|JUSTICE__FED_CONSOLIDATED_SCREENING_LIST|JUSTICE__INTL_OPENSANCTIONS_DEFAULT|JUSTICE__INTL_EU_SANCTIONS|JUSTICE__INTL_UK_SANCTIONS_LIST|JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST,name,other,Name match only. Not a catalog key; lookup or unproven.
FINANCE,crawl,Who owns the big companies,"Which managers hold the most of one company, and how concentrated is ownership?","Ownership of a household name, drawn.",FINANCE__FED_SEC_13F_SUBMISSION,single table,ranking,3.8M holdings.
FINANCE,crawl,Insiders selling before the drop,"Which companies' insiders sold the most, and when?",A timeline per company.,FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS|FINANCE__FED_SEC_INSIDER_REPORTINGOWNER,"stack, same shape",timeline,Same filing ID; not a catalog key.
FINANCE,crawl,The audit partner who signs everything,Which audit partners and firms sign the most public-company audits?,Names behind the books.,FINANCE__FED_PCAOB_FORM_AP_FILINGS,single table,ranking,
FINANCE,crawl,Bank deserts,"Which counties lost the most bank branches, and where are there none?",Branch counts per county per year.,FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS|DIM_COUNTY,FIPS,map,Branch address to county lookup.
FINANCE,crawl,"Deposits per branch, over time",Which banks hold the most deposits in the fewest branches?,"Consolidation, drawn.",FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,single table,timeline,
FINANCE,crawl,Credit unions ranked,"Which credit unions are biggest, and which grew fastest?",Quarterly snapshots.,FINANCE__FED_NCUA_FEDERALLY_INSURED_CU_LIST|FINANCE__FED_NCUA_CALL_REPORTS_FS220,"stack, same shape",ranking,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog."
FINANCE,crawl,Income by zip code,Where are the richest and poorest zips by reported income?,"IRS returns, mapped.",FINANCE__FED_IRS_SOI|DIM_ZIP_POINT,ZIP,map,Zip lookup.
FINANCE,crawl,Small-donor share by cycle,Did small donors become a bigger share of campaign money?,"One line, twenty cycles.",FINANCE__FED_FEC_INDIV_CONTRIBUTIONS|MONEY_IN_POLITICS__FEC_INDIV_BY_STATE_CYCLE_AGG,"stack, same shape",timeline,Use the PUBLIC rollup first; 284M rows raw.
FINANCE,crawl,Donors by occupation and employer,"Which employers' staff give the most, and to whom?",Employer column is gold.,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,single table,ranking,
FINANCE,crawl,"Outside spending, support versus oppose",Did independent spending turn more negative over cycles?,Support and oppose as two bars.,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES,single table,timeline,
FINANCE,crawl,PAC to PAC transfers,Which committees move the most money to other committees?,A network of transfers.,FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE,single table,flow,
FINANCE,crawl,Foreign banks reporting to the IRS,Which countries have the most FATCA-registered institutions?,A tax-haven map.,FINANCE__FED_FATCA_FFI|ECONOMICS__FED_IRS_FATCA_FFI_LIST,"stack, same shape",map,Two copies of the same list.
