id,family,status,question,tables,join_grade,join_plan,bridge_needed,filter_columns,no_key_pairs,manual_note
31,HEALTH,found a little,Do hospital-owned home health agencies perform worse but cost more?,HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS | HEALTH__FED_CMS_HOME_HEALTH,A measured,HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ASSOCIATE_ID = HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.ASSOCIATE_ID [measured 475 shared] ; HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.ASSOCIATE_ID = HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ASSOCIATE_ID [measured 475 shared] ; HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.NPI = HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.NPI [measured 4 shared] ; HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.CCN = HEALTH__FED_CMS_HOME_HEALTH.CCN [CCN] ; HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.CCN = HEALTH__FED_CMS_HOME_HEALTH.CCN [CCN],,HEALTH__FED_CMS_HOME_HEALTH.CERTIFICATION_DATE | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.INCORPORATION_DATE | HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.INCORPORATION_DATE | HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.REH_CONVERSION_DATE,,
76,CROSS 3+,not started,Do they sell their company stock right before bad news like a fine hits?,FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS | ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS | HEALTH__FED_NURSINGHOME411,B hard ID +gap,,FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER = FINANCE__FED_SEC_DERA_SUB_2025Q4.ADSH [ACCESSION] then FINANCE__FED_SEC_DERA_SUB_2025Q4.CIK = ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS.CIK [CIK],FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.TRANSACTION_DATE | HEALTH__FED_NURSINGHOME411.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_NURSINGHOME411.PROBLEM_FACILITIES_SFFS_CANDIDATES_ONE_STAR,FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS x HEALTH__FED_NURSINGHOME411 ; ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS x HEALTH__FED_NURSINGHOME411,
77,JUSTICE,not started,Do they own stock in companies whose cases they're deciding?,JUSTICE__FED_COURTLISTENER_INVESTMENTS | JUSTICE__FED_COURTLISTENER_POSITIONS | JUSTICE__FED_FJC_IDB_CIVIL,B hard ID +gap,JUSTICE__FED_COURTLISTENER_INVESTMENTS.FINANCIAL_DISCLOSURE_ID = JUSTICE__FED_COURTLISTENER_POSITIONS.PERSON_ID [PERSON_ID],,JUSTICE__FED_COURTLISTENER_INVESTMENTS.DATE_CREATED | JUSTICE__FED_COURTLISTENER_INVESTMENTS.DATE_MODIFIED | JUSTICE__FED_COURTLISTENER_POSITIONS.DATE_CREATED | JUSTICE__FED_COURTLISTENER_POSITIONS.DATE_MODIFIED | JUSTICE__FED_FJC_IDB_CIVIL.FILE_DATE | JUSTICE__FED_FJC_IDB_CIVIL.TAPE_YEAR,JUSTICE__FED_COURTLISTENER_INVESTMENTS x JUSTICE__FED_FJC_IDB_CIVIL ; JUSTICE__FED_COURTLISTENER_POSITIONS x JUSTICE__FED_FJC_IDB_CIVIL,
78,CROSS 3+,not started,Do they trade stock in industries their own committee oversees?,FINANCE__FED_SENATE_STOCK_WATCHER | POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP | FED_VOTEVIEW_ROLLCALLS,B hard ID +gap,POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP.BIOGUIDE = FED_VOTEVIEW_ROLLCALLS.ICPSR [BIOGUIDE],,FINANCE__FED_SENATE_STOCK_WATCHER.TRANSACTION_DATE | POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP.SNAPSHOT_DATE,FINANCE__FED_SENATE_STOCK_WATCHER x POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP ; FINANCE__FED_SENATE_STOCK_WATCHER x FED_VOTEVIEW_ROLLCALLS,
79,ECONOMICS+FINANCE,not started,Did they quietly switch auditors right before collapsing?,ECONOMICS__FED_FDIC_FAILED_BANKS | FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS | FINANCE__FED_PCAOB_FORM_AP_FILINGS,B hard ID,ECONOMICS__FED_FDIC_FAILED_BANKS.FDIC_CERT = FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS.FDIC_CERT [FDIC_CERT] ; ECONOMICS__FED_FDIC_FAILED_BANKS.STATE_ABBR = FINANCE__FED_PCAOB_FORM_AP_FILINGS.FIRM_ISSUING_STATE [STATE] ; FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS.BRANCH_STATE = FINANCE__FED_PCAOB_FORM_AP_FILINGS.FIRM_ISSUING_STATE [STATE],,ECONOMICS__FED_FDIC_FAILED_BANKS.FAIL_DATE | ECONOMICS__FED_FDIC_FAILED_BANKS.INSURED_DATE | FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS.SIMS_ACQUIRED_DATE | FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS.SURVEY_YEAR | FINANCE__FED_PCAOB_FORM_AP_FILINGS.AUDIT_REPORT_DATE | FINANCE__FED_PCAOB_FORM_AP_FILINGS.FISCAL_PERIOD_END_DATE,,
80,ECONOMICS+RAW,not started,Do they still keep winning government contracts?,ECONOMICS__FED_FAC_SINGLE_AUDIT | FED_USASPENDING_CONTRACTS_FULL_R2,B hard ID,ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDITEE_UEI = FED_USASPENDING_CONTRACTS_FULL_R2.RECIPIENT_UEI [UEI/DUNS],,ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDIT_YEAR | ECONOMICS__FED_FAC_SINGLE_AUDIT.FY_START_DATE | FED_USASPENDING_CONTRACTS_FULL_R2.ACTION_DATE | FED_USASPENDING_CONTRACTS_FULL_R2.PERIOD_OF_PERFORMANCE_START_DATE,,
81,CROSS 3+,not started,Did executives sell their own stock right before the collapse?,LABOR__FED_PBGC_TRUSTEED_PLANS | FED_DOL_FORM5500_FULL | FINANCE__FED_SEC_DERA_SUB_2026Q1 | FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS,B hard ID,LABOR__FED_PBGC_TRUSTEED_PLANS.EIN = FED_DOL_FORM5500_FULL.SPONS_DFE_EIN [EIN] ; LABOR__FED_PBGC_TRUSTEED_PLANS.EIN = FINANCE__FED_SEC_DERA_SUB_2026Q1.EIN [EIN] ; FED_DOL_FORM5500_FULL.SPONS_DFE_EIN = FINANCE__FED_SEC_DERA_SUB_2026Q1.EIN [EIN] ; FINANCE__FED_SEC_DERA_SUB_2026Q1.ADSH = FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER [ACCESSION],LABOR__FED_PBGC_TRUSTEED_PLANS.EIN = FINANCE__FED_SEC_DERA_SUB_2025Q4.EIN [EIN] then FINANCE__FED_SEC_DERA_SUB_2025Q4.ADSH = FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER [ACCESSION] ; FED_DOL_FORM5500_FULL.SPONS_DFE_EIN = FINANCE__FED_SEC_DERA_SUB_2025Q4.EIN [EIN] then FINANCE__FED_SEC_DERA_SUB_2025Q4.ADSH = FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER [ACCESSION],FED_DOL_FORM5500_FULL.FORM_PLAN_YEAR_BEGIN_DATE | FED_DOL_FORM5500_FULL.PLAN_EFF_DATE | FINANCE__FED_SEC_DERA_SUB_2026Q1.FY | FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.TRANSACTION_DATE | LABOR__FED_PBGC_TRUSTEED_PLANS.DATE_OF_PBGC_TRUSTEESHIP | LABOR__FED_PBGC_TRUSTEED_PLANS.DATE_OF_PLAN_TERMINATION,,
82,FINANCE+LABOR,not started,Do unions reporting missing money also have an active political fund?,LABOR__FED_DOL_OLMS | FINANCE__FED_FEC_COMMITTEES,C geo,LABOR__FED_DOL_OLMS.ZIP = FINANCE__FED_FEC_COMMITTEES.CMTE_ZIP [ZIP],,LABOR__FED_DOL_OLMS.ESTABLISHED_DATE | LABOR__FED_DOL_OLMS.TERMINATION_DATE,,
83,EDUCATION+REGULATORY,not started,Does lobbying spending spike right before a new safety rule is finalized?,EDUCATION__FED_SENATE_LDA_FILINGS | REGULATORY__FED_FEDERAL_REGISTER_DOCUMENTS,E no shared key,,,EDUCATION__FED_SENATE_LDA_FILINGS.FILING_YEAR | EDUCATION__FED_SENATE_LDA_FILINGS.TERMINATION_DATE | REGULATORY__FED_FEDERAL_REGISTER_DOCUMENTS.PUBLICATION_DATE | REGULATORY__FED_FEDERAL_REGISTER_DOCUMENTS.PUBLICATION_YEAR,EDUCATION__FED_SENATE_LDA_FILINGS x REGULATORY__FED_FEDERAL_REGISTER_DOCUMENTS,"text join: LDA GOVERNMENT_ENTITIES and SPECIFIC_ISSUES vs Federal Register AGENCY_NAMES, window on PUBLICATION_DATE"
84,FINANCE+POLITICS,"lit — $586.0M against, $191.4M for, congress-matched",Who's spending money for or against them in elections?,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES | FINANCE__FED_FEC_CAND_CMTE_LINKAGE | POLITICS__FED_CONGRESS_LEGISLATORS | POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,A measured +gap,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES.CAND_ID = FINANCE__FED_FEC_CAND_CMTE_LINKAGE.CAND_ID [measured 1925 shared] ; FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES.CAN_OFFICE_STATE = POLITICS__FED_CONGRESS_LEGISLATORS.STATE [STATE] ; POLITICS__FED_CONGRESS_LEGISLATORS.BIOGUIDE = POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP.BIOGUIDE [BIOGUIDE],,FINANCE__FED_FEC_CAND_CMTE_LINKAGE.CAND_ELECTION_YR | FINANCE__FED_FEC_CAND_CMTE_LINKAGE.FEC_ELECTION_YR | FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES.EXP_DATE | FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES.FEC_ELECTION_YR | POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP.SNAPSHOT_DATE,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES x POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP ; FINANCE__FED_FEC_CAND_CMTE_LINKAGE x POLITICS__FED_CONGRESS_LEGISLATORS ; FINANCE__FED_FEC_CAND_CMTE_LINKAGE x POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,
85,FINANCE+HEALTH,not started,Does it flow from their corporate PAC into top leaders' campaign funds?,HEALTH__FED_CMS_OPEN_PAYMENTS | FINANCE__FED_FEC_COMMITTEES | FINANCE__FED_FEC_LEADERSHIP_PAC,C geo +gap,HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE = FINANCE__FED_FEC_COMMITTEES.CMTE_ZIP [ZIP],,FINANCE__FED_FEC_LEADERSHIP_PAC.CAND_ELECTION_YR | FINANCE__FED_FEC_LEADERSHIP_PAC.FEC_CANDIDATE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.DATE_OF_PAYMENT | HEALTH__FED_CMS_OPEN_PAYMENTS.PROGRAM_YEAR,HEALTH__FED_CMS_OPEN_PAYMENTS x FINANCE__FED_FEC_LEADERSHIP_PAC ; FINANCE__FED_FEC_COMMITTEES x FINANCE__FED_FEC_LEADERSHIP_PAC,
86,EDUCATION+POLITICS,not started,Are big-spending political advertisers avoiding official campaign finance reporting?,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND | POLITICS__FED_FEC_PAC_SUMMARY | POLITICS__FED_MEDSL_HOUSE_RETURNS,D name match +gap,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND.ADVERTISER_NAME = POLITICS__FED_FEC_PAC_SUMMARY.COMMITTEE_NAME [ORG_NAME],,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND.WEEK_START_DATE | POLITICS__FED_FEC_PAC_SUMMARY.COVERAGE_END_DATE | POLITICS__FED_MEDSL_HOUSE_RETURNS.CANDIDATE_VOTES | POLITICS__FED_MEDSL_HOUSE_RETURNS.ELECTION_YEAR,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND x POLITICS__FED_MEDSL_HOUSE_RETURNS ; POLITICS__FED_FEC_PAC_SUMMARY x POLITICS__FED_MEDSL_HOUSE_RETURNS,
87,FINANCE+RAW,not started,Do they also personally donate to U.S. political campaigns?,FED_FARA_BULK | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,C geo,FED_FARA_BULK.ZIP = FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE [ZIP],,FED_FARA_BULK.REGISTRATION_DATE | FED_FARA_BULK.TERMINATION_DATE | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.TRANSACTION_DATE,,
88,FINANCE+POLITICS,not started,Are the same people also treasurers of federal campaign committees?,POLITICS__IRS527_DIRECTORS_OFFICERS | FINANCE__FED_FEC_COMMITTEES,C geo,POLITICS__IRS527_DIRECTORS_OFFICERS.ENTITY_ZIP = FINANCE__FED_FEC_COMMITTEES.CMTE_ZIP [ZIP],,,,
89,FINANCE+POLITICS,not started,Do the same people wine and dine state lawmakers and donate federally?,POLITICS__TX_LOBBY_COVER | POLITICS__CA_LOBBY_COVER | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,B hard ID +gap,POLITICS__CA_LOBBY_COVER.FILER_ID = FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.CMTE_ID [FEC_ID],,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.TRANSACTION_DATE | POLITICS__CA_LOBBY_COVER.FROM_DATE | POLITICS__CA_LOBBY_COVER.RPT_DATE | POLITICS__TX_LOBBY_COVER.APPLICABLE_YEAR | POLITICS__TX_LOBBY_COVER.DUE_DT,POLITICS__TX_LOBBY_COVER x POLITICS__CA_LOBBY_COVER ; POLITICS__TX_LOBBY_COVER x FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,
90,GOVERNANCE+RAW,not started,Do agency contracts shift toward an official's old industry after they arrive?,GOVERNANCE__FED_REVOLVINGDOOR_PROJECT | FED_USASPENDING_CONTRACTS_FULL_R2,E no shared key,,,FED_USASPENDING_CONTRACTS_FULL_R2.ACTION_DATE | FED_USASPENDING_CONTRACTS_FULL_R2.PERIOD_OF_PERFORMANCE_START_DATE,GOVERNANCE__FED_REVOLVINGDOOR_PROJECT x FED_USASPENDING_CONTRACTS_FULL_R2,"name join: REVOLVINGDOOR AGENCY vs AWARDING_AGENCY_NAME, then SECTOR vs NAICS_DESCRIPTION"
91,FINANCE+RAW,not started,"Do they buy a stock, then introduce a bill that helps it?",FINANCE__FED_SENATE_STOCK_WATCHER | FED_GOVINFO_BILLSTATUS | FED_GOVINFO_BILL_COSPONSORS,D name match +gap,FED_GOVINFO_BILLSTATUS.SPONSOR_NAME = FED_GOVINFO_BILL_COSPONSORS.COSPONSOR_NAME [ORG_NAME],,FED_GOVINFO_BILLSTATUS.INTRODUCED_DATE | FED_GOVINFO_BILLSTATUS.LATEST_ACTION_DATE | FED_GOVINFO_BILL_COSPONSORS.SPONSORSHIP_DATE | FED_GOVINFO_BILL_COSPONSORS.SPONSORSHIP_WITHDRAWN_DATE | FINANCE__FED_SENATE_STOCK_WATCHER.TRANSACTION_DATE,FINANCE__FED_SENATE_STOCK_WATCHER x FED_GOVINFO_BILLSTATUS ; FINANCE__FED_SENATE_STOCK_WATCHER x FED_GOVINFO_BILL_COSPONSORS,
92,FINANCE+RAW,not started,Does office spending go to vendors who are also campaign donors?,FED_HOUSE_DISBURSEMENTS | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,E no shared key,,,FED_HOUSE_DISBURSEMENTS.FISCAL_YEAR_OR_LEGISLATIVE_YEAR | FED_HOUSE_DISBURSEMENTS.TRANSACTION_DATE | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.TRANSACTION_DATE,FED_HOUSE_DISBURSEMENTS x FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"name join: VENDOR_NAME vs DONOR_NAME or EMPLOYER, both cleaned"
93,JUSTICE+POLITICS,not started,Do places with more rejected mail ballots overlap with high-incarceration areas?,POLITICS__FED_EAC_EAVS | JUSTICE__XC_VERA_INCARCERATION_TRENDS | POLITICS__FED_MEDSL_HOUSE_RETURNS,D name match,POLITICS__FED_EAC_EAVS.STATE_ABBR = JUSTICE__XC_VERA_INCARCERATION_TRENDS.STATE_ABBR [STATE] ; POLITICS__FED_EAC_EAVS.STATE_ABBR = POLITICS__FED_MEDSL_HOUSE_RETURNS.STATE_NAME [STATE] ; JUSTICE__XC_VERA_INCARCERATION_TRENDS.STATE_ABBR = POLITICS__FED_MEDSL_HOUSE_RETURNS.STATE_NAME [STATE],,JUSTICE__XC_VERA_INCARCERATION_TRENDS.YEAR | POLITICS__FED_MEDSL_HOUSE_RETURNS.CANDIDATE_VOTES | POLITICS__FED_MEDSL_HOUSE_RETURNS.ELECTION_YEAR,,
94,FINANCE+JUSTICE,not started,Does a judge's political leaning or donations predict how they rule?,JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | JUSTICE__FED_FJC_IDB_CIVIL,C geo +gap,,JUSTICE__FED_FJC_IDB_CIVIL.DOCKET = JUSTICE__FED_FJC_IDB_BANKRUPTCY.DOCKET [DOCKET] then JUSTICE__FED_FJC_IDB_BANKRUPTCY.DEBTOR1_ZIP = FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE [ZIP],FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.TRANSACTION_DATE | JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS.DATE_CREATED | JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS.DATE_MODIFIED | JUSTICE__FED_FJC_IDB_CIVIL.FILE_DATE | JUSTICE__FED_FJC_IDB_CIVIL.TAPE_YEAR,JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS x FINANCE__FED_FEC_INDIV_CONTRIBUTIONS ; JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS x JUSTICE__FED_FJC_IDB_CIVIL,"CourtListener PERSON_ID to its people table for the judge name, then name vs FJC FILING_JUDGE"
95,JUSTICE,not started,Do gifts or debts they report ever involve parties in their own courtroom?,JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS | JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS | JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS,A measured,JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS.FINANCIAL_DISCLOSURE_ID = JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS.FINANCIAL_DISCLOSURE_ID [measured 520 shared] ; JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS.FINANCIAL_DISCLOSURE_ID = JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS.FINANCIAL_DISCLOSURE_ID [measured 520 shared] ; JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS.FINANCIAL_DISCLOSURE_ID = JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS.FINANCIAL_DISCLOSURE_ID [measured 3247 shared] ; JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS.FINANCIAL_DISCLOSURE_ID = JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS.FINANCIAL_DISCLOSURE_ID [measured 770 shared],,JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS.DATE_CREATED | JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS.DATE_MODIFIED | JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS.DATE_CREATED | JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS.DATE_MODIFIED | JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS.DATE_CREATED | JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS.DATE_MODIFIED,,
96,HOUSING,not started,Do they still get disaster payouts for flood damage?,HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,C geo,HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK.COUNTY = HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.COUNTY [COUNTY_NAME],,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.APPLIED_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DECLARATION_DATE | HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK.INITIAL_FLOOD_HAZARD_BOUNDARY_MAP_DATE | HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK.INITIAL_FLOOD_INSURANCE_RATE_MAP_DATE,,
97,HOUSING,not started,Are they being rebuilt each time instead of relocated?,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS | HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,C geo,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DAMAGED_ZIP_CODE = HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS.STD_ZIP5 [ZIP] ; HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS = HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS.STATE_COUNTY_FIPS_CODE [COUNTY_FIPS] ; HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS.STD_ZIP5 = HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS.ZIP_CODE [ZIP],,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.APPLIED_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DECLARATION_DATE | HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS.DATE_OF_OPERATION | HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS.DATE_TAX_CREDIT_EXPIRES,,
98,ENVIRONMENT+HEALTH,not started,Are any sitting downstream of a dam rated poor with no emergency plan?,ENVIRONMENT__FED_NID_DAMS | HEALTH__FED_CMS_NURSING_HOME,C geo,ENVIRONMENT__FED_NID_DAMS.COUNTY = HEALTH__FED_CMS_NURSING_HOME.COUNTY_PARISH [COUNTY_NAME],,ENVIRONMENT__FED_NID_DAMS.DATA_LAST_UPDATED | ENVIRONMENT__FED_NID_DAMS.LAST_INSPECTION_DATE | HEALTH__FED_CMS_NURSING_HOME.DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | HEALTH__FED_CMS_NURSING_HOME.DATE_OF_MOST_RECENT_HEALTH_INSPECTION,,
99,ENVIRONMENT+LABOR,not started,Do the ones with unsafe dams also have a pile of unpaid safety fines?,LABOR__FED_MSHA_MINES | ENVIRONMENT__FED_NID_DAMS | LABOR__FED_MSHA_VIOLATIONS,A measured +gap,LABOR__FED_MSHA_MINES.MINE_ID = LABOR__FED_MSHA_VIOLATIONS.MINE_ID [measured 31277 shared] ; LABOR__FED_MSHA_VIOLATIONS.MINE_ID = LABOR__FED_MSHA_MINES.MINE_ID [measured 31277 shared] ; LABOR__FED_MSHA_MINES.STATE = ENVIRONMENT__FED_NID_DAMS.STATE [STATE],,ENVIRONMENT__FED_NID_DAMS.DATA_LAST_UPDATED | ENVIRONMENT__FED_NID_DAMS.LAST_INSPECTION_DATE | LABOR__FED_MSHA_MINES.CURRENT_STATUS_DT | LABOR__FED_MSHA_VIOLATIONS.VIOLATION_ISSUE_DATE | LABOR__FED_MSHA_VIOLATIONS.VIOLATION_OCCUR_DATE,ENVIRONMENT__FED_NID_DAMS x LABOR__FED_MSHA_VIOLATIONS,
100,HOUSING+RAW,not started,Did they spring up right after the disaster was declared?,FED_USASPENDING_CONTRACTS_FULL_R2 | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,C geo,FED_USASPENDING_CONTRACTS_FULL_R2.RECIPIENT_ZIP_4_CODE = HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DAMAGED_ZIP_CODE [ZIP],,FED_USASPENDING_CONTRACTS_FULL_R2.ACTION_DATE | FED_USASPENDING_CONTRACTS_FULL_R2.PERIOD_OF_PERFORMANCE_START_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.APPLIED_DATE | HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.DECLARATION_DATE,,
101,ENVIRONMENT+HOUSING,not started,Are they still using outdated flood maps?,ENVIRONMENT__FED_NOAA_STORM_EVENTS | HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK,C geo,ENVIRONMENT__FED_NOAA_STORM_EVENTS.CZ_NAME = HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK.COUNTY [COUNTY_NAME],,ENVIRONMENT__FED_NOAA_STORM_EVENTS.BEGIN_DATE_TIME | ENVIRONMENT__FED_NOAA_STORM_EVENTS.YEAR | HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK.INITIAL_FLOOD_HAZARD_BOUNDARY_MAP_DATE | HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK.INITIAL_FLOOD_INSURANCE_RATE_MAP_DATE,,
