id,where_it_stands,question,n_tables,all_live,tables_with_live_rows,live_rows_total
123,not started,Who's the real parent company hiding behind them?,4,Y,"LIBRARY_MARTS.ECONOMICS.ECONOMICS__INTL_GLEIF_REPEX (6,313,372) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__INTL_GLEIF (3,382,301) | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF (5,399) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK (5,300,149)",15001221
124,found something,How much do they pay their top executives?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__HOSPITAL_OFFICER_PAY (526,374) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_IRS_BMF (1,974,830) | LIBRARY_RAW.LANDING.FED_IRS_990_EFILE_INDEX (5,544,626)",8045830
125,not started,Are they still operating and filing paperwork as if nothing happened?,3,Y,"LIBRARY_MARTS.POLITICS.POLITICS__IRS527_8871_ORGS (77,591) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_IRS_AUTO_REVOCATIONS (1,207,295) | LIBRARY_MARTS.POLITICS.POLITICS__IRS527_8872_REPORTS (55,579)",1340465
126,not started,Do consumer complaints about them pile up before regulators catch on?,2,Y,"LIBRARY_MARTS.CONSUMER_PROTECTION.CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS (17,589,036) | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF (5,399)",17594435
127,not started,Are banks pulling branches out of those neighborhoods over time?,2,Y,"LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS (2,822,977) | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY (10,154)",2833131
128,part done,Were failed banks still active members right up until they collapsed?,2,Y,"LIBRARY_MARTS.FINANCE.FINANCE__FED_FHFA_FHLB_MEMBERSHIP (6,327) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS (4,115)",10442
129,not started,Do complaints pile up for years before an official recall happens?,2,Y,"LIBRARY_MARTS.CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS (2,227,941) | LIBRARY_MARTS.CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_RECALLS (241,861)",2469802
130,not started,Are their affordability contracts expiring in fast-gentrifying areas?,2,Y,"LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_MF_SECTION8_CONTRACTS (24,309) | LIBRARY_MARTS.HOUSING.HOUSING__FED_FHFA_HPI (184,807)",209116
131,not started,Do they charge higher rates in historically redlined neighborhoods?,3,Y,"LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT (61,647) | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY (10,154) | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC (44,992,667)",45064468
132,not started,Do bankruptcy filings spike in the year after?,2,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_BANKRUPTCY (6,965,441) | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS (26,250,920)",33216361
133,not started,Do the most-sued chains also get the most fines?,3,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL (10,857,396) | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES (16,180)",10888289
134,not started,Are they still allowed to work in health care because they were never formally banned?,2,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CRIMINAL (6,299,908) | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE (83,816)",6383724
135,not started,Does patient care quality drop afterward?,3,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__XC_RANSOMWARELIVE_VICTIMS (30,661) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL (5,432) | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713)",50806
136,not started,Do the ones with the most known security flaws still win contracts?,2,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__FED_CISA_KEV (1,674) | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 (93,153,424)",93155098
137,not started,Are any of them showing up at U.S. ports anyway?,2,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN (19,114) | LIBRARY_RAW.LANDING.FED_NOAA_AIS (58,106,517)",58125631
138,not started,Do the ones involved in the most killings still get the most federal grant money?,2,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__XC_MAPPING_POLICE_VIOLENCE (15,476) | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL (19,902,879)",19918355
139,part done,Are more dealers in an area linked to more gun deaths?,3,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__FED_ATF_FFL (77,514) | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FBI_NICS_CHECKS (16,445) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY (132,000)",225959
140,not started,Which investment funds and political donors are behind them?,4,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_EGRID_PLANT_2022 (11,974) | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA860_4_OWNER (5,495) | LIBRARY_RAW.LANDING.FED_SEC_13F_POSITIONS (3,822,885) | LIBRARY_MARTS.POLITICS.POLITICS__FED_FEC_PAC_SUMMARY (45,709)",3886063
141,not started,Do the ones with the worst storm outages also charge the highest rates?,4,Y,"LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_RELIABILITY (971) | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_SERVICE_TERRITORY (11,775) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS (1,780,730) | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_SALES_ULT_CUST (2,815)",1796291
142,not started,Do some have pollution spikes that never trigger a violation?,3,Y,"LIBRARY_RAW.LANDING.FED_EPA_CAMPD_EMISSIONS_DAILY (16,513,971) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY (102,037) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES (20,994)",16637002
143,part done,Are they paying the same doctors running the trial to also promote the drug?,2,Y,"LIBRARY_RAW.LANDING.FED_CLINICALTRIALS_FULL (601,694) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047)",15986741
144,part done,Do outcomes vary a lot by judge and detention facility?,1,Y,"LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_EOIR_CASES (12,631,225)",12631225
A32,not started,Do banned companies' owners also donate to political campaigns?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE (83,816) | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS (168,328) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS (283,771,819)",284023963
A33,not started,Do the worst-fined chains also run a political action committee?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES (60,031)",74744
A34,not started,Do polluted districts get less help from their representative?,3,Y,"LIBRARY_RAW.LANDING.FED_HOUSE_DISBURSEMENTS (4,914,476) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY (64,990) | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY (10,154)",4989620
A35,not started,Do members trade stock in industries their committee oversees?,2,Y,"LIBRARY_RAW.LANDING.FED_HOUSE_FD_PTR_INDEX (41,883) | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP (26,970)",68853
A36,not started,Do the industries caught defrauding Medicare fund the committees that oversee Medicare?,2,Y,"LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE (866,730) | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP (26,970)",893700
A37,not started,Do sanctioned individuals still show up as political donors?,4,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN (19,114) | LIBRARY_RAW.LANDING.INTL_UN_CONSOLIDATED_SANCTIONS (1,011) | LIBRARY_MARTS.JUSTICE.JUSTICE__INTL_UK_SANCTIONS_LIST (58,336) | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS (283,771,819)",283850280
E32,nothing there,Do drinking water violations spike after a flood?,2,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT (15,432,737) | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS (26,250,920)",41683657
E33,found a little,Do they violate pollution rules more right after a storm?,2,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY (7,951,656) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS (1,780,730)",9732386
E34,nothing there,Do they have more drug overdose deaths?,2,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS (708,114) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY (53,387)",761501
E35,found a little,Did overdose deaths rise where jails emptied out?,2,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS (128,507) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY (132,000)",260507
E36,nothing there,Does overdose death rise after a disaster?,2,Y,"LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS (26,250,920) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY (132,000)",26382920
E37,nothing there,Does a pay raise from a drug company lead to more prescriptions?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023 (14,700,786) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS (1,416,883)",31502716
E38,found something,Are drug and device companies still paying them anyway?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS (57,101) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047)",15442148
E39,found something,Do the paid ones prescribe way more opioids than unpaid ones?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS (1,416,883)",16801930
E40,found something,Are brand-new doctors billing Medicare for millions in expensive wound-care products?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES (9,606,683) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI (11,039,787)",20646470
E41,found something,Can hospitals still legally order tests and equipment through them?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE (83,816) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_ORDER_AND_REFERRING (2,018,354)",2102170
E42,found something,Is drug industry money still being sent to them?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES (9,606,683) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047)",24991730
E43,found something,Were they already losing money before the sale?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS (80,077) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER (44,429)",124506
E44,found something,Did its safety violations get worse right before the fines hit?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES (418,479) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES (16,180)",434659
E45,nothing there,Do safety violations spike after a storm hits the area?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES (418,479) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS (1,780,730)",2199209
E46,nothing there,Are these 'triple owners' actually better or worse than others?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION (2,260,193) | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713)",2274906
E47,found something,Were they already in financial trouble before converting?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS (80,077) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER (44,429)",124506
E48,found something,Were their financial reports already bad beforehand?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS (80,077) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER (44,429)",124506
E49,found something,Did they win government contracts specifically during their ban?,2,Y,"LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS (168,328) | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 (93,153,424)",93321752
E50,nothing there,"Do new health care businesses pop up right after, chasing relief money?",2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS (11,508) | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS (26,250,920)",26262428
E51,found a little,Does that label actually bring in more clinics?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_HPSA_PRIMARY_CARE (79,158) | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES (19,038)",98196
E52,found a little,"Do wages, suicide, and overdose rates all get worse there?",3,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS (128,507) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW (3,619,437) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY (132,000)",3879944
E53,nothing there,Do they get penalized less often than other neighborhoods?,2,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO (3,135,554) | LIBRARY_MARTS.CORE.DIM_TRACT (85,391)",3220945
E54,nothing there,Do they pay workers less than clean factories?,2,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY (102,037) | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW (3,619,437)",3721474
E55,nothing there,Is poor housing placed disproportionately near hazards?,3,Y,"LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS (35,601) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ECHO (3,135,554) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT (15,432,737)",18603892
E56,nothing there,Do bonus and non-bonus doctors get similar industry money?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE (503,917) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047)",15888964
E57,found something,Are they also the ones industry pays the most?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER (1,296,739) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047)",16681786
E58,nothing there,Do states with more malpractice payouts also get more industry money?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_NPDB (1,911,185) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE (503,917) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023 (14,700,786)",17115888
E59,nothing there,Do they have the worst quality ratings?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER (3,044) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL (5,432)",8476
E60,found a little,Do they die at a higher rate?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES (12,456,456) | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT (15,432,737)",27889193
E61,found a little,Do they also have worse finances?,2,Y,"LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_RCRA_VIOLATIONS (708,114) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS (80,077)",788191
E62,found something,Are they still getting cited for missing sprinkler systems?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES (418,479)",433192
E63,found a little,Does patient harm go up when leadership keeps turning over?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES (418,479)",433192
E64,found a little,Does the money keep flowing to them anyway?,2,Y,"LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT (411,638) | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL (19,902,879)",20314517
E65,nothing there,Were they still getting paid after losing it?,2,Y,"LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_IRS_REVOCATION (1,206,627) | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL (19,902,879)",21109506
E66,nothing there,Are they still getting health grants?,2,Y,"LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS (168,328) | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL (19,902,879)",20071207
E67,nothing there,Do they also have fewer doctors available?,2,Y,"LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS (128,507) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES (9,606,683)",9735190
E68,found something,Do they give very little free care to the poor despite huge profits?,1,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS (80,077)",80077
E69,part done,How much grant money reaches each patient?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_HEALTH_CENTER_INFO (1,356) | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_TABLE3A_PATIENTS (1,356) | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL (19,902,879)",19905591
E70,nothing there,Are the worst-rated homes still getting VA contracts?,2,Y,"LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 (93,153,424) | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713)",93168137
E71,found a little,Does more payment per person mean more opioid prescribing?,2,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS (15,385,047) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS (1,416,883)",16801930
E72,nothing there,Is it sitting empty more than in safer counties?,2,Y,"LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS (35,601) | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS (26,250,920)",26286521
E73,found something,Do banned contractors turn out to also be doctors?,2,Y,"LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS (168,328) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES (9,606,683)",9775011
E74,part done,Is there a record of who the new owner is?,3,Y,"LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH_OWNERS (101,188) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS (11,508) | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH (12,392)",125088
E75,found something,Did the worst chains get big pandemic bailout money?,4,Y,"LIBRARY_RAW.LANDING.FED_HRSA_PROVIDER_RELIEF_FUND (419,846) | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND (419,846) | LIBRARY_MARTS.HEALTH.HEALTH__NURSING_HOME_RELIEF_BY_CHAIN (617) | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 (14,713)",855022
