rank,weirdness,top_shape,table,column,clock,span,n_rows,notes
94,0.703,sudden_stop,HEALTH.HEALTH__FED_DEA_ARCOS,TRANSACTION_DATE,happened,2006-01-01 to 2012-12-01,178598021,sudden_stop: nothing after 2012-12-01
95,0.683,seasonal,POLITICS.POLITICS__TX_LOBBY_SUBJECT_MATTER,PERIODSTARTDT,span_start,1999-08-01 to 2026-07-01,209939,"collapse: recent periods at 47% of the historical norm; seasonal: peaks in month 1, 6.3x the quietest"
96,0.683,seasonal,ECONOMICS.ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ACTION_DATE,happened,2006-10-01 to 2026-02-01,19902879,"gaps: 157 of 252 periods empty; level_shift: step change at 2008-06-01; seasonal: peaks in month 9, 4.8x the quietest"
97,0.675,sudden_stop,IMMIGRATION.IMMIGRATION__FED_DOL_OFLC,DECISION_DATE,decided,2018-10-01 to 2019-09-01,664616,gaps: 12 of 24 periods empty; sudden_stop: nothing after 2019-09-01
98,0.67,gaps,ENERGY.ENERGY__INTL_EMBER_ELEC,DATE,happened,2000-01-01 to 2025-01-01,369264,gaps: 286 of 312 periods empty
99,0.635,level_shift,POLITICS.POLITICS__INTL_VOETEN_UNGA_VOTES,YEAR,happened,1946 to 2024,1823352,level_shift: step change at 1955
100,0.629,level_shift,EDUCATION.EDUCATION__FED_CFTC_COT_FUTURES,AS_OF_DATE_IN_FORM_YYYY_MM_DD,happened,1986-01-01 to 2026-08-01,287053,level_shift: step change at 1992-10-01
101,0.593,gaps,ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS_FULL,ACTION_DATE,happened,2007-07-01 to 2026-07-01,20000000,gaps: 181 of 240 periods empty
102,0.563,level_shift,HOUSING.HOUSING__FED_FHFA_HPI,YR,happened,1975 to 2026,184807,level_shift: step change at 1981
103,0.497,seasonal,ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT,FAC_ACCEPTED_DATE,reported,2016-07-01 to 2026-07-01,411638,"seasonal: peaks in month 3, 4.4x the quietest"
104,0.467,level_shift,POLITICS.POLITICS__FED_FCC_LICENSING,GRANT_DATE,decided,1984-05-01 to 2026-06-01,1667754,level_shift: step change at 1991-04-01
105,0.456,level_shift,JUSTICE.JUSTICE__RACIAL_JAIL_DISPARITY,YEAR,happened,1970 to 2026,128507,level_shift: step change at 1978
106,0.456,level_shift,JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS,YEAR,happened,1970 to 2026,128507,level_shift: step change at 1978
107,0.452,seasonal,HEALTH.HEALTH__FED_FDA_GUDID,PUBLISH_DATE,reported,2013-02-01 to 2026-04-01,5083948,"spike: 2016-09-01 is 12x the median period; seasonal: peaks in month 9, 3.2x the quietest"
108,0.451,level_shift,JUSTICE.JUSTICE__INTL_UCDP_GED,DATE_START,span_start,1989-01-01 to 2024-12-01,385918,level_shift: step change at 2012-03-01
109,0.415,sudden_start,LABOR.LABOR__FED_MSHA_ACCIDENTS,ACCIDENT_DATE,happened,2000-01-01 to 2026-07-01,273623,collapse: recent periods at 57% of the historical norm; sudden_start: opens at 1.8x its own median
110,0.414,seasonal,POLITICS.POLITICS__BILL_COSPONSORS,SPONSORSHIP_DATE,happened,2023-01-01 to 2026-06-01,367735,"sudden_start: opens at 1.5x its own median; seasonal: peaks in month 3, 2.8x the quietest"
111,0.401,seasonal,POLITICS.POLITICS__FED_VOTEVIEW_ROLLCALL_META,DATE,happened,1789-05-01 to 2026-08-01,113512,"gaps: 930 of 2856 periods empty; level_shift: step change at 1832-02-01; seasonal: peaks in month 6, 2.8x the quietest"
112,0.372,gaps,ECONOMICS.ECONOMICS__FED_USASPENDING_CONTRACTS,ACTION_DATE,happened,2024-10-01 to 2025-09-01,6325622,gaps: 12 of 24 periods empty
113,0.354,level_shift,HEALTH.HEALTH__FED_HRSA_NPDB,ORIG_YEAR,reported,1990 to 2026,1911185,level_shift: step change at 1994
114,0.346,level_shift,ECONOMICS.ECONOMICS__FED_TREASURY_DTS_DEPOSITS,RECORD_DATE,happened,2005-10-01 to 2026-08-01,478149,level_shift: step change at 2020-12-01
115,0.332,level_shift,POLITICS.POLITICS__TX_LOBBY_COVER,FILED_DT,reported,1988-08-01 to 2026-08-01,283802,"level_shift: step change at 1996-01-01; seasonal: peaks in month 1, 2.4x the quietest"
116,0.263,sudden_stop,HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2022,DATE_OF_PAYMENT,happened,2022-01-01 to 2022-12-01,13250000,sudden_stop: nothing after 2022-12-01
117,0.245,gaps,IMMIGRATION.IMMIGRATION__FED_ICE_DETAINERS,DETAINER_PREPARE_DATE,decided,2022-10-01 to 2026-08-01,609769,gaps: 16 of 60 periods empty
118,0.205,sudden_stop,JUSTICE.JUSTICE__FED_FBI_CDE,MONTH_DATE,happened,1985-01-01 to 2023-12-01,238680,sudden_stop: nothing after 2023-12-01
119,0.194,sudden_start,TRANSPORT.TRANSPORT__FED_FRA_CASUALTIES,DATE,happened,1997-01-01 to 2026-05-01,285648,
120,0.184,sudden_stop,HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023,DATE_OF_PAYMENT,happened,2023-01-01 to 2023-12-01,14700786,sudden_stop: nothing after 2023-12-01
121,0.175,sudden_stop,ECONOMICS.ECONOMICS__FED_PBGC_DATA,DATA_YEAR,happened,2010 to 2023,134534,sudden_stop: nothing after 2023
122,0.175,sudden_stop,ENVIRONMENT.ENVIRONMENT__FED_EPA_GHGRP_FACILITY,REPORTING_YEAR,happened,2010 to 2023,136005,sudden_stop: nothing after 2023
123,0.175,sudden_stop,ENVIRONMENT.ENVIRONMENT__FED_EPA_GHGRP_EMISSION,REPORTING_YEAR,happened,2010 to 2023,346683,sudden_stop: nothing after 2023
124,0.175,collapse,HEALTH.HEALTH__FED_CDC_NNDSS_WEEKLY_2024,CURRENT_MMWR_YEAR,reported,2022 to 2026,1932840,
125,0.169,level_shift,ECONOMICS.ECONOMICS__FED_SBA_LOANS,APPROVAL_DATE,decided,1990-10-01 to 2026-03-01,2174502,
126,0.162,sudden_start,LABOR.LABOR__FED_DOL_OLMS,YEAR_COVERED,happened,2000 to 2026,617552,
127,0.155,gaps,LABOR.LABOR__FED_MSHA_VIOLATIONS,VIOLATION_OCCUR_DATE,happened,1994-09-01 to 2026-07-01,3087265,
128,0.121,sudden_stop,HEALTH.HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES,YEAR_COL,happened,2021 to 2024,11622422,
129,0.117,sudden_stop,HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,PERIOD,happened,2019 to 2024,113142,
130,0.109,sudden_stop,ENVIRONMENT.ENVIRONMENT__FED_USCG_NRC_INCIDENT_REPORTS,DATE_TIME_RECEIVED,reported,2020-01-01 to 2024-12-01,116662,
131,0.105,sudden_stop,HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,DATE_OF_PAYMENT,happened,2024-01-01 to 2024-12-01,15384974,
132,0.073,sudden_start,ENVIRONMENT.ENVIRONMENT__FED_USCG_NRC_INCIDENTS,DATE_TIME_RECEIVED,reported,1990-01-01 to 2026-08-01,1029020,
133,0.051,sudden_start,ECONOMICS.ECONOMICS__INTL_FAO_FAOSTAT_FOOD_SECURITY,YEAR,happened,2000 to 2025,144366,
134,0.047,sudden_start,FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,SURVEY_YEAR,happened,1994 to 2025,2823000,
135,0.045,sudden_start,CONSUMER_SAFETY.CONSUMER_SAFETY__FED_CPSC_NEISS,TREATMENT_DATE,happened,1999-01-01 to 2025-12-01,9794877,
136,0.01,gaps,HEALTH.HEALTH__FED_FDA_DEVICE_510K,DATE_RECEIVED,reported,1976-05-01 to 2026-07-01,175686,
