domain,dataset_name,url,access_shape,size_class,row_count_note,id_names
"Science, Research Grants & Research Integrity",PMC Open Access Subset (bulk FTP/Cloud Service) + PMC-ids.csv.gz crosswalk,https://pmc.ncbi.nlm.nih.gov/tools/openftlist/,bulk-file,large,,PMCID (PubMed Central ID)
"Science, Research Grants & Research Integrity",PubMed Baseline / Update Files (MEDLINE XML),https://pubmed.ncbi.nlm.nih.gov/download/,bulk-file,large,,PMID (PubMed Unique Identifier)
"Science, Research Grants & Research Integrity",ROR Data Dump (Research Organization Registry),https://ror.readme.io/docs/data-dump,bulk-file,medium,,ROR ID (Research Organization Registry)
"Science, Research Grants & Research Integrity",Retraction Watch Database (now hosted by Crossref),https://www.crossref.org/blog/news-crossref-and-retraction-watch/,bulk-file,medium,"~50,000 retraction records combined",Retraction Watch Database record
"Science, Research Grants & Research Integrity",USAspending.gov Assistance Award Data (API + bulk download),https://api.usaspending.gov/docs/endpoints,bulk-file,large,,Federal Award ID Number (FAIN)
"Science, Research Grants & Research Integrity",arXiv bulk metadata + full text (S3 / Kaggle / OAI-PMH),https://info.arxiv.org/help/bulk_data/index.html,bulk-file,large,,arXiv ID
"Securities, Investment Funds & Markets",IRS FATCA Foreign Financial Institution (FFI) List,https://www.irs.gov/businesses/corporations/fatca-foreign-financial-institution-list-search-and-download-tool,bulk-file,medium,,Global Intermediary Identification Number; FATCA Global Intermediary Identification Number
"Securities, Investment Funds & Markets",ISO 10383 Market Identifier Code (MIC) registry,https://www.iso20022.org/market-identifier-codes,bulk-file,small,,Market Identifier Code
"Securities, Investment Funds & Markets",Nasdaq/FINRA Market Participant ID (MPID) List,https://www.nasdaqtrader.com/dynamic/Symdir/mpidlist.txt,bulk-file,small,,FINRA Market Participant Identifier
"Securities, Investment Funds & Markets",PCAOB AuditorSearch (Form AP engagement partner data),https://pcaobus.org/resources/auditorsearch,bulk-file,medium,,PCAOB Form AP Engagement Partner ID
"Securities, Investment Funds & Markets",PCAOB Registered Firms directory / AuditorSearch,https://pcaobus.org/resources/auditorsearch,bulk-file,small,,PCAOB Firm ID
Telecom & Media,CelesTrak / Space-Track Satellite Catalog (SATCAT) -- NORAD Catalog Number,https://celestrak.org/satcat/search.php,bulk-file,large,,NORAD/Space Force Satellite Catalog Number
Transportation -- Aviation & Rail,"BTS Air Carrier Statistics — Unique Carrier Code (UniqueCarrier field, T-100/TranStats)",https://www.transtats.bts.gov/Fields.asp?gnoyr_VQ=FMF,bulk-file,small,,DOT/BTS Unique Carrier Entity Code
Transportation -- Aviation & Rail,FAA Airport Data and Information Portal (ADIP) — Airport Master Record (Form 5010),https://adip.faa.gov/,bulk-file,medium,,FAA Airport Location Identifier (LID) / Airport Master Record Site Number
Transportation -- Aviation & Rail,ICAO Doc 8643 — Aircraft Type Designators (online search tool),https://www.icao.int/publications/DOC8643/Pages/Search.aspx,api-open,small,,ICAO Aircraft Type Designator
Transportation -- Aviation & Rail,NTSB Aviation Accident Database (CAROL query tool + bulk avdata download),https://www.ntsb.gov/safety/data/Pages/Data_Stats.aspx,bulk-file,medium,,NTSB Accident/Incident Number
Transportation -- Motor Carrier & Maritime,FMC Licensed/Registered Ocean Transportation Intermediaries (OTI) list — NVOCCs and Ocean Freight Forwarders,https://www2.fmc.gov/oti/NVOCC.aspx,bulk-file,small,"Page reported 9,030 results total (organization number, license number, company name, trade names, address, renewal date) at time of fetch.",FMC OTI License Number (NVOCC / Ocean Freight Forwarder License)
