EIN,COMPANY,ESTABLISHMENT,CITY,STATE,NAICS,INDUSTRY,SIZE_BAND,EMPLOYEES,HOURS,DEATHS,DART_CASES,DAFW_DAYS,DART_RATE,TRIR,DAYS_PER_CASE,COHORT_N,COHORT_MEDIAN_DART,COHORT_POOLED_DART,FOLD_VS_POOLED,FOLD_VS_MEDIAN,Z_SCORE,PCT_RANK_IN_COHORT
832549407,"Chick-fil-A Supply KANSAS CITY, KS","50059 KANSAS CITY, KS",OLATHE,KS,4931,Refrigerated Warehousing and Storage,50-99,90,148699,0,9,126,12.10,13.45,31.5,1541,1.49,2.44,4.96,8.13,2.94,0.9678
417600000,US Postal Service,MANAYUNK_1371599,PHILADELPHIA,PA,4911,Mail and Parcel Delivery,1-19,10,21782,0,5,53,45.91,45.91,13.3,1072,8.06,9.26,4.96,5.70,5.41,0.9979
381903020,AC Foundry Incorporated dba Melling Engineered Aluminum Castings,AC Foundry Incorporated dba Melling Engineered Aluminum Castings,BATTLE CREEK,MI,3315,"Sand castings, aluminum, unfinished, manufacturing",100-249,100,125866,0,9,62,14.30,22.25,20.7,120,2.26,2.88,4.96,6.32,3.86,0.9903
710415188,Walmart Inc.,WM 3147,SIMI VALLEY,CA,4451,,100-249,112,172786,0,13,5,15.05,16.21,1.0,8223,2.30,3.03,4.96,6.54,3.78,0.9872
910889806,OSF International Inc,Duarte,DUARTE,CA,7225,full-service family restaurants,50-99,83,84022,0,6,0,14.28,14.28,0.0,299,1.87,2.88,4.96,7.64,2.86,0.961
841617227,,Daniels Sharpsmart Inc - Sturtevant,STURTEVANT,WI,5629,Site remediation services,50-99,89,176310,0,9,164,10.21,10.21,27.3,239,1.05,2.06,4.96,9.69,2.58,0.935
200602784,WINCO FOODS,Orangevale 054,ORANGEVALE,CA,4451,Store,100-249,141,212739,0,16,24,15.04,15.04,3.0,8223,2.30,3.03,4.96,6.54,3.78,0.9871
833712285,Mersen USA GSTN Corp,Mersen USA GSTN Corp,COLUMBIA,TN,3359,Graphite specialties for electrical use manufacturing,50-99,92,154800,0,5,1,6.46,7.75,1.0,141,0.00,1.31,4.95,,2.55,0.9032
876000279,Salt Lake City Corporation,Police Pioneer Division,SALT LAKE CITY,UT,9221,Police departments (except American Indian or Alaska Native),100-249,152,240205,0,24,221,19.98,29.14,36.8,249,3.22,4.04,4.95,6.20,4.01,0.9953
201948426,"Green by Nature, Inc.",Raleigh,RALEIGH,NC,5617,"Lawn care services (e.g., fertilizing, mowing, seeding, spraying)",20-49,43,75200,0,6,5,15.96,18.62,2.5,2823,0.00,3.22,4.95,,2.62,0.9398
923110145,DNA PARTNERS dba C&M ROAD BUILDERS,DNA PARTNERS dba C&M ROAD BUILDERS,SARASOTA,FL,2389,Excavation contractors,100-249,180,250855,0,7,19,5.58,5.58,2.7,411,0.48,1.13,4.95,11.68,2.22,0.9241
590668480,Fairchild Tropical Botanic Garden,Fairchild Tropical Botanic Garden,CORAL GABLES,FL,7121,Botanical gardens,50-99,78,132080,0,7,103,10.60,12.11,25.8,84,1.79,2.14,4.95,5.92,3.53,1.0
360717079,HNI,HNI HWY 61 Distribution,MUSCATINE,IA,4931,General warehousing and storage,50-99,61,99343,0,6,0,12.08,12.08,,1541,1.49,2.44,4.95,8.12,2.93,0.9657
412096639,"Purfoods, LLC DBA Mom's Meals",Mom's Meals Las Vegas Fulfillment,LAS VEGAS,NV,4931,Refrigerated warehousing,50-99,52,99329,0,6,4,12.08,12.08,4.0,1541,1.49,2.44,4.95,8.12,2.93,0.9667
610977517,"Alltech, Inc.",Alltech Inc. - Springfield,SPRINGFIELD,KY,3111,Animal feed mills (except dog and cat) manufacturing,50-99,57,121712,0,7,202,11.50,13.15,40.4,123,1.72,2.32,4.95,6.67,3.2,0.9744
410215170,Target,1520 - Hooksett,HOOKSETT,NH,4521,Discount Department Stores,100-249,189,183268,0,12,63,13.10,16.37,9.0,1747,2.21,2.65,4.95,5.92,4.91,0.9993
371832513,MCAP Stratford LLC,Commonwealth Senior Living at Stratford House,DANVILLE,VA,6233,assisted living community,50-99,63,94755,0,12,55,25.33,25.33,5.0,2185,3.60,5.11,4.95,7.03,3.32,0.9807
351656847,White Lodging Services Corp,2109-ResidenceSpringhill Chicago,CHICAGO,IL,7211,Hotels except Casino Hotels and Motels,100-249,115,220058,0,16,218,14.54,16.36,54.5,843,2.16,2.94,4.95,6.72,3.97,0.9956
204046036,Hoober Inc,Hoober - MID,MIDDLETOWN,DE,4238,Agricultural machinery and equipment merchant wholesalers,50-99,58,116356,0,5,299,8.59,8.59,74.8,400,1.15,1.74,4.95,7.44,2.52,0.9387
410856197,Public Works,City of Woodbury - Public Works,WOODBURY,MN,9211,"Auditor's offices, government",50-99,99,169142,0,9,43,10.64,14.19,6.1,366,1.27,2.15,4.95,8.37,2.31,0.943
990782343,Aperion Care Hanover,Aperion Care Hanover,HANOVER,IN,6231,Nursing homes,50-99,67,102218,0,13,88,25.44,25.44,7.3,2693,2.78,5.14,4.95,9.13,2.45,0.9491
060646613,RVNAhealth,RVNAhealth - North Branch,RIDGEFIELD,CT,6216,Home health agencies,50-99,63,84539,0,5,191,11.83,11.83,47.8,433,1.63,2.39,4.95,7.25,2.6,0.9668
951987958,Trader Joe's,Trader Joe's 0051 Pasadena,PASADENA,CA,4451,Grocery Store,50-99,77,110991,0,8,375,14.42,25.23,46.9,5418,2.16,2.91,4.95,6.66,3.58,0.9881
813888170,"Heritage Grocers Group, LLC CARDENAS MARKETS   34",69030001-34 CARDENAS MARKETS   34,CALEXICO,CA,4451,Retail Grocery,50-99,78,110993,0,8,366,14.42,14.42,91.5,5418,2.16,2.91,4.95,6.66,3.58,0.9878
150532288,"Helio Health, Inc.",The Willows Inpatient Facility,SYRACUSE,NY,6222,"Hospitals, substance abuse",50-99,71,117864,0,13,100,22.06,22.06,7.7,70,2.18,4.46,4.95,10.10,2.38,0.94
472984316,"NHM, Inc.","NHM, Inc.",FREDERICKSBURG,VA,3399,"Signs and signboards (except paper, paperboard) manufacturing",50-99,63,142689,0,6,293,8.41,8.41,73.3,218,1.30,1.70,4.94,6.45,3.13,0.9836
854302600,Binderholz Enfield LLC,Binderholz Enfield LLC,ENFIELD,NC,3211,"Dimension lumber, softwood, made from logs or bolts",100-249,150,319860,0,20,692,12.51,13.13,49.4,167,1.64,2.53,4.94,7.63,3.4,0.9793
274666427,Inland Xmile,DAZ2,PHOENIX,AZ,4842,,50-99,73,100674,0,7,46,13.91,17.88,23.0,401,1.89,2.82,4.94,7.37,2.7,0.9681
956000776,City of San Diego,Point Loma Wastewater Treatment Plant,SAN DIEGO,CA,2213,Sewage treatment plants or facilities,50-99,76,146680,0,9,57,12.27,13.64,28.5,162,1.56,2.48,4.94,7.85,2.73,0.9697
952405993,Winchester Interconnect,Winchester Interconnect,SAN MARCOS,CA,3359,"Cable, nonferrous, insulated, or armored, made from purchased nonferrous wire",100-249,105,196278,0,7,210,7.13,7.13,70.0,155,0.82,1.44,4.94,8.74,2.55,0.9314
580254510,Genuine Parts Company,DAL 100TX00019,COPPELL,TX,4931,General warehousing and storage,50-99,96,198760,0,12,95,12.07,12.07,31.7,1541,1.49,2.44,4.94,8.11,2.93,0.9646
680400630,"Applied Behavior Consultants, Inc.",Rancho Cucamonga,RANCHO CUCAMONGA,CA,6241,"Individual and family social services, multi-purpose",50-99,54,70442,0,5,49,14.20,14.20,12.3,273,1.60,2.88,4.94,8.86,2.1,0.9304
592226225,"Circle H Citrus, Inc.","Circle H Citrus, Inc.",FORT PIERCE,FL,1151,Agriculture production or harvesting crews,100-249,148,328985,0,22,44,13.37,18.24,2.0,193,2.12,2.71,4.94,6.30,4.0,1.0
660366140,"Supermercado Agueybana, Inc.",Supermercado Econo Mayaguez,MAYAGUEZ,PR,4451,Supermarkets,100-249,112,146756,0,11,302,14.99,16.35,27.5,8223,2.30,3.03,4.94,6.51,3.76,0.9868
911607565,Roof toppers,Roof Toppers Inc.,VANCOUVER,WA,2381,Roofing contractors,50-99,65,114745,0,7,0,12.20,15.69,,947,1.53,2.47,4.94,7.98,2.83,0.9617
464672099,Kitchen Cabinet Designers,Kitchen Cabinet Designers- Orlando,APOPKA,FL,4233,"Cabinets, kitchen, built in, merchant wholesalers",20-49,44,83701,0,8,108,19.12,19.12,108.0,1072,2.52,3.87,4.94,7.59,2.87,0.9621
760712100,Martin Lubricants,SMPKG,SMACKOVER,AR,3241,"Lubricating oils and greases, petroleum, made from refined petroleum",100-249,110,212763,0,5,91,4.70,6.58,18.2,84,0.68,0.95,4.94,6.95,3.31,1.0
382742069,"Superior Cam, Inc",Superior Cam,MADISON HEIGHTS,MI,3335,"Cutting dies, metalworking, manufacturing",50-99,95,161093,0,7,43,8.69,8.69,43.0,228,1.13,1.76,4.94,7.66,3.13,0.9677
842597251,Moore Mechanical,"MM Acquisitions Group, LLC",HONOR,MI,2382,Plumbing and heating contractors,100-249,182,290010,0,12,3,8.28,14.48,1.5,1418,0.96,1.67,4.94,8.59,2.66,0.9625
582198841,Unifi Aviation LLC,Unifi Aviation Services San Diego,SAN DIEGO,CA,4881,Support Activities for Air Transportation,250-999,462,809832,0,50,856,12.35,13.34,34.2,172,2.02,2.50,4.93,6.12,3.81,0.9872
473895137,"PAM Health, LLC.",PAM Rehab of Tulsa,TULSA,OK,6221,General medical and surgical hospitals,100-249,244,345960,0,16,4,9.25,10.41,4.0,635,1.19,1.88,4.93,7.78,2.93,0.9775
743062793,Aegs if Laurelhurst,Laurelhurst,SEATTLE,WA,6233,Assisted-living facilities without on-site nursing care facilities,50-99,58,71385,0,9,33,25.22,25.22,3.7,2185,3.60,5.11,4.93,7.00,3.3,0.98
943407494,"Genesis Building Services, Inc.","Genesis Building Services, Inc",SAN MATEO,CA,5617,Cleaning offices,100-249,105,213437,0,11,207,10.31,10.31,18.8,620,1.42,2.09,4.93,7.26,3.41,0.9871
362477689,Belvidere,Belvidere,BELVIDERE,IL,3212,,250-999,307,558413,0,37,329,13.25,15.76,41.1,39,1.48,2.69,4.93,8.97,3.53,1.0
417600000,US Postal Service,ISTROUMA_1368125,BATON ROUGE,LA,4911,Mail and Parcel Delivery,50-99,54,75176,0,11,163,29.26,31.93,16.3,2251,5.22,5.94,4.93,5.61,5.21,0.9986
581853319,The Home Depot,6132 HISSanta Clara CA719,SANTA CLARA,CA,4441,Home Centers,20-49,43,83451,0,7,6,16.78,16.78,3.0,1719,0.00,3.40,4.93,,2.63,0.9467
874362114,Ciel Senior Living,Pal Kennewick LLC,KENNEWICK,WA,6231,Retirement homes with nursing care,100-249,116,163869,0,20,53,24.41,30.51,4.4,3657,3.20,4.95,4.93,7.64,2.62,0.9689
391413708,725 W Region,ABC Supply 201,SPOKANE VALLEY,WA,4233,"Roofing, Siding and Insulation Merchant Wholesalers",20-49,26,52351,0,5,182,19.10,19.10,91.0,1072,2.52,3.87,4.93,7.58,2.87,0.9603
200378887,Pye Barker Fire and  Safety LLC,Pye Barker Fire  Safety LLC Complete Security Systems,MARLBORO,NJ,2382,,20-49,49,97387,0,5,55,10.27,10.27,18.3,3387,0.00,2.08,4.93,,2.07,0.8949
362149466,Midwest Fence Corporation,Midwest Fence Corporation,CHICAGO,IL,2389,Fencing contractors (except electronic containment fencing for pets),50-99,79,165777,0,5,110,6.03,8.45,22.0,734,0.00,1.22,4.93,,2.35,0.9177
872241773,Horizon Group Holdings LLC,Elite Heating and AC,BRADENTON,FL,2382,"Heating, ventilation and air-conditioning (HVAC) contractors",50-99,50,99382,0,5,47,10.06,12.07,11.8,2054,1.25,2.04,4.93,8.07,2.44,0.9462
386004606,City of Detroit,City of Detroit Department of Public Works Street Maintenance Division,DETROIT,MI,2373,"Pavement, highway, road, street, bridge or airport runway, construction",100-249,142,295360,0,12,52,8.13,8.13,4.3,472,1.28,1.65,4.93,6.35,3.32,0.9864
943070657,International Medication Systems,International Medication Systems,SOUTH EL MONTE,CA,3254,"Pharmaceutical preparations (e.g., capsules, liniments, ointments, tablets) manufacturing",250-999,932,1689947,0,38,282,4.50,4.85,28.2,188,0.68,0.91,4.92,6.63,3.74,0.9875
811068632,"HM Electronics, Inc.",Hospitality and Specialty Communications,CARLSBAD,CA,3342,"Broadcast equipment (including studio), for radio and television, manufacturing",250-999,311,547111,0,5,8,1.83,2.19,8.0,36,0.15,0.37,4.92,12.10,1.42,0.8889
363734669,TruGreen,5727 - Providence,WARWICK,RI,5617,Lawn Care,20-49,42,75624,0,6,0,15.87,15.87,,2823,0.00,3.22,4.92,,2.61,0.9383
630251578,Motion Industries,201879,CEDAR RAPIDS,IA,4238,General-line industrial supplies merchant wholesalers,100-249,146,292000,0,10,214,6.85,6.85,71.3,243,0.92,1.39,4.92,7.46,2.65,0.9661
455271120,"Newman Technology of Alabama, Inc.","Newman Technology of Alabama, Inc.",ALBERTVILLE,AL,3363,"Oil filters, automotive, truck, and bus, manufacturing",250-999,410,748547,0,33,40,8.82,11.49,5.7,388,1.32,1.79,4.92,6.69,3.44,0.9861
611426927,"DIVERSE FACILITY SOLUTIONS, INC.",O'Hare Airport,CHICAGO,IL,5617,"Building cleaning services, janitorial",250-999,252,392473,0,18,369,9.17,11.21,73.8,255,1.44,1.86,4.92,6.37,3.3,0.9828
200602784,WINCO FOODS,Brentwood 052,BRENTWOOD,CA,4451,Store,100-249,183,281518,0,21,58,14.92,16.34,4.5,8223,2.30,3.03,4.92,6.48,3.74,0.9867
873203019,Grace Management,Inspirations of Tempe,TEMPE,AZ,6233,Assisted-living facilities without on-site nursing care facilities,20-49,40,47283,0,5,19,21.15,25.38,4.8,1899,0.00,4.30,4.92,,2.49,0.9492
873203019,Inspirations of Tempe,Inspirations of Tempe,TEMPE,AZ,6233,Assisted-living facilities without on-site nursing care facilities,20-49,40,47282,0,5,19,21.15,25.38,4.8,1899,0.00,4.30,4.92,,2.49,0.9503
942904084,XPO Logistics Freight Inc.,XSO,SIOUX FALLS,SD,4841,Freight Transportation,20-49,39,89459,0,7,31,15.65,17.89,7.8,1981,2.34,3.18,4.92,6.67,3.02,0.9763
911062986,"Brumfield Construction, Inc.","Brumfield Construction, Inc.",ABERDEEN,WA,2389,"Excavating, earthmoving, or land clearing contractors",50-99,72,166249,0,5,82,6.02,7.22,27.3,734,0.00,1.22,4.92,,2.35,0.9114
956000735,CITY OF LA RECREATION AND PARKS,Valley Region Construction,VAN NUYS,CA,9241,,20-49,30,62400,0,5,29,16.03,16.03,9.7,110,0.00,3.26,4.92,,2.12,0.9592
593350936,Westgate Resorts,Westgate Cocoa Beach Resort,COCOA BEACH,FL,7211,"Hotels (except casino hotels) with golf courses, tennis courts, and/or other health spa facilities (i.e., resorts)",50-99,56,83008,0,5,0,12.05,12.05,,874,1.81,2.45,4.92,6.64,3.08,0.9767
043294200,Trader Joe's,Trader Joe's 0682 Northbrook,NORTHBROOK,IL,4451,Grocery Store,50-99,90,125455,0,9,94,14.35,20.72,18.8,5418,2.16,2.91,4.92,6.63,3.56,0.9875
873906529,"Peerless of America, LLC",Peerless of America,EFFINGHAM,IL,3334,Heating and air conditioning combination units manufacturing,50-99,83,107968,0,5,3,9.26,11.11,1.0,101,1.22,1.88,4.92,7.62,2.06,0.9818
710427007,FEDERAL EXPRESS CORPORATION,FedEx ZFTM G FORT MYERS 339,FT MYERS,FL,4921,Courier and Express Delivery Services,250-999,298,342043,0,51,670,29.82,31.57,51.5,573,5.97,6.07,4.92,4.99,6.01,1.0
480596521,"Reece Construction Co., Inc.","Reece Construction Co., Inc.",SALINA,KS,2373,Bridge construction,100-249,109,271146,0,11,74,8.11,10.33,24.7,472,1.28,1.65,4.92,6.34,3.31,0.9837
463732443,Civil Werx,Civil Werx LLC,LAS VEGAS,NV,2389,Grading and Utility Contractor,50-99,86,166182,0,5,129,6.02,7.22,43.0,734,0.00,1.22,4.92,,2.35,0.9146
464158792,ADUSA Distribution,ADUSA Dist DC 01 S. Portland ME,SOUTH PORTLAND,ME,4931,General Warehousing and Stora,250-999,398,724086,0,73,1647,20.16,22.93,56.8,1047,2.80,4.10,4.91,7.19,3.65,0.9838
951784196,"O.W. Lee, Inc.",O.W. Lee Co. Inc,COMFORT,TX,3371,"Chairs, upholstered household-type (except dining room, kitchen), manufacturing",100-249,151,294053,0,20,2,13.60,28.57,1.0,141,2.21,2.77,4.91,6.15,4.11,0.9839
680306019,CAL FIRE,SOUTHERN REGION  RRU,PERRIS,CA,9221,CAL FIRE,1000+,1471,1483578,0,170,8403,22.92,22.92,58.0,45,4.51,4.67,4.91,5.08,3.03,0.9767
951987958,Trader Joe's,Trader Joe's 0270 Shoreline,SHORELINE,WA,4451,Grocery Store,100-249,128,174681,0,13,499,14.88,22.90,38.4,8223,2.30,3.03,4.91,6.47,3.73,0.9864
951987958,Trader Joe's,Trader Joe's 0242 Cypress,CYPRESS,CA,4451,Grocery Store,100-249,106,147707,0,11,833,14.89,23.02,75.7,8223,2.30,3.03,4.91,6.47,3.73,0.9865
930592272,Medallion Industries Inc,Medallion Industries Inc,PORTLAND,OR,4233,Plywood merchant wholesalers,50-99,51,77642,0,6,318,15.46,18.03,79.5,221,1.90,3.15,4.91,8.16,2.92,0.958
620314720,"Orgill, Inc",Orgill Sikeston Distribution Center,SIKESTON,MO,4237,Hardware (except motor vehicle) merchant wholesalers,250-999,573,1009137,0,47,206,9.31,11.30,17.2,58,0.96,1.90,4.91,9.74,2.51,0.975
876000257,Ogden City,Ogden City Parks Department,OGDEN,UT,9211,"General services departments, government",50-99,56,94750,0,5,21,10.55,10.55,21.0,366,1.27,2.15,4.91,8.30,2.29,0.9378
911294894,L&M Services Inc,ServiceMaster of Seattle,WOODINVILLE,WA,5629,"Remediation and clean up of contaminated buildings, mine sites, soil, or ground water",50-99,91,177985,0,9,31,10.11,12.36,4.4,239,1.05,2.06,4.91,9.60,2.55,0.9268
411239993,IDC Group INC,"IDC Spring, Piqua, OH",PIQUA,OH,3326,"Springs, heavy gauge metal, manufacturing",100-249,128,232370,0,16,49,13.77,14.63,12.3,52,2.05,2.81,4.91,6.73,3.51,1.0
743090393,Boulden Services LLC,Boulden Services LLC,NEWARK,DE,2382,Plumbing and heating contractors,50-99,57,99839,0,5,177,10.02,10.02,88.5,2054,1.25,2.04,4.91,8.03,2.43,0.9454
592219047,Snyder Company,"Snyder Air Conditioning, Plumbing & Electric (Jacksonville)",JACKSONVILLE,FL,2382,"Heating, ventilation and air-conditioning (HVAC) contractors",100-249,200,364882,0,15,252,8.22,8.77,42.0,1418,0.96,1.67,4.91,8.54,2.63,0.9615
201819235,Paumac Tubing LLC,Paumac Tubing LLC - Michigan,MARYSVILLE,MI,3329,Fabricated pipe and pipe fittings made from purchased pipe,100-249,103,226638,0,10,215,8.82,8.82,43.0,294,1.20,1.80,4.90,7.38,3.28,0.9862
851352338,"True West Beef, LLC","True West Beef, LLC",JEROME,ID,3116,Beef produced in slaughtering plants,250-999,487,986532,0,54,221,10.95,21.49,22.1,272,1.71,2.23,4.90,6.39,3.8,0.9924
351448007,Bybee Stone Company Inc,Bybee Stone Company Inc,ELLETTSVILLE,IN,3279,"Architectural sculptures, stone, manufacturing",50-99,50,104000,0,5,42,9.62,11.54,21.0,126,1.16,1.96,4.90,8.31,2.8,0.9559
811701544,,Taylor Comms - Jeffersonville IN - 0222-INJE1,JEFFERSONVILLE,IN,3231,,100-249,151,292851,0,12,10,8.20,8.20,2.0,345,1.32,1.67,4.90,6.22,3.61,0.9848
862896067,Habasit America,Habasit Globe Inc,BUFFALO,NY,3262,"Conveyor belts, rubber, manufacturing",50-99,53,97691,0,6,0,12.28,12.28,,117,1.33,2.51,4.90,9.27,2.96,0.9452
951987958,Trader Joe's,Trader Joe's 0117 Arroyo Grande,ARROYO GRANDE,CA,4451,Grocery Store,100-249,103,134623,0,10,646,14.86,25.26,64.6,8223,2.30,3.03,4.90,6.45,3.72,0.9861
043294200,Trader Joe's,Trader Joe's 0735 Atlanta,ATLANTA,GA,4451,Grocery Store,100-249,116,161526,0,12,140,14.86,18.57,23.3,8223,2.30,3.03,4.90,6.46,3.72,0.9862
742271636,Turner Roofing Company LTD,Turner Roofing Company LTD,SAN ANTONIO,TX,2381,Roll roofing installation,50-99,60,82631,0,5,0,12.10,12.10,,947,1.53,2.47,4.90,7.92,2.8,0.96
061316073,Yokohama TWS,Yokohama TWS,CHARLES CITY,IA,3262,"Tires (e.g., pneumatic, semi-pneumatic, solid rubber) manufacturing",100-249,118,195996,0,10,28,10.20,16.33,28.0,103,1.71,2.08,4.90,5.96,3.41,0.987
208103228,,NJ075 Milford Corrugated,MILFORD,NJ,3222,,50-99,73,161150,0,7,150,8.69,8.69,37.5,385,0.99,1.77,4.90,8.73,2.8,0.949
860251471,Western Organics,Western Organics,TEMPE,AZ,3253,"Fertilizers, mixed, made in plants not manufacturing fertilizer materials",100-249,159,306214,0,8,137,5.23,5.23,22.8,44,0.53,1.07,4.90,9.89,2.79,0.9615
943283949,Devil Mountain Wholesale Nursery,DMWN - Petaluma,PETALUMA,CA,4249,"Nursery stock (except plant bulbs, seeds) merchant wholesalers",20-49,40,93320,0,5,4,10.72,10.72,1.3,842,0.00,2.19,4.90,,2.25,0.8906
150543657,Upstate Caring Partners,Barneveld Ctr,BARNEVELD,NY,6241,"Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities",20-49,34,56076,0,5,63,17.83,21.40,15.8,561,0.00,3.64,4.90,,1.6,0.8377
362718986,75 North Central Region,L and W Supply 7351,WEST ALLIS,WI,4233,Other Building Material Dealers,20-49,26,52719,0,5,104,18.97,18.97,26.0,1072,2.52,3.87,4.90,7.53,2.84,0.9586
886000720,City of Henderson,COH Police North Patrol,HENDERSON,NV,9221,Police departments (except American Indian or Alaska Native),100-249,102,202705,0,20,215,19.73,38.48,43.0,249,3.22,4.04,4.89,6.12,3.95,0.9907
270931818,WebstaurantStore,WebstaurantStore 854,DURANT,OK,4931,General warehousing and storage,250-999,362,607822,0,61,226,20.07,24.02,37.7,1047,2.80,4.10,4.89,7.16,3.63,0.9827
522418852,HD Supply Facilities Maintenance Ltd,FL058,LAKELAND,FL,4238,Service Establishment Equipment and Supplies Merchant Wholesalers,100-249,193,176278,0,6,9,6.81,7.94,9.0,243,0.92,1.39,4.89,7.41,2.63,0.9605
134042452,BOTTLING GROUP LLC,SAGINAW MI,SAGINAW,MI,4244,Other Grocery and Related Products Merchant Wholesalers,50-99,92,200858,0,21,16,20.91,20.91,8.0,619,3.26,4.28,4.89,6.41,4.01,0.994
481222295,Discovery Furniture Inc,Furniture Mall of Kansas - DC,TOPEKA,KS,4491,"Furniture stores (e.g., household, office, outdoor)",20-49,34,57162,0,5,34,17.49,24.49,11.3,254,0.00,3.58,4.89,,2.56,0.9615
202628687,MS Inspections and Logistics,MS-IL Staffing & Packaging,INDIANAPOLIS,IN,5613,Temporary staffing services,250-999,316,370940,0,13,33,7.01,8.09,8.3,95,0.69,1.43,4.89,10.23,1.82,0.9434
410991680,Fairview Health Services,UMMC West Bank West Bldg,MINNEAPOLIS,MN,6221,,250-999,668,907812,0,45,339,9.91,12.56,7.9,1142,1.60,2.03,4.89,6.20,4.0,0.9944
814549921,"Carvana, LLC",Carvana Oklahoma City,OKLAHOMA CITY,OK,4411,Used car dealers,250-999,325,461962,0,26,272,11.26,13.42,45.3,95,1.66,2.30,4.89,6.78,3.0,0.9884
943019135,Safeway Inc,SWY-0025-0025-00309 FAC-00309-FREMONT-CA,FREMONT,CA,4451,Supermarkets and Other Grocery except Convenience Stores,100-249,111,175425,0,13,460,14.82,15.96,46.0,8223,2.30,3.03,4.89,6.44,3.71,0.9859
362477689,"Carpenter Contractors of America, Inc.",Ft. Myers Field,FT. MYERS,FL,2381,"Carpentry, framing",50-99,69,99437,0,6,190,12.07,20.11,95.0,947,1.53,2.47,4.89,7.90,2.79,0.9583
620555665,"Johnson & Galyon, Inc.","Johnson & Galyon, Inc.",KNOXVILLE,TN,2362,Commercial building construction,100-249,114,227616,0,5,46,4.39,4.39,46.0,606,0.37,0.90,4.89,12.00,2.13,0.9279
463913086,Highgate Hotels,The Park Lane New York Hotel,NEW YORK,NY,5611,Hotel management services (except complete operation of client's business),250-999,270,442098,0,6,806,2.71,31.67,134.3,54,0.00,0.55,4.89,,0.59,0.92
344412691,,Crown Lift Trucks Southern New England,FRANKLIN,MA,8113,Forklift repair and maintenance services,50-99,67,135031,0,5,32,7.41,7.41,8.0,378,1.10,1.51,4.89,6.74,2.86,0.9652
840804223,Performance Plumbing & Heating Inc,"Performance Plumbing & Heating, Inc.",LITTLETON,CO,2382,Plumbing and heating contractors,20-49,49,98122,0,5,32,10.19,10.19,32.0,3387,0.00,2.08,4.89,,2.05,0.8933
366005820,City of Chicago,"E80, T62, A51 | 12701 S. Doty Ave.",CHICAGO,IL,9221,Fire Protection,20-49,25,50000,0,5,106,20.00,20.00,21.2,455,2.33,4.09,4.89,8.58,2.65,0.95
951240335,Southern California Edison,CA-San Joaquin Valley S/C,TULARE,CA,2211,Utility Company,250-999,266,565308,0,8,343,2.83,3.54,42.9,199,0.22,0.58,4.89,12.63,2.32,0.9487
010211501,Eastern Maine Medical Center,Northern Light Cancer Care,BREWER,ME,6211,"Oncologists' offices (e.g., centers, clinics)",250-999,294,454023,0,9,38,3.96,4.85,9.5,171,0.45,0.81,4.89,8.91,2.52,0.9664
381889682,Discount Tire,COD034,AURORA,CO,4413,Tire Dealers,20-49,29,42548,0,5,92,23.50,23.50,92.0,1803,4.15,4.80,4.89,5.66,3.19,0.9793
540948306,Loudoun County Government,Loudoun County Fire and Rescue Station 6,ASHBURN,VA,9221,Fire and rescue service,20-49,28,69888,0,7,83,20.03,20.03,13.8,455,2.33,4.09,4.89,8.59,2.65,0.9583
431659860,Charter Communications,TX_Dallas_1565 Chenault St._CCDAL002,DALLAS,TX,5171,wired telecommunication carriers,250-999,284,568000,0,10,537,3.52,5.28,53.7,122,0.27,0.72,4.89,12.95,2.1,0.8933
540784120,"M&M Auto Parts, Inc.","M&M AUTO PARTS, INC - MMST",FREDERICKSBURG,VA,4413,Used automotive parts stores,20-49,21,42531,0,5,232,23.51,23.51,232.0,1803,4.15,4.80,4.89,5.66,3.19,0.9803
452967037,Sayre Health Care Center,Sayre Health Care Center,SAYRE,PA,6231,Nursing homes,100-249,130,165397,0,20,119,24.18,24.18,6.0,3657,3.20,4.95,4.89,7.57,2.59,0.9686
936002176,City of Gresham,Fire Emergency Services Station 71,GRESHAM,OR,9221,Firefighting services (except forest and private),20-49,30,60000,0,6,231,20.00,23.33,38.5,455,2.33,4.09,4.89,8.58,2.65,0.95
660693042,Barreto Holding Co. LLC,"Empresa Barreto, Inc",TRUJILLO ALTO,PR,4451,"Commissaries, primarily groceries",250-999,297,253339,0,18,109,14.21,14.21,6.1,526,2.12,2.91,4.89,6.71,3.84,0.9938
946000537,County of Siskiyou,Siskiyou County Sheriffs Office,YREKA,CA,9221,Sheriffs' offices (except court functions only),50-99,52,82889,0,8,191,19.30,21.72,47.8,304,2.78,3.96,4.88,6.95,3.21,0.9866
200307941,Macys Logistics and Operations,88502,SOUTH WINDSOR,CT,4931,General Warehousing and Storage,50-99,71,117434,0,7,19,11.92,15.33,9.5,1541,1.49,2.44,4.88,8.01,2.89,0.9635
626000362,Memphis Light Gas and Water,Memphis Light Gas and Water,MEMPHIS,TN,2211,Distribution of electric power,1000+,2586,5211558,0,81,1346,3.11,3.11,53.8,21,0.19,0.64,4.88,16.03,3.81,1.0
043294200,Trader Joe's,Trader Joe's 0601 Westfield,WESTFIELD,NJ,4451,Grocery Store,100-249,171,229863,0,17,727,14.79,27.84,55.9,8223,2.30,3.03,4.88,6.43,3.7,0.9858
